series,reporting_date,vintage_month,fico_low,fico_high,new_used,loan_count_current,loan_count_30_59,loan_count_60_plus,balance
ALLY AUTO RECEIVABLES TRUST 2022-2,2023-01-31,5,520,530,1,1,0,0,36413.64
ALLY AUTO RECEIVABLES TRUST 2022-2,2023-01-31,5,540,550,1,1,0,0,10294.42
ALLY AUTO RECEIVABLES TRUST 2022-2,2023-01-31,5,550,560,2,1,0,0,16249.74
ALLY AUTO RECEIVABLES TRUST 2022-2,2023-01-31,5,560,570,1,1,0,0,19959.0
ALLY AUTO RECEIVABLES TRUST 2022-2,2023-01-31,5,570,580,2,0,1,0,16975.75
ALLY AUTO RECEIVABLES TRUST 2022-2,2023-01-31,5,580,590,1,2,0,0,53630.91
ALLY AUTO RECEIVABLES TRUST 2022-2,2023-01-31,5,580,590,2,3,0,0,25124.08
ALLY AUTO RECEIVABLES TRUST 2022-2,2023-01-31,5,590,600,1,3,0,0,67971.66
ALLY AUTO RECEIVABLES TRUST 2022-2,2023-01-31,5,590,600,2,3,0,0,20174.77
ALLY AUTO RECEIVABLES TRUST 2022-2,2023-01-31,5,600,610,1,3,0,0,52132.49
ALLY AUTO RECEIVABLES TRUST 2022-2,2023-01-31,5,600,610,2,2,0,0,23716.02
ALLY AUTO RECEIVABLES TRUST 2022-2,2023-01-31,5,610,620,1,7,0,0,126260.02999999998
ALLY AUTO RECEIVABLES TRUST 2022-2,2023-01-31,5,610,620,2,3,0,0,30570.99
ALLY AUTO RECEIVABLES TRUST 2022-2,2023-01-31,5,620,630,1,21,2,0,384576.08999999997
ALLY AUTO RECEIVABLES TRUST 2022-2,2023-01-31,5,620,630,2,16,1,0,115598.82999999999
ALLY AUTO RECEIVABLES TRUST 2022-2,2023-01-31,5,630,640,1,31,2,0,596096.1399999999
ALLY AUTO RECEIVABLES TRUST 2022-2,2023-01-31,5,630,640,2,23,0,0,240880.71999999997
ALLY AUTO RECEIVABLES TRUST 2022-2,2023-01-31,5,640,650,1,48,0,0,943820.0800000002
ALLY AUTO RECEIVABLES TRUST 2022-2,2023-01-31,5,640,650,2,35,1,0,298810.05
ALLY AUTO RECEIVABLES TRUST 2022-2,2023-01-31,5,650,660,1,64,1,0,1269821.2599999998
ALLY AUTO RECEIVABLES TRUST 2022-2,2023-01-31,5,650,660,2,30,0,0,362164.04000000004
ALLY AUTO RECEIVABLES TRUST 2022-2,2023-01-31,5,660,670,1,1635,20,10,41449569.67999998
ALLY AUTO RECEIVABLES TRUST 2022-2,2023-01-31,5,660,670,2,3336,48,20,52544524.54999995
ALLY AUTO RECEIVABLES TRUST 2022-2,2023-01-31,5,670,680,1,1644,22,4,42556094.92999998
ALLY AUTO RECEIVABLES TRUST 2022-2,2023-01-31,5,670,680,2,3122,35,17,48664676.280000016
ALLY AUTO RECEIVABLES TRUST 2022-2,2023-01-31,5,680,690,1,1264,19,8,32398647.690000057
ALLY AUTO RECEIVABLES TRUST 2022-2,2023-01-31,5,680,690,2,2650,35,14,40307498.02000001
ALLY AUTO RECEIVABLES TRUST 2022-2,2023-01-31,5,690,700,1,1139,15,2,28911298.05999998
ALLY AUTO RECEIVABLES TRUST 2022-2,2023-01-31,5,690,700,2,2387,33,14,36154084.71000001
ALLY AUTO RECEIVABLES TRUST 2022-2,2023-01-31,5,700,710,1,1215,16,3,29077027.209999993
ALLY AUTO RECEIVABLES TRUST 2022-2,2023-01-31,5,700,710,2,2630,23,7,37372550.56000007
ALLY AUTO RECEIVABLES TRUST 2022-2,2023-01-31,5,710,720,1,1080,5,8,25858718.48999999
ALLY AUTO RECEIVABLES TRUST 2022-2,2023-01-31,5,710,720,2,2212,21,7,31546461.25
ALLY AUTO RECEIVABLES TRUST 2022-2,2023-01-31,5,720,730,1,1102,12,2,27014430.900000013
ALLY AUTO RECEIVABLES TRUST 2022-2,2023-01-31,5,720,730,2,2049,16,5,28820641.379999973
ALLY AUTO RECEIVABLES TRUST 2022-2,2023-01-31,5,730,740,1,918,2,2,21568158.43000001
ALLY AUTO RECEIVABLES TRUST 2022-2,2023-01-31,5,730,740,2,1733,13,6,23734782.25000003
ALLY AUTO RECEIVABLES TRUST 2022-2,2023-01-31,5,740,750,1,818,4,3,18297042.709999997
ALLY AUTO RECEIVABLES TRUST 2022-2,2023-01-31,5,740,750,2,1621,12,4,21806236.669999994
ALLY AUTO RECEIVABLES TRUST 2022-2,2023-01-31,5,750,760,1,784,2,3,18082814.36
ALLY AUTO RECEIVABLES TRUST 2022-2,2023-01-31,5,750,760,2,1360,4,4,18739762.959999986
ALLY AUTO RECEIVABLES TRUST 2022-2,2023-01-31,5,760,770,1,639,4,4,14827996.05000001
ALLY AUTO RECEIVABLES TRUST 2022-2,2023-01-31,5,760,770,2,1109,4,0,14571765.070000004
ALLY AUTO RECEIVABLES TRUST 2022-2,2023-01-31,5,770,780,1,691,2,0,14899758.299999997
ALLY AUTO RECEIVABLES TRUST 2022-2,2023-01-31,5,770,780,2,1063,4,1,14365808.249999996
