issuer_code,vintage_year,loan_age_months,period_co_amt,orig_pool_amt,cumulative_co_amt,cumulative_loss_rate
AART,2017,0,409553.75000000,1424007869.26999855,409553.75000000,0.00028761
AART,2017,1,394805.24000000,1424007869.26999855,804358.99000000,0.00056486
AART,2017,2,323967.75000000,1424007869.26999855,1128326.74000000,0.00079236
AART,2017,3,420313.02000000,1424007869.26999855,1548639.76000000,0.00108752
AART,2017,4,258393.37000000,1424007869.26999855,1807033.13000000,0.00126898
AART,2017,5,349593.08000000,1424007869.26999855,2156626.21000000,0.00151448
AART,2017,6,249147.05000000,1424007869.26999855,2405773.26000000,0.00168944
AART,2017,7,231720.85000000,1424007869.26999855,2637494.11000000,0.00185216
AART,2017,8,217064.45000000,1424007869.26999855,2854558.56000000,0.00200459
AART,2017,9,216573.75000000,1424007869.26999855,3071132.31000000,0.00215668
AART,2017,10,104553.88000000,1424007869.26999855,3175686.19000000,0.00223010
AART,2017,11,192556.73000000,1424007869.26999855,3368242.92000000,0.00236533
AART,2017,12,67150.92000000,1424007869.26999855,3435393.84000000,0.00241248
AART,2017,13,149862.91000000,1424007869.26999855,3585256.75000000,0.00251772
AART,2017,14,222993.78000000,1424007869.26999855,3808250.53000000,0.00267432
AART,2018,0,902235.98000000,6391953341.70023346,902235.98000000,0.00014115
AART,2018,1,872475.65000000,6391953341.70023346,1774711.63000000,0.00027765
AART,2018,2,818158.63000000,6391953341.70023346,2592870.26000000,0.00040565
AART,2018,3,1395746.31000000,6391953341.70023346,3988616.57000000,0.00062401
AART,2018,4,1107984.44000000,6391953341.70023346,5096601.01000000,0.00079735
AART,2018,5,1164195.82000000,6391953341.70023346,6260796.83000000,0.00097948
AART,2018,6,858547.23000000,6391953341.70023346,7119344.06000000,0.00111380
AART,2018,7,617937.33000000,6391953341.70023346,7737281.39000000,0.00121047
AART,2018,8,655359.10000000,6391953341.70023346,8392640.49000000,0.00131300
AART,2018,9,688385.72000000,6391953341.70023346,9081026.21000000,0.00142070
AART,2018,10,289716.87000000,6391953341.70023346,9370743.08000000,0.00146602
AART,2018,11,330222.87000000,6391953341.70023346,9700965.95000000,0.00151768
AART,2018,12,46838.81000000,6391953341.70023346,9747804.76000000,0.00152501
AART,2018,13,70583.89000000,6391953341.70023346,9818388.65000000,0.00153605
AART,2018,14,82331.47000000,6391953341.70023346,9900720.12000000,0.00154893
AART,2019,0,929876.82000000,4317507133.55005741,929876.82000000,0.00021537
AART,2019,1,667070.72000000,4317507133.55005741,1596947.54000000,0.00036988
AART,2019,2,574371.37000000,4317507133.55005741,2171318.91000000,0.00050291
AART,2019,3,634948.60000000,4317507133.55005741,2806267.51000000,0.00064997
AART,2019,4,596783.47000000,4317507133.55005741,3403050.98000000,0.00078820
AART,2019,5,474718.33000000,4317507133.55005741,3877769.31000000,0.00089815
AART,2019,6,508056.86000000,4317507133.55005741,4385826.17000000,0.00101582
AART,2019,7,386071.01000000,4317507133.55005741,4771897.18000000,0.00110524
AART,2019,8,258399.72000000,4317507133.55005741,5030296.90000000,0.00116509
AART,2019,9,280278.37000000,4317507133.55005741,5310575.27000000,0.00123001
AART,2019,10,215477.56000000,4317507133.55005741,5526052.83000000,0.00127992
AART,2019,11,109169.26000000,4317507133.55005741,5635222.09000000,0.00130520
AART,2019,12,123043.05000000,4317507133.55005741,5758265.14000000,0.00133370
AART,2019,13,166832.53000000,4317507133.55005741,5925097.67000000,0.00137234
AART,2019,14,169544.32000000,4317507133.55005741,6094641.99000000,0.00141161
AART,2019,15,236663.76000000,4317507133.55005741,6331305.75000000,0.00146643
AART,2020,0,512393.32000000,4038878752.30008316,512393.32000000,0.00012687
AART,2020,1,542283.47000000,4038878752.30008316,1054676.79000000,0.00026113
AART,2020,2,668483.65000000,4038878752.30008316,1723160.44000000,0.00042664
AART,2020,3,695722.60000000,4038878752.30008316,2418883.04000000,0.00059890
AART,2020,4,439206.19000000,4038878752.30008316,2858089.23000000,0.00070764
AART,2020,5,577683.14000000,4038878752.30008316,3435772.37000000,0.00085067
AART,2020,6,700056.22000000,4038878752.30008316,4135828.59000000,0.00102400
AART,2020,7,396776.66000000,4038878752.30008316,4532605.25000000,0.00112224
AART,2020,8,438031.72000000,4038878752.30008316,4970636.97000000,0.00123070
AART,2020,9,346794.01000000,4038878752.30008316,5317430.98000000,0.00131656
AART,2020,10,257765.63000000,4038878752.30008316,5575196.61000000,0.00138038
AART,2020,11,270208.07000000,4038878752.30008316,5845404.68000000,0.00144728
AART,2023,0,880718.93000000,4178889167.54012966,880718.93000000,0.00021075
AART,2023,1,1068824.62000000,4178889167.54012966,1949543.55000000,0.00046652
AART,2023,2,1260436.70000000,4178889167.54012966,3209980.25000000,0.00076814
AART,2023,3,671362.28000000,4178889167.54012966,3881342.53000000,0.00092880
AART,2023,4,581729.15000000,4178889167.54012966,4463071.68000000,0.00106800
AART,2023,5,940000.69000000,4178889167.54012966,5403072.37000000,0.00129294
AART,2023,6,730611.71000000,4178889167.54012966,6133684.08000000,0.00146778
AART,2023,7,440639.96000000,4178889167.54012966,6574324.04000000,0.00157322
