issuer_code,deal_year,loan_age_months,period_co_amt,orig_pool_amt,cumulative_co_amt,cumulative_loss_rate
AMCAR,2017,0,2126596.88000000,1153200413.94000101,2126596.88000000,0.00184408
AMCAR,2017,1,2162836.98000000,1153200413.94000101,4289433.86000000,0.00371959
AMCAR,2017,2,1869843.80000000,1153200413.94000101,6159277.66000000,0.00534103
AMCAR,2017,3,1510120.60000000,1153200413.94000101,7669398.26000000,0.00665053
AMCAR,2017,4,1362223.08000000,1153200413.94000101,9031621.34000000,0.00783179
AMCAR,2017,5,1173032.55000000,1153200413.94000101,10204653.89000000,0.00884899
AMCAR,2017,6,3170369.77000000,1153200413.94000101,13375023.66000000,0.01159818
AMCAR,2017,7,2390687.72000000,1153200413.94000101,15765711.38000000,0.01367127
AMCAR,2017,8,1711691.57000000,1153200413.94000101,17477402.95000000,0.01515556
AMCAR,2017,9,1387372.72000000,1153200413.94000101,18864775.67000000,0.01635863
AMCAR,2017,10,1368320.88000000,1153200413.94000101,20233096.55000000,0.01754517
AMCAR,2017,11,924796.03000000,1153200413.94000101,21157892.58000000,0.01834711
AMCAR,2017,12,869609.94000000,1153200413.94000101,22027502.52000000,0.01910119
AMCAR,2017,13,732494.92000000,1153200413.94000101,22759997.44000000,0.01973638
AMCAR,2017,14,750035.70000000,1153200413.94000101,23510033.14000000,0.02038677
AMCAR,2017,15,1020250.36000000,1153200413.94000101,24530283.50000000,0.02127148
AMCAR,2017,16,684582.68000000,1153200413.94000101,25214866.18000000,0.02186512
AMCAR,2017,17,511488.14000000,1153200413.94000101,25726354.32000000,0.02230866
AMCAR,2017,18,922151.00000000,1153200413.94000101,26648505.32000000,0.02310830
AMCAR,2017,19,837187.90000000,1153200413.94000101,27485693.22000000,0.02383427
AMCAR,2017,20,1041131.90000000,1153200413.94000101,28526825.12000000,0.02473709
AMCAR,2017,21,675648.18000000,1153200413.94000101,29202473.30000000,0.02532298
AMCAR,2017,22,489147.50000000,1153200413.94000101,29691620.80000000,0.02574715
