series,reporting_date,vintage_month,fico_low,fico_high,new_used,loan_count_current,loan_count_30_59,loan_count_60_plus,balance
Bridgecrest Lending Auto Securitization Trust 2023-1,2024-01-31,4,350,360,2,1,0,0,22513.03
Bridgecrest Lending Auto Securitization Trust 2023-1,2024-01-31,4,360,370,2,5,1,0,138369.21000000002
Bridgecrest Lending Auto Securitization Trust 2023-1,2024-01-31,4,370,380,2,7,1,0,174018.9
Bridgecrest Lending Auto Securitization Trust 2023-1,2024-01-31,4,380,390,2,31,1,3,819230.6299999999
Bridgecrest Lending Auto Securitization Trust 2023-1,2024-01-31,4,390,400,2,51,5,0,1278757.3399999999
Bridgecrest Lending Auto Securitization Trust 2023-1,2024-01-31,4,400,410,2,83,15,3,2331402.9299999997
Bridgecrest Lending Auto Securitization Trust 2023-1,2024-01-31,4,410,420,2,131,26,14,3903491.25
Bridgecrest Lending Auto Securitization Trust 2023-1,2024-01-31,4,420,430,2,255,24,15,6770106.450000003
Bridgecrest Lending Auto Securitization Trust 2023-1,2024-01-31,4,430,440,2,332,44,22,9151188.469999995
Bridgecrest Lending Auto Securitization Trust 2023-1,2024-01-31,4,440,450,1,1,0,0,13982.51
Bridgecrest Lending Auto Securitization Trust 2023-1,2024-01-31,4,440,450,2,456,52,29,12369753.889999997
Bridgecrest Lending Auto Securitization Trust 2023-1,2024-01-31,4,450,460,2,547,79,44,15417829.900000004
Bridgecrest Lending Auto Securitization Trust 2023-1,2024-01-31,4,460,470,2,715,107,50,20124494.370000005
Bridgecrest Lending Auto Securitization Trust 2023-1,2024-01-31,4,470,480,2,876,145,52,24674981.079999987
Bridgecrest Lending Auto Securitization Trust 2023-1,2024-01-31,4,480,490,1,1,0,0,26541.05
Bridgecrest Lending Auto Securitization Trust 2023-1,2024-01-31,4,480,490,2,944,100,84,26081656.930000015
Bridgecrest Lending Auto Securitization Trust 2023-1,2024-01-31,4,490,500,1,2,0,0,52870.48
Bridgecrest Lending Auto Securitization Trust 2023-1,2024-01-31,4,490,500,2,1027,112,64,27768036.090000033
Bridgecrest Lending Auto Securitization Trust 2023-1,2024-01-31,4,500,510,2,1151,107,64,30641133.229999993
Bridgecrest Lending Auto Securitization Trust 2023-1,2024-01-31,4,510,520,1,3,0,0,82361.52
Bridgecrest Lending Auto Securitization Trust 2023-1,2024-01-31,4,510,520,2,1201,132,54,32014387.89000003
Bridgecrest Lending Auto Securitization Trust 2023-1,2024-01-31,4,520,530,1,1,0,0,33237.63
Bridgecrest Lending Auto Securitization Trust 2023-1,2024-01-31,4,520,530,2,1179,127,71,31728428.71999999
Bridgecrest Lending Auto Securitization Trust 2023-1,2024-01-31,4,530,540,1,3,0,0,82786.68
Bridgecrest Lending Auto Securitization Trust 2023-1,2024-01-31,4,530,540,2,1225,100,55,31785271.79000002
Bridgecrest Lending Auto Securitization Trust 2023-1,2024-01-31,4,540,550,1,3,0,0,72222.57
Bridgecrest Lending Auto Securitization Trust 2023-1,2024-01-31,4,540,550,2,1138,121,49,30026816.079999976
Bridgecrest Lending Auto Securitization Trust 2023-1,2024-01-31,4,550,560,1,1,0,0,27114.67
Bridgecrest Lending Auto Securitization Trust 2023-1,2024-01-31,4,550,560,2,1302,97,65,33614067.60999999
Bridgecrest Lending Auto Securitization Trust 2023-1,2024-01-31,4,560,570,1,2,0,0,70391.75
Bridgecrest Lending Auto Securitization Trust 2023-1,2024-01-31,4,560,570,2,1054,95,41,27428433.86999999
Bridgecrest Lending Auto Securitization Trust 2023-1,2024-01-31,4,570,580,1,2,0,0,62661.509999999995
Bridgecrest Lending Auto Securitization Trust 2023-1,2024-01-31,4,570,580,2,1065,78,44,27424957.23
Bridgecrest Lending Auto Securitization Trust 2023-1,2024-01-31,4,580,590,1,4,0,0,123529.44
Bridgecrest Lending Auto Securitization Trust 2023-1,2024-01-31,4,580,590,2,988,79,52,25841473.329999983
Bridgecrest Lending Auto Securitization Trust 2023-1,2024-01-31,4,590,600,1,4,0,0,117150.22
Bridgecrest Lending Auto Securitization Trust 2023-1,2024-01-31,4,590,600,2,892,61,44,22841219.64000001
Bridgecrest Lending Auto Securitization Trust 2023-1,2024-01-31,4,600,610,1,4,0,0,120387.37000000001
Bridgecrest Lending Auto Securitization Trust 2023-1,2024-01-31,4,600,610,2,875,63,44,22607797.310000006
Bridgecrest Lending Auto Securitization Trust 2023-1,2024-01-31,4,610,620,2,787,58,25,19863569.059999987
Bridgecrest Lending Auto Securitization Trust 2023-1,2024-01-31,4,620,630,1,3,0,0,98278.92
Bridgecrest Lending Auto Securitization Trust 2023-1,2024-01-31,4,620,630,2,734,36,21,18240908.749999996
Bridgecrest Lending Auto Securitization Trust 2023-1,2024-01-31,4,630,640,2,624,36,15,15598652.669999998
Bridgecrest Lending Auto Securitization Trust 2023-1,2024-01-31,4,640,650,1,2,0,0,47913.9
Bridgecrest Lending Auto Securitization Trust 2023-1,2024-01-31,4,640,650,2,594,28,12,14701368.249999994
Bridgecrest Lending Auto Securitization Trust 2023-1,2024-01-31,4,650,660,2,448,21,6,11006833.989999998
Bridgecrest Lending Auto Securitization Trust 2023-1,2024-01-31,4,660,670,1,3,0,0,95370.69
Bridgecrest Lending Auto Securitization Trust 2023-1,2024-01-31,4,660,670,2,355,17,7,8807233.919999994
Bridgecrest Lending Auto Securitization Trust 2023-1,2024-01-31,4,670,680,2,316,11,9,7802834.839999999
Bridgecrest Lending Auto Securitization Trust 2023-1,2024-01-31,4,680,690,2,298,17,7,7325219.400000002
Bridgecrest Lending Auto Securitization Trust 2023-1,2024-01-31,4,690,700,1,1,0,0,24208.62
Bridgecrest Lending Auto Securitization Trust 2023-1,2024-01-31,4,690,700,2,255,12,4,6198864.369999999
Bridgecrest Lending Auto Securitization Trust 2023-1,2024-01-31,4,700,710,2,238,5,5,5659660.200000001
Bridgecrest Lending Auto Securitization Trust 2023-1,2024-01-31,4,710,720,2,148,4,1,3599787.129999999
Bridgecrest Lending Auto Securitization Trust 2023-1,2024-01-31,4,720,730,2,130,4,4,3123157.8300000005
Bridgecrest Lending Auto Securitization Trust 2023-1,2024-01-31,4,730,740,2,100,6,6,2609293.5199999996
Bridgecrest Lending Auto Securitization Trust 2023-1,2024-01-31,4,740,750,2,110,5,2,2679215.46
Bridgecrest Lending Auto Securitization Trust 2023-1,2024-01-31,4,750,760,2,89,1,0,2089621.25
Bridgecrest Lending Auto Securitization Trust 2023-1,2024-01-31,4,760,770,2,73,1,0,1683603.9499999997
Bridgecrest Lending Auto Securitization Trust 2023-1,2024-01-31,4,770,780,2,77,2,0,1773151.13
Bridgecrest Lending Auto Securitization Trust 2023-1,2024-01-31,4,780,790,2,68,1,0,1563722.44
Bridgecrest Lending Auto Securitization Trust 2023-1,2024-01-31,4,790,800,1,1,0,0,43727.0
Bridgecrest Lending Auto Securitization Trust 2023-1,2024-01-31,4,790,800,2,40,0,0,914824.3700000001
Bridgecrest Lending Auto Securitization Trust 2023-1,2024-01-31,4,800,810,2,30,0,1,657017.3200000001
Bridgecrest Lending Auto Securitization Trust 2023-1,2024-01-31,4,810,820,2,25,0,0,497317.79
Bridgecrest Lending Auto Securitization Trust 2023-1,2024-01-31,4,820,830,2,21,1,0,488802.49
Bridgecrest Lending Auto Securitization Trust 2023-1,2024-01-31,4,830,840,2,26,0,0,509960.02999999997
Bridgecrest Lending Auto Securitization Trust 2023-1,2024-01-31,4,840,850,2,14,0,0,248112.37
Bridgecrest Lending Auto Securitization Trust 2023-1,2024-01-31,4,850,860,2,9,0,0,180431.62999999998
Bridgecrest Lending Auto Securitization Trust 2023-1,2024-01-31,4,860,870,2,4,0,0,76596.79
Bridgecrest Lending Auto Securitization Trust 2023-1,2024-01-31,4,870,880,2,4,0,0,53233.810000000005
Bridgecrest Lending Auto Securitization Trust 2023-1,2024-01-31,4,880,890,2,1,0,0,60.52
Bridgecrest Lending Auto Securitization Trust 2023-1,2025-01-31,16,350,360,2,1,0,0,20256.39
Bridgecrest Lending Auto Securitization Trust 2023-1,2025-01-31,16,360,370,2,3,0,1,80997.42000000001
Bridgecrest Lending Auto Securitization Trust 2023-1,2025-01-31,16,370,380,2,5,1,1,139117.81
Bridgecrest Lending Auto Securitization Trust 2023-1,2025-01-31,16,380,390,2,21,2,5,605144.37
Bridgecrest Lending Auto Securitization Trust 2023-1,2025-01-31,16,390,400,2,32,6,7,973491.1799999999
Bridgecrest Lending Auto Securitization Trust 2023-1,2025-01-31,16,400,410,2,56,13,11,1736985.23
Bridgecrest Lending Auto Securitization Trust 2023-1,2025-01-31,16,410,420,2,87,19,13,2551528.3300000005
Bridgecrest Lending Auto Securitization Trust 2023-1,2025-01-31,16,420,430,2,157,32,31,4638972.969999998
Bridgecrest Lending Auto Securitization Trust 2023-1,2025-01-31,16,430,440,2,223,44,33,6442961.7799999975
Bridgecrest Lending Auto Securitization Trust 2023-1,2025-01-31,16,440,450,1,1,0,0,11141.38
Bridgecrest Lending Auto Securitization Trust 2023-1,2025-01-31,16,440,450,2,290,43,57,8325958.4899999965
Bridgecrest Lending Auto Securitization Trust 2023-1,2025-01-31,16,450,460,2,368,58,65,10472088.68
Bridgecrest Lending Auto Securitization Trust 2023-1,2025-01-31,16,460,470,2,473,89,69,13569529.370000001
Bridgecrest Lending Auto Securitization Trust 2023-1,2025-01-31,16,470,480,2,585,87,116,16930051.94
Bridgecrest Lending Auto Securitization Trust 2023-1,2025-01-31,16,480,490,1,0,0,1,25736.59
Bridgecrest Lending Auto Securitization Trust 2023-1,2025-01-31,16,480,490,2,632,102,99,17877128.569999974
Bridgecrest Lending Auto Securitization Trust 2023-1,2025-01-31,16,490,500,1,1,0,1,47121.76
Bridgecrest Lending Auto Securitization Trust 2023-1,2025-01-31,16,490,500,2,655,121,123,19173732.85
Bridgecrest Lending Auto Securitization Trust 2023-1,2025-01-31,16,500,510,2,751,121,119,21386392.470000003
Bridgecrest Lending Auto Securitization Trust 2023-1,2025-01-31,16,510,520,1,1,1,0,57444.19
Bridgecrest Lending Auto Securitization Trust 2023-1,2025-01-31,16,510,520,2,782,141,124,22488375.43999999
Bridgecrest Lending Auto Securitization Trust 2023-1,2025-01-31,16,520,530,1,2,0,0,58844.479999999996
Bridgecrest Lending Auto Securitization Trust 2023-1,2025-01-31,16,520,530,2,801,108,105,21627261.69
Bridgecrest Lending Auto Securitization Trust 2023-1,2025-01-31,16,530,540,1,2,1,0,78003.38
Bridgecrest Lending Auto Securitization Trust 2023-1,2025-01-31,16,530,540,2,816,130,105,22331577.750000004
Bridgecrest Lending Auto Securitization Trust 2023-1,2025-01-31,16,540,550,1,2,1,0,66482.63
Bridgecrest Lending Auto Securitization Trust 2023-1,2025-01-31,16,540,550,2,766,112,99,20673298.510000013
Bridgecrest Lending Auto Securitization Trust 2023-1,2025-01-31,16,550,560,2,857,116,135,23472495.7
Bridgecrest Lending Auto Securitization Trust 2023-1,2025-01-31,16,560,570,1,2,0,0,63602.880000000005
Bridgecrest Lending Auto Securitization Trust 2023-1,2025-01-31,16,560,570,2,696,88,89,18519135.189999983
Bridgecrest Lending Auto Securitization Trust 2023-1,2025-01-31,16,570,580,1,1,0,0,27014.82
Bridgecrest Lending Auto Securitization Trust 2023-1,2025-01-31,16,570,580,2,742,83,71,18966985.339999992
Bridgecrest Lending Auto Securitization Trust 2023-1,2025-01-31,16,580,590,1,4,0,0,93785.48999999999
Bridgecrest Lending Auto Securitization Trust 2023-1,2025-01-31,16,580,590,2,657,82,76,17307893.150000013
Bridgecrest Lending Auto Securitization Trust 2023-1,2025-01-31,16,590,600,1,2,1,0,90042.18
Bridgecrest Lending Auto Securitization Trust 2023-1,2025-01-31,16,590,600,2,658,60,61,16307927.55
Bridgecrest Lending Auto Securitization Trust 2023-1,2025-01-31,16,600,610,1,3,0,0,73237.59
Bridgecrest Lending Auto Securitization Trust 2023-1,2025-01-31,16,600,610,2,611,67,72,15817965.660000002
Bridgecrest Lending Auto Securitization Trust 2023-1,2025-01-31,16,610,620,2,567,54,50,14007404.599999992
Bridgecrest Lending Auto Securitization Trust 2023-1,2025-01-31,16,620,630,1,1,0,0,25282.45
Bridgecrest Lending Auto Securitization Trust 2023-1,2025-01-31,16,620,630,2,531,42,40,12916427.72
Bridgecrest Lending Auto Securitization Trust 2023-1,2025-01-31,16,630,640,2,444,37,40,10925323.370000001
Bridgecrest Lending Auto Securitization Trust 2023-1,2025-01-31,16,640,650,1,2,0,0,43486.54
Bridgecrest Lending Auto Securitization Trust 2023-1,2025-01-31,16,640,650,2,439,33,29,10422875.739999996
Bridgecrest Lending Auto Securitization Trust 2023-1,2025-01-31,16,650,660,2,334,23,21,7912278.5600000005
Bridgecrest Lending Auto Securitization Trust 2023-1,2025-01-31,16,660,670,1,1,0,0,14453.68
Bridgecrest Lending Auto Securitization Trust 2023-1,2025-01-31,16,660,670,2,269,15,25,6455950.619999998
Bridgecrest Lending Auto Securitization Trust 2023-1,2025-01-31,16,670,680,2,241,10,21,5674573.08
Bridgecrest Lending Auto Securitization Trust 2023-1,2025-01-31,16,680,690,2,224,11,20,5148127.82
Bridgecrest Lending Auto Securitization Trust 2023-1,2025-01-31,16,690,700,2,185,13,11,4229201.99
Bridgecrest Lending Auto Securitization Trust 2023-1,2025-01-31,16,700,710,2,179,6,11,3959165.3900000006
Bridgecrest Lending Auto Securitization Trust 2023-1,2025-01-31,16,710,720,2,114,6,8,2669986.4299999997
Bridgecrest Lending Auto Securitization Trust 2023-1,2025-01-31,16,720,730,2,98,6,5,2163924.88
Bridgecrest Lending Auto Securitization Trust 2023-1,2025-01-31,16,730,740,2,84,3,4,1819844.1599999997
Bridgecrest Lending Auto Securitization Trust 2023-1,2025-01-31,16,740,750,2,94,4,1,1986792.0900000008
Bridgecrest Lending Auto Securitization Trust 2023-1,2025-01-31,16,750,760,2,72,4,1,1591194.8600000003
Bridgecrest Lending Auto Securitization Trust 2023-1,2025-01-31,16,760,770,2,57,4,3,1255389.94
Bridgecrest Lending Auto Securitization Trust 2023-1,2025-01-31,16,770,780,2,63,1,4,1313669.8199999998
Bridgecrest Lending Auto Securitization Trust 2023-1,2025-01-31,16,780,790,2,58,1,0,1148796.76
Bridgecrest Lending Auto Securitization Trust 2023-1,2025-01-31,16,790,800,1,1,0,0,39184.39
Bridgecrest Lending Auto Securitization Trust 2023-1,2025-01-31,16,790,800,2,35,0,1,718784.27
Bridgecrest Lending Auto Securitization Trust 2023-1,2025-01-31,16,800,810,2,26,0,0,474303.38
Bridgecrest Lending Auto Securitization Trust 2023-1,2025-01-31,16,810,820,2,22,0,0,386694.95000000007
Bridgecrest Lending Auto Securitization Trust 2023-1,2025-01-31,16,820,830,2,20,1,0,394888.01
Bridgecrest Lending Auto Securitization Trust 2023-1,2025-01-31,16,830,840,2,24,0,0,397765.51
Bridgecrest Lending Auto Securitization Trust 2023-1,2025-01-31,16,840,850,2,12,0,0,180938.22
Bridgecrest Lending Auto Securitization Trust 2023-1,2025-01-31,16,850,860,2,8,0,0,143857.21000000002
Bridgecrest Lending Auto Securitization Trust 2023-1,2025-01-31,16,860,870,2,4,0,0,64463.93000000001
Bridgecrest Lending Auto Securitization Trust 2023-1,2025-01-31,16,870,880,2,2,0,0,28457.11
Bridgecrest Lending Auto Securitization Trust 2023-1,2026-01-31,28,350,360,2,1,0,0,17509.67
Bridgecrest Lending Auto Securitization Trust 2023-1,2026-01-31,28,360,370,2,2,1,1,77654.06
Bridgecrest Lending Auto Securitization Trust 2023-1,2026-01-31,28,370,380,2,3,2,1,112010.62999999999
Bridgecrest Lending Auto Securitization Trust 2023-1,2026-01-31,28,380,390,2,12,5,4,415433.71
Bridgecrest Lending Auto Securitization Trust 2023-1,2026-01-31,28,390,400,2,20,5,2,566899.48
Bridgecrest Lending Auto Securitization Trust 2023-1,2026-01-31,28,400,410,2,32,7,17,1093598.15
Bridgecrest Lending Auto Securitization Trust 2023-1,2026-01-31,28,410,420,2,52,17,13,1600034.5000000005
Bridgecrest Lending Auto Securitization Trust 2023-1,2026-01-31,28,420,430,2,97,23,27,2805292.5900000026
Bridgecrest Lending Auto Securitization Trust 2023-1,2026-01-31,28,430,440,2,148,32,28,4043338.62
Bridgecrest Lending Auto Securitization Trust 2023-1,2026-01-31,28,440,450,1,1,0,0,8596.78
Bridgecrest Lending Auto Securitization Trust 2023-1,2026-01-31,28,440,450,2,158,42,50,4874616.520000001
Bridgecrest Lending Auto Securitization Trust 2023-1,2026-01-31,28,450,460,2,233,48,48,6416531.330000001
Bridgecrest Lending Auto Securitization Trust 2023-1,2026-01-31,28,460,470,2,271,86,70,8443502.860000005
Bridgecrest Lending Auto Securitization Trust 2023-1,2026-01-31,28,470,480,2,328,93,100,10162302.349999998
Bridgecrest Lending Auto Securitization Trust 2023-1,2026-01-31,28,480,490,1,0,0,1,24351.25
Bridgecrest Lending Auto Securitization Trust 2023-1,2026-01-31,28,480,490,2,392,90,79,10896624.299999988
Bridgecrest Lending Auto Securitization Trust 2023-1,2026-01-31,28,490,500,1,0,0,2,42899.72
Bridgecrest Lending Auto Securitization Trust 2023-1,2026-01-31,28,490,500,2,421,92,118,12202124.580000002
Bridgecrest Lending Auto Securitization Trust 2023-1,2026-01-31,28,500,510,2,470,91,99,12960920.489999987
Bridgecrest Lending Auto Securitization Trust 2023-1,2026-01-31,28,510,520,1,0,1,0,29553.6
Bridgecrest Lending Auto Securitization Trust 2023-1,2026-01-31,28,510,520,2,504,111,97,13831246.619999982
Bridgecrest Lending Auto Securitization Trust 2023-1,2026-01-31,28,520,530,1,1,0,0,23930.08
Bridgecrest Lending Auto Securitization Trust 2023-1,2026-01-31,28,520,530,2,498,105,112,13753373.93000001
Bridgecrest Lending Auto Securitization Trust 2023-1,2026-01-31,28,530,540,1,2,1,0,69231.69
Bridgecrest Lending Auto Securitization Trust 2023-1,2026-01-31,28,530,540,2,556,109,107,14772046.03999998
Bridgecrest Lending Auto Securitization Trust 2023-1,2026-01-31,28,540,550,1,1,1,0,39341.229999999996
Bridgecrest Lending Auto Securitization Trust 2023-1,2026-01-31,28,540,550,2,531,106,91,13832019.04000001
