series,reporting_date,vintage_month,fico_low,fico_high,new_used,loan_count_current,loan_count_30_59,loan_count_60_plus,balance
BMW Vehicle Owner Trust 2018-A,2018-01-31,2,600,610,1,63,0,0,1518462.6199999999
BMW Vehicle Owner Trust 2018-A,2018-01-31,2,600,610,2,124,2,1,3090638.7899999996
BMW Vehicle Owner Trust 2018-A,2018-01-31,2,610,620,1,91,2,0,2491107.4699999993
BMW Vehicle Owner Trust 2018-A,2018-01-31,2,610,620,2,158,1,0,3802463.4799999995
BMW Vehicle Owner Trust 2018-A,2018-01-31,2,620,630,1,90,0,1,2266825.06
BMW Vehicle Owner Trust 2018-A,2018-01-31,2,620,630,2,143,0,1,3456295.700000001
BMW Vehicle Owner Trust 2018-A,2018-01-31,2,630,640,1,109,0,0,2717963.7299999995
BMW Vehicle Owner Trust 2018-A,2018-01-31,2,630,640,2,115,1,0,2635520.750000002
BMW Vehicle Owner Trust 2018-A,2018-01-31,2,640,650,1,212,1,0,6056397.260000002
BMW Vehicle Owner Trust 2018-A,2018-01-31,2,640,650,2,367,3,1,9624107.989999998
BMW Vehicle Owner Trust 2018-A,2018-01-31,2,650,660,1,245,3,0,6890616.470000003
BMW Vehicle Owner Trust 2018-A,2018-01-31,2,650,660,2,323,3,0,8080616.580000005
BMW Vehicle Owner Trust 2018-A,2018-01-31,2,660,670,1,293,2,1,7442668.790000006
BMW Vehicle Owner Trust 2018-A,2018-01-31,2,660,670,2,275,1,0,6713536.570000002
BMW Vehicle Owner Trust 2018-A,2018-01-31,2,670,680,1,571,2,0,15946290.810000004
BMW Vehicle Owner Trust 2018-A,2018-01-31,2,670,680,2,602,2,0,15473747.52000001
BMW Vehicle Owner Trust 2018-A,2018-01-31,2,680,690,1,731,3,0,21411673.639999982
BMW Vehicle Owner Trust 2018-A,2018-01-31,2,680,690,2,792,0,0,20257921.61000004
BMW Vehicle Owner Trust 2018-A,2018-01-31,2,690,700,1,742,1,1,20756915.350000013
BMW Vehicle Owner Trust 2018-A,2018-01-31,2,690,700,2,716,4,1,17941125.44999999
BMW Vehicle Owner Trust 2018-A,2018-01-31,2,700,710,1,1095,3,0,33053540.069999967
BMW Vehicle Owner Trust 2018-A,2018-01-31,2,700,710,2,1108,1,2,29062928.209999997
BMW Vehicle Owner Trust 2018-A,2018-01-31,2,710,720,1,1104,1,0,30510903.960000042
BMW Vehicle Owner Trust 2018-A,2018-01-31,2,710,720,2,1029,2,1,25958697.80999997
BMW Vehicle Owner Trust 2018-A,2018-01-31,2,720,730,1,1082,6,0,32207967.569999997
BMW Vehicle Owner Trust 2018-A,2018-01-31,2,720,730,2,978,0,0,24007616.56000002
BMW Vehicle Owner Trust 2018-A,2018-01-31,2,730,740,1,1096,5,0,30423856.66999998
BMW Vehicle Owner Trust 2018-A,2018-01-31,2,730,740,2,1004,0,0,24097897.290000003
BMW Vehicle Owner Trust 2018-A,2018-01-31,2,740,750,1,1211,4,0,34660682.32999998
BMW Vehicle Owner Trust 2018-A,2018-01-31,2,740,750,2,1076,1,1,25623600.219999984
BMW Vehicle Owner Trust 2018-A,2018-01-31,2,750,760,1,1245,3,0,34984425.21999994
BMW Vehicle Owner Trust 2018-A,2018-01-31,2,750,760,2,1058,3,0,25023125.450000014
BMW Vehicle Owner Trust 2018-A,2018-01-31,2,760,770,1,1244,3,2,34152531.59
BMW Vehicle Owner Trust 2018-A,2018-01-31,2,760,770,2,1020,3,0,24261396.03000001
BMW Vehicle Owner Trust 2018-A,2018-01-31,2,770,780,1,1339,0,0,37574157.73000003
BMW Vehicle Owner Trust 2018-A,2018-01-31,2,770,780,2,918,0,0,21388677.92000002
BMW Vehicle Owner Trust 2018-A,2018-01-31,2,780,790,1,1338,1,0,35133005.53
BMW Vehicle Owner Trust 2018-A,2018-01-31,2,780,790,2,999,0,0,22580377.229999967
BMW Vehicle Owner Trust 2018-A,2018-01-31,2,790,800,1,1385,0,0,37734486.219999984
