series,reporting_date,vintage_month,fico_low,fico_high,loan_count_current,loan_count_30_59,loan_count_60_plus,balance
CarMax Auto Owner Trust 2017-1,2017-01-31,1,450,460,1,0,0,14333.14
CarMax Auto Owner Trust 2017-1,2017-01-31,1,460,470,2,0,0,30266.760000000002
CarMax Auto Owner Trust 2017-1,2017-01-31,1,470,480,2,0,0,21475.48
CarMax Auto Owner Trust 2017-1,2017-01-31,1,480,490,7,0,0,138049.91
CarMax Auto Owner Trust 2017-1,2017-01-31,1,490,500,14,0,0,197694.47000000003
CarMax Auto Owner Trust 2017-1,2017-01-31,1,500,510,128,2,0,1992527.79
CarMax Auto Owner Trust 2017-1,2017-01-31,1,510,520,155,7,1,2449541.68
CarMax Auto Owner Trust 2017-1,2017-01-31,1,520,530,228,15,1,3578143.6799999992
CarMax Auto Owner Trust 2017-1,2017-01-31,1,530,540,324,14,0,5066245.76
CarMax Auto Owner Trust 2017-1,2017-01-31,1,540,550,504,17,2,7738287.12
CarMax Auto Owner Trust 2017-1,2017-01-31,1,550,560,597,22,0,8872444.06
CarMax Auto Owner Trust 2017-1,2017-01-31,1,560,570,800,25,0,12285783.439999998
CarMax Auto Owner Trust 2017-1,2017-01-31,1,570,580,1110,31,2,16786846.380000003
CarMax Auto Owner Trust 2017-1,2017-01-31,1,580,590,1363,42,2,21039340.460000005
CarMax Auto Owner Trust 2017-1,2017-01-31,1,590,600,1829,41,2,27938565.87000003
CarMax Auto Owner Trust 2017-1,2017-01-31,1,600,610,2544,50,2,42219953.25999997
CarMax Auto Owner Trust 2017-1,2017-01-31,1,610,620,2870,42,4,46505738.77999993
CarMax Auto Owner Trust 2017-1,2017-01-31,1,620,630,3269,41,2,53048061.43999993
CarMax Auto Owner Trust 2017-1,2017-01-31,1,630,640,3250,43,1,52859954.019999914
CarMax Auto Owner Trust 2017-1,2017-01-31,1,640,650,3452,34,1,56036630.82000003
CarMax Auto Owner Trust 2017-1,2017-01-31,1,650,660,3700,31,2,59519068.270000055
CarMax Auto Owner Trust 2017-1,2017-01-31,1,660,670,3466,26,1,54948255.340000086
CarMax Auto Owner Trust 2017-1,2017-01-31,1,670,680,3640,16,0,57852276.10999995
CarMax Auto Owner Trust 2017-1,2017-01-31,1,680,690,3508,19,0,55185126.709999956
CarMax Auto Owner Trust 2017-1,2017-01-31,1,690,700,3470,6,3,54152937.82999997
CarMax Auto Owner Trust 2017-1,2017-01-31,1,700,710,3261,5,0,50448525.190000035
CarMax Auto Owner Trust 2017-1,2017-01-31,1,710,720,3072,5,0,48757594.58000001
CarMax Auto Owner Trust 2017-1,2017-01-31,1,720,730,3003,1,0,45941012.27000003
CarMax Auto Owner Trust 2017-1,2017-01-31,1,730,740,2803,3,0,43842811.48999993
CarMax Auto Owner Trust 2017-1,2017-01-31,1,740,750,2537,2,0,40108814.07000003
CarMax Auto Owner Trust 2017-1,2017-01-31,1,750,760,2564,4,0,40081079.27000004
CarMax Auto Owner Trust 2017-1,2017-01-31,1,760,770,2383,7,0,36355017.95000003
CarMax Auto Owner Trust 2017-1,2017-01-31,1,770,780,2335,2,0,37138937.39000004
CarMax Auto Owner Trust 2017-1,2017-01-31,1,780,790,2349,2,0,36636527.9
CarMax Auto Owner Trust 2017-1,2017-01-31,1,790,800,2224,1,0,35067810.23999997
CarMax Auto Owner Trust 2017-1,2017-01-31,1,800,810,2292,0,0,35534388.05999996
