series,reporting_date,vintage_month,fico_low,fico_high,new_used,loan_count_current,loan_count_30_59,loan_count_60_plus,balance
Capital One Prime Auto Receivables Trust 2019-1,2020-01-31,9,700,710,1,896,7,3,18312338.439999994
Capital One Prime Auto Receivables Trust 2019-1,2020-01-31,9,700,710,2,2096,17,6,31786213.77
Capital One Prime Auto Receivables Trust 2019-1,2020-01-31,9,710,720,1,976,2,3,19021888.21
Capital One Prime Auto Receivables Trust 2019-1,2020-01-31,9,710,720,2,2318,12,4,33614848.66
Capital One Prime Auto Receivables Trust 2019-1,2020-01-31,9,720,730,1,1026,2,1,20170982.51999998
Capital One Prime Auto Receivables Trust 2019-1,2020-01-31,9,720,730,2,2275,12,4,33510813.999999985
Capital One Prime Auto Receivables Trust 2019-1,2020-01-31,9,730,740,1,1146,4,0,22538786.970000003
Capital One Prime Auto Receivables Trust 2019-1,2020-01-31,9,730,740,2,2285,3,3,32759892.509999976
Capital One Prime Auto Receivables Trust 2019-1,2020-01-31,9,740,750,1,1162,1,2,23032296.730000008
Capital One Prime Auto Receivables Trust 2019-1,2020-01-31,9,740,750,2,2281,9,1,33091978.629999965
Capital One Prime Auto Receivables Trust 2019-1,2020-01-31,9,750,760,1,1276,2,0,25358010.440000005
Capital One Prime Auto Receivables Trust 2019-1,2020-01-31,9,750,760,2,2277,8,0,33413748.780000005
Capital One Prime Auto Receivables Trust 2019-1,2020-01-31,9,760,770,1,1488,6,1,28899261.309999995
Capital One Prime Auto Receivables Trust 2019-1,2020-01-31,9,760,770,2,2454,2,2,36046919.58000001
Capital One Prime Auto Receivables Trust 2019-1,2020-01-31,9,770,780,1,1520,1,0,29987711.81999999
Capital One Prime Auto Receivables Trust 2019-1,2020-01-31,9,770,780,2,2390,4,1,34638677.53000003
Capital One Prime Auto Receivables Trust 2019-1,2020-01-31,9,780,790,1,1611,2,0,31843460.779999997
Capital One Prime Auto Receivables Trust 2019-1,2020-01-31,9,780,790,2,2383,4,1,33755126.58000005
Capital One Prime Auto Receivables Trust 2019-1,2020-01-31,9,790,800,1,1799,3,0,34697451.55000002
Capital One Prime Auto Receivables Trust 2019-1,2020-01-31,9,790,800,2,2447,2,0,35029429.61999999
Capital One Prime Auto Receivables Trust 2019-1,2020-01-31,9,800,810,1,2012,0,0,37446041.969999984
