issuer_code,vintage_year,loan_age_months,period_co_amt,orig_pool_amt,cumulative_co_amt,cumulative_loss_rate
CRART,2018,0,200815.34000000,429397468.51999545,200815.34000000,0.00046767
CRART,2018,1,97970.36000000,429397468.51999545,298785.70000000,0.00069583
CRART,2018,2,173336.86000000,429397468.51999545,472122.56000000,0.00109950
CRART,2018,3,216598.82000000,429397468.51999545,688721.38000000,0.00160393
CRART,2018,4,89974.94000000,429397468.51999545,778696.32000000,0.00181346
CRART,2018,5,140608.78000000,429397468.51999545,919305.10000000,0.00214092
CRART,2018,6,234610.15000000,429397468.51999545,1153915.25000000,0.00268729
CRART,2018,7,141610.55000000,429397468.51999545,1295525.80000000,0.00301708
CRART,2018,8,110312.46000000,429397468.51999545,1405838.26000000,0.00327398
CRART,2018,9,153398.62000000,429397468.51999545,1559236.88000000,0.00363122
CRART,2018,10,84519.17000000,429397468.51999545,1643756.05000000,0.00382805
CRART,2018,11,65161.80000000,429397468.51999545,1708917.85000000,0.00397980
CRART,2019,0,117147.83000000,434012280.47999924,117147.83000000,0.00026992
CRART,2019,1,193570.19000000,434012280.47999924,310718.02000000,0.00071592
CRART,2019,2,178767.55000000,434012280.47999924,489485.57000000,0.00112782
CRART,2019,3,171025.48000000,434012280.47999924,660511.05000000,0.00152187
CRART,2019,4,204444.86000000,434012280.47999924,864955.91000000,0.00199293
CRART,2019,5,192243.22000000,434012280.47999924,1057199.13000000,0.00243587
CRART,2019,6,101165.44000000,434012280.47999924,1158364.57000000,0.00266897
CRART,2019,7,129242.94000000,434012280.47999924,1287607.51000000,0.00296675
CRART,2019,8,179702.10000000,434012280.47999924,1467309.61000000,0.00338080
CRART,2019,9,142335.21000000,434012280.47999924,1609644.82000000,0.00370875
CRART,2019,10,112278.44000000,434012280.47999924,1721923.26000000,0.00396745
CRART,2019,11,153399.77000000,434012280.47999924,1875323.03000000,0.00432090
CRART,2019,12,133918.99000000,434012280.47999924,2009242.02000000,0.00462946
CRART,2019,13,115862.45000000,434012280.47999924,2125104.47000000,0.00489642
CRART,2019,14,185577.49000000,434012280.47999924,2310681.96000000,0.00532400
