series,reporting_date,vintage_month,fico_low,fico_high,new_used,loan_count_current,loan_count_30_59,loan_count_60_plus,balance
Carvana Auto Receivables Trust 2021-N1,2024-01-31,12,370,380,2,3,0,0,39495.759999999995
Carvana Auto Receivables Trust 2021-N1,2024-01-31,12,380,390,2,2,0,1,28436.24
Carvana Auto Receivables Trust 2021-N1,2024-01-31,12,390,400,2,3,2,1,48770.42999999999
Carvana Auto Receivables Trust 2021-N1,2024-01-31,12,400,410,2,6,3,1,107955.83000000003
Carvana Auto Receivables Trust 2021-N1,2024-01-31,12,410,420,2,12,7,3,279288.42
Carvana Auto Receivables Trust 2021-N1,2024-01-31,12,420,430,2,29,10,7,580601.2799999999
Carvana Auto Receivables Trust 2021-N1,2024-01-31,12,430,440,2,40,4,10,691390.52
Carvana Auto Receivables Trust 2021-N1,2024-01-31,12,440,450,2,59,20,20,1335832.3200000005
Carvana Auto Receivables Trust 2021-N1,2024-01-31,12,450,460,2,78,23,29,1678803.1100000003
Carvana Auto Receivables Trust 2021-N1,2024-01-31,12,460,470,2,100,32,26,2056502.74
Carvana Auto Receivables Trust 2021-N1,2024-01-31,12,470,480,2,167,49,47,3288105.4100000025
Carvana Auto Receivables Trust 2021-N1,2024-01-31,12,480,490,2,155,47,44,3072628.1699999995
Carvana Auto Receivables Trust 2021-N1,2024-01-31,12,490,500,2,188,43,48,3371003.670000002
Carvana Auto Receivables Trust 2021-N1,2024-01-31,12,500,510,2,227,53,55,4054434.409999999
Carvana Auto Receivables Trust 2021-N1,2024-01-31,12,510,520,2,282,70,56,5012644.450000002
Carvana Auto Receivables Trust 2021-N1,2024-01-31,12,520,530,2,287,62,57,4805041.27
Carvana Auto Receivables Trust 2021-N1,2024-01-31,12,530,540,2,265,75,52,4929088.310000001
Carvana Auto Receivables Trust 2021-N1,2024-01-31,12,540,550,2,278,54,44,4409429.23
Carvana Auto Receivables Trust 2021-N1,2024-01-31,12,550,560,2,425,65,75,6823017.459999994
Carvana Auto Receivables Trust 2021-N1,2024-01-31,12,560,570,2,353,73,61,5915319.189999993
Carvana Auto Receivables Trust 2021-N1,2024-01-31,12,570,580,2,386,63,53,5912390.280000003
Carvana Auto Receivables Trust 2021-N1,2024-01-31,12,580,590,2,345,74,58,5614958.280000002
Carvana Auto Receivables Trust 2021-N1,2024-01-31,12,590,600,2,349,54,51,5294915.840000001
Carvana Auto Receivables Trust 2021-N1,2024-01-31,12,600,610,2,480,73,54,7137408.380000003
Carvana Auto Receivables Trust 2021-N1,2024-01-31,12,610,620,2,375,58,46,5677911.870000004
Carvana Auto Receivables Trust 2021-N1,2024-01-31,12,620,630,2,349,52,50,5484788.019999999
Carvana Auto Receivables Trust 2021-N1,2024-01-31,12,630,640,2,280,38,25,3882975.6100000017
Carvana Auto Receivables Trust 2021-N1,2024-01-31,12,640,650,2,288,30,39,4235660.989999997
Carvana Auto Receivables Trust 2021-N1,2024-01-31,12,650,660,2,204,22,27,2892316.709999999
Carvana Auto Receivables Trust 2021-N1,2024-01-31,12,660,670,2,164,19,18,2359724.3699999996
Carvana Auto Receivables Trust 2021-N1,2024-01-31,12,670,680,2,116,10,15,1667501.8099999998
Carvana Auto Receivables Trust 2021-N1,2024-01-31,12,680,690,2,103,11,10,1354627.81
Carvana Auto Receivables Trust 2021-N1,2024-01-31,12,690,700,2,72,7,7,923264.1699999998
Carvana Auto Receivables Trust 2021-N1,2024-01-31,12,700,710,2,63,2,5,791671.2600000002
Carvana Auto Receivables Trust 2021-N1,2024-01-31,12,710,720,2,44,3,1,538949.0599999997
Carvana Auto Receivables Trust 2021-N1,2024-01-31,12,720,730,2,32,4,0,354765.57
Carvana Auto Receivables Trust 2021-N1,2024-01-31,12,730,740,2,25,0,2,270020.20999999996
Carvana Auto Receivables Trust 2021-N1,2024-01-31,12,740,750,2,18,0,3,236016.42999999993
Carvana Auto Receivables Trust 2021-N1,2024-01-31,12,750,760,2,10,3,0,122758.05
Carvana Auto Receivables Trust 2021-N1,2024-01-31,12,760,770,2,13,0,0,152446.03
Carvana Auto Receivables Trust 2021-N1,2024-01-31,12,770,780,2,6,0,1,73149.3
Carvana Auto Receivables Trust 2021-N1,2024-01-31,12,780,790,2,9,2,1,157390.66000000003
Carvana Auto Receivables Trust 2021-N1,2024-01-31,12,790,800,2,1,0,0,11061.76
Carvana Auto Receivables Trust 2021-N1,2024-01-31,12,800,810,2,2,0,0,33193.53
Carvana Auto Receivables Trust 2021-N1,2024-01-31,12,810,820,2,3,1,0,61776.28999999999
Carvana Auto Receivables Trust 2021-N1,2024-01-31,12,820,830,2,2,0,0,28065.31
Carvana Auto Receivables Trust 2021-N1,2024-01-31,12,830,840,2,3,0,0,50342.66
Carvana Auto Receivables Trust 2021-N1,2025-01-31,24,370,380,2,2,0,0,24479.420000000002
Carvana Auto Receivables Trust 2021-N1,2025-01-31,24,380,390,2,1,1,1,23878.95
Carvana Auto Receivables Trust 2021-N1,2025-01-31,24,390,400,2,1,0,0,9340.85
Carvana Auto Receivables Trust 2021-N1,2025-01-31,24,400,410,2,3,2,1,57849.1
