series,reporting_date,vintage_month,fico_low,fico_high,new_used,loan_count_current,loan_count_30_59,loan_count_60_plus,balance
DRIVE AUTO RECEIVABLES TRUST 2025-1,2026-01-31,9,360,370,1,1,0,0,19340.16
DRIVE AUTO RECEIVABLES TRUST 2025-1,2026-01-31,9,370,380,2,0,2,0,50173.32
DRIVE AUTO RECEIVABLES TRUST 2025-1,2026-01-31,9,380,390,1,1,0,0,31723.65
DRIVE AUTO RECEIVABLES TRUST 2025-1,2026-01-31,9,380,390,2,1,0,0,18007.74
DRIVE AUTO RECEIVABLES TRUST 2025-1,2026-01-31,9,390,400,1,2,1,0,91275.83
DRIVE AUTO RECEIVABLES TRUST 2025-1,2026-01-31,9,390,400,2,2,2,2,99776.98000000001
DRIVE AUTO RECEIVABLES TRUST 2025-1,2026-01-31,9,400,410,1,2,0,0,44573.01
DRIVE AUTO RECEIVABLES TRUST 2025-1,2026-01-31,9,400,410,2,3,0,2,126814.56
DRIVE AUTO RECEIVABLES TRUST 2025-1,2026-01-31,9,410,420,1,2,0,0,37534.0
DRIVE AUTO RECEIVABLES TRUST 2025-1,2026-01-31,9,410,420,2,22,7,2,642567.7399999999
DRIVE AUTO RECEIVABLES TRUST 2025-1,2026-01-31,9,420,430,1,6,3,3,363533.07
DRIVE AUTO RECEIVABLES TRUST 2025-1,2026-01-31,9,420,430,2,24,9,9,803797.46
DRIVE AUTO RECEIVABLES TRUST 2025-1,2026-01-31,9,430,440,1,13,4,0,518305.16000000003
DRIVE AUTO RECEIVABLES TRUST 2025-1,2026-01-31,9,430,440,2,47,16,13,1532236.8599999999
DRIVE AUTO RECEIVABLES TRUST 2025-1,2026-01-31,9,440,450,1,25,8,5,1092788.55
DRIVE AUTO RECEIVABLES TRUST 2025-1,2026-01-31,9,440,450,2,83,24,18,2588348.499999999
DRIVE AUTO RECEIVABLES TRUST 2025-1,2026-01-31,9,450,460,1,41,12,8,1878869.7100000004
DRIVE AUTO RECEIVABLES TRUST 2025-1,2026-01-31,9,450,460,2,150,31,28,4347904.89
DRIVE AUTO RECEIVABLES TRUST 2025-1,2026-01-31,9,460,470,1,53,14,9,2290160.4199999995
DRIVE AUTO RECEIVABLES TRUST 2025-1,2026-01-31,9,460,470,2,239,62,33,6963330.179999998
DRIVE AUTO RECEIVABLES TRUST 2025-1,2026-01-31,9,470,480,1,96,20,14,3903242.7700000014
DRIVE AUTO RECEIVABLES TRUST 2025-1,2026-01-31,9,470,480,2,331,84,48,10179108.770000001
DRIVE AUTO RECEIVABLES TRUST 2025-1,2026-01-31,9,480,490,1,123,24,24,5269171.010000001
DRIVE AUTO RECEIVABLES TRUST 2025-1,2026-01-31,9,480,490,2,389,92,58,11774836.5
DRIVE AUTO RECEIVABLES TRUST 2025-1,2026-01-31,9,490,500,1,144,24,19,5922112.09
DRIVE AUTO RECEIVABLES TRUST 2025-1,2026-01-31,9,490,500,2,590,126,101,17652505.509999998
DRIVE AUTO RECEIVABLES TRUST 2025-1,2026-01-31,9,500,510,1,227,55,35,9549728.920000007
DRIVE AUTO RECEIVABLES TRUST 2025-1,2026-01-31,9,500,510,2,729,193,131,23158733.770000022
DRIVE AUTO RECEIVABLES TRUST 2025-1,2026-01-31,9,510,520,1,321,67,36,13192547.17
