issuer_code,deal_year,loan_age_months,period_co_amt,orig_pool_amt,cumulative_co_amt,cumulative_loss_rate
EART,2021,0,0.00000000,1810531048.01999807,0.00000000,0.00000000
EART,2021,1,0.00000000,1810531048.01999807,0.00000000,0.00000000
EART,2021,2,0.00000000,1810531048.01999807,0.00000000,0.00000000
EART,2021,3,0.00000000,1810531048.01999807,0.00000000,0.00000000
EART,2021,4,0.00000000,1810531048.01999807,0.00000000,0.00000000
EART,2021,5,0.00000000,1810531048.01999807,0.00000000,0.00000000
EART,2021,6,7892743.85000000,1810531048.01999807,7892743.85000000,0.00435935
EART,2021,7,111244.74000000,1810531048.01999807,8003988.59000000,0.00442080
EART,2021,8,45152.46000000,1810531048.01999807,8049141.05000000,0.00444573
EART,2021,9,0.00000000,1810531048.01999807,8049141.05000000,0.00444573
EART,2021,10,0.00000000,1810531048.01999807,8049141.05000000,0.00444573
EART,2021,11,0.00000000,1810531048.01999807,8049141.05000000,0.00444573
EART,2021,12,0.00000000,1810531048.01999807,8049141.05000000,0.00444573
EART,2021,13,0.00000000,1810531048.01999807,8049141.05000000,0.00444573
EART,2021,14,0.00000000,1810531048.01999807,8049141.05000000,0.00444573
EART,2021,15,0.00000000,1810531048.01999807,8049141.05000000,0.00444573
EART,2021,16,0.00000000,1810531048.01999807,8049141.05000000,0.00444573
EART,2021,17,0.00000000,1810531048.01999807,8049141.05000000,0.00444573
EART,2021,18,4689484.27000000,1810531048.01999807,12738625.32000000,0.00703585
EART,2021,19,3974728.13000000,1810531048.01999807,16713353.45000000,0.00923119
EART,2021,20,4058871.17000000,1810531048.01999807,20772224.62000000,0.01147300
EART,2021,21,3679753.85000000,1810531048.01999807,24451978.47000000,0.01350542
EART,2021,22,2258388.73000000,1810531048.01999807,26710367.20000000,0.01475278
EART,2021,23,2216137.37000000,1810531048.01999807,28926504.57000000,0.01597681
EART,2021,24,2305062.37000000,1810531048.01999807,31231566.94000000,0.01724995
EART,2021,25,2727266.23000000,1810531048.01999807,33958833.17000000,0.01875628
EART,2021,26,1991333.82000000,1810531048.01999807,35950166.98999999,0.01985614
EART,2022,0,0.00000000,4601082046.20002556,0.00000000,0.00000000
EART,2022,1,0.00000000,4601082046.20002556,0.00000000,0.00000000
EART,2022,2,0.00000000,4601082046.20002556,0.00000000,0.00000000
EART,2022,3,0.00000000,4601082046.20002556,0.00000000,0.00000000
EART,2022,4,0.00000000,4601082046.20002556,0.00000000,0.00000000
EART,2022,5,12676.72000000,4601082046.20002556,12676.72000000,0.00000276
EART,2022,6,17862614.53000000,4601082046.20002556,17875291.25000000,0.00388502
EART,2022,7,6539019.71000000,4601082046.20002556,24414310.96000000,0.00530621
EART,2022,8,2527979.97000000,4601082046.20002556,26942290.93000000,0.00585564
EART,2022,9,1687738.92000000,4601082046.20002556,28630029.85000000,0.00622246
EART,2022,10,1712486.03000000,4601082046.20002556,30342515.88000000,0.00659465
EART,2022,11,1005059.44000000,4601082046.20002556,31347575.32000000,0.00681309
EART,2022,12,162648.76000000,4601082046.20002556,31510224.08000000,0.00684844
EART,2022,13,143772.28000000,4601082046.20002556,31653996.36000000,0.00687969
EART,2022,14,73770.13000000,4601082046.20002556,31727766.49000000,0.00689572
EART,2022,15,0.00000000,4601082046.20002556,31727766.49000000,0.00689572
EART,2022,16,0.00000000,4601082046.20002556,31727766.49000000,0.00689572
EART,2022,17,0.00000000,4601082046.20002556,31727766.49000000,0.00689572
EART,2022,18,11449691.94000000,4601082046.20002556,43177458.43000000,0.00938420
EART,2022,19,8909603.07000000,4601082046.20002556,52087061.50000000,0.01132061
EART,2023,0,147233.69000000,4752167269.83003044,147233.69000000,0.00003098
EART,2023,1,247913.05000000,4752167269.83003044,395146.74000000,0.00008315
EART,2023,2,49348.95000000,4752167269.83003044,444495.69000000,0.00009354
EART,2023,3,0.00000000,4752167269.83003044,444495.69000000,0.00009354
EART,2023,4,0.00000000,4752167269.83003044,444495.69000000,0.00009354
EART,2023,5,0.00000000,4752167269.83003044,444495.69000000,0.00009354
EART,2023,6,22796819.10000000,4752167269.83003044,23241314.79000000,0.00489068
EART,2023,7,23517137.95000000,4752167269.83003044,46758452.74000000,0.00983940
