series,reporting_date,vintage_month,fico_low,fico_high,new_used,loan_count_current,loan_count_30_59,loan_count_60_plus,balance
Ford Credit Auto Owner Trust 2017-A,2018-01-31,12,400,410,2,1,0,0,32939.99
Ford Credit Auto Owner Trust 2017-A,2018-01-31,12,410,420,2,1,0,0,13715.67
Ford Credit Auto Owner Trust 2017-A,2018-01-31,12,420,430,1,1,0,0,35943.1
Ford Credit Auto Owner Trust 2017-A,2018-01-31,12,420,430,2,1,0,0,5957.66
Ford Credit Auto Owner Trust 2017-A,2018-01-31,12,430,440,1,4,0,0,66532.45
Ford Credit Auto Owner Trust 2017-A,2018-01-31,12,440,450,1,6,0,0,99387.34000000001
Ford Credit Auto Owner Trust 2017-A,2018-01-31,12,450,460,1,11,0,0,214865.53000000003
Ford Credit Auto Owner Trust 2017-A,2018-01-31,12,450,460,2,0,1,0,12830.76
Ford Credit Auto Owner Trust 2017-A,2018-01-31,12,460,470,1,15,1,0,312229.55999999994
Ford Credit Auto Owner Trust 2017-A,2018-01-31,12,460,470,2,0,1,0,16800.75
Ford Credit Auto Owner Trust 2017-A,2018-01-31,12,470,480,1,19,3,0,400706.23000000004
Ford Credit Auto Owner Trust 2017-A,2018-01-31,12,470,480,2,1,0,0,8056.11
Ford Credit Auto Owner Trust 2017-A,2018-01-31,12,480,490,1,22,4,0,539264.34
Ford Credit Auto Owner Trust 2017-A,2018-01-31,12,480,490,2,8,0,0,106196.64
Ford Credit Auto Owner Trust 2017-A,2018-01-31,12,490,500,1,44,2,0,899924.2299999997
Ford Credit Auto Owner Trust 2017-A,2018-01-31,12,490,500,2,10,0,0,156632.96
Ford Credit Auto Owner Trust 2017-A,2018-01-31,12,500,510,1,45,4,2,1000092.8699999998
Ford Credit Auto Owner Trust 2017-A,2018-01-31,12,500,510,2,10,0,0,123639.62999999999
Ford Credit Auto Owner Trust 2017-A,2018-01-31,12,510,520,1,70,6,1,1503004.2300000002
Ford Credit Auto Owner Trust 2017-A,2018-01-31,12,510,520,2,11,0,0,151702.69
Ford Credit Auto Owner Trust 2017-A,2018-01-31,12,520,530,1,100,5,4,2312271.7499999986
Ford Credit Auto Owner Trust 2017-A,2018-01-31,12,520,530,2,20,0,0,269746.14999999997
Ford Credit Auto Owner Trust 2017-A,2018-01-31,12,530,540,1,163,4,0,3683368.5199999996
Ford Credit Auto Owner Trust 2017-A,2018-01-31,12,530,540,2,36,0,0,545321.9199999999
Ford Credit Auto Owner Trust 2017-A,2018-01-31,12,540,550,1,172,8,1,4077922.43
Ford Credit Auto Owner Trust 2017-A,2018-01-31,12,540,550,2,26,3,0,361499.81999999995
Ford Credit Auto Owner Trust 2017-A,2018-01-31,12,550,560,1,246,7,1,5596707.589999995
Ford Credit Auto Owner Trust 2017-A,2018-01-31,12,550,560,2,49,1,0,750642.92
Ford Credit Auto Owner Trust 2017-A,2018-01-31,12,560,570,1,250,9,1,6118414.409999999
Ford Credit Auto Owner Trust 2017-A,2018-01-31,12,560,570,2,57,1,1,960832.05
Ford Credit Auto Owner Trust 2017-A,2018-01-31,12,570,580,1,369,11,3,8768084.330000002
Ford Credit Auto Owner Trust 2017-A,2018-01-31,12,570,580,2,75,3,0,1215487.6799999997
Ford Credit Auto Owner Trust 2017-A,2018-01-31,12,580,590,1,397,12,3,9378941.940000001
Ford Credit Auto Owner Trust 2017-A,2018-01-31,12,580,590,2,79,0,0,1250037.6800000002
Ford Credit Auto Owner Trust 2017-A,2018-01-31,12,590,600,1,499,19,3,12258781.190000014
Ford Credit Auto Owner Trust 2017-A,2018-01-31,12,590,600,2,92,1,1,1455205.69
Ford Credit Auto Owner Trust 2017-A,2018-01-31,12,600,610,1,623,21,3,15155932.409999993
Ford Credit Auto Owner Trust 2017-A,2018-01-31,12,600,610,2,115,2,0,1794638.0799999994
Ford Credit Auto Owner Trust 2017-A,2018-01-31,12,610,620,1,694,15,6,16309398.930000007
