series,reporting_date,vintage_month,fico_low,fico_high,new_used,loan_count_current,loan_count_30_59,loan_count_60_plus,balance
Fifth Third Auto Trust 2017-1,2018-01-31,6,650,660,1,446,9,4,10983680.240000002
Fifth Third Auto Trust 2017-1,2018-01-31,6,650,660,2,853,19,4,13430680.699999988
Fifth Third Auto Trust 2017-1,2018-01-31,6,660,670,1,507,5,1,11963373.319999984
Fifth Third Auto Trust 2017-1,2018-01-31,6,660,670,2,1053,20,7,16191807.859999983
Fifth Third Auto Trust 2017-1,2018-01-31,6,670,680,1,602,13,5,14498283.779999994
Fifth Third Auto Trust 2017-1,2018-01-31,6,670,680,2,1249,23,11,19229804.21999998
Fifth Third Auto Trust 2017-1,2018-01-31,6,680,690,1,604,5,4,14695118.450000007
Fifth Third Auto Trust 2017-1,2018-01-31,6,680,690,2,1202,15,7,18417437.539999995
Fifth Third Auto Trust 2017-1,2018-01-31,6,690,700,1,963,18,5,23740942.74
Fifth Third Auto Trust 2017-1,2018-01-31,6,690,700,2,1717,21,9,27805491.930000003
Fifth Third Auto Trust 2017-1,2018-01-31,6,700,710,1,1089,10,6,26120680.54
Fifth Third Auto Trust 2017-1,2018-01-31,6,700,710,2,1964,18,8,31222898.869999953
Fifth Third Auto Trust 2017-1,2018-01-31,6,710,720,1,1139,13,3,27193057.579999972
Fifth Third Auto Trust 2017-1,2018-01-31,6,710,720,2,1928,19,6,29615216.279999953
Fifth Third Auto Trust 2017-1,2018-01-31,6,720,730,1,1156,7,4,27369834.009999964
Fifth Third Auto Trust 2017-1,2018-01-31,6,720,730,2,1990,9,4,30392418.830000017
Fifth Third Auto Trust 2017-1,2018-01-31,6,730,740,1,1019,6,1,22941243.989999983
Fifth Third Auto Trust 2017-1,2018-01-31,6,730,740,2,1661,9,0,24674519.96000003
Fifth Third Auto Trust 2017-1,2018-01-31,6,740,750,1,979,4,4,22002685.82000001
Fifth Third Auto Trust 2017-1,2018-01-31,6,740,750,2,1546,8,3,23347480.099999975
Fifth Third Auto Trust 2017-1,2018-01-31,6,750,760,1,1007,6,3,20884401.77999999
Fifth Third Auto Trust 2017-1,2018-01-31,6,750,760,2,1619,4,4,22977564.809999995
Fifth Third Auto Trust 2017-1,2018-01-31,6,760,770,1,1014,0,3,20006103.529999956
