series,reporting_date,vintage_month,fico_low,fico_high,loan_count_current,loan_count_30_59,loan_count_60_plus,balance
GM Financial Consumer Automobile Receivables Trust 2018-1,2018-01-31,2,430,440,1,0,0,31209.03
GM Financial Consumer Automobile Receivables Trust 2018-1,2018-01-31,2,440,450,1,0,0,24632.32
GM Financial Consumer Automobile Receivables Trust 2018-1,2018-01-31,2,450,460,4,1,0,75138.04000000001
GM Financial Consumer Automobile Receivables Trust 2018-1,2018-01-31,2,460,470,3,0,0,42969.32
GM Financial Consumer Automobile Receivables Trust 2018-1,2018-01-31,2,470,480,5,0,0,86377.23
GM Financial Consumer Automobile Receivables Trust 2018-1,2018-01-31,2,480,490,9,2,0,189433.84000000003
GM Financial Consumer Automobile Receivables Trust 2018-1,2018-01-31,2,490,500,11,0,0,211508.75999999998
GM Financial Consumer Automobile Receivables Trust 2018-1,2018-01-31,2,500,510,13,0,0,215686.02
GM Financial Consumer Automobile Receivables Trust 2018-1,2018-01-31,2,510,520,17,0,0,243808.72000000003
GM Financial Consumer Automobile Receivables Trust 2018-1,2018-01-31,2,520,530,15,1,0,294919.04
GM Financial Consumer Automobile Receivables Trust 2018-1,2018-01-31,2,530,540,22,0,0,555297.3800000001
GM Financial Consumer Automobile Receivables Trust 2018-1,2018-01-31,2,540,550,31,1,0,634362.74
GM Financial Consumer Automobile Receivables Trust 2018-1,2018-01-31,2,550,560,37,1,0,846095.7399999999
GM Financial Consumer Automobile Receivables Trust 2018-1,2018-01-31,2,560,570,34,1,0,843829.53
GM Financial Consumer Automobile Receivables Trust 2018-1,2018-01-31,2,570,580,35,2,0,1000140.9499999998
GM Financial Consumer Automobile Receivables Trust 2018-1,2018-01-31,2,580,590,64,4,1,1942947.8700000003
GM Financial Consumer Automobile Receivables Trust 2018-1,2018-01-31,2,590,600,89,3,0,2206702.1399999997
GM Financial Consumer Automobile Receivables Trust 2018-1,2018-01-31,2,600,610,108,1,1,3088757.309999999
GM Financial Consumer Automobile Receivables Trust 2018-1,2018-01-31,2,610,620,139,2,1,3851266.8700000006
GM Financial Consumer Automobile Receivables Trust 2018-1,2018-01-31,2,620,630,164,3,0,4708988.680000002
GM Financial Consumer Automobile Receivables Trust 2018-1,2018-01-31,2,630,640,224,2,0,6555975.530000001
GM Financial Consumer Automobile Receivables Trust 2018-1,2018-01-31,2,640,650,1137,28,10,31098933.199999996
GM Financial Consumer Automobile Receivables Trust 2018-1,2018-01-31,2,650,660,1226,18,5,33909500.89
GM Financial Consumer Automobile Receivables Trust 2018-1,2018-01-31,2,660,670,1237,14,3,34562413.24000002
GM Financial Consumer Automobile Receivables Trust 2018-1,2018-01-31,2,670,680,1246,9,3,35596196.80000003
GM Financial Consumer Automobile Receivables Trust 2018-1,2018-01-31,2,680,690,1467,13,2,42708161.33000004
GM Financial Consumer Automobile Receivables Trust 2018-1,2018-01-31,2,690,700,1647,24,4,47948919.480000034
GM Financial Consumer Automobile Receivables Trust 2018-1,2018-01-31,2,700,710,1806,22,2,53238701.04999997
GM Financial Consumer Automobile Receivables Trust 2018-1,2018-01-31,2,710,720,1756,12,3,52256846.750000015
GM Financial Consumer Automobile Receivables Trust 2018-1,2018-01-31,2,720,730,1783,8,3,52491631.34000004
GM Financial Consumer Automobile Receivables Trust 2018-1,2018-01-31,2,730,740,1709,12,3,51206070.37000002
GM Financial Consumer Automobile Receivables Trust 2018-1,2018-01-31,2,740,750,1781,10,3,53332299.70999997
GM Financial Consumer Automobile Receivables Trust 2018-1,2018-01-31,2,750,760,1741,4,1,49758351.18999994
GM Financial Consumer Automobile Receivables Trust 2018-1,2018-01-31,2,760,770,1682,5,0,49147902.009999916
GM Financial Consumer Automobile Receivables Trust 2018-1,2018-01-31,2,770,780,1845,6,2,54776551.94999995
GM Financial Consumer Automobile Receivables Trust 2018-1,2018-01-31,2,780,790,2097,4,0,59791358.25000011
GM Financial Consumer Automobile Receivables Trust 2018-1,2018-01-31,2,790,800,2063,5,2,56822917.30999983
GM Financial Consumer Automobile Receivables Trust 2018-1,2018-01-31,2,800,810,2458,7,3,67913442.34000003
GM Financial Consumer Automobile Receivables Trust 2018-1,2018-01-31,2,810,820,2337,1,1,63433129.639999986
