series,reporting_date,vintage_month,fico_low,fico_high,new_used,loan_count_current,loan_count_30_59,loan_count_60_plus,balance
Hyundai Auto Lease Securitization Trust 2021-B,2021-06-30,0,600,610,1,420,10,0,9436363.409999987
Hyundai Auto Lease Securitization Trust 2021-B,2021-06-30,0,600,610,2,5,0,0,62638.21000000001
Hyundai Auto Lease Securitization Trust 2021-B,2021-06-30,0,610,620,1,381,7,0,8646652.569999997
Hyundai Auto Lease Securitization Trust 2021-B,2021-06-30,0,610,620,2,8,0,0,122430.75999999997
Hyundai Auto Lease Securitization Trust 2021-B,2021-06-30,0,620,630,1,990,12,0,24134627.500000007
Hyundai Auto Lease Securitization Trust 2021-B,2021-06-30,0,620,630,2,165,1,0,2921807.5700000008
Hyundai Auto Lease Securitization Trust 2021-B,2021-06-30,0,630,640,1,839,4,0,20813386.85999999
Hyundai Auto Lease Securitization Trust 2021-B,2021-06-30,0,630,640,2,149,1,0,2553968.2900000005
Hyundai Auto Lease Securitization Trust 2021-B,2021-06-30,0,640,650,1,1109,9,0,29616794.919999987
Hyundai Auto Lease Securitization Trust 2021-B,2021-06-30,0,640,650,2,359,0,0,6446343.319999998
Hyundai Auto Lease Securitization Trust 2021-B,2021-06-30,0,650,660,1,1029,9,0,25142209.549999993
Hyundai Auto Lease Securitization Trust 2021-B,2021-06-30,0,650,660,2,291,3,0,5428276.849999995
Hyundai Auto Lease Securitization Trust 2021-B,2021-06-30,0,660,670,1,1217,8,1,30155329.93000002
Hyundai Auto Lease Securitization Trust 2021-B,2021-06-30,0,660,670,2,371,1,0,6812219.549999994
Hyundai Auto Lease Securitization Trust 2021-B,2021-06-30,0,670,680,1,1210,11,0,30679144.149999917
Hyundai Auto Lease Securitization Trust 2021-B,2021-06-30,0,670,680,2,266,0,0,4972389.219999996
Hyundai Auto Lease Securitization Trust 2021-B,2021-06-30,0,680,690,1,1755,5,0,45498290.46000004
Hyundai Auto Lease Securitization Trust 2021-B,2021-06-30,0,680,690,2,345,0,0,6296219.720000003
Hyundai Auto Lease Securitization Trust 2021-B,2021-06-30,0,690,700,1,1531,6,0,38206296.689999945
Hyundai Auto Lease Securitization Trust 2021-B,2021-06-30,0,690,700,2,288,1,0,5063623.649999999
Hyundai Auto Lease Securitization Trust 2021-B,2021-06-30,0,700,710,1,2281,4,0,56198877.74999992
Hyundai Auto Lease Securitization Trust 2021-B,2021-06-30,0,700,710,2,358,1,0,6428369.739999998
Hyundai Auto Lease Securitization Trust 2021-B,2021-06-30,0,710,720,1,2072,5,0,51316302.15
Hyundai Auto Lease Securitization Trust 2021-B,2021-06-30,0,710,720,2,286,0,0,5053305.11
Hyundai Auto Lease Securitization Trust 2021-B,2021-06-30,0,720,730,1,2897,2,0,71333512.3
Hyundai Auto Lease Securitization Trust 2021-B,2021-06-30,0,720,730,2,301,2,0,5070906.450000001
Hyundai Auto Lease Securitization Trust 2021-B,2021-06-30,0,730,740,1,2480,4,0,59900129.450000025
Hyundai Auto Lease Securitization Trust 2021-B,2021-06-30,0,730,740,2,235,0,0,3837492.2600000002
Hyundai Auto Lease Securitization Trust 2021-B,2021-06-30,0,740,750,1,2987,0,0,71188615.3
Hyundai Auto Lease Securitization Trust 2021-B,2021-06-30,0,740,750,2,298,1,0,4938961.459999997
Hyundai Auto Lease Securitization Trust 2021-B,2021-06-30,0,750,760,1,1700,1,0,41272350.43999997
Hyundai Auto Lease Securitization Trust 2021-B,2021-06-30,0,750,760,2,287,0,0,4970217.150000001
Hyundai Auto Lease Securitization Trust 2021-B,2021-06-30,0,760,770,1,1474,0,0,35635779.99999998
Hyundai Auto Lease Securitization Trust 2021-B,2021-06-30,0,760,770,2,232,0,0,3873353.830000002
Hyundai Auto Lease Securitization Trust 2021-B,2021-06-30,0,770,780,1,1595,0,0,38152715.27000002
Hyundai Auto Lease Securitization Trust 2021-B,2021-06-30,0,770,780,2,200,0,0,3277794.6500000027
Hyundai Auto Lease Securitization Trust 2021-B,2021-06-30,0,780,790,1,1666,2,0,41331006.079999976
Hyundai Auto Lease Securitization Trust 2021-B,2021-06-30,0,780,790,2,193,0,0,3416518.7499999995
Hyundai Auto Lease Securitization Trust 2021-B,2021-06-30,0,790,800,1,1645,0,0,39540137.160000004
Hyundai Auto Lease Securitization Trust 2021-B,2021-06-30,0,790,800,2,159,0,0,2523774.1099999994
Hyundai Auto Lease Securitization Trust 2021-B,2021-06-30,0,800,810,1,1201,0,0,29975730.580000006
Hyundai Auto Lease Securitization Trust 2021-B,2021-06-30,0,800,810,2,155,0,0,2567989.850000002
Hyundai Auto Lease Securitization Trust 2021-B,2021-06-30,0,810,820,1,1156,0,0,28347557.689999994
Hyundai Auto Lease Securitization Trust 2021-B,2021-06-30,0,810,820,2,123,0,0,2078863.229999999
Hyundai Auto Lease Securitization Trust 2021-B,2021-06-30,0,820,830,1,2635,3,0,63273033.63999998
Hyundai Auto Lease Securitization Trust 2021-B,2021-06-30,0,820,830,2,118,0,0,1961902.9700000004
Hyundai Auto Lease Securitization Trust 2021-B,2021-06-30,0,830,840,1,3573,0,0,83547685.62999986
Hyundai Auto Lease Securitization Trust 2021-B,2021-06-30,0,830,840,2,120,0,0,2096916.33
Hyundai Auto Lease Securitization Trust 2021-B,2021-06-30,0,840,850,1,3481,2,0,81725868.66000004
Hyundai Auto Lease Securitization Trust 2021-B,2021-06-30,0,840,850,2,105,0,0,1799574.8300000003
Hyundai Auto Lease Securitization Trust 2021-B,2021-06-30,0,850,860,1,3714,0,0,91385526.32000016
Hyundai Auto Lease Securitization Trust 2021-B,2021-06-30,0,850,860,2,86,0,0,1297443.3199999996
Hyundai Auto Lease Securitization Trust 2021-B,2021-06-30,0,860,870,1,2894,0,0,71113451.1000001
Hyundai Auto Lease Securitization Trust 2021-B,2021-06-30,0,860,870,2,65,0,0,1068192.87
Hyundai Auto Lease Securitization Trust 2021-B,2021-06-30,0,870,880,1,2032,0,0,49701523.04999993
Hyundai Auto Lease Securitization Trust 2021-B,2021-06-30,0,870,880,2,40,0,0,583517.8499999999
Hyundai Auto Lease Securitization Trust 2021-B,2021-06-30,0,880,890,1,746,0,0,17782022.009999987
Hyundai Auto Lease Securitization Trust 2021-B,2021-06-30,0,880,890,2,17,0,0,268685.59
Hyundai Auto Lease Securitization Trust 2021-B,2021-06-30,0,890,900,1,224,0,0,5222153.119999998
Hyundai Auto Lease Securitization Trust 2021-B,2021-06-30,0,890,900,2,10,0,0,186130.22000000003
