series,reporting_date,vintage_month,fico_low,fico_high,new_used,loan_count_current,loan_count_30_59,loan_count_60_plus,balance
Honda Auto Receivables 2017-1 Owner Trust,2018-01-31,11,410,420,2,0,1,0,6600.02
Honda Auto Receivables 2017-1 Owner Trust,2018-01-31,11,420,430,1,1,0,0,19920.97
Honda Auto Receivables 2017-1 Owner Trust,2018-01-31,11,420,430,2,1,0,0,12358.87
Honda Auto Receivables 2017-1 Owner Trust,2018-01-31,11,430,440,2,1,0,0,8316.49
Honda Auto Receivables 2017-1 Owner Trust,2018-01-31,11,440,450,2,2,0,0,26308.5
Honda Auto Receivables 2017-1 Owner Trust,2018-01-31,11,450,460,1,2,0,0,23118.589999999997
Honda Auto Receivables 2017-1 Owner Trust,2018-01-31,11,450,460,2,2,0,0,31400.03
Honda Auto Receivables 2017-1 Owner Trust,2018-01-31,11,460,470,1,2,0,0,41822.08
Honda Auto Receivables 2017-1 Owner Trust,2018-01-31,11,460,470,2,7,1,1,100265.58
Honda Auto Receivables 2017-1 Owner Trust,2018-01-31,11,470,480,1,5,0,0,104495.82
Honda Auto Receivables 2017-1 Owner Trust,2018-01-31,11,470,480,2,8,0,0,88292.95999999999
Honda Auto Receivables 2017-1 Owner Trust,2018-01-31,11,480,490,1,7,1,0,118967.27999999998
Honda Auto Receivables 2017-1 Owner Trust,2018-01-31,11,480,490,2,6,0,0,71938.22
Honda Auto Receivables 2017-1 Owner Trust,2018-01-31,11,490,500,1,5,1,0,100119.51000000001
Honda Auto Receivables 2017-1 Owner Trust,2018-01-31,11,490,500,2,13,0,0,134289.75
Honda Auto Receivables 2017-1 Owner Trust,2018-01-31,11,500,510,1,9,0,0,154028.50999999998
Honda Auto Receivables 2017-1 Owner Trust,2018-01-31,11,500,510,2,19,1,0,253919.11
Honda Auto Receivables 2017-1 Owner Trust,2018-01-31,11,510,520,1,19,0,0,270738.27999999997
Honda Auto Receivables 2017-1 Owner Trust,2018-01-31,11,510,520,2,23,3,0,257411.70000000004
Honda Auto Receivables 2017-1 Owner Trust,2018-01-31,11,520,530,1,14,0,0,255990.25
Honda Auto Receivables 2017-1 Owner Trust,2018-01-31,11,520,530,2,24,2,0,309148.04
Honda Auto Receivables 2017-1 Owner Trust,2018-01-31,11,530,540,1,19,1,0,277691.49
Honda Auto Receivables 2017-1 Owner Trust,2018-01-31,11,530,540,2,20,2,1,253882.84000000003
Honda Auto Receivables 2017-1 Owner Trust,2018-01-31,11,540,550,1,20,2,1,317759.0999999999
Honda Auto Receivables 2017-1 Owner Trust,2018-01-31,11,540,550,2,40,1,0,451908.45
Honda Auto Receivables 2017-1 Owner Trust,2018-01-31,11,550,560,1,34,2,0,575751.84
Honda Auto Receivables 2017-1 Owner Trust,2018-01-31,11,550,560,2,33,2,0,456057.74999999994
Honda Auto Receivables 2017-1 Owner Trust,2018-01-31,11,560,570,1,52,1,0,704239.1000000001
Honda Auto Receivables 2017-1 Owner Trust,2018-01-31,11,560,570,2,34,3,1,472381.34
Honda Auto Receivables 2017-1 Owner Trust,2018-01-31,11,570,580,1,46,1,0,749601.71
Honda Auto Receivables 2017-1 Owner Trust,2018-01-31,11,570,580,2,50,1,0,695281.7199999999
Honda Auto Receivables 2017-1 Owner Trust,2018-01-31,11,580,590,1,60,2,1,975812.2099999997
Honda Auto Receivables 2017-1 Owner Trust,2018-01-31,11,580,590,2,48,1,0,557014.6
Honda Auto Receivables 2017-1 Owner Trust,2018-01-31,11,590,600,1,85,2,0,1302659.04
Honda Auto Receivables 2017-1 Owner Trust,2018-01-31,11,590,600,2,63,2,3,867788.2499999999
Honda Auto Receivables 2017-1 Owner Trust,2018-01-31,11,600,610,1,131,2,1,2148993.68
Honda Auto Receivables 2017-1 Owner Trust,2018-01-31,11,600,610,2,48,3,0,632434.7199999999
Honda Auto Receivables 2017-1 Owner Trust,2018-01-31,11,610,620,1,230,6,1,3696962.5499999993
Honda Auto Receivables 2017-1 Owner Trust,2018-01-31,11,610,620,2,70,1,1,980754.9499999998
Honda Auto Receivables 2017-1 Owner Trust,2018-01-31,11,620,630,1,267,4,2,4501678.429999996
Honda Auto Receivables 2017-1 Owner Trust,2018-01-31,11,620,630,2,84,4,2,1200057.07
Honda Auto Receivables 2017-1 Owner Trust,2018-01-31,11,630,640,1,441,7,1,6943588.940000003
Honda Auto Receivables 2017-1 Owner Trust,2018-01-31,11,630,640,2,96,3,3,1446282.8799999997
Honda Auto Receivables 2017-1 Owner Trust,2018-01-31,11,640,650,1,523,7,4,8395710.329999998
Honda Auto Receivables 2017-1 Owner Trust,2018-01-31,11,640,650,2,112,3,2,1543713.65
Honda Auto Receivables 2017-1 Owner Trust,2018-01-31,11,650,660,1,776,14,3,12274034.380000018
Honda Auto Receivables 2017-1 Owner Trust,2018-01-31,11,650,660,2,123,1,2,1868919.5700000003
Honda Auto Receivables 2017-1 Owner Trust,2018-01-31,11,660,670,1,1101,10,8,16068023.119999994
Honda Auto Receivables 2017-1 Owner Trust,2018-01-31,11,660,670,2,131,1,3,1929059.8200000003
Honda Auto Receivables 2017-1 Owner Trust,2018-01-31,11,670,680,1,1479,16,2,21747827.579999983
Honda Auto Receivables 2017-1 Owner Trust,2018-01-31,11,670,680,2,188,5,0,2754458.7
Honda Auto Receivables 2017-1 Owner Trust,2018-01-31,11,680,690,1,1814,12,4,25004778.399999987
