series,reporting_date,vintage_month,fico_low,fico_high,new_used,loan_count_current,loan_count_30_59,loan_count_60_plus,balance
Hyundai Auto Receivables Trust 2017-A,2018-01-31,11,500,510,2,2,0,0,21464.58
Hyundai Auto Receivables Trust 2017-A,2018-01-31,11,510,520,1,1,0,0,12219.21
Hyundai Auto Receivables Trust 2017-A,2018-01-31,11,510,520,2,2,0,0,11570.34
Hyundai Auto Receivables Trust 2017-A,2018-01-31,11,520,530,1,2,0,0,12649.3
Hyundai Auto Receivables Trust 2017-A,2018-01-31,11,520,530,2,1,0,0,14409.26
Hyundai Auto Receivables Trust 2017-A,2018-01-31,11,530,540,1,1,1,0,31775.02
Hyundai Auto Receivables Trust 2017-A,2018-01-31,11,540,550,1,1,1,0,30299.760000000002
Hyundai Auto Receivables Trust 2017-A,2018-01-31,11,550,560,1,1,0,0,3351.55
Hyundai Auto Receivables Trust 2017-A,2018-01-31,11,550,560,2,4,2,0,36162.42
Hyundai Auto Receivables Trust 2017-A,2018-01-31,11,560,570,1,4,0,0,54025.21000000001
Hyundai Auto Receivables Trust 2017-A,2018-01-31,11,560,570,2,3,0,0,28768.46
Hyundai Auto Receivables Trust 2017-A,2018-01-31,11,570,580,1,6,2,0,116140.66
Hyundai Auto Receivables Trust 2017-A,2018-01-31,11,570,580,2,3,0,0,50301.369999999995
Hyundai Auto Receivables Trust 2017-A,2018-01-31,11,580,590,1,5,0,0,57542.03999999999
Hyundai Auto Receivables Trust 2017-A,2018-01-31,11,580,590,2,20,0,0,210558.14
Hyundai Auto Receivables Trust 2017-A,2018-01-31,11,590,600,1,7,0,0,70226.43
Hyundai Auto Receivables Trust 2017-A,2018-01-31,11,590,600,2,24,3,0,284302.62000000005
Hyundai Auto Receivables Trust 2017-A,2018-01-31,11,600,610,1,936,95,34,18269076.150000002
Hyundai Auto Receivables Trust 2017-A,2018-01-31,11,600,610,2,19,1,0,245828.97
Hyundai Auto Receivables Trust 2017-A,2018-01-31,11,610,620,1,780,70,35,14973211.319999995
Hyundai Auto Receivables Trust 2017-A,2018-01-31,11,610,620,2,20,2,0,277255.73
Hyundai Auto Receivables Trust 2017-A,2018-01-31,11,620,630,1,831,62,15,15510073.590000017
Hyundai Auto Receivables Trust 2017-A,2018-01-31,11,620,630,2,97,2,3,1347723.4
Hyundai Auto Receivables Trust 2017-A,2018-01-31,11,630,640,1,74,0,0,974910.76
Hyundai Auto Receivables Trust 2017-A,2018-01-31,11,630,640,2,33,2,0,308959.27
Hyundai Auto Receivables Trust 2017-A,2018-01-31,11,640,650,1,114,2,0,1679001.9100000004
Hyundai Auto Receivables Trust 2017-A,2018-01-31,11,640,650,2,108,4,2,1194126.33
Hyundai Auto Receivables Trust 2017-A,2018-01-31,11,650,660,1,581,16,8,10435525.870000001
Hyundai Auto Receivables Trust 2017-A,2018-01-31,11,650,660,2,271,11,3,3224664.9500000016
Hyundai Auto Receivables Trust 2017-A,2018-01-31,11,660,670,1,793,22,8,14327706.590000011
Hyundai Auto Receivables Trust 2017-A,2018-01-31,11,660,670,2,350,10,5,4343994.199999997
Hyundai Auto Receivables Trust 2017-A,2018-01-31,11,670,680,1,727,21,2,12064600.77
Hyundai Auto Receivables Trust 2017-A,2018-01-31,11,670,680,2,256,7,4,2765753.830000001
Hyundai Auto Receivables Trust 2017-A,2018-01-31,11,680,690,1,1239,29,9,21868000.150000025
Hyundai Auto Receivables Trust 2017-A,2018-01-31,11,680,690,2,303,5,4,3011752.4400000013
