series,reporting_date,vintage_month,fico_low,fico_high,new_used,loan_count_current,loan_count_30_59,loan_count_60_plus,balance
Mercedes-Benz Auto Receivables Trust 2018-1,2019-01-31,7,650,660,1,314,5,1,11937285.140000002
Mercedes-Benz Auto Receivables Trust 2018-1,2019-01-31,7,650,660,2,759,11,4,18213736.330000006
Mercedes-Benz Auto Receivables Trust 2018-1,2019-01-31,7,660,670,1,422,3,0,15308171.459999997
Mercedes-Benz Auto Receivables Trust 2018-1,2019-01-31,7,660,670,2,951,10,0,22332386.42
Mercedes-Benz Auto Receivables Trust 2018-1,2019-01-31,7,670,680,1,505,4,1,19615604.780000005
Mercedes-Benz Auto Receivables Trust 2018-1,2019-01-31,7,670,680,2,1084,6,1,25610768.259999994
Mercedes-Benz Auto Receivables Trust 2018-1,2019-01-31,7,680,690,1,557,9,1,21685019.590000007
Mercedes-Benz Auto Receivables Trust 2018-1,2019-01-31,7,680,690,2,1126,6,3,26641489.22999998
Mercedes-Benz Auto Receivables Trust 2018-1,2019-01-31,7,690,700,1,611,1,0,21840791.990000013
Mercedes-Benz Auto Receivables Trust 2018-1,2019-01-31,7,690,700,2,1158,5,1,26461096.559999987
Mercedes-Benz Auto Receivables Trust 2018-1,2019-01-31,7,700,710,1,597,6,0,22902396.74000001
Mercedes-Benz Auto Receivables Trust 2018-1,2019-01-31,7,700,710,2,1245,9,0,28660043.59000002
Mercedes-Benz Auto Receivables Trust 2018-1,2019-01-31,7,710,720,1,693,2,1,26346113.560000002
Mercedes-Benz Auto Receivables Trust 2018-1,2019-01-31,7,710,720,2,1237,4,0,27480757.550000023
Mercedes-Benz Auto Receivables Trust 2018-1,2019-01-31,7,720,730,1,693,3,0,25621930.83
Mercedes-Benz Auto Receivables Trust 2018-1,2019-01-31,7,720,730,2,1370,6,1,30650199.149999976
Mercedes-Benz Auto Receivables Trust 2018-1,2019-01-31,7,730,740,1,743,2,1,27095818.140000034
Mercedes-Benz Auto Receivables Trust 2018-1,2019-01-31,7,730,740,2,1362,9,0,29310414.72000002
Mercedes-Benz Auto Receivables Trust 2018-1,2019-01-31,7,740,750,1,763,3,0,27496255.670000017
Mercedes-Benz Auto Receivables Trust 2018-1,2019-01-31,7,740,750,2,1355,4,0,28810512.060000025
Mercedes-Benz Auto Receivables Trust 2018-1,2019-01-31,7,750,760,1,712,0,1,25575172.200000025
Mercedes-Benz Auto Receivables Trust 2018-1,2019-01-31,7,750,760,2,1234,5,0,25644007.79
Mercedes-Benz Auto Receivables Trust 2018-1,2019-01-31,7,760,770,1,712,0,0,25125296.129999995
Mercedes-Benz Auto Receivables Trust 2018-1,2019-01-31,7,760,770,2,1238,2,0,25165981.429999985
Mercedes-Benz Auto Receivables Trust 2018-1,2019-01-31,7,770,780,1,669,1,1,24354497.220000003
Mercedes-Benz Auto Receivables Trust 2018-1,2019-01-31,7,770,780,2,1191,3,1,23912328.399999995
Mercedes-Benz Auto Receivables Trust 2018-1,2019-01-31,7,780,790,1,814,0,0,29465756.780000005
Mercedes-Benz Auto Receivables Trust 2018-1,2019-01-31,7,780,790,2,1289,4,0,25710834.410000026
Mercedes-Benz Auto Receivables Trust 2018-1,2019-01-31,7,790,800,1,694,0,0,23290231.030000016
Mercedes-Benz Auto Receivables Trust 2018-1,2019-01-31,7,790,800,2,1211,0,0,22990863.679999977
Mercedes-Benz Auto Receivables Trust 2018-1,2019-01-31,7,800,810,1,783,2,1,27723479.379999965
Mercedes-Benz Auto Receivables Trust 2018-1,2019-01-31,7,800,810,2,1315,1,2,24574876.600000024
Mercedes-Benz Auto Receivables Trust 2018-1,2019-01-31,7,810,820,1,712,1,0,23486650.990000017
Mercedes-Benz Auto Receivables Trust 2018-1,2019-01-31,7,810,820,2,1256,3,0,23749682.439999983
Mercedes-Benz Auto Receivables Trust 2018-1,2019-01-31,7,820,830,1,762,0,2,24122659.530000005
Mercedes-Benz Auto Receivables Trust 2018-1,2019-01-31,7,820,830,2,1349,1,0,24592497.70999999
Mercedes-Benz Auto Receivables Trust 2018-1,2019-01-31,7,830,840,1,756,0,0,24543960.310000002
