series,reporting_date,vintage_month,fico_low,fico_high,new_used,loan_count_current,loan_count_30_59,loan_count_60_plus,balance
Nissan Auto Receivables 2017-A Owner Trust,2018-01-31,11,660,670,1,483,12,5,9496040.480000004
Nissan Auto Receivables 2017-A Owner Trust,2018-01-31,11,670,680,1,538,11,4,10102888.3
Nissan Auto Receivables 2017-A Owner Trust,2018-01-31,11,680,690,1,1365,28,14,26478904.159999985
Nissan Auto Receivables 2017-A Owner Trust,2018-01-31,11,690,700,1,1164,23,11,22497978.48000002
Nissan Auto Receivables 2017-A Owner Trust,2018-01-31,11,700,710,1,2130,23,6,38850505.02999995
Nissan Auto Receivables 2017-A Owner Trust,2018-01-31,11,700,710,2,148,0,0,1981487.2199999993
Nissan Auto Receivables 2017-A Owner Trust,2018-01-31,11,710,720,1,1680,23,9,30699526.909999996
Nissan Auto Receivables 2017-A Owner Trust,2018-01-31,11,710,720,2,150,0,0,2024083.0999999996
Nissan Auto Receivables 2017-A Owner Trust,2018-01-31,11,720,730,1,2622,30,8,45764259.02000001
Nissan Auto Receivables 2017-A Owner Trust,2018-01-31,11,720,730,2,142,2,0,1848538.539999999
Nissan Auto Receivables 2017-A Owner Trust,2018-01-31,11,730,740,1,2346,19,12,40444028.47
Nissan Auto Receivables 2017-A Owner Trust,2018-01-31,11,730,740,2,167,1,0,2070742.549999999
Nissan Auto Receivables 2017-A Owner Trust,2018-01-31,11,740,750,1,2573,15,6,46600691.61
Nissan Auto Receivables 2017-A Owner Trust,2018-01-31,11,740,750,2,242,3,1,3536329.310000001
Nissan Auto Receivables 2017-A Owner Trust,2018-01-31,11,750,760,1,2392,4,7,43479330.95999998
Nissan Auto Receivables 2017-A Owner Trust,2018-01-31,11,750,760,2,197,0,2,2806170.85
Nissan Auto Receivables 2017-A Owner Trust,2018-01-31,11,760,770,1,2072,14,3,37261243.61
Nissan Auto Receivables 2017-A Owner Trust,2018-01-31,11,760,770,2,174,0,0,2530213.7299999995
Nissan Auto Receivables 2017-A Owner Trust,2018-01-31,11,770,780,1,2004,7,7,36269302.040000014
Nissan Auto Receivables 2017-A Owner Trust,2018-01-31,11,770,780,2,175,0,0,2525275.27
Nissan Auto Receivables 2017-A Owner Trust,2018-01-31,11,780,790,1,2069,9,1,36680885.04000001
Nissan Auto Receivables 2017-A Owner Trust,2018-01-31,11,780,790,2,175,1,1,2448129.390000001
Nissan Auto Receivables 2017-A Owner Trust,2018-01-31,11,790,800,1,1914,3,2,33812476.539999984
Nissan Auto Receivables 2017-A Owner Trust,2018-01-31,11,790,800,2,152,1,0,2128082.0
Nissan Auto Receivables 2017-A Owner Trust,2018-01-31,11,800,810,1,2011,5,1,35467649.78000003
Nissan Auto Receivables 2017-A Owner Trust,2018-01-31,11,800,810,2,169,1,0,2288789.07
Nissan Auto Receivables 2017-A Owner Trust,2018-01-31,11,810,820,1,2073,2,1,36132382.980000034
Nissan Auto Receivables 2017-A Owner Trust,2018-01-31,11,810,820,2,168,0,0,2316112.2900000005
