issuer_code,vintage_year,loan_age_months,period_co_amt,orig_pool_amt,cumulative_co_amt,cumulative_loss_rate
NAROT,2011,76,1404.90000000,14888666.24000000,1404.90000000,0.00009436
NAROT,2011,77,799.52000000,14888666.24000000,2204.42000000,0.00014806
NAROT,2012,62,11438.58000000,428319084.77000004,11438.58000000,0.00002671
NAROT,2012,64,1831.58000000,428319084.77000004,13270.16000000,0.00003098
NAROT,2012,67,4450.61000000,428319084.77000004,17720.77000000,0.00004137
NAROT,2012,69,2358.50000000,428319084.77000004,20079.27000000,0.00004688
NAROT,2012,71,1.00000000,428319084.77000004,20080.27000000,0.00004688
NAROT,2012,72,8120.65000000,428319084.77000004,28200.92000000,0.00006584
NAROT,2012,73,3072.27000000,428319084.77000004,31273.19000000,0.00007301
NAROT,2012,74,1090.93000000,428319084.77000004,32364.12000000,0.00007556
NAROT,2012,75,5535.32000000,428319084.77000004,37899.44000000,0.00008848
NAROT,2012,76,4893.13000000,428319084.77000004,42792.57000000,0.00009991
NAROT,2012,77,2970.16000000,428319084.77000004,45762.73000000,0.00010684
NAROT,2012,78,4841.88000000,428319084.77000004,50604.61000000,0.00011815
NAROT,2012,79,1552.42000000,428319084.77000004,52157.03000000,0.00012177
NAROT,2012,83,638.88000000,428319084.77000004,52795.91000000,0.00012326
NAROT,2012,84,825.53000000,428319084.77000004,53621.44000000,0.00012519
NAROT,2013,45,3490.50000000,603766854.71000242,3490.50000000,0.00000578
NAROT,2013,48,1104.69000000,603766854.71000242,4595.19000000,0.00000761
NAROT,2013,49,4601.93000000,603766854.71000242,9197.12000000,0.00001523
NAROT,2013,50,5664.29000000,603766854.71000242,14861.41000000,0.00002461
NAROT,2013,53,5640.25000000,603766854.71000242,20501.66000000,0.00003396
NAROT,2013,54,4023.30000000,603766854.71000242,24524.96000000,0.00004062
NAROT,2013,56,5629.11000000,603766854.71000242,30154.07000000,0.00004994
NAROT,2013,59,15466.40000000,603766854.71000242,45620.47000000,0.00007556
NAROT,2013,61,2573.77000000,603766854.71000242,48194.24000000,0.00007982
NAROT,2013,63,2018.98000000,603766854.71000242,50213.22000000,0.00008317
NAROT,2013,64,1975.06000000,603766854.71000242,52188.28000000,0.00008644
NAROT,2013,65,2364.02000000,603766854.71000242,54552.30000000,0.00009035
NAROT,2013,66,1524.30000000,603766854.71000242,56076.60000000,0.00009288
NAROT,2013,67,315.84000000,603766854.71000242,56392.44000000,0.00009340
NAROT,2013,70,5404.31000000,603766854.71000242,61796.75000000,0.00010235
NAROT,2013,71,11327.96000000,603766854.71000242,73124.71000000,0.00012111
NAROT,2013,72,3638.05000000,603766854.71000242,76762.76000000,0.00012714
NAROT,2013,73,3057.75000000,603766854.71000242,79820.51000000,0.00013220
NAROT,2013,76,2705.74000000,603766854.71000242,82526.25000000,0.00013669
NAROT,2013,79,2772.48000000,603766854.71000242,85298.73000000,0.00014128
NAROT,2013,82,1335.55000000,603766854.71000242,86634.28000000,0.00014349
NAROT,2013,83,460.37000000,603766854.71000242,87094.65000000,0.00014425
NAROT,2014,40,43613.58000000,499155350.87999564,43613.58000000,0.00008737
NAROT,2014,42,30689.87000000,499155350.87999564,74303.45000000,0.00014886
NAROT,2014,44,29694.99000000,499155350.87999564,103998.44000000,0.00020835
NAROT,2014,46,29912.80000000,499155350.87999564,133911.24000000,0.00026828
NAROT,2014,47,27689.51000000,499155350.87999564,161600.75000000,0.00032375
NAROT,2014,48,39071.34000000,499155350.87999564,200672.09000000,0.00040202
NAROT,2014,49,18155.06000000,499155350.87999564,218827.15000000,0.00043839
NAROT,2014,50,30410.36000000,499155350.87999564,249237.51000000,0.00049932
NAROT,2014,54,19175.74000000,499155350.87999564,268413.25000000,0.00053773
NAROT,2014,55,7662.80000000,499155350.87999564,276076.05000000,0.00055309
NAROT,2014,56,10629.24000000,499155350.87999564,286705.29000000,0.00057438
NAROT,2014,57,25978.87000000,499155350.87999564,312684.16000000,0.00062643
NAROT,2014,58,6099.33000000,499155350.87999564,318783.49000000,0.00063865
NAROT,2014,59,10139.24000000,499155350.87999564,328922.73000000,0.00065896
NAROT,2014,60,6340.45000000,499155350.87999564,335263.18000000,0.00067166
NAROT,2014,61,5403.50000000,499155350.87999564,340666.68000000,0.00068249
NAROT,2014,62,884.96000000,499155350.87999564,341551.64000000,0.00068426
NAROT,2014,63,12165.92000000,499155350.87999564,353717.56000000,0.00070863
NAROT,2014,64,3890.00000000,499155350.87999564,357607.56000000,0.00071643
NAROT,2014,65,2590.18000000,499155350.87999564,360197.74000000,0.00072161
NAROT,2014,66,10973.72000000,499155350.87999564,371171.46000000,0.00074360
NAROT,2014,67,26385.68000000,499155350.87999564,397557.14000000,0.00079646
NAROT,2014,68,4065.09000000,499155350.87999564,401622.23000000,0.00080460
NAROT,2014,69,3944.57000000,499155350.87999564,405566.80000000,0.00081251
NAROT,2014,70,5452.58000000,499155350.87999564,411019.38000000,0.00082343
NAROT,2014,72,19693.73000000,499155350.87999564,430713.11000000,0.00086288
NAROT,2014,73,487.21000000,499155350.87999564,431200.32000000,0.00086386
NAROT,2014,74,6591.69000000,499155350.87999564,437792.01000000,0.00087707
NAROT,2014,76,3533.71000000,499155350.87999564,441325.72000000,0.00088415
NAROT,2014,77,2805.98000000,499155350.87999564,444131.70000000,0.00088977
NAROT,2014,78,622.33000000,499155350.87999564,444754.03000000,0.00089101
NAROT,2014,79,978.90000000,499155350.87999564,445732.93000000,0.00089297
NAROT,2014,80,1067.28000000,499155350.87999564,446800.21000000,0.00089511
NAROT,2014,81,3437.79000000,499155350.87999564,450238.00000000,0.00090200
NAROT,2015,19,960.16000000,2274166826.88001633,960.16000000,0.00000042
NAROT,2015,21,5914.35000000,2274166826.88001633,6874.51000000,0.00000302
NAROT,2015,22,128712.92000000,2274166826.88001633,135587.43000000,0.00005962
NAROT,2015,23,53385.26000000,2274166826.88001633,188972.69000000,0.00008310
NAROT,2015,24,98070.29000000,2274166826.88001633,287042.98000000,0.00012622
NAROT,2015,25,75303.35000000,2274166826.88001633,362346.33000000,0.00015933
NAROT,2015,26,38140.72000000,2274166826.88001633,400487.05000000,0.00017610
NAROT,2015,27,105757.79000000,2274166826.88001633,506244.84000000,0.00022261
NAROT,2015,28,158217.05000000,2274166826.88001633,664461.89000000,0.00029218
NAROT,2015,29,168572.75000000,2274166826.88001633,833034.64000000,0.00036630
NAROT,2015,30,138019.02000000,2274166826.88001633,971053.66000000,0.00042699
NAROT,2015,31,200909.52000000,2274166826.88001633,1171963.18000000,0.00051534
NAROT,2015,32,108591.62000000,2274166826.88001633,1280554.80000000,0.00056309
NAROT,2015,33,82270.83000000,2274166826.88001633,1362825.63000000,0.00059926
NAROT,2015,34,112338.86000000,2274166826.88001633,1475164.49000000,0.00064866
NAROT,2015,35,158199.99000000,2274166826.88001633,1633364.48000000,0.00071823
NAROT,2015,36,51263.10000000,2274166826.88001633,1684627.58000000,0.00074077
NAROT,2015,37,195630.10000000,2274166826.88001633,1880257.68000000,0.00082679
NAROT,2015,38,126331.76000000,2274166826.88001633,2006589.44000000,0.00088234
NAROT,2015,39,81443.14000000,2274166826.88001633,2088032.58000000,0.00091815
NAROT,2015,40,111910.35000000,2274166826.88001633,2199942.93000000,0.00096736
NAROT,2015,41,95721.98000000,2274166826.88001633,2295664.91000000,0.00100945
NAROT,2015,42,92269.14000000,2274166826.88001633,2387934.05000000,0.00105003
NAROT,2015,43,169828.82000000,2274166826.88001633,2557762.87000000,0.00112470
NAROT,2015,44,46200.75000000,2274166826.88001633,2603963.62000000,0.00114502
NAROT,2015,45,39245.83000000,2274166826.88001633,2643209.45000000,0.00116228
NAROT,2015,46,88975.45000000,2274166826.88001633,2732184.90000000,0.00120140
NAROT,2015,47,91468.87000000,2274166826.88001633,2823653.77000000,0.00124162
NAROT,2015,48,74058.50000000,2274166826.88001633,2897712.27000000,0.00127419
NAROT,2015,49,31498.26000000,2274166826.88001633,2929210.53000000,0.00128804
NAROT,2015,50,23333.85000000,2274166826.88001633,2952544.38000000,0.00129830
NAROT,2015,51,98794.57000000,2274166826.88001633,3051338.95000000,0.00134174
NAROT,2015,52,39856.59000000,2274166826.88001633,3091195.54000000,0.00135927
NAROT,2015,53,88921.95000000,2274166826.88001633,3180117.49000000,0.00139837
NAROT,2015,54,43665.47000000,2274166826.88001633,3223782.96000000,0.00141757
NAROT,2015,55,79402.35000000,2274166826.88001633,3303185.31000000,0.00145248
NAROT,2015,56,45457.30000000,2274166826.88001633,3348642.61000000,0.00147247
NAROT,2015,57,37195.93000000,2274166826.88001633,3385838.54000000,0.00148883
NAROT,2015,58,44484.17000000,2274166826.88001633,3430322.71000000,0.00150839
NAROT,2015,59,78323.61000000,2274166826.88001633,3508646.32000000,0.00154283
NAROT,2015,60,65760.33000000,2274166826.88001633,3574406.65000000,0.00157174
NAROT,2015,61,27341.96000000,2274166826.88001633,3601748.61000000,0.00158377
NAROT,2015,62,15454.93000000,2274166826.88001633,3617203.54000000,0.00159056
NAROT,2015,63,19467.64000000,2274166826.88001633,3636671.18000000,0.00159912
NAROT,2015,64,15799.33000000,2274166826.88001633,3652470.51000000,0.00160607
NAROT,2015,65,9847.29000000,2274166826.88001633,3662317.80000000,0.00161040
NAROT,2015,66,29830.37000000,2274166826.88001633,3692148.17000000,0.00162352
NAROT,2015,67,20846.88000000,2274166826.88001633,3712995.05000000,0.00163268
NAROT,2015,68,2604.88000000,2274166826.88001633,3715599.93000000,0.00163383
NAROT,2015,69,18963.71000000,2274166826.88001633,3734563.64000000,0.00164217
NAROT,2015,70,2523.71000000,2274166826.88001633,3737087.35000000,0.00164328
NAROT,2015,71,8335.24000000,2274166826.88001633,3745422.59000000,0.00164694
NAROT,2015,72,2995.69000000,2274166826.88001633,3748418.28000000,0.00164826
NAROT,2015,73,2312.48000000,2274166826.88001633,3750730.76000000,0.00164928
NAROT,2015,74,6877.94000000,2274166826.88001633,3757608.70000000,0.00165230
NAROT,2015,75,2727.66000000,2274166826.88001633,3760336.36000000,0.00165350
NAROT,2015,76,5293.41000000,2274166826.88001633,3765629.77000000,0.00165583
NAROT,2015,77,4240.46000000,2274166826.88001633,3769870.23000000,0.00165769
NAROT,2015,78,558.21000000,2274166826.88001633,3770428.44000000,0.00165794
NAROT,2015,79,1525.28000000,2274166826.88001633,3771953.72000000,0.00165861
NAROT,2015,80,2244.65000000,2274166826.88001633,3774198.37000000,0.00165960
NAROT,2015,81,1098.96000000,2274166826.88001633,3775297.33000000,0.00166008
NAROT,2015,82,1189.75000000,2274166826.88001633,3776487.08000000,0.00166060
NAROT,2016,11,2251.10000000,5835246426.06014824,2251.10000000,0.00000039
NAROT,2016,13,46206.03000000,5835246426.06014824,48457.13000000,0.00000830
NAROT,2016,14,97379.48000000,5835246426.06014824,145836.61000000,0.00002499
NAROT,2016,15,157441.39000000,5835246426.06014824,303278.00000000,0.00005197
NAROT,2016,16,180525.92000000,5835246426.06014824,483803.92000000,0.00008291
NAROT,2016,17,189761.11000000,5835246426.06014824,673565.03000000,0.00011543
NAROT,2016,18,340087.39000000,5835246426.06014824,1013652.42000000,0.00017371
NAROT,2016,19,154181.95000000,5835246426.06014824,1167834.37000000,0.00020013
NAROT,2016,20,307261.59000000,5835246426.06014824,1475095.96000000,0.00025279
NAROT,2016,21,429859.82000000,5835246426.06014824,1904955.78000000,0.00032646
NAROT,2016,22,299312.20000000,5835246426.06014824,2204267.98000000,0.00037775
NAROT,2016,23,362495.97000000,5835246426.06014824,2566763.95000000,0.00043987
NAROT,2016,24,229809.83000000,5835246426.06014824,2796573.78000000,0.00047926
NAROT,2016,25,322164.08000000,5835246426.06014824,3118737.86000000,0.00053447
NAROT,2016,26,297240.90000000,5835246426.06014824,3415978.76000000,0.00058540
NAROT,2016,27,428161.51000000,5835246426.06014824,3844140.27000000,0.00065878
NAROT,2016,28,375423.63000000,5835246426.06014824,4219563.90000000,0.00072312
NAROT,2016,29,217886.58000000,5835246426.06014824,4437450.48000000,0.00076046
NAROT,2016,30,207840.31000000,5835246426.06014824,4645290.79000000,0.00079607
NAROT,2016,31,256114.05000000,5835246426.06014824,4901404.84000000,0.00083997
NAROT,2016,32,457628.78000000,5835246426.06014824,5359033.62000000,0.00091839
NAROT,2016,33,236274.87000000,5835246426.06014824,5595308.49000000,0.00095888
NAROT,2016,34,309889.51000000,5835246426.06014824,5905198.00000000,0.00101199
NAROT,2016,35,289354.36000000,5835246426.06014824,6194552.36000000,0.00106158
NAROT,2016,36,229049.09000000,5835246426.06014824,6423601.45000000,0.00110083
NAROT,2016,37,340637.73000000,5835246426.06014824,6764239.18000000,0.00115920
NAROT,2016,38,198250.11000000,5835246426.06014824,6962489.29000000,0.00119318
NAROT,2016,39,198076.22000000,5835246426.06014824,7160565.51000000,0.00122712
NAROT,2016,40,275297.18000000,5835246426.06014824,7435862.69000000,0.00127430
NAROT,2016,41,309328.89000000,5835246426.06014824,7745191.58000000,0.00132731
NAROT,2016,42,297679.10000000,5835246426.06014824,8042870.68000000,0.00137833
NAROT,2016,43,348023.70000000,5835246426.06014824,8390894.38000000,0.00143797
NAROT,2016,44,318337.79000000,5835246426.06014824,8709232.17000000,0.00149252
NAROT,2016,45,268937.62000000,5835246426.06014824,8978169.79000000,0.00153861
NAROT,2016,46,346951.71000000,5835246426.06014824,9325121.50000000,0.00159807
NAROT,2016,47,272776.69000000,5835246426.06014824,9597898.19000000,0.00164481
NAROT,2016,48,266822.26000000,5835246426.06014824,9864720.45000000,0.00169054
NAROT,2016,49,246523.22000000,5835246426.06014824,10111243.67000000,0.00173279
NAROT,2016,50,209280.40000000,5835246426.06014824,10320524.07000000,0.00176865
NAROT,2016,51,236151.71000000,5835246426.06014824,10556675.78000000,0.00180912
NAROT,2016,52,186950.67000000,5835246426.06014824,10743626.45000000,0.00184116
NAROT,2016,53,187587.46000000,5835246426.06014824,10931213.91000000,0.00187331
NAROT,2016,54,132917.58000000,5835246426.06014824,11064131.49000000,0.00189609
NAROT,2016,55,85626.60000000,5835246426.06014824,11149758.09000000,0.00191076
NAROT,2016,56,104498.69000000,5835246426.06014824,11254256.78000000,0.00192867
NAROT,2016,57,103006.96000000,5835246426.06014824,11357263.74000000,0.00194632
NAROT,2016,58,111299.99000000,5835246426.06014824,11468563.73000000,0.00196539
NAROT,2016,59,57345.85000000,5835246426.06014824,11525909.58000000,0.00197522
NAROT,2016,60,105579.46000000,5835246426.06014824,11631489.04000000,0.00199332
NAROT,2016,61,2776.36000000,5835246426.06014824,11634265.40000000,0.00199379
NAROT,2016,62,27071.95000000,5835246426.06014824,11661337.35000000,0.00199843
NAROT,2016,63,52060.64000000,5835246426.06014824,11713397.99000000,0.00200735
NAROT,2016,64,16481.83000000,5835246426.06014824,11729879.82000000,0.00201018
NAROT,2016,65,7405.40000000,5835246426.06014824,11737285.22000000,0.00201145
NAROT,2016,66,2802.50000000,5835246426.06014824,11740087.72000000,0.00201193
NAROT,2016,68,4945.80000000,5835246426.06014824,11745033.52000000,0.00201277
NAROT,2016,69,13416.71000000,5835246426.06014824,11758450.23000000,0.00201507
NAROT,2016,71,6216.73000000,5835246426.06014824,11764666.96000000,0.00201614
NAROT,2016,72,13967.53000000,5835246426.06014824,11778634.49000000,0.00201853
NAROT,2016,73,8326.61000000,5835246426.06014824,11786961.10000000,0.00201996
NAROT,2016,74,1420.45000000,5835246426.06014824,11788381.55000000,0.00202020
NAROT,2016,75,1980.11000000,5835246426.06014824,11790361.66000000,0.00202054
NAROT,2016,76,7585.65000000,5835246426.06014824,11797947.31000000,0.00202184
NAROT,2016,77,3461.55000000,5835246426.06014824,11801408.86000000,0.00202244
NAROT,2016,78,901.82000000,5835246426.06014824,11802310.68000000,0.00202259
NAROT,2016,79,703.43000000,5835246426.06014824,11803014.11000000,0.00202271
NAROT,2016,81,649.15000000,5835246426.06014824,11803663.26000000,0.00202282
NAROT,2016,82,1331.23000000,5835246426.06014824,11804994.49000000,0.00202305
NAROT,2017,7,13142.96000000,7542895471.86015606,13142.96000000,0.00000174
NAROT,2017,8,23380.42000000,7542895471.86015606,36523.38000000,0.00000484
NAROT,2017,10,64330.16000000,7542895471.86015606,100853.54000000,0.00001337
NAROT,2017,11,111054.82000000,7542895471.86015606,211908.36000000,0.00002809
NAROT,2017,12,50943.04000000,7542895471.86015606,262851.40000000,0.00003485
NAROT,2017,13,303152.08000000,7542895471.86015606,566003.48000000,0.00007504
NAROT,2017,14,289597.03000000,7542895471.86015606,855600.51000000,0.00011343
NAROT,2017,15,133751.12000000,7542895471.86015606,989351.63000000,0.00013116
NAROT,2017,16,212765.10000000,7542895471.86015606,1202116.73000000,0.00015937
NAROT,2017,17,309681.97000000,7542895471.86015606,1511798.70000000,0.00020043
NAROT,2017,18,527451.48000000,7542895471.86015606,2039250.18000000,0.00027035
