issuer_code,deal_year,loan_age_months,period_co_amt,orig_pool_amt,cumulative_co_amt,cumulative_loss_rate
SDART,2017,0,321274.61000000,1197584446.63000107,321274.61000000,0.00026827
SDART,2017,1,252411.82000000,1197584446.63000107,573686.43000000,0.00047904
SDART,2017,2,294853.39000000,1197584446.63000107,868539.82000000,0.00072524
SDART,2017,3,116087.32000000,1197584446.63000107,984627.14000000,0.00082218
SDART,2017,4,113285.24000000,1197584446.63000107,1097912.38000000,0.00091677
SDART,2017,5,27652.81000000,1197584446.63000107,1125565.19000000,0.00093986
SDART,2017,6,3238617.02000000,1197584446.63000107,4364182.21000000,0.00364415
SDART,2017,7,376762.49000000,1197584446.63000107,4740944.70000000,0.00395876
SDART,2017,8,411157.86000000,1197584446.63000107,5152102.56000000,0.00430208
SDART,2017,9,416243.88000000,1197584446.63000107,5568346.44000000,0.00464965
SDART,2017,10,258114.91000000,1197584446.63000107,5826461.35000000,0.00486518
SDART,2017,11,189941.13000000,1197584446.63000107,6016402.48000000,0.00502378
SDART,2017,12,151996.49000000,1197584446.63000107,6168398.97000000,0.00515070
SDART,2017,13,144136.00000000,1197584446.63000107,6312534.97000000,0.00527106
SDART,2017,14,75371.69000000,1197584446.63000107,6387906.66000000,0.00533399
SDART,2017,15,56104.05000000,1197584446.63000107,6444010.71000000,0.00538084
SDART,2017,16,16279.73000000,1197584446.63000107,6460290.44000000,0.00539443
SDART,2017,17,0.00000000,1197584446.63000107,6460290.44000000,0.00539443
SDART,2017,18,1282277.79000000,1197584446.63000107,7742568.23000000,0.00646515
SDART,2017,19,1223816.19000000,1197584446.63000107,8966384.42000000,0.00748706
SDART,2017,20,917246.48000000,1197584446.63000107,9883630.90000000,0.00825297
SDART,2017,21,1044770.12000000,1197584446.63000107,10928401.02000000,0.00912537
SDART,2018,0,677196.86000000,4098548165.17999792,677196.86000000,0.00016523
SDART,2018,1,680713.07000000,4098548165.17999792,1357909.93000000,0.00033131
SDART,2018,2,296180.19000000,4098548165.17999792,1654090.12000000,0.00040358
SDART,2018,3,321320.90000000,4098548165.17999792,1975411.02000000,0.00048198
SDART,2018,4,92114.42000000,4098548165.17999792,2067525.44000000,0.00050445
SDART,2018,5,13253.31000000,4098548165.17999792,2080778.75000000,0.00050769
SDART,2018,6,6266343.71000000,4098548165.17999792,8347122.46000000,0.00203660
SDART,2018,7,4260780.22000000,4098548165.17999792,12607902.68000000,0.00307619
SDART,2018,8,3316685.86000000,4098548165.17999792,15924588.54000000,0.00388542
SDART,2018,9,2846810.78000000,4098548165.17999792,18771399.32000000,0.00458001
SDART,2018,10,2688268.77000000,4098548165.17999792,21459668.09000000,0.00523592
SDART,2018,11,2185942.56000000,4098548165.17999792,23645610.65000000,0.00576927
SDART,2018,12,2253333.42000000,4098548165.17999792,25898944.07000000,0.00631905
SDART,2018,13,1272661.33000000,4098548165.17999792,27171605.40000000,0.00662957
SDART,2018,14,1171225.22000000,4098548165.17999792,28342830.62000000,0.00691533
SDART,2018,15,1119062.27000000,4098548165.17999792,29461892.89000000,0.00718837
SDART,2018,16,877856.55000000,4098548165.17999792,30339749.44000000,0.00740256
SDART,2018,17,681216.24000000,4098548165.17999792,31020965.68000000,0.00756877
SDART,2018,18,1187641.01000000,4098548165.17999792,32208606.69000000,0.00785854
SDART,2018,19,1077906.00000000,4098548165.17999792,33286512.69000000,0.00812154
SDART,2019,0,2896554.54000000,6259411229.15000153,2896554.54000000,0.00046275
SDART,2019,1,2985676.40000000,6259411229.15000153,5882230.94000000,0.00093974
SDART,2019,2,2349045.56000000,6259411229.15000153,8231276.50000000,0.00131502
SDART,2019,3,1827294.39000000,6259411229.15000153,10058570.89000000,0.00160695
SDART,2019,4,935105.67000000,6259411229.15000153,10993676.56000000,0.00175634
SDART,2019,5,13642.89000000,6259411229.15000153,11007319.45000000,0.00175852
SDART,2019,6,7966100.54000000,6259411229.15000153,18973419.99000000,0.00303118
