series,reporting_date,vintage_month,fico_low,fico_high,new_used,loan_count_current,loan_count_30_59,loan_count_60_plus,balance
Toyota Auto Receivables 2017-A Owner Trust,2018-01-31,12,620,630,1,401,13,9,7356342.299999999
Toyota Auto Receivables 2017-A Owner Trust,2018-01-31,12,620,630,2,358,18,9,4955194.290000002
Toyota Auto Receivables 2017-A Owner Trust,2018-01-31,12,630,640,1,498,23,7,9174029.630000003
Toyota Auto Receivables 2017-A Owner Trust,2018-01-31,12,630,640,2,434,17,9,5960272.8100000005
Toyota Auto Receivables 2017-A Owner Trust,2018-01-31,12,640,650,1,608,19,7,11331500.329999996
Toyota Auto Receivables 2017-A Owner Trust,2018-01-31,12,640,650,2,466,19,3,6513802.619999999
Toyota Auto Receivables 2017-A Owner Trust,2018-01-31,12,650,660,1,903,23,5,15641886.690000007
Toyota Auto Receivables 2017-A Owner Trust,2018-01-31,12,650,660,2,637,18,8,8726875.679999996
Toyota Auto Receivables 2017-A Owner Trust,2018-01-31,12,660,670,1,1005,16,7,16735373.330000002
Toyota Auto Receivables 2017-A Owner Trust,2018-01-31,12,660,670,2,624,16,4,8435356.54
Toyota Auto Receivables 2017-A Owner Trust,2018-01-31,12,670,680,1,1357,25,13,22980975.969999995
Toyota Auto Receivables 2017-A Owner Trust,2018-01-31,12,670,680,2,774,26,4,10350991.130000005
Toyota Auto Receivables 2017-A Owner Trust,2018-01-31,12,680,690,1,1443,14,4,23176354.489999995
Toyota Auto Receivables 2017-A Owner Trust,2018-01-31,12,680,690,2,736,16,4,9659214.23
Toyota Auto Receivables 2017-A Owner Trust,2018-01-31,12,690,700,1,2138,27,8,34456123.510000005
Toyota Auto Receivables 2017-A Owner Trust,2018-01-31,12,690,700,2,1057,19,3,13103619.7
Toyota Auto Receivables 2017-A Owner Trust,2018-01-31,12,700,710,1,2429,21,12,38707581.96000001
Toyota Auto Receivables 2017-A Owner Trust,2018-01-31,12,700,710,2,1085,15,4,13212127.190000003
Toyota Auto Receivables 2017-A Owner Trust,2018-01-31,12,710,720,1,2369,15,6,36691977.88000002
Toyota Auto Receivables 2017-A Owner Trust,2018-01-31,12,710,720,2,974,10,4,11938669.550000004
Toyota Auto Receivables 2017-A Owner Trust,2018-01-31,12,720,730,1,2688,16,10,40447477.52000004
Toyota Auto Receivables 2017-A Owner Trust,2018-01-31,12,720,730,2,1062,8,1,12788731.719999999
Toyota Auto Receivables 2017-A Owner Trust,2018-01-31,12,730,740,1,2588,8,3,38885445.870000005
Toyota Auto Receivables 2017-A Owner Trust,2018-01-31,12,730,740,2,965,8,2,11205673.279999986
