series,reporting_date,vintage_month,fico_low,fico_high,new_used,loan_count_current,loan_count_30_59,loan_count_60_plus,balance
USAA Auto Owner Trust 2017-1,2018-01-31,6,600,610,1,21,1,0,398288.9400000001
USAA Auto Owner Trust 2017-1,2018-01-31,6,600,610,2,22,0,0,257361.58999999997
USAA Auto Owner Trust 2017-1,2018-01-31,6,610,620,1,35,2,0,587259.4199999999
USAA Auto Owner Trust 2017-1,2018-01-31,6,610,620,2,56,1,1,578641.48
USAA Auto Owner Trust 2017-1,2018-01-31,6,620,630,1,63,0,0,988550.71
USAA Auto Owner Trust 2017-1,2018-01-31,6,620,630,2,87,1,0,1009484.7199999999
USAA Auto Owner Trust 2017-1,2018-01-31,6,630,640,1,97,0,0,1489291.6299999994
USAA Auto Owner Trust 2017-1,2018-01-31,6,630,640,2,136,0,0,1474102.1199999999
USAA Auto Owner Trust 2017-1,2018-01-31,6,640,650,1,142,1,1,2453228.2899999996
USAA Auto Owner Trust 2017-1,2018-01-31,6,640,650,2,222,1,0,2649381.0000000037
USAA Auto Owner Trust 2017-1,2018-01-31,6,650,660,1,231,0,0,3821518.72
USAA Auto Owner Trust 2017-1,2018-01-31,6,650,660,2,341,0,1,3833890.8600000003
USAA Auto Owner Trust 2017-1,2018-01-31,6,660,670,1,319,2,0,5296170.130000002
USAA Auto Owner Trust 2017-1,2018-01-31,6,660,670,2,460,1,1,5174374.909999999
USAA Auto Owner Trust 2017-1,2018-01-31,6,670,680,1,349,0,1,6053416.709999998
USAA Auto Owner Trust 2017-1,2018-01-31,6,670,680,2,637,4,0,7398961.86
USAA Auto Owner Trust 2017-1,2018-01-31,6,680,690,1,415,0,0,6884091.59
USAA Auto Owner Trust 2017-1,2018-01-31,6,680,690,2,789,1,0,8843745.1
USAA Auto Owner Trust 2017-1,2018-01-31,6,690,700,1,515,1,1,8352217.830000012
USAA Auto Owner Trust 2017-1,2018-01-31,6,690,700,2,1007,1,0,11925206.99999999
USAA Auto Owner Trust 2017-1,2018-01-31,6,700,710,1,528,0,0,8845785.969999997
USAA Auto Owner Trust 2017-1,2018-01-31,6,700,710,2,1096,2,0,12462093.979999995
USAA Auto Owner Trust 2017-1,2018-01-31,6,710,720,1,563,0,0,9527325.500000007
USAA Auto Owner Trust 2017-1,2018-01-31,6,710,720,2,1181,1,0,13622146.80000002
USAA Auto Owner Trust 2017-1,2018-01-31,6,720,730,1,633,3,1,10072178.260000002
USAA Auto Owner Trust 2017-1,2018-01-31,6,720,730,2,1355,0,0,15374596.17999997
USAA Auto Owner Trust 2017-1,2018-01-31,6,730,740,1,645,1,0,10486251.610000001
USAA Auto Owner Trust 2017-1,2018-01-31,6,730,740,2,1340,0,2,14780283.559999973
USAA Auto Owner Trust 2017-1,2018-01-31,6,740,750,1,664,1,0,10297623.319999991
USAA Auto Owner Trust 2017-1,2018-01-31,6,740,750,2,1390,3,0,15175092.719999988
USAA Auto Owner Trust 2017-1,2018-01-31,6,750,760,1,707,1,0,11080572.189999994
USAA Auto Owner Trust 2017-1,2018-01-31,6,750,760,2,1290,0,0,13721537.220000017
USAA Auto Owner Trust 2017-1,2018-01-31,6,760,770,1,785,0,0,12071952.350000007
USAA Auto Owner Trust 2017-1,2018-01-31,6,760,770,2,1260,0,0,12861474.010000011
USAA Auto Owner Trust 2017-1,2018-01-31,6,770,780,1,863,0,0,13902521.139999997
USAA Auto Owner Trust 2017-1,2018-01-31,6,770,780,2,1204,1,0,12764096.51000002
USAA Auto Owner Trust 2017-1,2018-01-31,6,780,790,1,947,0,0,15866989.589999989
USAA Auto Owner Trust 2017-1,2018-01-31,6,780,790,2,1176,0,0,11824168.080000015
USAA Auto Owner Trust 2017-1,2018-01-31,6,790,800,1,942,0,0,15311936.099999988
USAA Auto Owner Trust 2017-1,2018-01-31,6,790,800,2,1089,0,0,10458350.89000001
USAA Auto Owner Trust 2017-1,2018-01-31,6,800,810,1,855,0,0,13538008.96000002
USAA Auto Owner Trust 2017-1,2018-01-31,6,800,810,2,941,0,0,8850058.519999998
USAA Auto Owner Trust 2017-1,2018-01-31,6,810,820,1,450,0,0,7299021.55
USAA Auto Owner Trust 2017-1,2018-01-31,6,810,820,2,553,0,0,5245326.43
USAA Auto Owner Trust 2017-1,2018-01-31,6,820,830,1,135,0,0,2799861.9799999995
USAA Auto Owner Trust 2017-1,2018-01-31,6,820,830,2,215,0,0,2294373.9900000007
USAA Auto Owner Trust 2017-1,2018-01-31,6,830,840,1,52,0,0,1050774.8799999997
USAA Auto Owner Trust 2017-1,2018-01-31,6,830,840,2,52,0,0,559366.8
USAA Auto Owner Trust 2017-1,2018-01-31,6,840,850,1,1,0,0,9363.57
USAA Auto Owner Trust 2017-1,2018-01-31,6,840,850,2,1,0,0,14874.01
USAA Auto Owner Trust 2017-1,2019-01-31,18,600,610,1,19,0,0,261885.50000000003
USAA Auto Owner Trust 2017-1,2019-01-31,18,600,610,2,10,1,0,98075.0
USAA Auto Owner Trust 2017-1,2019-01-31,18,610,620,1,26,0,0,369971.0200000001
USAA Auto Owner Trust 2017-1,2019-01-31,18,610,620,2,27,0,0,193773.56
USAA Auto Owner Trust 2017-1,2019-01-31,18,620,630,1,48,0,0,566453.33
USAA Auto Owner Trust 2017-1,2019-01-31,18,620,630,2,56,1,0,505960.33999999997
USAA Auto Owner Trust 2017-1,2019-01-31,18,630,640,1,60,0,0,751607.9399999996
USAA Auto Owner Trust 2017-1,2019-01-31,18,630,640,2,83,0,1,758527.2300000003
USAA Auto Owner Trust 2017-1,2019-01-31,18,640,650,1,79,1,1,1235659.8799999997
USAA Auto Owner Trust 2017-1,2019-01-31,18,640,650,2,150,3,1,1420646.54
USAA Auto Owner Trust 2017-1,2019-01-31,18,650,660,1,146,1,0,1917113.050000001
USAA Auto Owner Trust 2017-1,2019-01-31,18,650,660,2,232,3,2,2034545.1600000008
