series,reporting_date,vintage_month,fico_low,fico_high,new_used,loan_count_current,loan_count_30_59,loan_count_60_plus,balance
Volkswagen Auto Loan Enhanced Trust 2018-1,2021-01-29,32,600,610,1,48,4,0,673282.1900000001
Volkswagen Auto Loan Enhanced Trust 2018-1,2021-01-29,32,600,610,2,29,2,0,241587.29
Volkswagen Auto Loan Enhanced Trust 2018-1,2021-01-29,32,610,620,1,61,2,1,777610.4300000002
Volkswagen Auto Loan Enhanced Trust 2018-1,2021-01-29,32,610,620,2,35,1,0,276216.29
Volkswagen Auto Loan Enhanced Trust 2018-1,2021-01-29,32,620,630,1,93,7,2,1351292.47
Volkswagen Auto Loan Enhanced Trust 2018-1,2021-01-29,32,620,630,2,87,2,1,758823.2899999998
Volkswagen Auto Loan Enhanced Trust 2018-1,2021-01-29,32,630,640,1,122,7,3,1676680.3199999998
Volkswagen Auto Loan Enhanced Trust 2018-1,2021-01-29,32,630,640,2,112,2,1,947975.8600000001
Volkswagen Auto Loan Enhanced Trust 2018-1,2021-01-29,32,640,650,1,232,12,1,3012316.5500000017
Volkswagen Auto Loan Enhanced Trust 2018-1,2021-01-29,32,640,650,2,147,5,3,1356366.6500000004
Volkswagen Auto Loan Enhanced Trust 2018-1,2021-01-29,32,650,660,1,235,8,2,2881316.9299999997
Volkswagen Auto Loan Enhanced Trust 2018-1,2021-01-29,32,650,660,2,157,4,1,1342336.2400000002
Volkswagen Auto Loan Enhanced Trust 2018-1,2021-01-29,32,660,670,1,365,9,5,4772497.739999997
Volkswagen Auto Loan Enhanced Trust 2018-1,2021-01-29,32,660,670,2,310,6,2,2427829.1800000006
Volkswagen Auto Loan Enhanced Trust 2018-1,2021-01-29,32,670,680,1,332,8,3,4261951.549999998
Volkswagen Auto Loan Enhanced Trust 2018-1,2021-01-29,32,670,680,2,361,8,1,2790987.4299999992
Volkswagen Auto Loan Enhanced Trust 2018-1,2021-01-29,32,680,690,1,589,8,0,6959022.780000003
Volkswagen Auto Loan Enhanced Trust 2018-1,2021-01-29,32,680,690,2,510,7,1,3936573.450000001
Volkswagen Auto Loan Enhanced Trust 2018-1,2021-01-29,32,690,700,1,534,5,0,6426545.650000002
Volkswagen Auto Loan Enhanced Trust 2018-1,2021-01-29,32,690,700,2,470,6,1,3579025.2899999977
Volkswagen Auto Loan Enhanced Trust 2018-1,2021-01-29,32,700,710,1,989,7,3,12129634.700000009
Volkswagen Auto Loan Enhanced Trust 2018-1,2021-01-29,32,700,710,2,836,7,5,6323447.499999998
Volkswagen Auto Loan Enhanced Trust 2018-1,2021-01-29,32,710,720,1,932,7,2,11025611.560000006
Volkswagen Auto Loan Enhanced Trust 2018-1,2021-01-29,32,710,720,2,694,4,1,5024767.7200000025
Volkswagen Auto Loan Enhanced Trust 2018-1,2021-01-29,32,720,730,1,888,2,1,10499559.999999996
Volkswagen Auto Loan Enhanced Trust 2018-1,2021-01-29,32,720,730,2,666,5,3,5049176.249999998
Volkswagen Auto Loan Enhanced Trust 2018-1,2021-01-29,32,730,740,1,920,2,1,10030856.740000002
Volkswagen Auto Loan Enhanced Trust 2018-1,2021-01-29,32,730,740,2,580,4,2,4225083.740000002
Volkswagen Auto Loan Enhanced Trust 2018-1,2021-01-29,32,740,750,1,953,4,1,10379299.729999997
Volkswagen Auto Loan Enhanced Trust 2018-1,2021-01-29,32,740,750,2,798,2,0,5500339.32
