issuer_code,vintage_year,loan_age_months,period_co_amt,orig_pool_amt,cumulative_co_amt,cumulative_loss_rate
WOART,2018,0,1199117.90000000,3723951053.09980488,1199117.90000000,0.00032200
WOART,2018,1,401917.18000000,3723951053.09980488,1601035.08000000,0.00042993
WOART,2018,2,840376.43000000,3723951053.09980488,2441411.51000000,0.00065560
WOART,2018,3,985221.90000000,3723951053.09980488,3426633.41000000,0.00092016
WOART,2018,4,964032.48000000,3723951053.09980488,4390665.89000000,0.00117903
WOART,2018,5,703960.37000000,3723951053.09980488,5094626.26000000,0.00136807
WOART,2018,6,1030610.89000000,3723951053.09980488,6125237.15000000,0.00164482
WOART,2018,7,667264.66000000,3723951053.09980488,6792501.81000000,0.00182400
WOART,2018,8,659336.21000000,3723951053.09980488,7451838.02000000,0.00200106
WOART,2018,9,324364.69000000,3723951053.09980488,7776202.71000000,0.00208816
WOART,2018,10,327475.44000000,3723951053.09980488,8103678.15000000,0.00217610
WOART,2018,11,178665.25000000,3723951053.09980488,8282343.40000000,0.00222407
WOART,2018,12,127053.40000000,3723951053.09980488,8409396.80000000,0.00225819
WOART,2018,13,156218.36000000,3723951053.09980488,8565615.16000000,0.00230014
WOART,2018,14,181128.32000000,3723951053.09980488,8746743.48000000,0.00234878
WOART,2018,15,67470.74000000,3723951053.09980488,8814214.22000000,0.00236690
WOART,2018,16,76628.25000000,3723951053.09980488,8890842.47000000,0.00238748
WOART,2018,17,77699.49000000,3723951053.09980488,8968541.96000000,0.00240834
WOART,2018,18,88796.69000000,3723951053.09980488,9057338.65000000,0.00243219
WOART,2018,19,119964.06000000,3723951053.09980488,9177302.71000000,0.00246440
WOART,2019,0,636230.49000000,4676901779.84974957,636230.49000000,0.00013604
WOART,2019,1,733543.66000000,4676901779.84974957,1369774.15000000,0.00029288
WOART,2019,2,692568.77000000,4676901779.84974957,2062342.92000000,0.00044096
WOART,2019,3,427237.97000000,4676901779.84974957,2489580.89000000,0.00053231
WOART,2019,4,576020.05000000,4676901779.84974957,3065600.94000000,0.00065548
WOART,2019,5,572028.05000000,4676901779.84974957,3637628.99000000,0.00077779
WOART,2019,6,795275.49000000,4676901779.84974957,4432904.48000000,0.00094783
WOART,2019,7,413289.89000000,4676901779.84974957,4846194.37000000,0.00103620
WOART,2019,8,604311.66000000,4676901779.84974957,5450506.03000000,0.00116541
WOART,2019,9,563890.81000000,4676901779.84974957,6014396.84000000,0.00128598
WOART,2019,10,254748.87000000,4676901779.84974957,6269145.71000000,0.00134045
WOART,2019,11,243209.72000000,4676901779.84974957,6512355.43000000,0.00139245
