series,reporting_date,vintage_month,fico_low,fico_high,new_used,loan_count_current,loan_count_30_59,loan_count_60_plus,balance
World Omni Select Auto Trust 2019-A,2020-01-31,5,420,430,1,1,0,0,18409.32
World Omni Select Auto Trust 2019-A,2020-01-31,5,430,440,1,2,0,0,45242.81
World Omni Select Auto Trust 2019-A,2020-01-31,5,440,450,1,2,1,1,87543.29000000001
World Omni Select Auto Trust 2019-A,2020-01-31,5,450,460,1,4,1,0,92143.44
World Omni Select Auto Trust 2019-A,2020-01-31,5,450,460,2,2,1,1,60127.65
World Omni Select Auto Trust 2019-A,2020-01-31,5,460,470,1,5,0,0,37633.270000000004
World Omni Select Auto Trust 2019-A,2020-01-31,5,460,470,2,4,0,0,55442.600000000006
World Omni Select Auto Trust 2019-A,2020-01-31,5,470,480,1,4,2,0,112774.91
World Omni Select Auto Trust 2019-A,2020-01-31,5,470,480,2,3,0,0,40811.97
World Omni Select Auto Trust 2019-A,2020-01-31,5,480,490,1,15,0,1,309278.9800000001
World Omni Select Auto Trust 2019-A,2020-01-31,5,480,490,2,2,1,0,84420.78000000001
World Omni Select Auto Trust 2019-A,2020-01-31,5,490,500,1,22,1,2,491143.42000000004
World Omni Select Auto Trust 2019-A,2020-01-31,5,490,500,2,7,1,0,104790.27
World Omni Select Auto Trust 2019-A,2020-01-31,5,500,510,1,42,6,3,947271.8
World Omni Select Auto Trust 2019-A,2020-01-31,5,500,510,2,11,3,0,231091.7
World Omni Select Auto Trust 2019-A,2020-01-31,5,510,520,1,66,6,1,1350768.62
World Omni Select Auto Trust 2019-A,2020-01-31,5,510,520,2,31,2,2,551051.97
World Omni Select Auto Trust 2019-A,2020-01-31,5,520,530,1,86,6,1,1914730.85
World Omni Select Auto Trust 2019-A,2020-01-31,5,520,530,2,30,4,3,507613.46999999986
World Omni Select Auto Trust 2019-A,2020-01-31,5,530,540,1,88,7,5,2064082.4000000004
World Omni Select Auto Trust 2019-A,2020-01-31,5,530,540,2,47,2,3,858899.0599999999
World Omni Select Auto Trust 2019-A,2020-01-31,5,540,550,1,204,24,2,4971370.36
World Omni Select Auto Trust 2019-A,2020-01-31,5,540,550,2,60,3,4,1007843.81
World Omni Select Auto Trust 2019-A,2020-01-31,5,550,560,1,203,22,8,4952364.519999999
World Omni Select Auto Trust 2019-A,2020-01-31,5,550,560,2,64,3,3,1059517.51
World Omni Select Auto Trust 2019-A,2020-01-31,5,560,570,1,235,34,5,5964511.270000001
World Omni Select Auto Trust 2019-A,2020-01-31,5,560,570,2,96,6,2,1713332.2199999997
World Omni Select Auto Trust 2019-A,2020-01-31,5,570,580,1,475,30,12,12019854.309999999
World Omni Select Auto Trust 2019-A,2020-01-31,5,570,580,2,128,8,3,2249261.46
World Omni Select Auto Trust 2019-A,2020-01-31,5,580,590,1,1257,98,29,33834905.13000002
World Omni Select Auto Trust 2019-A,2020-01-31,5,580,590,2,187,17,5,3613155.4100000006
World Omni Select Auto Trust 2019-A,2020-01-31,5,590,600,1,1510,101,48,40659171.66000001
World Omni Select Auto Trust 2019-A,2020-01-31,5,590,600,2,253,19,6,4631233.199999998
World Omni Select Auto Trust 2019-A,2020-01-31,5,600,610,1,1631,95,35,44116027.08
World Omni Select Auto Trust 2019-A,2020-01-31,5,600,610,2,361,22,10,6594345.050000001
World Omni Select Auto Trust 2019-A,2020-01-31,5,610,620,1,1687,87,23,45356245.06999997
World Omni Select Auto Trust 2019-A,2020-01-31,5,610,620,2,381,13,14,7055222.3100000005
World Omni Select Auto Trust 2019-A,2020-01-31,5,620,630,1,2189,101,39,58693773.689999975
World Omni Select Auto Trust 2019-A,2020-01-31,5,620,630,2,561,23,12,10568770.960000005
World Omni Select Auto Trust 2019-A,2020-01-31,5,630,640,1,1995,88,32,53343680.78999996
World Omni Select Auto Trust 2019-A,2020-01-31,5,630,640,2,529,30,11,9971651.479999993
World Omni Select Auto Trust 2019-A,2020-01-31,5,640,650,1,2475,79,28,65312751.69000003
World Omni Select Auto Trust 2019-A,2020-01-31,5,640,650,2,542,20,13,10422775.0
World Omni Select Auto Trust 2019-A,2020-01-31,5,650,660,1,209,6,3,5608191.36
World Omni Select Auto Trust 2019-A,2020-01-31,5,650,660,2,210,5,6,3859081.46
World Omni Select Auto Trust 2019-A,2020-01-31,5,660,670,1,278,14,3,7992648.339999998
World Omni Select Auto Trust 2019-A,2020-01-31,5,660,670,2,178,7,1,3549988.670000001
World Omni Select Auto Trust 2019-A,2020-01-31,5,670,680,1,240,7,3,6916738.929999998
World Omni Select Auto Trust 2019-A,2020-01-31,5,670,680,2,157,4,1,2768915.79
World Omni Select Auto Trust 2019-A,2020-01-31,5,680,690,1,230,3,1,6072126.800000001
World Omni Select Auto Trust 2019-A,2020-01-31,5,680,690,2,179,6,4,3492261.96
World Omni Select Auto Trust 2019-A,2020-01-31,5,690,700,1,200,6,1,5654063.450000001
World Omni Select Auto Trust 2019-A,2020-01-31,5,690,700,2,225,3,2,4100912.450000001
World Omni Select Auto Trust 2019-A,2020-01-31,5,700,710,1,328,6,2,9809420.030000001
World Omni Select Auto Trust 2019-A,2020-01-31,5,700,710,2,329,10,3,6079575.630000003
World Omni Select Auto Trust 2019-A,2020-01-31,5,710,720,1,256,5,1,7821255.8
World Omni Select Auto Trust 2019-A,2020-01-31,5,710,720,2,252,5,0,4769533.22
World Omni Select Auto Trust 2019-A,2020-01-31,5,720,730,1,391,5,0,12491372.330000002
World Omni Select Auto Trust 2019-A,2020-01-31,5,720,730,2,289,2,4,5348628.470000001
World Omni Select Auto Trust 2019-A,2020-01-31,5,730,740,1,395,8,0,12969841.26
World Omni Select Auto Trust 2019-A,2020-01-31,5,730,740,2,225,0,1,4138595.7
World Omni Select Auto Trust 2019-A,2020-01-31,5,740,750,1,296,1,2,9385940.93
World Omni Select Auto Trust 2019-A,2020-01-31,5,740,750,2,215,2,2,4008431.61
World Omni Select Auto Trust 2019-A,2020-01-31,5,750,760,1,290,7,1,9127978.580000002
World Omni Select Auto Trust 2019-A,2020-01-31,5,750,760,2,211,1,1,3864846.21
World Omni Select Auto Trust 2019-A,2020-01-31,5,760,770,1,246,2,0,7584790.400000001
World Omni Select Auto Trust 2019-A,2020-01-31,5,760,770,2,153,0,0,2743664.350000001
World Omni Select Auto Trust 2019-A,2020-01-31,5,770,780,1,257,2,0,7891167.700000001
World Omni Select Auto Trust 2019-A,2020-01-31,5,770,780,2,145,0,1,2508283.230000001
World Omni Select Auto Trust 2019-A,2020-01-31,5,780,790,1,193,0,2,5595698.0600000005
World Omni Select Auto Trust 2019-A,2020-01-31,5,780,790,2,156,2,0,2878246.77
World Omni Select Auto Trust 2019-A,2020-01-31,5,790,800,1,188,1,1,5662311.9
World Omni Select Auto Trust 2019-A,2020-01-31,5,790,800,2,136,2,0,2405285.2799999993
World Omni Select Auto Trust 2019-A,2020-01-31,5,800,810,1,166,0,0,4934663.9
World Omni Select Auto Trust 2019-A,2020-01-31,5,800,810,2,122,1,1,2193858.2399999998
World Omni Select Auto Trust 2019-A,2020-01-31,5,810,820,1,151,1,0,4455000.95
World Omni Select Auto Trust 2019-A,2020-01-31,5,810,820,2,115,0,1,2074625.0500000007
World Omni Select Auto Trust 2019-A,2020-01-31,5,820,830,1,135,0,0,3868923.41
World Omni Select Auto Trust 2019-A,2020-01-31,5,820,830,2,92,0,0,1497322.6699999997
World Omni Select Auto Trust 2019-A,2020-01-31,5,830,840,1,115,1,0,3255041.3199999994
World Omni Select Auto Trust 2019-A,2020-01-31,5,830,840,2,95,0,0,1568476.5000000005
World Omni Select Auto Trust 2019-A,2020-01-31,5,840,850,1,117,0,0,3413005.9899999998
World Omni Select Auto Trust 2019-A,2020-01-31,5,840,850,2,72,0,0,1266930.0099999998
World Omni Select Auto Trust 2019-A,2020-01-31,5,850,860,1,101,1,0,2897270.93
World Omni Select Auto Trust 2019-A,2020-01-31,5,850,860,2,75,0,0,1125797.3400000003
World Omni Select Auto Trust 2019-A,2020-01-31,5,860,870,1,60,0,0,1594970.0700000003
World Omni Select Auto Trust 2019-A,2020-01-31,5,860,870,2,40,0,0,658430.8699999999
World Omni Select Auto Trust 2019-A,2020-01-31,5,870,880,1,25,1,0,781894.5900000001
World Omni Select Auto Trust 2019-A,2020-01-31,5,870,880,2,24,0,0,475680.76
World Omni Select Auto Trust 2019-A,2020-01-31,5,880,890,1,2,0,0,74495.13
World Omni Select Auto Trust 2019-A,2020-01-31,5,880,890,2,7,0,0,79100.04000000001
World Omni Select Auto Trust 2019-A,2020-01-31,5,890,900,2,2,0,0,38516.0
World Omni Select Auto Trust 2019-A,2021-01-31,17,420,430,1,1,0,0,17938.36
World Omni Select Auto Trust 2019-A,2021-01-31,17,430,440,1,2,0,0,40475.94
World Omni Select Auto Trust 2019-A,2021-01-31,17,440,450,1,1,0,0,21117.68
World Omni Select Auto Trust 2019-A,2021-01-31,17,450,460,1,4,0,0,60754.67
World Omni Select Auto Trust 2019-A,2021-01-31,17,450,460,2,2,1,0,42797.17
World Omni Select Auto Trust 2019-A,2021-01-31,17,460,470,1,3,0,0,22658.21
World Omni Select Auto Trust 2019-A,2021-01-31,17,460,470,2,2,0,0,23021.44
World Omni Select Auto Trust 2019-A,2021-01-31,17,470,480,1,2,1,1,71156.77
World Omni Select Auto Trust 2019-A,2021-01-31,17,470,480,2,1,0,0,17312.95
World Omni Select Auto Trust 2019-A,2021-01-31,17,480,490,1,9,1,0,180134.07
World Omni Select Auto Trust 2019-A,2021-01-31,17,480,490,2,2,0,0,48063.509999999995
World Omni Select Auto Trust 2019-A,2021-01-31,17,490,500,1,12,4,2,299288.47
World Omni Select Auto Trust 2019-A,2021-01-31,17,490,500,2,5,0,0,55260.909999999996
World Omni Select Auto Trust 2019-A,2021-01-31,17,500,510,1,24,4,0,480865.95999999996
World Omni Select Auto Trust 2019-A,2021-01-31,17,500,510,2,11,1,0,168339.75999999998
World Omni Select Auto Trust 2019-A,2021-01-31,17,510,520,1,45,5,0,887148.3900000001
World Omni Select Auto Trust 2019-A,2021-01-31,17,510,520,2,23,1,2,366648.57000000007
World Omni Select Auto Trust 2019-A,2021-01-31,17,520,530,1,52,5,1,1211240.9100000004
World Omni Select Auto Trust 2019-A,2021-01-31,17,520,530,2,24,2,0,316125.7199999999
World Omni Select Auto Trust 2019-A,2021-01-31,17,530,540,1,66,5,3,1426400.8500000003
World Omni Select Auto Trust 2019-A,2021-01-31,17,530,540,2,30,3,1,483876.2599999999
