issuer_code,vintage_year,loan_age_months,period_co_amt,orig_pool_amt,cumulative_co_amt,cumulative_loss_rate
WOSAT,2013,81,1218.51000000,1015765.01000000,1218.51000000,0.00119960
WOSAT,2013,82,1899.55000000,1015765.01000000,3118.06000000,0.00306967
WOSAT,2013,84,5078.18000000,1015765.01000000,8196.24000000,0.00806903
WOSAT,2014,63,31457.53000000,50162015.67999997,31457.53000000,0.00062712
WOSAT,2014,64,27136.84000000,50162015.67999997,58594.37000000,0.00116810
WOSAT,2014,65,11470.50000000,50162015.67999997,70064.87000000,0.00139677
WOSAT,2014,66,18520.74000000,50162015.67999997,88585.61000000,0.00176599
WOSAT,2014,67,17032.06000000,50162015.67999997,105617.67000000,0.00210553
WOSAT,2014,68,26091.11000000,50162015.67999997,131708.78000000,0.00262567
WOSAT,2014,69,20405.91000000,50162015.67999997,152114.69000000,0.00303247
WOSAT,2014,70,26928.16000000,50162015.67999997,179042.85000000,0.00356929
WOSAT,2014,71,28396.30000000,50162015.67999997,207439.15000000,0.00413538
WOSAT,2014,72,13766.87000000,50162015.67999997,221206.02000000,0.00440983
WOSAT,2014,73,1736.67000000,50162015.67999997,222942.69000000,0.00444445
WOSAT,2014,75,7840.98000000,50162015.67999997,230783.67000000,0.00460077
WOSAT,2014,76,12272.46000000,50162015.67999997,243056.13000000,0.00484542
WOSAT,2014,77,5814.82000000,50162015.67999997,248870.95000000,0.00496134
WOSAT,2014,78,4696.45000000,50162015.67999997,253567.40000000,0.00505497
WOSAT,2014,79,5888.64000000,50162015.67999997,259456.04000000,0.00517236
WOSAT,2014,80,8221.97000000,50162015.67999997,267678.01000000,0.00533627
WOSAT,2014,81,14402.13000000,50162015.67999997,282080.14000000,0.00562338
WOSAT,2014,82,7127.77000000,50162015.67999997,289207.91000000,0.00576548
WOSAT,2014,83,2344.33000000,50162015.67999997,291552.24000000,0.00581221
WOSAT,2014,84,6903.02000000,50162015.67999997,298455.26000000,0.00594983
WOSAT,2015,60,12419.21000000,53955814.03999991,12419.21000000,0.00023017
WOSAT,2015,61,18944.76000000,53955814.03999991,31363.97000000,0.00058129
WOSAT,2015,62,251.29000000,53955814.03999991,31615.26000000,0.00058595
WOSAT,2015,63,24131.35000000,53955814.03999991,55746.61000000,0.00103319
WOSAT,2015,65,14916.16000000,53955814.03999991,70662.77000000,0.00130964
WOSAT,2015,66,10230.87000000,53955814.03999991,80893.64000000,0.00149926
WOSAT,2015,67,1974.56000000,53955814.03999991,82868.20000000,0.00153585
WOSAT,2015,68,8387.89000000,53955814.03999991,91256.09000000,0.00169131
WOSAT,2015,69,4492.38000000,53955814.03999991,95748.47000000,0.00177457
WOSAT,2015,70,1313.61000000,53955814.03999991,97062.08000000,0.00179892
WOSAT,2015,71,19114.50000000,53955814.03999991,116176.58000000,0.00215318
WOSAT,2015,72,4116.59000000,53955814.03999991,120293.17000000,0.00222948
WOSAT,2015,73,2073.73000000,53955814.03999991,122366.90000000,0.00226791
WOSAT,2015,74,6881.77000000,53955814.03999991,129248.67000000,0.00239545
WOSAT,2015,75,33507.20000000,53955814.03999991,162755.87000000,0.00301647
WOSAT,2015,76,6834.69000000,53955814.03999991,169590.56000000,0.00314314
WOSAT,2015,77,8843.62000000,53955814.03999991,178434.18000000,0.00330704
WOSAT,2015,78,7367.77000000,53955814.03999991,185801.95000000,0.00344359
WOSAT,2015,79,11616.10000000,53955814.03999991,197418.05000000,0.00365888
WOSAT,2015,80,10424.43000000,53955814.03999991,207842.48000000,0.00385209
WOSAT,2015,81,14229.23000000,53955814.03999991,222071.71000000,0.00411581
WOSAT,2015,82,16851.20000000,53955814.03999991,238922.91000000,0.00442812
WOSAT,2015,83,7496.89000000,53955814.03999991,246419.80000000,0.00456707
WOSAT,2015,84,10368.24000000,53955814.03999991,256788.04000000,0.00475923
WOSAT,2016,45,2686.81000000,80761951.63000000,2686.81000000,0.00003327
WOSAT,2016,61,7340.06000000,80761951.63000000,10026.87000000,0.00012415
WOSAT,2016,62,45203.93000000,80761951.63000000,55230.80000000,0.00068387
WOSAT,2016,63,54172.35000000,80761951.63000000,109403.15000000,0.00135464
WOSAT,2016,65,20754.46000000,80761951.63000000,130157.61000000,0.00161162
WOSAT,2016,66,14058.60000000,80761951.63000000,144216.21000000,0.00178569
