issuer_code,latest_month,n_loans,level_pct,raw_yoy_pct,aging_yoy_pct,non_aging_yoy_pct,age_shift_months
AART,2026-07-01,163296,2.3675,-0.29,-4.35,4.24,-4.4
AMCAR,2026-07-01,116254,14.8098,13.47,9.56,3.57,8.1
BLAST,2026-07-01,197827,18.7346,4.67,17.72,-11.08,3.8
BMWOT,2026-07-01,67056,1.196,54.32,7.68,43.31,5.5
CAOT,2026-07-01,578972,3.2074,-21.91,-0.65,-21.4,0.6
CMXS,2026-07-01,111231,11.6478,-13.15,-7.55,-6.05,1.2
COPAR,2026-07-01,139136,0.253,-42.99,-15.2,-32.77,-6.1
CRVNAN,2026-08-01,13664,29.7717,5.02,3.63,1.34,10.5
CRVNAP,2026-08-01,93578,5.4618,43.9,47.91,-2.71,16.3
DRIVE,2026-08-01,67081,26.1684,7.14,2.04,4.99,0.9
EART,2026-07-01,475097,19.6044,-3.96,0.15,-4.1,-0.9
FCAOT,2026-07-01,204159,1.1922,7.17,5.7,1.39,2.0
FTAT,2026-07-01,31928,1.1996,7.85,7.51,0.31,11.4
GMCAR,2026-07-01,315031,1.3513,12.51,9.56,2.69,0.8
HAROT,2026-07-01,1309599,1.0809,16.27,5.13,10.59,0.4
HART,2026-07-01,577017,1.4417,-5.65,0.05,-5.7,-3.3
MBART,2026-07-01,69343,2.0608,38.83,1.06,37.38,7.1
NAROT,2026-07-01,225659,0.737,-23.85,-1.26,-22.88,-1.2
SDART,2026-08-01,224226,22.757,17.24,9.69,6.88,10.7
TAOT,2026-07-01,569791,1.2899,0.31,0.56,-0.24,-0.0
VALET,2026-07-01,147708,1.1001,7.1,13.39,-5.55,8.0
WOART,2026-07-01,291393,2.0982,6.18,-1.43,7.72,-0.2
WOSAT,2026-07-01,38678,10.4866,5.61,-6.74,13.25,-5.9
