issuer_code,reporting_date,fico_low,fico_high,loan_count_current,loan_count_30_59,loan_count_60_plus,balance
AART,2017-02-01,620,630,63,0,0,1204858.33
AART,2017-02-01,630,640,52,0,1,1025950.1299999999
AART,2017-02-01,640,650,76,0,0,1451137.3500000006
AART,2017-02-01,650,660,88,2,0,1723668.37
AART,2017-02-01,660,670,5060,44,13,78327890.25000007
AART,2017-02-01,670,680,5320,49,6,83524150.78999999
AART,2017-02-01,680,690,5201,45,9,81964019.47999996
AART,2017-02-01,690,700,5086,30,2,82112132.11999996
AART,2017-02-01,700,710,3947,28,7,65406993.569999985
AART,2017-02-01,710,720,3466,29,3,55591719.249999955
AART,2017-02-01,720,730,3122,16,4,49324209.95000003
AART,2017-02-01,730,740,2899,14,3,45841622.849999994
AART,2017-02-01,740,750,2758,10,2,43127164.95
AART,2017-02-01,750,760,2358,8,2,37866602.53000007
AART,2017-02-01,760,770,2225,6,0,34746590.57999998
AART,2017-02-01,770,780,2271,6,0,35805295.04000003
AART,2017-02-01,780,790,2510,11,1,39899391.939999975
AART,2017-02-01,790,800,2380,3,0,37511647.54999995
AART,2017-02-01,800,810,2703,5,0,42020207.37000002
AART,2017-02-01,810,820,3110,6,0,46098909.600000024
AART,2017-02-01,820,830,3118,4,0,45489957.24000001
AART,2017-02-01,830,840,2554,2,0,36314058.30000001
AART,2017-02-01,840,850,1216,1,0,17870023.179999985
AART,2017-02-01,850,860,770,1,0,10806418.93
AART,2017-02-01,860,870,361,0,0,4896546.22
AART,2017-02-01,870,880,248,0,0,3466939.9299999997
AART,2017-02-01,880,890,54,0,0,741721.34
AART,2017-02-01,890,900,9,0,0,121092.29000000001
AART,2017-03-01,620,630,123,1,0,2312717.84
AART,2017-03-01,630,640,115,0,1,2286565.14
AART,2017-03-01,640,650,161,0,0,3099884.48
AART,2017-03-01,650,660,179,0,0,3421958.17
AART,2017-03-01,660,670,9996,95,8,149023944.79
AART,2017-03-01,670,680,10602,92,5,161155527.15999997
AART,2017-03-01,680,690,10051,78,15,152412266.27999997
AART,2017-03-01,690,700,9534,60,5,146945155.68999994
AART,2017-03-01,700,710,7718,64,7,124443158.90000002
AART,2017-03-01,710,720,7014,33,6,110594065.40999988
AART,2017-03-01,720,730,6245,28,2,96348702.18999997
AART,2017-03-01,730,740,5811,20,3,90370884.39999998
AART,2017-03-01,740,750,5681,11,2,85937433.88000005
AART,2017-03-01,750,760,4604,19,4,71217928.51999998
AART,2017-03-01,760,770,4405,11,0,65513470.73999999
AART,2017-03-01,770,780,4360,3,2,65688035.41000001
AART,2017-03-01,780,790,4832,8,1,72868163.05000004
AART,2017-03-01,790,800,4579,10,0,67959931.11000004
AART,2017-03-01,800,810,5215,7,1,75903052.61000004
AART,2017-03-01,810,820,6126,8,0,87488034.21000007
AART,2017-03-01,820,830,6184,5,0,86139347.53000006
AART,2017-03-01,830,840,4983,10,0,68092981.45999998
AART,2017-03-01,840,850,2331,1,0,31841468.830000013
AART,2017-03-01,850,860,1520,0,0,20050836.459999997
AART,2017-03-01,860,870,680,0,0,8959403.429999998
AART,2017-03-01,870,880,476,0,0,6363615.0
AART,2017-03-01,880,890,96,0,0,1218002.49
AART,2017-03-01,890,900,16,0,0,229400.06
AART,2017-04-01,620,630,124,0,0,2261773.06
AART,2017-04-01,630,640,114,0,0,2193208.5799999996
AART,2017-04-01,640,650,159,1,0,3041505.0599999996
AART,2017-04-01,650,660,177,2,0,3367610.72
AART,2017-04-01,660,670,9870,87,23,144366888.18
AART,2017-04-01,670,680,10406,98,23,156042464.93000004
AART,2017-04-01,680,690,9838,93,22,146952246.6799998
AART,2017-04-01,690,700,9378,59,19,142262711.92999995
AART,2017-04-01,700,710,7603,56,12,120336461.92000002
AART,2017-04-01,710,720,6886,46,13,106888969.45999998
AART,2017-04-01,720,730,6142,24,9,93252123.11
AART,2017-04-01,730,740,5710,24,5,87090140.80999999
AART,2017-04-01,740,750,5580,24,3,83047139.92
AART,2017-04-01,750,760,4542,26,2,68990238.82999995
AART,2017-04-01,760,770,4302,11,6,62771028.54
AART,2017-04-01,770,780,4273,6,3,63116398.48999998
AART,2017-04-01,780,790,4727,13,5,70214547.58000007
AART,2017-04-01,790,800,4523,5,2,65496068.05999997
AART,2017-04-01,800,810,5109,13,3,72995362.29
AART,2017-04-01,810,820,6006,12,2,84112391.17999998
AART,2017-04-01,820,830,6081,5,1,82918993.31000002
AART,2017-04-01,830,840,4886,7,4,65362075.88999994
AART,2017-04-01,840,850,2297,3,0,30686835.989999983
AART,2017-04-01,850,860,1497,1,0,19392920.21
AART,2017-04-01,860,870,672,0,0,8669605.530000001
AART,2017-04-01,870,880,472,0,0,6142364.81
AART,2017-04-01,880,890,94,0,0,1150273.3700000003
AART,2017-04-01,890,900,16,0,0,219548.15999999997
AART,2017-05-01,620,630,166,1,0,3023872.49
AART,2017-05-01,630,640,168,3,0,3300225.34
AART,2017-05-01,640,650,228,2,1,4293806.47
AART,2017-05-01,650,660,254,1,0,4731713.42
AART,2017-05-01,660,670,15358,195,33,229021791.52000004
AART,2017-05-01,670,680,15834,167,18,236926604.9799999
AART,2017-05-01,680,690,14994,146,24,223992655.57000005
AART,2017-05-01,690,700,13637,106,16,205440864.12999994
AART,2017-05-01,700,710,11214,90,13,174280786.51
AART,2017-05-01,710,720,10120,76,10,156950828.79999992
AART,2017-05-01,720,730,9092,62,5,137273828.35000005
AART,2017-05-01,730,740,8234,51,4,124273991.5
AART,2017-05-01,740,750,8119,42,6,121124978.60999994
AART,2017-05-01,750,760,6807,26,4,102689079.55999991
AART,2017-05-01,760,770,6265,19,2,91387617.06
AART,2017-05-01,770,780,6287,10,4,92669131.63
AART,2017-05-01,780,790,7063,12,3,104023119.73000002
AART,2017-05-01,790,800,6830,11,1,99698596.78000003
AART,2017-05-01,800,810,7547,14,4,108588213.64999996
AART,2017-05-01,810,820,8958,14,0,126238159.20000003
AART,2017-05-01,820,830,8963,7,0,123865851.90999998
AART,2017-05-01,830,840,7120,8,1,96192180.78999999
AART,2017-05-01,840,850,3377,3,0,45285945.659999974
AART,2017-05-01,850,860,2190,2,0,28918672.049999997
AART,2017-05-01,860,870,992,0,0,13018418.939999998
AART,2017-05-01,870,880,720,0,0,9286165.75
AART,2017-05-01,880,890,141,0,0,1818464.46
AART,2017-05-01,890,900,25,0,0,336558.64
AART,2017-06-01,620,630,161,2,0,2892885.549999999
AART,2017-06-01,630,640,166,1,1,3167851.3599999994
AART,2017-06-01,640,650,226,2,0,4183686.59
AART,2017-06-01,650,660,250,2,1,4610424.4
AART,2017-06-01,660,670,15058,199,51,221027968.62000006
AART,2017-06-01,670,680,15504,168,24,228010511.49
AART,2017-06-01,680,690,14664,156,32,215890423.39999995
AART,2017-06-01,690,700,13348,121,23,197941064.22
AART,2017-06-01,700,710,10968,97,16,167701808.38
AART,2017-06-01,710,720,9923,63,24,151359279.41999993
AART,2017-06-01,720,730,8924,71,14,132544725.55000003
AART,2017-06-01,730,740,8059,50,13,119548781.51000006
AART,2017-06-01,740,750,7957,44,16,116654852.52000001
AART,2017-06-01,750,760,6687,24,5,98987588.44999999
