issuer_code,reporting_date,fico_low,fico_high,new_used,loan_count_current,loan_count_30_59,loan_count_60_plus,balance
AART,2017-07-01,620,630,1,46,0,0,904845.0299999998
AART,2017-07-01,620,630,2,13,0,0,122731.33
AART,2017-07-01,630,640,1,36,1,0,765585.5
AART,2017-07-01,630,640,2,15,0,0,149204.76
AART,2017-07-01,640,650,1,49,0,0,975121.19
AART,2017-07-01,640,650,2,19,1,0,238832.66
AART,2017-07-01,650,660,1,70,0,0,1265665.5599999998
AART,2017-07-01,650,660,2,17,0,0,241275.24
AART,2017-07-01,660,670,1,2122,40,10,39429590.80999998
AART,2017-07-01,660,670,2,2431,36,10,25684109.39000006
AART,2017-07-01,670,680,1,2439,39,9,44822699.04999992
AART,2017-07-01,670,680,2,2364,27,5,24456802.409999996
AART,2017-07-01,680,690,1,2406,36,4,44101253.22999998
AART,2017-07-01,680,690,2,2257,35,8,23770508.62999998
AART,2017-07-01,690,700,1,2388,36,4,45053453.500000015
AART,2017-07-01,690,700,2,2156,21,3,22569555.85000001
AART,2017-07-01,700,710,1,1895,27,9,36518171.52
AART,2017-07-01,700,710,2,1625,18,7,17424216.94000002
AART,2017-07-01,710,720,1,1657,17,3,30504160.430000015
AART,2017-07-01,710,720,2,1457,18,8,15585665.480000015
AART,2017-07-01,720,730,1,1514,10,1,26858441.489999972
AART,2017-07-01,720,730,2,1261,13,4,13687068.110000009
AART,2017-07-01,730,740,1,1423,13,3,25435972.989999972
AART,2017-07-01,730,740,2,1201,9,2,12612539.780000005
AART,2017-07-01,740,750,1,1406,7,2,24324500.290000025
AART,2017-07-01,740,750,2,1084,7,1,11508570.909999993
AART,2017-07-01,750,760,1,1221,6,2,21647374.890000004
AART,2017-07-01,750,760,2,917,6,3,9936976.47
AART,2017-07-01,760,770,1,1183,3,1,19934946.849999975
AART,2017-07-01,760,770,2,803,6,2,8413770.720000014
AART,2017-07-01,770,780,1,1247,1,0,20684798.21
AART,2017-07-01,770,780,2,787,1,0,8115334.550000003
AART,2017-07-01,780,790,1,1431,6,3,24184096.770000063
AART,2017-07-01,780,790,2,837,4,0,8773583.969999999
AART,2017-07-01,790,800,1,1360,3,0,22433547.589999955
AART,2017-07-01,790,800,2,778,4,0,8132071.490000005
AART,2017-07-01,800,810,1,1588,3,0,25393355.29000001
AART,2017-07-01,800,810,2,842,3,0,8936707.960000003
AART,2017-07-01,810,820,1,1874,2,0,28150976.89
AART,2017-07-01,810,820,2,910,3,2,9394714.829999998
AART,2017-07-01,820,830,1,1918,1,1,28245089.569999967
AART,2017-07-01,820,830,2,848,3,4,8383327.569999996
AART,2017-07-01,830,840,1,1618,1,0,23167614.459999964
AART,2017-07-01,830,840,2,695,2,1,6542558.859999998
AART,2017-07-01,840,850,1,782,1,0,11453781.38000001
AART,2017-07-01,840,850,2,330,2,0,3245669.9900000026
AART,2017-07-01,850,860,1,491,0,0,6793865.940000001
AART,2017-07-01,850,860,2,215,1,0,2131387.48
AART,2017-07-01,860,870,1,218,0,0,2953224.760000002
AART,2017-07-01,860,870,2,112,0,0,1060952.6
AART,2017-07-01,870,880,1,165,0,0,2300620.0799999987
AART,2017-07-01,870,880,2,57,1,0,530921.06
AART,2017-07-01,880,890,1,43,0,0,552007.9000000001
AART,2017-07-01,880,890,2,7,0,0,35177.26
AART,2017-07-01,890,900,1,4,0,0,47854.66
AART,2017-07-01,890,900,2,3,0,0,33311.95
AART,2017-08-01,620,630,1,93,1,0,1783079.3900000001
AART,2017-08-01,620,630,2,22,0,0,190111.78
AART,2017-08-01,630,640,1,80,1,1,1621516.59
AART,2017-08-01,630,640,2,28,0,0,308378.14
AART,2017-08-01,640,650,1,114,1,0,2263366.7600000002
AART,2017-08-01,640,650,2,38,0,0,417724.26
AART,2017-08-01,650,660,1,138,1,0,2585802.26
AART,2017-08-01,650,660,2,36,0,0,442875.74
AART,2017-08-01,660,670,1,4213,62,15,74659411.71000001
AART,2017-08-01,660,670,2,4803,67,25,49527691.719999984
AART,2017-08-01,670,680,1,4781,71,20,84886244.68999997
AART,2017-08-01,670,680,2,4779,76,23,49483394.82000002
AART,2017-08-01,680,690,1,4543,59,18,80754742.36999997
AART,2017-08-01,680,690,2,4436,61,15,45362616.53
AART,2017-08-01,690,700,1,4377,52,9,78443707.67000005
AART,2017-08-01,690,700,2,4175,42,6,42776776.95999998
AART,2017-08-01,700,710,1,3693,38,15,69037573.87
AART,2017-08-01,700,710,2,3238,27,7,34125940.08000001
AART,2017-08-01,710,720,1,3356,34,9,60917045.93999997
AART,2017-08-01,710,720,2,2937,22,11,30935914.529999986
AART,2017-08-01,720,730,1,3028,24,5,52640103.18999998
AART,2017-08-01,720,730,2,2565,20,10,26977188.330000002
AART,2017-08-01,730,740,1,2924,18,5,50860163.11000001
AART,2017-08-01,730,740,2,2295,21,10,23992103.359999996
AART,2017-08-01,740,750,1,2909,12,5,48249778.629999995
AART,2017-08-01,740,750,2,2219,14,3,22639136.54
AART,2017-08-01,750,760,1,2442,12,2,41048542.780000016
AART,2017-08-01,750,760,2,1767,13,5,18426889.62999999
AART,2017-08-01,760,770,1,2355,10,0,37676095.94
AART,2017-08-01,760,770,2,1575,11,3,15872132.02
AART,2017-08-01,770,780,1,2398,3,4,38431713.669999994
AART,2017-08-01,770,780,2,1505,5,0,15039290.300000004
AART,2017-08-01,780,790,1,2756,13,2,43849629.780000016
AART,2017-08-01,780,790,2,1570,10,2,15578973.709999999
AART,2017-08-01,790,800,1,2659,4,3,41169991.43000002
AART,2017-08-01,790,800,2,1420,11,6,14096803.44
AART,2017-08-01,800,810,1,3031,3,2,45358090.86999996
AART,2017-08-01,800,810,2,1618,5,2,15960901.840000004
AART,2017-08-01,810,820,1,3715,6,1,53872645.36999999
AART,2017-08-01,810,820,2,1750,4,1,16770142.5
AART,2017-08-01,820,830,1,3843,3,3,53510346.160000026
AART,2017-08-01,820,830,2,1673,2,1,15814095.520000003
AART,2017-08-01,830,840,1,3161,6,1,43080266.12000002
AART,2017-08-01,830,840,2,1318,4,1,11724882.920000002
AART,2017-08-01,840,850,1,1478,0,0,20066561.880000003
AART,2017-08-01,840,850,2,644,4,0,5901118.8999999985
AART,2017-08-01,850,860,1,978,2,0,12678249.96
AART,2017-08-01,850,860,2,404,0,1,3616481.49
AART,2017-08-01,860,870,1,442,0,0,5720963.77
AART,2017-08-01,860,870,2,181,1,1,1596439.32
AART,2017-08-01,870,880,1,316,0,0,4256971.2
AART,2017-08-01,870,880,2,115,1,0,1008332.9299999999
AART,2017-08-01,880,890,1,70,0,0,841551.23
AART,2017-08-01,880,890,2,19,0,0,125732.98
AART,2017-08-01,890,900,1,8,0,0,111062.19
AART,2017-08-01,890,900,2,6,0,0,66523.55
AART,2017-09-01,620,630,1,90,1,0,1697326.38
AART,2017-09-01,620,630,2,22,0,0,185804.22999999998
AART,2017-09-01,630,640,1,80,1,1,1587946.2599999998
AART,2017-09-01,630,640,2,27,1,0,301491.45
AART,2017-09-01,640,650,1,113,0,0,2198537.74
AART,2017-09-01,640,650,2,35,1,0,384904.24
AART,2017-09-01,650,660,1,137,1,0,2519164.76
AART,2017-09-01,650,660,2,35,1,0,435195.75
AART,2017-09-01,660,670,1,4113,77,15,72177733.08999994
AART,2017-09-01,660,670,2,4712,82,24,47840628.42
AART,2017-09-01,670,680,1,4662,85,22,81840072.62
AART,2017-09-01,670,680,2,4666,88,23,47605421.67
AART,2017-09-01,680,690,1,4434,77,17,77846144.04000005
AART,2017-09-01,680,690,2,4345,69,19,43801668.84999995
AART,2017-09-01,690,700,1,4265,59,13,75659838.27000007
AART,2017-09-01,690,700,2,4073,39,15,41125420.12999995
AART,2017-09-01,700,710,1,3591,44,11,66467733.730000034
AART,2017-09-01,700,710,2,3167,37,9,32938014.31000001
AART,2017-09-01,710,720,1,3265,47,14,58753212.84999997
AART,2017-09-01,710,720,2,2881,27,6,29855190.650000006
AART,2017-09-01,720,730,1,2948,27,8,50672144.97000001
AART,2017-09-01,720,730,2,2515,18,7,26027976.819999978
AART,2017-09-01,730,740,1,2843,18,10,48845023.919999994
AART,2017-09-01,730,740,2,2256,14,13,23118067.959999986
AART,2017-09-01,740,750,1,2844,10,3,46469378.63999993
AART,2017-09-01,740,750,2,2162,18,3,21689026.01000001
AART,2017-09-01,750,760,1,2370,20,0,39558792.639999986
AART,2017-09-01,750,760,2,1738,11,3,17758856.740000006
AART,2017-09-01,760,770,1,2293,12,3,36074270.92999999
AART,2017-09-01,760,770,2,1537,13,1,15197226.109999988
AART,2017-09-01,770,780,1,2331,7,2,36961133.609999985
AART,2017-09-01,770,780,2,1472,7,1,14391227.199999992
AART,2017-09-01,780,790,1,2694,7,3,42045418.099999994
AART,2017-09-01,780,790,2,1530,9,1,14870309.929999998
AART,2017-09-01,790,800,1,2589,6,2,39565966.769999996
AART,2017-09-01,790,800,2,1389,9,4,13498393.330000011
AART,2017-09-01,800,810,1,2967,5,0,43559559.74999997
AART,2017-09-01,800,810,2,1586,7,3,15305960.36999999
AART,2017-09-01,810,820,1,3634,7,2,51876204.40999999
AART,2017-09-01,810,820,2,1713,8,2,16116639.340000004
AART,2017-09-01,820,830,1,3727,3,2,51291205.93999998
AART,2017-09-01,820,830,2,1639,7,1,15121148.450000001
AART,2017-09-01,830,840,1,3087,4,4,41271610.83
AART,2017-09-01,830,840,2,1292,8,1,11260559.670000002
AART,2017-09-01,840,850,1,1447,0,0,19369906.310000002
AART,2017-09-01,840,850,2,628,4,1,5598381.929999999
AART,2017-09-01,850,860,1,951,0,0,12074922.16000001
AART,2017-09-01,850,860,2,396,0,0,3456863.250000001
AART,2017-09-01,860,870,1,429,0,0,5518350.77
AART,2017-09-01,860,870,2,179,0,0,1522721.13
AART,2017-09-01,870,880,1,313,0,0,4137332.750000002
AART,2017-09-01,870,880,2,112,1,1,979403.8500000001
AART,2017-09-01,880,890,1,70,0,0,812442.53
AART,2017-09-01,880,890,2,17,0,0,120880.22
AART,2017-09-01,890,900,1,8,0,0,109561.98
AART,2017-09-01,890,900,2,6,0,0,65222.340000000004
AART,2017-10-01,620,630,1,116,1,0,2173658.02
AART,2017-10-01,620,630,2,31,1,0,306193.02
AART,2017-10-01,630,640,1,124,0,1,2432644.04
AART,2017-10-01,630,640,2,39,0,0,404164.85
AART,2017-10-01,640,650,1,157,2,2,3083599.2800000007
AART,2017-10-01,640,650,2,54,0,0,561073.69
AART,2017-10-01,650,660,1,185,2,0,3415745.22
AART,2017-10-01,650,660,2,59,0,0,663447.37
AART,2017-10-01,660,670,1,6464,130,38,115533985.5099999
AART,2017-10-01,660,670,2,7299,140,41,75053266.26000008
AART,2017-10-01,670,680,1,6927,139,32,122330745.8600001
AART,2017-10-01,670,680,2,7186,146,33,73901275.61000004
AART,2017-10-01,680,690,1,6708,101,38,117319218.33999996
AART,2017-10-01,680,690,2,6665,108,30,67605912.14999996
AART,2017-10-01,690,700,1,6175,82,24,108228167.96999992
AART,2017-10-01,690,700,2,5984,68,24,60504741.519999996
AART,2017-10-01,700,710,1,5187,62,22,94116901.63999999
AART,2017-10-01,700,710,2,4804,71,15,50075042.68000002
AART,2017-10-01,710,720,1,4749,51,17,84753667.73
AART,2017-10-01,710,720,2,4307,40,9,44862332.359999985
AART,2017-10-01,720,730,1,4386,37,13,74396120.62999998
AART,2017-10-01,720,730,2,3730,40,9,38840885.28
AART,2017-10-01,730,740,1,4080,30,13,68790314.1
AART,2017-10-01,730,740,2,3276,28,8,33709668.41000001
AART,2017-10-01,740,750,1,4131,24,5,67347815.83000003
AART,2017-10-01,740,750,2,3158,23,5,31728190.160000004
AART,2017-10-01,750,760,1,3557,20,3,58852497.62000002
AART,2017-10-01,750,760,2,2550,22,7,25986364.980000008
AART,2017-10-01,760,770,1,3332,14,4,52622297.489999995
AART,2017-10-01,760,770,2,2247,18,5,22085083.600000005
AART,2017-10-01,770,780,1,3482,7,4,54499189.35
AART,2017-10-01,770,780,2,2084,12,1,20316641.950000003
AART,2017-10-01,780,790,1,4036,9,9,62412155.81000003
AART,2017-10-01,780,790,2,2252,11,3,21808072.589999996
AART,2017-10-01,790,800,1,3956,11,4,60639289.67999996
AART,2017-10-01,790,800,2,2065,13,4,20177969.770000003
AART,2017-10-01,800,810,1,4476,5,2,65813332.09000006
AART,2017-10-01,800,810,2,2246,11,2,21530725.020000003
AART,2017-10-01,810,820,1,5443,13,4,78110077.16
AART,2017-10-01,810,820,2,2496,11,2,23437785.379999977
AART,2017-10-01,820,830,1,5588,7,2,78170283.13999993
AART,2017-10-01,820,830,2,2313,9,0,21241846.090000004
AART,2017-10-01,830,840,1,4509,5,2,61002238.70000005
AART,2017-10-01,830,840,2,1837,5,4,16216238.659999993
AART,2017-10-01,840,850,1,2116,1,0,28602467.18000001
AART,2017-10-01,840,850,2,891,7,1,8013887.66
AART,2017-10-01,850,860,1,1411,2,0,18400274.07
AART,2017-10-01,850,860,2,547,1,0,4881040.800000001
AART,2017-10-01,860,870,1,634,1,0,8402338.13
AART,2017-10-01,860,870,2,259,1,0,2291979.159999999
AART,2017-10-01,870,880,1,482,0,0,6163719.48
AART,2017-10-01,870,880,2,166,1,1,1466171.65
AART,2017-10-01,880,890,1,100,0,0,1273646.21
AART,2017-10-01,880,890,2,32,0,0,252174.62
AART,2017-10-01,890,900,1,14,0,0,193613.56
AART,2017-10-01,890,900,2,8,0,0,82692.0
AART,2017-11-01,620,630,1,115,0,1,2110873.1399999997
AART,2017-11-01,620,630,2,29,1,1,289319.95999999996
AART,2017-11-01,630,640,1,120,3,1,2357248.88
AART,2017-11-01,630,640,2,38,1,0,394370.31999999995
AART,2017-11-01,640,650,1,155,4,1,3020477.46
AART,2017-11-01,640,650,2,52,0,0,532118.9299999999
AART,2017-11-01,650,660,1,181,2,0,3260468.76
AART,2017-11-01,650,660,2,57,1,0,638973.13
AART,2017-11-01,660,670,1,6290,144,40,111179667.60000002
AART,2017-11-01,660,670,2,7171,146,31,72311996.95
AART,2017-11-01,670,680,1,6752,156,31,117755683.27000004
