issuer_code,vintage_year,fico_low,new_used,loan_age_months,period_co_amt,orig_pool_amt,cumulative_co_amt,cumulative_loss_rate
AART,2017,540,1,25,14052.87000000,17424.60000000,14052.87000000,0.80649599
AART,2017,590,2,21,12692.47000000,17351.88000000,12692.47000000,0.73147521
AART,2017,610,1,22,22614.99000000,107731.78000000,22614.99000000,0.20991939
AART,2017,620,1,13,14481.23000000,5735096.13000000,14481.23000000,0.00252502
AART,2017,620,1,16,38892.53000000,5735096.13000000,53373.76000000,0.00930652
AART,2017,620,1,27,16973.02000000,5735096.13000000,70346.78000000,0.01226602
AART,2017,620,1,28,13219.25000000,5735096.13000000,83566.03000000,0.01457099
AART,2017,620,1,35,66.09000000,5735096.13000000,83632.12000000,0.01458251
AART,2017,620,1,38,20763.76000000,5735096.13000000,104395.88000000,0.01820299
AART,2017,620,1,40,9462.55000000,5735096.13000000,113858.43000000,0.01985292
AART,2017,620,1,41,42461.39000000,5735096.13000000,156319.82000000,0.02725670
AART,2017,620,2,7,10096.63000000,1064621.96000000,10096.63000000,0.00948377
AART,2017,620,2,10,8508.83000000,1064621.96000000,18605.46000000,0.01747612
AART,2017,620,2,18,6335.27000000,1064621.96000000,24940.73000000,0.02342684
AART,2017,620,2,19,11473.12000000,1064621.96000000,36413.85000000,0.03420355
AART,2017,630,1,9,26082.73000000,6307782.89000000,26082.73000000,0.00413501
AART,2017,630,1,12,1673.80000000,6307782.89000000,27756.53000000,0.00440036
AART,2017,630,1,14,22083.87000000,6307782.89000000,49840.40000000,0.00790141
AART,2017,630,1,16,10666.80000000,6307782.89000000,60507.20000000,0.00959247
AART,2017,630,1,18,20001.56000000,6307782.89000000,80508.76000000,0.01276340
AART,2017,630,1,20,20420.62000000,6307782.89000000,100929.38000000,0.01600077
AART,2017,630,1,22,20604.37000000,6307782.89000000,121533.75000000,0.01926727
AART,2017,630,1,29,35556.23000000,6307782.89000000,157089.98000000,0.02490415
AART,2017,630,1,31,14979.74000000,6307782.89000000,172069.72000000,0.02727895
AART,2017,630,1,32,2101.12000000,6307782.89000000,174170.84000000,0.02761205
AART,2017,630,1,35,18280.90000000,6307782.89000000,192451.74000000,0.03051020
AART,2017,630,1,38,6627.78000000,6307782.89000000,199079.52000000,0.03156093
AART,2017,630,1,41,26734.55000000,6307782.89000000,225814.07000000,0.03579928
AART,2017,630,1,42,10380.06000000,6307782.89000000,236194.13000000,0.03744487
AART,2017,630,1,44,21770.74000000,6307782.89000000,257964.87000000,0.04089628
AART,2017,630,2,11,28188.68000000,1127383.41000000,28188.68000000,0.02500363
AART,2017,630,2,15,16898.95000000,1127383.41000000,45087.63000000,0.03999316
AART,2017,630,2,18,8606.09000000,1127383.41000000,53693.72000000,0.04762685
AART,2017,630,2,21,8536.86000000,1127383.41000000,62230.58000000,0.05519913
AART,2017,630,2,36,8766.01000000,1127383.41000000,70996.59000000,0.06297466
AART,2017,630,2,43,11718.83000000,1127383.41000000,82715.42000000,0.07336938
AART,2017,640,1,7,68347.40000000,8602124.50000000,68347.40000000,0.00794541
AART,2017,640,1,8,27706.06000000,8602124.50000000,96053.46000000,0.01116625
AART,2017,640,1,10,12909.60000000,8602124.50000000,108963.06000000,0.01266699
AART,2017,640,1,14,48760.78000000,8602124.50000000,157723.84000000,0.01833545
AART,2017,640,1,16,12446.11000000,8602124.50000000,170169.95000000,0.01978232
AART,2017,640,1,23,18844.73000000,8602124.50000000,189014.68000000,0.02197302
AART,2017,640,1,26,13556.36000000,8602124.50000000,202571.04000000,0.02354895
AART,2017,640,1,27,12310.82000000,8602124.50000000,214881.86000000,0.02498009
AART,2017,640,1,29,1277.89000000,8602124.50000000,216159.75000000,0.02512865
AART,2017,640,1,32,22968.45000000,8602124.50000000,239128.20000000,0.02779874
AART,2017,640,1,33,9512.13000000,8602124.50000000,248640.33000000,0.02890453
AART,2017,640,1,35,27337.55000000,8602124.50000000,275977.88000000,0.03208253
AART,2017,640,1,37,10577.02000000,8602124.50000000,286554.90000000,0.03331211
AART,2017,640,1,39,16419.29000000,8602124.50000000,302974.19000000,0.03522086
AART,2017,640,1,41,5839.76000000,8602124.50000000,308813.95000000,0.03589973
AART,2017,640,2,27,1711.44000000,1705670.18000000,1711.44000000,0.00100338
AART,2017,640,2,31,5940.74000000,1705670.18000000,7652.18000000,0.00448632
AART,2017,640,2,38,15803.82000000,1705670.18000000,23456.00000000,0.01375178
AART,2017,650,1,5,14443.53000000,9621142.64000000,14443.53000000,0.00150123
AART,2017,650,1,6,14444.45000000,9621142.64000000,28887.98000000,0.00300255
AART,2017,650,1,15,26534.01000000,9621142.64000000,55421.99000000,0.00576044
AART,2017,650,1,17,19484.76000000,9621142.64000000,74906.75000000,0.00778564
AART,2017,650,1,18,61363.00000000,9621142.64000000,136269.75000000,0.01416357
AART,2017,650,1,19,3464.98000000,9621142.64000000,139734.73000000,0.01452371
