issuer_code,series_label,entity_name,loan_age_months,period_co_amt,orig_pool_amt,cumulative_co_amt,cumulative_loss_rate
AART,AART 2022-2,ALLY AUTO RECEIVABLES TRUST 2022-2,2,49712.11000000,1382041157.73001313,49712.11000000,0.00003597
AART,AART 2022-2,ALLY AUTO RECEIVABLES TRUST 2022-2,3,53497.62000000,1382041157.73001313,103209.73000000,0.00007468
AART,AART 2022-2,ALLY AUTO RECEIVABLES TRUST 2022-2,4,618423.61000000,1382041157.73001313,721633.34000000,0.00052215
AART,AART 2022-2,ALLY AUTO RECEIVABLES TRUST 2022-2,5,346931.16000000,1382041157.73001313,1068564.50000000,0.00077318
AART,AART 2022-2,ALLY AUTO RECEIVABLES TRUST 2022-2,6,617309.73000000,1382041157.73001313,1685874.23000000,0.00121984
AART,AART 2022-2,ALLY AUTO RECEIVABLES TRUST 2022-2,7,752539.91000000,1382041157.73001313,2438414.14000000,0.00176436
AART,AART 2022-2,ALLY AUTO RECEIVABLES TRUST 2022-2,8,688274.02000000,1382041157.73001313,3126688.16000000,0.00226237
AART,AART 2022-2,ALLY AUTO RECEIVABLES TRUST 2022-2,9,484870.84000000,1382041157.73001313,3611559.00000000,0.00261321
AART,AART 2022-2,ALLY AUTO RECEIVABLES TRUST 2022-2,10,496441.02000000,1382041157.73001313,4108000.02000000,0.00297242
AART,AART 2022-2,ALLY AUTO RECEIVABLES TRUST 2022-2,11,446593.76000000,1382041157.73001313,4554593.78000000,0.00329556
AART,AART 2022-2,ALLY AUTO RECEIVABLES TRUST 2022-2,12,755336.37000000,1382041157.73001313,5309930.15000000,0.00384209
AART,AART 2022-2,ALLY AUTO RECEIVABLES TRUST 2022-2,13,742523.88000000,1382041157.73001313,6052454.03000000,0.00437936
AART,AART 2022-2,ALLY AUTO RECEIVABLES TRUST 2022-2,14,877564.15000000,1382041157.73001313,6930018.18000000,0.00501434
AART,AART 2022-2,ALLY AUTO RECEIVABLES TRUST 2022-2,15,951432.79000000,1382041157.73001313,7881450.97000000,0.00570276
AART,AART 2022-2,ALLY AUTO RECEIVABLES TRUST 2022-2,16,787433.09000000,1382041157.73001313,8668884.06000000,0.00627252
AART,AART 2022-2,ALLY AUTO RECEIVABLES TRUST 2022-2,17,1192928.95000000,1382041157.73001313,9861813.01000000,0.00713569
AART,AART 2022-2,ALLY AUTO RECEIVABLES TRUST 2022-2,18,560860.97000000,1382041157.73001313,10422673.98000000,0.00754151
AART,AART 2022-2,ALLY AUTO RECEIVABLES TRUST 2022-2,19,695409.44000000,1382041157.73001313,11118083.42000000,0.00804468
AART,AART 2022-2,ALLY AUTO RECEIVABLES TRUST 2022-2,20,500242.31000000,1382041157.73001313,11618325.73000000,0.00840664
AART,AART 2022-2,ALLY AUTO RECEIVABLES TRUST 2022-2,21,592983.53000000,1382041157.73001313,12211309.26000000,0.00883571
AART,AART 2022-2,ALLY AUTO RECEIVABLES TRUST 2022-2,22,547122.61000000,1382041157.73001313,12758431.87000000,0.00923159
