issuer_code,series_label,entity_name,loan_age_months,period_co_amt,orig_pool_amt,cumulative_co_amt,cumulative_loss_rate
AMCAR,AMCAR 2017-1,AmeriCredit Automobile Receivables Trust 2017-1,2,188210.40000000,1153200413.94000435,188210.40000000,0.00016321
AMCAR,AMCAR 2017-1,AmeriCredit Automobile Receivables Trust 2017-1,3,989052.28000000,1153200413.94000435,1177262.68000000,0.00102087
AMCAR,AMCAR 2017-1,AmeriCredit Automobile Receivables Trust 2017-1,4,2876523.93000000,1153200413.94000435,4053786.61000000,0.00351525
AMCAR,AMCAR 2017-1,AmeriCredit Automobile Receivables Trust 2017-1,5,4549282.41000000,1153200413.94000435,8603069.02000000,0.00746017
AMCAR,AMCAR 2017-1,AmeriCredit Automobile Receivables Trust 2017-1,6,4277697.66000000,1153200413.94000435,12880766.68000000,0.01116958
AMCAR,AMCAR 2017-1,AmeriCredit Automobile Receivables Trust 2017-1,7,4886587.69000000,1153200413.94000435,17767354.37000000,0.01540700
AMCAR,AMCAR 2017-1,AmeriCredit Automobile Receivables Trust 2017-1,8,5567335.48000000,1153200413.94000435,23334689.85000000,0.02023472
AMCAR,AMCAR 2017-1,AmeriCredit Automobile Receivables Trust 2017-1,9,4588612.30000000,1153200413.94000435,27923302.15000001,0.02421375
AMCAR,AMCAR 2017-1,AmeriCredit Automobile Receivables Trust 2017-1,10,5013904.98000000,1153200413.94000435,32937207.13000001,0.02856156
AMCAR,AMCAR 2017-1,AmeriCredit Automobile Receivables Trust 2017-1,11,5043428.40000000,1153200413.94000435,37980635.53000001,0.03293498
AMCAR,AMCAR 2017-1,AmeriCredit Automobile Receivables Trust 2017-1,12,4424989.78000000,1153200413.94000435,42405625.31000001,0.03677212
AMCAR,AMCAR 2017-1,AmeriCredit Automobile Receivables Trust 2017-1,13,3299673.92000000,1153200413.94000435,45705299.23000000,0.03963344
AMCAR,AMCAR 2017-1,AmeriCredit Automobile Receivables Trust 2017-1,14,5707730.35000000,1153200413.94000435,51413029.58000001,0.04458291
AMCAR,AMCAR 2017-1,AmeriCredit Automobile Receivables Trust 2017-1,15,5671092.85000000,1153200413.94000435,57084122.43000001,0.04950061
AMCAR,AMCAR 2017-1,AmeriCredit Automobile Receivables Trust 2017-1,16,4591078.28000000,1153200413.94000435,61675200.71000001,0.05348177
