issuer_code,deal_year,loan_age_months,period_co_amt,orig_pool_amt,cumulative_co_amt,cumulative_loss_rate
BMWOT,2018,0,0.00000000,1633092180.37000203,0.00000000,0.00000000
BMWOT,2018,2,0.00000000,1633092180.37000203,0.00000000,0.00000000
BMWOT,2018,3,0.00000000,1633092180.37000203,0.00000000,0.00000000
BMWOT,2018,4,0.00000000,1633092180.37000203,0.00000000,0.00000000
BMWOT,2018,5,0.00000000,1633092180.37000203,0.00000000,0.00000000
BMWOT,2018,7,52313.34000000,1633092180.37000203,52313.34000000,0.00003203
BMWOT,2018,8,16151.22000000,1633092180.37000203,68464.56000000,0.00004192
BMWOT,2018,9,33547.65000000,1633092180.37000203,102012.21000000,0.00006247
BMWOT,2018,11,13555.90000000,1633092180.37000203,115568.11000000,0.00007077
BMWOT,2018,16,7459.87000000,1633092180.37000203,123027.98000000,0.00007533
BMWOT,2020,1,0.00000000,1456696212.35999894,0.00000000,0.00000000
BMWOT,2020,5,0.00000000,1456696212.35999894,0.00000000,0.00000000
BMWOT,2020,6,5081.64000000,1456696212.35999894,5081.64000000,0.00000349
BMWOT,2020,7,17721.79000000,1456696212.35999894,22803.43000000,0.00001565
BMWOT,2020,8,66107.04000000,1456696212.35999894,88910.47000000,0.00006104
BMWOT,2020,10,10982.08000000,1456696212.35999894,99892.55000000,0.00006857
BMWOT,2021,1,18219.60000000,2319539873.58000040,18219.60000000,0.00000785
BMWOT,2021,4,6367.42000000,2319539873.58000040,24587.02000000,0.00001060
BMWOT,2021,6,76098.93000000,2319539873.58000040,100685.95000000,0.00004341
BMWOT,2021,7,5504.07000000,2319539873.58000040,106190.02000000,0.00004578
BMWOT,2021,8,18613.83000000,2319539873.58000040,124803.85000000,0.00005381
BMWOT,2023,0,0.00000000,3736779818.68999290,0.00000000,0.00000000
BMWOT,2023,1,0.00000000,3736779818.68999290,0.00000000,0.00000000
BMWOT,2023,2,0.00000000,3736779818.68999290,0.00000000,0.00000000
BMWOT,2023,3,0.00000000,3736779818.68999290,0.00000000,0.00000000
BMWOT,2023,4,0.00000000,3736779818.68999290,0.00000000,0.00000000
BMWOT,2023,5,0.00000000,3736779818.68999290,0.00000000,0.00000000
BMWOT,2023,6,37236.59000000,3736779818.68999290,37236.59000000,0.00000996
