issuer_code,vintage_year,fico_low,new_used,loan_age_months,period_co_amt,orig_pool_amt,cumulative_co_amt,cumulative_loss_rate
BMWOT,2017,600,2,5,21418.85000000,3939589.46000000,21418.85000000,0.00543682
BMWOT,2017,600,2,8,31792.95000000,3939589.46000000,53211.80000000,0.01350694
BMWOT,2017,600,2,21,16789.41000000,3939589.46000000,70001.21000000,0.01776866
BMWOT,2017,600,2,27,15048.95000000,3939589.46000000,85050.16000000,0.02158858
BMWOT,2017,600,2,28,2903.50000000,3939589.46000000,87953.66000000,0.02232559
BMWOT,2017,610,1,10,52032.48000000,3469827.96000000,52032.48000000,0.01499569
BMWOT,2017,610,1,19,25389.34000000,3469827.96000000,77421.82000000,0.02231287
BMWOT,2017,610,1,20,37616.73000000,3469827.96000000,115038.55000000,0.03315396
BMWOT,2017,610,1,39,24608.32000000,3469827.96000000,139646.87000000,0.04024605
BMWOT,2017,610,2,11,20487.53000000,5313419.36000000,20487.53000000,0.00385581
BMWOT,2017,610,2,12,35163.07000000,5313419.36000000,55650.60000000,0.01047359
BMWOT,2017,610,2,16,21569.51000000,5313419.36000000,77220.11000000,0.01453304
BMWOT,2017,610,2,22,16023.45000000,5313419.36000000,93243.56000000,0.01754869
BMWOT,2017,610,2,26,19674.44000000,5313419.36000000,112918.00000000,0.02125148
BMWOT,2017,620,1,9,98305.64000000,3394420.82000000,98305.64000000,0.02896095
BMWOT,2017,620,1,12,10676.04000000,3394420.82000000,108981.68000000,0.03210612
BMWOT,2017,620,1,16,38261.02000000,3394420.82000000,147242.70000000,0.04337786
BMWOT,2017,620,2,5,27537.41000000,4872467.67000000,27537.41000000,0.00565164
BMWOT,2017,620,2,7,29151.13000000,4872467.67000000,56688.54000000,0.01163446
BMWOT,2017,620,2,8,12838.39000000,4872467.67000000,69526.93000000,0.01426935
BMWOT,2017,620,2,9,34212.03000000,4872467.67000000,103738.96000000,0.02129085
BMWOT,2017,620,2,11,18989.18000000,4872467.67000000,122728.14000000,0.02518809
BMWOT,2017,620,2,21,25175.03000000,4872467.67000000,147903.17000000,0.03035488
BMWOT,2017,620,2,24,18606.89000000,4872467.67000000,166510.06000000,0.03417366
BMWOT,2017,620,2,26,14968.16000000,4872467.67000000,181478.22000000,0.03724565
BMWOT,2017,630,1,15,9783.60000000,3856019.10000000,9783.60000000,0.00253723
BMWOT,2017,630,1,16,57327.76000000,3856019.10000000,67111.36000000,0.01740431
BMWOT,2017,630,2,8,32895.09000000,3930385.20000000,32895.09000000,0.00836943
BMWOT,2017,630,2,26,24738.64000000,3930385.20000000,57633.73000000,0.01466363
BMWOT,2017,640,1,5,39691.76000000,8634342.25000000,39691.76000000,0.00459696
BMWOT,2017,640,1,8,24359.02000000,8634342.25000000,64050.78000000,0.00741814
BMWOT,2017,640,1,9,18187.06000000,8634342.25000000,82237.84000000,0.00952451
BMWOT,2017,640,1,10,44555.42000000,8634342.25000000,126793.26000000,0.01468476
BMWOT,2017,640,1,22,23217.25000000,8634342.25000000,150010.51000000,0.01737370
BMWOT,2017,640,1,24,15706.01000000,8634342.25000000,165716.52000000,0.01919272
BMWOT,2017,640,1,25,7999.81000000,8634342.25000000,173716.33000000,0.02011923
BMWOT,2017,640,1,27,19470.79000000,8634342.25000000,193187.12000000,0.02237427
BMWOT,2017,640,1,30,40267.10000000,8634342.25000000,233454.22000000,0.02703787
BMWOT,2017,640,2,8,21736.64000000,13043718.89000000,21736.64000000,0.00166644
BMWOT,2017,640,2,9,74070.76000000,13043718.89000000,95807.40000000,0.00734510
BMWOT,2017,640,2,10,17243.22000000,13043718.89000000,113050.62000000,0.00866705
BMWOT,2017,640,2,12,27118.78000000,13043718.89000000,140169.40000000,0.01074612
BMWOT,2017,640,2,15,30291.66000000,13043718.89000000,170461.06000000,0.01306844
BMWOT,2017,640,2,16,29746.21000000,13043718.89000000,200207.27000000,0.01534894
BMWOT,2017,640,2,21,24145.93000000,13043718.89000000,224353.20000000,0.01720009
BMWOT,2017,640,2,43,5373.22000000,13043718.89000000,229726.42000000,0.01761203
BMWOT,2017,650,1,6,62660.25000000,10094582.51000000,62660.25000000,0.00620731
BMWOT,2017,650,1,12,31375.90000000,10094582.51000000,94036.15000000,0.00931551
BMWOT,2017,650,1,20,56512.30000000,10094582.51000000,150548.45000000,0.01491379
BMWOT,2017,650,2,7,34873.78000000,11290865.94000000,34873.78000000,0.00308867
BMWOT,2017,650,2,9,30738.55000000,11290865.94000000,65612.33000000,0.00581110
BMWOT,2017,650,2,11,27415.98000000,11290865.94000000,93028.31000000,0.00823925
BMWOT,2017,650,2,16,20386.56000000,11290865.94000000,113414.87000000,0.01004483
BMWOT,2017,650,2,18,33142.92000000,11290865.94000000,146557.79000000,0.01298021
BMWOT,2017,650,2,22,13992.29000000,11290865.94000000,160550.08000000,0.01421947
BMWOT,2017,650,2,23,27931.98000000,11290865.94000000,188482.06000000,0.01669332
BMWOT,2017,650,2,24,13351.23000000,11290865.94000000,201833.29000000,0.01787580
BMWOT,2017,650,2,25,22306.38000000,11290865.94000000,224139.67000000,0.01985142
BMWOT,2017,650,2,40,7113.55000000,11290865.94000000,231253.22000000,0.02048144
BMWOT,2017,660,1,4,36166.00000000,11441731.97000000,36166.00000000,0.00316089
BMWOT,2017,660,1,11,50517.44000000,11441731.97000000,86683.44000000,0.00757608
BMWOT,2017,660,1,16,35062.64000000,11441731.97000000,121746.08000000,0.01064053
BMWOT,2017,660,1,17,97188.85000000,11441731.97000000,218934.93000000,0.01913477
BMWOT,2017,660,1,28,53230.01000000,11441731.97000000,272164.94000000,0.02378704
BMWOT,2017,660,2,6,23356.26000000,9617535.59000000,23356.26000000,0.00242851
BMWOT,2017,660,2,10,29174.03000000,9617535.59000000,52530.29000000,0.00546193
BMWOT,2017,660,2,12,31243.77000000,9617535.59000000,83774.06000000,0.00871055
BMWOT,2017,670,1,7,29022.01000000,24563495.46000000,29022.01000000,0.00118151
BMWOT,2017,670,1,10,39330.19000000,24563495.46000000,68352.20000000,0.00278267
BMWOT,2017,670,1,15,64089.50000000,24563495.46000000,132441.70000000,0.00539181
BMWOT,2017,670,1,21,27205.90000000,24563495.46000000,159647.60000000,0.00649938
BMWOT,2017,670,1,26,38577.40000000,24563495.46000000,198225.00000000,0.00806990
BMWOT,2017,670,1,27,27790.05000000,24563495.46000000,226015.05000000,0.00920126
BMWOT,2017,670,1,31,34596.16000000,24563495.46000000,260611.21000000,0.01060970
BMWOT,2017,670,2,4,26874.48000000,20714311.64000000,26874.48000000,0.00129739
BMWOT,2017,670,2,5,37222.16000000,20714311.64000000,64096.64000000,0.00309432
BMWOT,2017,670,2,11,51203.24000000,20714311.64000000,115299.88000000,0.00556619
BMWOT,2017,670,2,12,22943.80000000,20714311.64000000,138243.68000000,0.00667382
BMWOT,2017,670,2,14,28272.90000000,20714311.64000000,166516.58000000,0.00803872
BMWOT,2017,670,2,15,24284.26000000,20714311.64000000,190800.84000000,0.00921106
BMWOT,2017,670,2,18,54923.27000000,20714311.64000000,245724.11000000,0.01186253
BMWOT,2017,670,2,19,17426.03000000,20714311.64000000,263150.14000000,0.01270378
BMWOT,2017,670,2,22,44420.56000000,20714311.64000000,307570.70000000,0.01484822
BMWOT,2017,670,2,25,30604.23000000,20714311.64000000,338174.93000000,0.01632567
BMWOT,2017,670,2,34,17553.51000000,20714311.64000000,355728.44000000,0.01717308
BMWOT,2017,680,1,16,32878.76000000,32303117.95999999,32878.76000000,0.00101782
BMWOT,2017,680,1,23,30607.32000000,32303117.95999999,63486.08000000,0.00196532
BMWOT,2017,680,1,29,32907.54000000,32303117.95999999,96393.62000000,0.00298403
BMWOT,2017,680,1,32,7181.23000000,32303117.95999999,103574.85000000,0.00320634
BMWOT,2017,680,1,39,27705.02000000,32303117.95999999,131279.87000000,0.00406400
BMWOT,2017,680,2,4,32067.52000000,27377196.61000001,32067.52000000,0.00117132
BMWOT,2017,680,2,8,39843.64000000,27377196.61000001,71911.16000000,0.00262668
BMWOT,2017,680,2,12,14667.90000000,27377196.61000001,86579.06000000,0.00316245
BMWOT,2017,680,2,13,29517.12000000,27377196.61000001,116096.18000000,0.00424062
BMWOT,2017,680,2,19,69729.50000000,27377196.61000001,185825.68000000,0.00678761
BMWOT,2017,680,2,20,38386.09000000,27377196.61000001,224211.77000000,0.00818973
BMWOT,2017,680,2,22,24091.55000000,27377196.61000001,248303.32000000,0.00906971
BMWOT,2017,690,1,11,18030.42000000,31743953.84000000,18030.42000000,0.00056800
BMWOT,2017,690,1,13,43500.93000000,31743953.84000000,61531.35000000,0.00193836
BMWOT,2017,690,1,19,18925.99000000,31743953.84000000,80457.34000000,0.00253457
BMWOT,2017,690,1,21,74011.73000000,31743953.84000000,154469.07000000,0.00486609
BMWOT,2017,690,1,30,28312.65000000,31743953.84000000,182781.72000000,0.00575800
BMWOT,2017,690,1,32,26536.30000000,31743953.84000000,209318.02000000,0.00659395
BMWOT,2017,690,2,7,29229.19000000,24250031.98000000,29229.19000000,0.00120533
BMWOT,2017,690,2,14,10941.93000000,24250031.98000000,40171.12000000,0.00165654
BMWOT,2017,690,2,16,40563.52000000,24250031.98000000,80734.64000000,0.00332926
BMWOT,2017,690,2,17,20906.10000000,24250031.98000000,101640.74000000,0.00419137
BMWOT,2017,690,2,22,21010.10000000,24250031.98000000,122650.84000000,0.00505776
BMWOT,2017,690,2,25,26859.78000000,24250031.98000000,149510.62000000,0.00616538
BMWOT,2017,690,2,31,26111.34000000,24250031.98000000,175621.96000000,0.00724213
BMWOT,2017,700,1,3,71288.74000000,48541141.08000000,71288.74000000,0.00146863
BMWOT,2017,700,1,15,48976.44000000,48541141.08000000,120265.18000000,0.00247759
BMWOT,2017,700,1,16,65917.40000000,48541141.08000000,186182.58000000,0.00383556
BMWOT,2017,700,1,18,64461.44000000,48541141.08000000,250644.02000000,0.00516354
BMWOT,2017,700,1,21,38380.83000000,48541141.08000000,289024.85000000,0.00595422
BMWOT,2017,700,1,22,34959.68000000,48541141.08000000,323984.53000000,0.00667443
BMWOT,2017,700,1,24,29889.84000000,48541141.08000000,353874.37000000,0.00729019
BMWOT,2017,700,1,31,36569.91000000,48541141.08000000,390444.28000000,0.00804357
BMWOT,2017,700,2,8,59319.53000000,38277138.83000001,59319.53000000,0.00154974
BMWOT,2017,700,2,11,80388.88000000,38277138.83000001,139708.41000000,0.00364992
BMWOT,2017,700,2,13,49534.93000000,38277138.83000001,189243.34000000,0.00494403
BMWOT,2017,700,2,14,19880.74000000,38277138.83000001,209124.08000000,0.00546342
BMWOT,2017,700,2,15,18689.87000000,38277138.83000001,227813.95000000,0.00595170
BMWOT,2017,700,2,16,18312.29000000,38277138.83000001,246126.24000000,0.00643011
BMWOT,2017,700,2,17,19051.19000000,38277138.83000001,265177.43000000,0.00692783
BMWOT,2017,700,2,18,69750.66000000,38277138.83000001,334928.09000000,0.00875008
BMWOT,2017,700,2,20,26896.14000000,38277138.83000001,361824.23000000,0.00945275
BMWOT,2017,700,2,23,12037.05000000,38277138.83000001,373861.28000000,0.00976722
BMWOT,2017,700,2,31,11085.23000000,38277138.83000001,384946.51000000,0.01005683
BMWOT,2017,700,2,36,37426.78000000,38277138.83000001,422373.29000000,0.01103461
BMWOT,2017,710,1,3,54847.02000000,46637887.02000000,54847.02000000,0.00117602
BMWOT,2017,710,1,10,45102.00000000,46637887.02000000,99949.02000000,0.00214309
BMWOT,2017,710,1,30,54743.52000000,46637887.02000000,154692.54000000,0.00331689
BMWOT,2017,710,2,5,29116.26000000,34707142.60000002,29116.26000000,0.00083891
