issuer_code,vintage_year,loan_age_months,period_co_amt,orig_pool_amt,cumulative_co_amt,cumulative_loss_rate
CAOT,2017,0,916440.12000000,1493265536.62999368,916440.12000000,0.00061372
CAOT,2017,1,1060047.70000000,1493265536.62999368,1976487.82000000,0.00132360
CAOT,2017,2,885168.05000000,1493265536.62999368,2861655.87000000,0.00191637
CAOT,2017,3,909844.14000000,1493265536.62999368,3771500.01000000,0.00252567
CAOT,2017,4,1002072.08000000,1493265536.62999368,4773572.09000000,0.00319673
CAOT,2017,5,1242475.19000000,1493265536.62999368,6016047.28000000,0.00402879
CAOT,2017,6,808047.04000000,1493265536.62999368,6824094.32000000,0.00456991
CAOT,2017,7,915749.28000000,1493265536.62999368,7739843.60000000,0.00518317
CAOT,2017,8,639750.17000000,1493265536.62999368,8379593.77000000,0.00561159
CAOT,2017,9,630717.82000000,1493265536.62999368,9010311.59000000,0.00603396
CAOT,2017,10,667524.52000000,1493265536.62999368,9677836.11000000,0.00648099
CAOT,2017,11,500012.96000000,1493265536.62999368,10177849.07000000,0.00681583
CAOT,2017,12,737775.77000000,1493265536.62999368,10915624.84000000,0.00730990
CAOT,2017,13,505455.06000000,1493265536.62999368,11421079.90000000,0.00764839
CAOT,2017,14,422783.79000000,1493265536.62999368,11843863.69000000,0.00793152
CAOT,2017,15,358742.53000000,1493265536.62999368,12202606.22000000,0.00817176
CAOT,2017,16,298532.12000000,1493265536.62999368,12501138.34000000,0.00837168
CAOT,2017,17,411637.69000000,1493265536.62999368,12912776.03000000,0.00864734
CAOT,2017,18,301719.03000000,1493265536.62999368,13214495.06000000,0.00884939
CAOT,2018,0,3135386.60000000,5552713778.27019215,3135386.60000000,0.00056466
CAOT,2018,1,2249741.58000000,5552713778.27019215,5385128.18000000,0.00096982
CAOT,2018,2,1999916.43000000,5552713778.27019215,7385044.61000000,0.00132999
CAOT,2018,3,2003026.71000000,5552713778.27019215,9388071.32000000,0.00169072
CAOT,2018,4,1880930.34000000,5552713778.27019215,11269001.66000000,0.00202946
CAOT,2018,5,1719089.70000000,5552713778.27019215,12988091.36000000,0.00233905
CAOT,2018,6,1983826.55000000,5552713778.27019215,14971917.91000000,0.00269632
CAOT,2018,7,1696324.06000000,5552713778.27019215,16668241.97000000,0.00300182
CAOT,2018,8,1207031.30000000,5552713778.27019215,17875273.27000000,0.00321920
CAOT,2018,9,956701.05000000,5552713778.27019215,18831974.32000000,0.00339149
CAOT,2018,10,1050599.46000000,5552713778.27019215,19882573.78000000,0.00358069
CAOT,2018,11,830556.37000000,5552713778.27019215,20713130.15000000,0.00373027
CAOT,2018,12,595770.97000000,5552713778.27019215,21308901.12000000,0.00383757
CAOT,2018,13,520105.56000000,5552713778.27019215,21829006.68000000,0.00393123
CAOT,2018,14,607420.65000000,5552713778.27019215,22436427.33000000,0.00404062
CAOT,2018,15,584436.27000000,5552713778.27019215,23020863.60000000,0.00414588
CAOT,2018,16,451369.35000000,5552713778.27019215,23472232.95000000,0.00422716
CAOT,2018,17,428010.55000000,5552713778.27019215,23900243.50000000,0.00430425
CAOT,2018,18,297635.84000000,5552713778.27019215,24197879.34000000,0.00435785
CAOT,2019,0,1964542.55000000,6566773348.64013577,1964542.55000000,0.00029916
CAOT,2019,1,2205376.71000000,6566773348.64013577,4169919.26000000,0.00063500
CAOT,2019,2,2194616.26000000,6566773348.64013577,6364535.52000000,0.00096920
CAOT,2019,3,2788871.53000000,6566773348.64013577,9153407.05000000,0.00139390
CAOT,2019,4,2859079.10000000,6566773348.64013577,12012486.15000000,0.00182928
CAOT,2019,5,2361344.47000000,6566773348.64013577,14373830.62000000,0.00218887
CAOT,2019,6,2494569.92000000,6566773348.64013577,16868400.54000000,0.00256875
CAOT,2019,7,1594308.65000000,6566773348.64013577,18462709.19000000,0.00281153
CAOT,2019,8,1683972.76000000,6566773348.64013577,20146681.95000000,0.00306797
CAOT,2019,9,1071318.92000000,6566773348.64013577,21218000.87000000,0.00323112
CAOT,2019,10,1043352.24000000,6566773348.64013577,22261353.11000000,0.00339000
CAOT,2019,11,1194517.84000000,6566773348.64013577,23455870.95000000,0.00357190
CAOT,2019,12,1162586.99000000,6566773348.64013577,24618457.94000000,0.00374894
CAOT,2019,13,835648.18000000,6566773348.64013577,25454106.12000000,0.00387620
CAOT,2019,14,819379.56000000,6566773348.64013577,26273485.68000000,0.00400097
CAOT,2019,15,820978.58000000,6566773348.64013577,27094464.26000000,0.00412599
CAOT,2019,16,564922.87000000,6566773348.64013577,27659387.13000000,0.00421202
CAOT,2019,17,509688.51000000,6566773348.64013577,28169075.64000000,0.00428964
CAOT,2019,18,429619.20000000,6566773348.64013577,28598694.84000000,0.00435506
CAOT,2020,0,2233487.76000000,6780162539.60999870,2233487.76000000,0.00032942
CAOT,2020,1,2472224.68000000,6780162539.60999870,4705712.44000000,0.00069404
CAOT,2020,2,2065911.08000000,6780162539.60999870,6771623.52000000,0.00099874
CAOT,2020,3,2223543.14000000,6780162539.60999870,8995166.66000000,0.00132669
CAOT,2020,4,2223482.14000000,6780162539.60999870,11218648.80000000,0.00165463
CAOT,2020,5,2295180.17000000,6780162539.60999870,13513828.97000000,0.00199314
