issuer_code,vintage_year,fico_low,new_used,loan_age_months,period_co_amt,orig_pool_amt,cumulative_co_amt,cumulative_loss_rate
CAOT,2011,530,2,73,2646.62000000,78406.15000000,2646.62000000,0.03375526
CAOT,2011,530,2,76,4246.92000000,78406.15000000,6893.54000000,0.08792091
CAOT,2011,540,2,78,1023.30000000,175847.02000000,1023.30000000,0.00581926
CAOT,2011,540,2,81,2127.99000000,175847.02000000,3151.29000000,0.01792063
CAOT,2011,550,2,70,1630.80000000,266014.55000000,1630.80000000,0.00613049
CAOT,2011,550,2,82,1469.90000000,266014.55000000,3100.70000000,0.01165613
CAOT,2011,560,2,74,1131.45000000,231270.95000000,1131.45000000,0.00489231
CAOT,2011,560,2,77,1488.36000000,231270.95000000,2619.81000000,0.01132788
CAOT,2011,570,2,72,3865.65000000,256978.02000000,3865.65000000,0.01504273
CAOT,2011,570,2,74,1625.20000000,256978.02000000,5490.85000000,0.02136700
CAOT,2011,570,2,80,1755.06000000,256978.02000000,7245.91000000,0.02819661
CAOT,2011,570,2,82,3089.24000000,256978.02000000,10335.15000000,0.04021803
CAOT,2011,570,2,83,1967.13000000,256978.02000000,12302.28000000,0.04787289
CAOT,2011,580,2,66,1314.73000000,350615.28000000,1314.73000000,0.00374978
CAOT,2011,580,2,74,3351.63000000,350615.28000000,4666.36000000,0.01330906
CAOT,2011,580,2,79,700.07000000,350615.28000000,5366.43000000,0.01530575
CAOT,2011,590,2,69,7770.41000000,459510.31000000,7770.41000000,0.01691020
CAOT,2011,590,2,82,549.89000000,459510.31000000,8320.30000000,0.01810688
CAOT,2011,600,2,78,1150.94000000,198950.91000000,1150.94000000,0.00578505
CAOT,2011,600,2,79,1068.52000000,198950.91000000,2219.46000000,0.01115582
CAOT,2011,600,2,81,403.75000000,198950.91000000,2623.21000000,0.01318521
CAOT,2011,610,2,78,1393.89000000,204607.32000000,1393.89000000,0.00681251
CAOT,2011,610,2,80,218.95000000,204607.32000000,1612.84000000,0.00788261
CAOT,2011,620,2,74,4879.09000000,321231.76000000,4879.09000000,0.01518869
CAOT,2011,620,2,80,5070.05000000,321231.76000000,9949.14000000,0.03097184
CAOT,2011,630,2,79,1524.18000000,302261.97000000,1524.18000000,0.00504258
CAOT,2011,630,2,80,520.61000000,302261.97000000,2044.79000000,0.00676496
CAOT,2011,640,2,68,6234.05000000,393742.06000000,6234.05000000,0.01583283
CAOT,2011,640,2,77,1570.46000000,393742.06000000,7804.51000000,0.01982138
CAOT,2011,640,2,82,425.40000000,393742.06000000,8229.91000000,0.02090178
CAOT,2011,660,2,73,838.06000000,211260.70000000,838.06000000,0.00396695
CAOT,2011,660,2,76,1890.41000000,211260.70000000,2728.47000000,0.01291518
CAOT,2011,660,2,77,950.64000000,211260.70000000,3679.11000000,0.01741502
CAOT,2011,680,2,74,3415.69000000,199123.37000000,3415.69000000,0.01715364
CAOT,2011,680,2,80,345.42000000,199123.37000000,3761.11000000,0.01888834
CAOT,2012,500,2,71,543.22000000,1255185.43000000,543.22000000,0.00043278
CAOT,2012,500,2,74,1450.06000000,1255185.43000000,1993.28000000,0.00158804
CAOT,2012,500,2,78,1998.11000000,1255185.43000000,3991.39000000,0.00317992
CAOT,2012,500,2,80,1740.66000000,1255185.43000000,5732.05000000,0.00456670
CAOT,2012,500,2,81,2435.97000000,1255185.43000000,8168.02000000,0.00650742
CAOT,2012,510,2,65,2785.20000000,1871521.13000000,2785.20000000,0.00148820
CAOT,2012,510,2,67,3568.39000000,1871521.13000000,6353.59000000,0.00339488
CAOT,2012,510,2,68,7268.95000000,1871521.13000000,13622.54000000,0.00727886
CAOT,2012,510,2,78,488.21000000,1871521.13000000,14110.75000000,0.00753972
CAOT,2012,510,2,79,552.87000000,1871521.13000000,14663.62000000,0.00783513
CAOT,2012,510,2,81,557.08000000,1871521.13000000,15220.70000000,0.00813280
CAOT,2012,520,2,59,8098.92000000,2562495.84000000,8098.92000000,0.00316056
