issuer_code,vintage_year,fico_low,new_used,loan_age_months,period_co_amt,orig_pool_amt,cumulative_co_amt,cumulative_loss_rate
COPAR,2018,700,1,10,45933.47000000,46749206.66999999,45933.47000000,0.00098255
COPAR,2018,700,1,11,32038.84000000,46749206.66999999,77972.31000000,0.00166789
COPAR,2018,700,1,12,56663.74000000,46749206.66999999,134636.05000000,0.00287996
COPAR,2018,700,1,14,41210.36000000,46749206.66999999,175846.41000000,0.00376148
COPAR,2018,700,1,18,22687.07000000,46749206.66999999,198533.48000000,0.00424678
COPAR,2018,700,1,19,18172.14000000,46749206.66999999,216705.62000000,0.00463549
COPAR,2018,700,1,20,22390.49000000,46749206.66999999,239096.11000000,0.00511444
COPAR,2018,700,1,22,14569.45000000,46749206.66999999,253665.56000000,0.00542609
COPAR,2018,700,1,23,18713.09000000,46749206.66999999,272378.65000000,0.00582638
COPAR,2018,700,1,25,34944.34000000,46749206.66999999,307322.99000000,0.00657387
COPAR,2018,700,1,26,16784.30000000,46749206.66999999,324107.29000000,0.00693289
COPAR,2018,700,1,27,38818.27000000,46749206.66999999,362925.56000000,0.00776325
COPAR,2018,700,1,28,22179.93000000,46749206.66999999,385105.49000000,0.00823769
COPAR,2018,700,1,30,12242.81000000,46749206.66999999,397348.30000000,0.00849957
COPAR,2018,700,1,31,12419.66000000,46749206.66999999,409767.96000000,0.00876524
COPAR,2018,700,1,33,36659.90000000,46749206.66999999,446427.86000000,0.00954942
COPAR,2018,700,1,35,12022.48000000,46749206.66999999,458450.34000000,0.00980659
COPAR,2018,700,1,38,34711.56000000,46749206.66999999,493161.90000000,0.01054910
COPAR,2018,700,1,40,20356.24000000,46749206.66999999,513518.14000000,0.01098453
COPAR,2018,700,1,41,13666.90000000,46749206.66999999,527185.04000000,0.01127688
COPAR,2018,700,1,46,10374.60000000,46749206.66999999,537559.64000000,0.01149880
COPAR,2018,700,2,10,98962.23000000,81841882.97999994,98962.23000000,0.00120919
COPAR,2018,700,2,11,24125.63000000,81841882.97999994,123087.86000000,0.00150397
COPAR,2018,700,2,12,72929.74000000,81841882.97999994,196017.60000000,0.00239508
COPAR,2018,700,2,14,76010.33000000,81841882.97999994,272027.93000000,0.00332382
COPAR,2018,700,2,15,14729.11000000,81841882.97999994,286757.04000000,0.00350379
COPAR,2018,700,2,16,97327.08000000,81841882.97999994,384084.12000000,0.00469300
COPAR,2018,700,2,17,58701.15000000,81841882.97999994,442785.27000000,0.00541025
COPAR,2018,700,2,18,68500.60000000,81841882.97999994,511285.87000000,0.00624724
COPAR,2018,700,2,19,84857.94000000,81841882.97999994,596143.81000000,0.00728409
COPAR,2018,700,2,20,9751.29000000,81841882.97999994,605895.10000000,0.00740324
COPAR,2018,700,2,21,22637.19000000,81841882.97999994,628532.29000000,0.00767984
COPAR,2018,700,2,22,49182.34000000,81841882.97999994,677714.63000000,0.00828078
COPAR,2018,700,2,23,92132.25000000,81841882.97999994,769846.88000000,0.00940651
COPAR,2018,700,2,24,72605.47000000,81841882.97999994,842452.35000000,0.01029366
COPAR,2018,700,2,25,32707.81000000,81841882.97999994,875160.16000000,0.01069330
COPAR,2018,700,2,26,25010.76000000,81841882.97999994,900170.92000000,0.01099890
COPAR,2018,700,2,27,28483.06000000,81841882.97999994,928653.98000000,0.01134693
COPAR,2018,700,2,28,44388.07000000,81841882.97999994,973042.05000000,0.01188929
COPAR,2018,700,2,29,78308.93000000,81841882.97999994,1051350.98000000,0.01284612
COPAR,2018,700,2,30,25269.07000000,81841882.97999994,1076620.05000000,0.01315488
COPAR,2018,700,2,31,15714.57000000,81841882.97999994,1092334.62000000,0.01334689
COPAR,2018,700,2,33,14203.82000000,81841882.97999994,1106538.44000000,0.01352044
COPAR,2018,700,2,34,18803.34000000,81841882.97999994,1125341.78000000,0.01375019
COPAR,2018,700,2,35,67959.51000000,81841882.97999994,1193301.29000000,0.01458057
COPAR,2018,700,2,36,17133.39000000,81841882.97999994,1210434.68000000,0.01478992
