issuer_code,deal_year,loan_age_months,period_co_amt,orig_pool_amt,cumulative_co_amt,cumulative_loss_rate
CRART,2018,0,0.00000000,420924119.78000021,0.00000000,0.00000000
CRART,2018,1,0.00000000,420924119.78000021,0.00000000,0.00000000
CRART,2018,2,0.00000000,420924119.78000021,0.00000000,0.00000000
CRART,2018,3,0.00000000,420924119.78000021,0.00000000,0.00000000
CRART,2018,4,0.00000000,420924119.78000021,0.00000000,0.00000000
CRART,2018,5,0.00000000,420924119.78000021,0.00000000,0.00000000
CRART,2018,6,234610.15000000,420924119.78000021,234610.15000000,0.00055737
CRART,2018,7,141610.55000000,420924119.78000021,376220.70000000,0.00089380
CRART,2018,8,110312.46000000,420924119.78000021,486533.16000000,0.00115587
CRART,2018,9,153398.62000000,420924119.78000021,639931.78000000,0.00152030
CRART,2018,10,84519.17000000,420924119.78000021,724450.95000000,0.00172110
CRART,2018,11,65161.80000000,420924119.78000021,789612.75000000,0.00187590
CRART,2019,0,0.00000000,422270779.53000009,0.00000000,0.00000000
CRART,2019,1,0.00000000,422270779.53000009,0.00000000,0.00000000
CRART,2019,2,0.00000000,422270779.53000009,0.00000000,0.00000000
CRART,2019,3,0.00000000,422270779.53000009,0.00000000,0.00000000
CRART,2019,4,0.00000000,422270779.53000009,0.00000000,0.00000000
CRART,2019,5,0.00000000,422270779.53000009,0.00000000,0.00000000
CRART,2019,6,101165.44000000,422270779.53000009,101165.44000000,0.00023957
CRART,2019,7,129242.94000000,422270779.53000009,230408.38000000,0.00054564
CRART,2019,8,179702.10000000,422270779.53000009,410110.48000000,0.00097120
CRART,2019,9,142335.21000000,422270779.53000009,552445.69000000,0.00130827
CRART,2019,10,112278.44000000,422270779.53000009,664724.13000000,0.00157417
CRART,2019,11,153399.77000000,422270779.53000009,818123.90000000,0.00193744
CRART,2019,12,133918.99000000,422270779.53000009,952042.89000000,0.00225458
CRART,2019,13,115862.45000000,422270779.53000009,1067905.34000000,0.00252896
CRART,2019,14,185577.49000000,422270779.53000009,1253482.83000000,0.00296843
