issuer_code,vintage_year,fico_low,new_used,loan_age_months,period_co_amt,orig_pool_amt,cumulative_co_amt,cumulative_loss_rate
CRART,2017,500,1,14,39644.68000000,62832.80000000,39644.68000000,0.63095517
CRART,2017,500,2,3,8942.99000000,155857.65000000,8942.99000000,0.05737922
CRART,2017,500,2,12,14225.60000000,155857.65000000,23168.59000000,0.14865225
CRART,2017,500,2,27,8061.04000000,155857.65000000,31229.63000000,0.20037278
CRART,2017,510,1,28,12993.66000000,44230.88000000,12993.66000000,0.29376897
CRART,2017,510,2,5,26322.21000000,168272.96000000,26322.21000000,0.15642567
CRART,2017,510,2,11,9730.77000000,168272.96000000,36052.98000000,0.21425296
CRART,2017,510,2,17,3748.00000000,168272.96000000,39800.98000000,0.23652630
CRART,2017,510,2,24,8814.26000000,168272.96000000,48615.24000000,0.28890702
CRART,2017,520,1,24,14993.86000000,55496.38000000,14993.86000000,0.27017726
CRART,2017,520,1,37,15336.16000000,55496.38000000,30330.02000000,0.54652249
CRART,2017,520,2,7,14983.34000000,293154.44000000,14983.34000000,0.05111074
CRART,2017,520,2,9,15466.69000000,293154.44000000,30450.03000000,0.10387027
CRART,2017,520,2,16,2991.81000000,293154.44000000,33441.84000000,0.11407584
CRART,2017,520,2,18,34002.44000000,293154.44000000,67444.28000000,0.23006399
CRART,2017,520,2,44,9642.66000000,293154.44000000,77086.94000000,0.26295675
CRART,2017,520,2,49,3718.44000000,293154.44000000,80805.38000000,0.27564099
CRART,2017,530,1,18,23189.81000000,130581.44000000,23189.81000000,0.17758887
CRART,2017,530,2,17,10414.40000000,331484.43000000,10414.40000000,0.03141746
CRART,2017,530,2,20,12261.36000000,331484.43000000,22675.76000000,0.06840671
CRART,2017,530,2,23,12630.96000000,331484.43000000,35306.72000000,0.10651095
CRART,2017,530,2,29,7035.21000000,331484.43000000,42341.93000000,0.12773430
CRART,2017,540,1,21,16091.78000000,75196.14000000,16091.78000000,0.21399742
CRART,2017,540,2,13,21761.17000000,337599.74000000,21761.17000000,0.06445849
CRART,2017,540,2,17,16350.29000000,337599.74000000,38111.46000000,0.11288948
CRART,2017,540,2,19,31033.18000000,337599.74000000,69144.64000000,0.20481248
CRART,2017,540,2,27,8280.39000000,337599.74000000,77425.03000000,0.22933972
CRART,2017,540,2,41,4592.76000000,337599.74000000,82017.79000000,0.24294388
CRART,2017,550,1,15,28540.92000000,230593.54000000,28540.92000000,0.12377155
CRART,2017,550,1,22,729.55000000,230593.54000000,29270.47000000,0.12693534
CRART,2017,550,2,18,10325.36000000,432947.62000000,10325.36000000,0.02384898
CRART,2017,550,2,23,17552.92000000,432947.62000000,27878.28000000,0.06439181
CRART,2017,550,2,28,15694.85000000,432947.62000000,43573.13000000,0.10064296
CRART,2017,550,2,34,21384.72000000,432947.62000000,64957.85000000,0.15003628
CRART,2017,560,1,2,2216.50000000,308258.06000000,2216.50000000,0.00719040
CRART,2017,560,1,15,18729.41000000,308258.06000000,20945.91000000,0.06794927
CRART,2017,560,1,41,26903.37000000,308258.06000000,47849.28000000,0.15522475
CRART,2017,560,2,6,515.52000000,835051.55000000,515.52000000,0.00061735
CRART,2017,560,2,10,28849.67000000,835051.55000000,29365.19000000,0.03516572
CRART,2017,560,2,14,14502.35000000,835051.55000000,43867.54000000,0.05253273
CRART,2017,560,2,19,24065.15000000,835051.55000000,67932.69000000,0.08135149
CRART,2017,560,2,20,7990.89000000,835051.55000000,75923.58000000,0.09092083
CRART,2017,560,2,23,13967.46000000,835051.55000000,89891.04000000,0.10764729
CRART,2017,560,2,24,6538.42000000,835051.55000000,96429.46000000,0.11547725
CRART,2017,560,2,27,12369.02000000,835051.55000000,108798.48000000,0.13028954
CRART,2017,560,2,30,10383.35000000,835051.55000000,119181.83000000,0.14272392
CRART,2017,560,2,31,12023.05000000,835051.55000000,131204.88000000,0.15712189
CRART,2017,560,2,33,5393.95000000,835051.55000000,136598.83000000,0.16358131
CRART,2017,560,2,34,24388.76000000,835051.55000000,160987.59000000,0.19278761
CRART,2017,570,1,8,21745.57000000,578401.34000000,21745.57000000,0.03759599
CRART,2017,570,1,13,15620.51000000,578401.34000000,37366.08000000,0.06460234
CRART,2017,570,1,15,1294.57000000,578401.34000000,38660.65000000,0.06684053
CRART,2017,570,1,18,3603.85000000,578401.34000000,42264.50000000,0.07307123
CRART,2017,570,1,33,15099.28000000,578401.34000000,57363.78000000,0.09917643
CRART,2017,570,2,4,20167.40000000,840880.43000000,20167.40000000,0.02398367
CRART,2017,570,2,6,14111.37000000,840880.43000000,34278.77000000,0.04076533
CRART,2017,570,2,7,11200.90000000,840880.43000000,45479.67000000,0.05408578
CRART,2017,570,2,10,28342.92000000,840880.43000000,73822.59000000,0.08779202
CRART,2017,570,2,12,5219.36000000,840880.43000000,79041.95000000,0.09399904
CRART,2017,570,2,14,14095.74000000,840880.43000000,93137.69000000,0.11076211
CRART,2017,570,2,15,2388.27000000,840880.43000000,95525.96000000,0.11360231
CRART,2017,570,2,18,24322.05000000,840880.43000000,119848.01000000,0.14252682
CRART,2017,570,2,20,9834.20000000,840880.43000000,129682.21000000,0.15422194
CRART,2017,570,2,21,12417.85000000,840880.43000000,142100.06000000,0.16898961
CRART,2017,570,2,23,51034.61000000,840880.43000000,193134.67000000,0.22968149
CRART,2017,570,2,24,18213.16000000,840880.43000000,211347.83000000,0.25134112
