issuer_code,vintage_year,fico_low,new_used,loan_age_months,period_co_amt,orig_pool_amt,cumulative_co_amt,cumulative_loss_rate
CRART,2016,500,1,16,39644.68000000,62832.80000000,39644.68000000,0.63095517
CRART,2016,510,2,8,26322.21000000,134464.96000000,26322.21000000,0.19575516
CRART,2016,510,2,20,3748.00000000,134464.96000000,30070.21000000,0.22362859
CRART,2016,510,2,27,8814.26000000,134464.96000000,38884.47000000,0.28917920
CRART,2016,520,1,26,14993.86000000,55496.38000000,14993.86000000,0.27017726
CRART,2016,520,1,40,15336.16000000,55496.38000000,30330.02000000,0.54652249
CRART,2016,520,2,9,14983.34000000,206496.81000000,14983.34000000,0.07255967
CRART,2016,520,2,22,34002.44000000,206496.81000000,48985.78000000,0.23722294
CRART,2016,520,2,48,9642.66000000,206496.81000000,58628.44000000,0.28391935
CRART,2016,520,2,53,3718.44000000,206496.81000000,62346.88000000,0.30192660
CRART,2016,530,1,20,23189.81000000,92076.37000000,23189.81000000,0.25185409
CRART,2016,530,2,20,10414.40000000,221072.10000000,10414.40000000,0.04710861
CRART,2016,530,2,23,12261.36000000,221072.10000000,22675.76000000,0.10257179
CRART,2016,530,2,33,7035.21000000,221072.10000000,29710.97000000,0.13439493
CRART,2016,540,1,25,16091.78000000,38146.73000000,16091.78000000,0.42183904
CRART,2016,540,2,16,21761.17000000,299980.67000000,21761.17000000,0.07254191
CRART,2016,540,2,20,16350.29000000,299980.67000000,38111.46000000,0.12704639
CRART,2016,540,2,23,31033.18000000,299980.67000000,69144.64000000,0.23049699
CRART,2016,540,2,44,4592.76000000,299980.67000000,73737.40000000,0.24580717
CRART,2016,550,1,26,729.55000000,199493.19000000,729.55000000,0.00365702
CRART,2016,550,2,21,10325.36000000,422942.45000000,10325.36000000,0.02441316
CRART,2016,550,2,25,17552.92000000,422942.45000000,27878.28000000,0.06591507
CRART,2016,550,2,32,15694.85000000,422942.45000000,43573.13000000,0.10302378
CRART,2016,550,2,36,21384.72000000,422942.45000000,64957.85000000,0.15358555
CRART,2016,560,1,5,2216.50000000,239945.03000000,2216.50000000,0.00923753
CRART,2016,560,1,19,18729.41000000,239945.03000000,20945.91000000,0.08729462
CRART,2016,560,2,14,15777.79000000,451254.54000000,15777.79000000,0.03496428
CRART,2016,560,2,18,14502.35000000,451254.54000000,30280.14000000,0.06710213
CRART,2016,560,2,24,7990.89000000,451254.54000000,38271.03000000,0.08481029
CRART,2016,560,2,28,6538.42000000,451254.54000000,44809.45000000,0.09929972
CRART,2016,560,2,31,12369.02000000,451254.54000000,57178.47000000,0.12671002
CRART,2016,560,2,32,10383.35000000,451254.54000000,67561.82000000,0.14971998
CRART,2016,560,2,33,12023.05000000,451254.54000000,79584.87000000,0.17636359
CRART,2016,560,2,35,5393.95000000,451254.54000000,84978.82000000,0.18831682
CRART,2016,570,1,11,21745.57000000,519382.81000000,21745.57000000,0.04186810
CRART,2016,570,1,16,15620.51000000,519382.81000000,37366.08000000,0.07194324
CRART,2016,570,1,17,1294.57000000,519382.81000000,38660.65000000,0.07443575
CRART,2016,570,1,20,3603.85000000,519382.81000000,42264.50000000,0.08137447
CRART,2016,570,1,37,15099.28000000,519382.81000000,57363.78000000,0.11044605
CRART,2016,570,2,9,9004.01000000,631975.55000000,9004.01000000,0.01424740
CRART,2016,570,2,12,21005.41000000,631975.55000000,30009.42000000,0.04748510
CRART,2016,570,2,14,12556.87000000,631975.55000000,42566.29000000,0.06735433
CRART,2016,570,2,16,14095.74000000,631975.55000000,56662.03000000,0.08965858
CRART,2016,570,2,18,2388.27000000,631975.55000000,59050.30000000,0.09343763
CRART,2016,570,2,22,24322.05000000,631975.55000000,83372.35000000,0.13192338
CRART,2016,570,2,23,9834.20000000,631975.55000000,93206.55000000,0.14748442
CRART,2016,570,2,25,12417.85000000,631975.55000000,105624.40000000,0.16713368
CRART,2016,570,2,26,51034.61000000,631975.55000000,156659.01000000,0.24788777
CRART,2016,570,2,27,18213.16000000,631975.55000000,174872.17000000,0.27670718
CRART,2016,570,2,39,4444.77000000,631975.55000000,179316.94000000,0.28374031
CRART,2016,570,2,46,5386.43000000,631975.55000000,184703.37000000,0.29226347
CRART,2016,580,1,7,34813.27000000,1134635.22000000,34813.27000000,0.03068235
CRART,2016,580,1,9,74369.85000000,1134635.22000000,109183.12000000,0.09622751
CRART,2016,580,1,11,48969.79000000,1134635.22000000,158152.91000000,0.13938657
