issuer_code,vintage_year,fico_low,new_used,loan_age_months,period_co_amt,orig_pool_amt,cumulative_co_amt,cumulative_loss_rate
CRVNAN,2021,330,2,39,6774.90000000,19334.35000000,6774.90000000,0.35040744
CRVNAN,2021,350,2,14,14592.10000000,44593.89000000,14592.10000000,0.32722196
CRVNAN,2021,360,2,20,14245.20000000,62618.86000000,14245.20000000,0.22749057
CRVNAN,2021,360,2,38,12721.64000000,62618.86000000,26966.84000000,0.43065045
CRVNAN,2021,370,2,15,9272.32000000,238151.52000000,9272.32000000,0.03893454
CRVNAN,2021,370,2,27,10599.02000000,238151.52000000,19871.34000000,0.08343990
CRVNAN,2021,370,2,30,11729.70000000,238151.52000000,31601.04000000,0.13269300
CRVNAN,2021,370,2,62,3361.94000000,238151.52000000,34962.98000000,0.14680981
CRVNAN,2021,380,2,4,13045.61000000,706134.71000000,13045.61000000,0.01847468
CRVNAN,2021,380,2,9,995.32000000,706134.71000000,14040.93000000,0.01988421
CRVNAN,2021,380,2,10,27250.82000000,706134.71000000,41291.75000000,0.05847574
CRVNAN,2021,380,2,11,16833.07000000,706134.71000000,58124.82000000,0.08231407
CRVNAN,2021,380,2,17,34675.34000000,706134.71000000,92800.16000000,0.13141991
CRVNAN,2021,380,2,19,14043.75000000,706134.71000000,106843.91000000,0.15130811
CRVNAN,2021,380,2,23,18812.18000000,706134.71000000,125656.09000000,0.17794918
CRVNAN,2021,380,2,26,17392.86000000,706134.71000000,143048.95000000,0.20258026
CRVNAN,2021,380,2,30,10129.92000000,706134.71000000,153178.87000000,0.21692585
CRVNAN,2021,380,2,31,15880.40000000,706134.71000000,169059.27000000,0.23941504
CRVNAN,2021,380,2,38,29372.78000000,706134.71000000,198432.05000000,0.28101161
CRVNAN,2021,380,2,39,29647.45000000,706134.71000000,228079.50000000,0.32299715
CRVNAN,2021,380,2,40,12660.98000000,706134.71000000,240740.48000000,0.34092713
CRVNAN,2021,380,2,46,11326.63000000,706134.71000000,252067.11000000,0.35696745
CRVNAN,2021,380,2,47,13404.64000000,706134.71000000,265471.75000000,0.37595057
CRVNAN,2021,380,2,49,16031.02000000,706134.71000000,281502.77000000,0.39865307
CRVNAN,2021,380,2,50,14402.89000000,706134.71000000,295905.66000000,0.41904987
CRVNAN,2021,380,2,53,6698.91000000,706134.71000000,302604.57000000,0.42853660
CRVNAN,2021,380,2,60,10512.35000000,706134.71000000,313116.92000000,0.44342378
CRVNAN,2021,380,2,61,7845.64000000,706134.71000000,320962.56000000,0.45453446
CRVNAN,2021,390,2,8,14010.37000000,931497.72000000,14010.37000000,0.01504069
CRVNAN,2021,390,2,9,40491.28000000,931497.72000000,54501.65000000,0.05850970
CRVNAN,2021,390,2,11,12269.76000000,931497.72000000,66771.41000000,0.07168178
CRVNAN,2021,390,2,12,16190.13000000,931497.72000000,82961.54000000,0.08906253
CRVNAN,2021,390,2,13,29714.44000000,931497.72000000,112675.98000000,0.12096216
CRVNAN,2021,390,2,15,10794.09000000,931497.72000000,123470.07000000,0.13255005
CRVNAN,2021,390,2,18,29549.73000000,931497.72000000,153019.80000000,0.16427287
CRVNAN,2021,390,2,19,11652.25000000,931497.72000000,164672.05000000,0.17678202
CRVNAN,2021,390,2,20,16416.15000000,931497.72000000,181088.20000000,0.19440541
CRVNAN,2021,390,2,23,8117.01000000,931497.72000000,189205.21000000,0.20311935
CRVNAN,2021,390,2,24,23110.86000000,931497.72000000,212316.07000000,0.22792978
CRVNAN,2021,390,2,28,16288.94000000,931497.72000000,228605.01000000,0.24541661
CRVNAN,2021,390,2,31,18875.53000000,931497.72000000,247480.54000000,0.26568024
CRVNAN,2021,390,2,33,13137.15000000,931497.72000000,260617.69000000,0.27978350
CRVNAN,2021,390,2,36,36086.78000000,931497.72000000,296704.47000000,0.31852410
CRVNAN,2021,390,2,40,28326.22000000,931497.72000000,325030.69000000,0.34893343
CRVNAN,2021,390,2,43,28877.32000000,931497.72000000,353908.01000000,0.37993438
CRVNAN,2021,390,2,44,8915.43000000,931497.72000000,362823.44000000,0.38950545
CRVNAN,2021,390,2,49,28049.07000000,931497.72000000,390872.51000000,0.41961725
CRVNAN,2021,400,2,2,17004.45000000,1846621.46000000,17004.45000000,0.00920841
CRVNAN,2021,400,2,5,29793.55000000,1846621.46000000,46798.00000000,0.02534250
CRVNAN,2021,400,2,6,18095.19000000,1846621.46000000,64893.19000000,0.03514158
CRVNAN,2021,400,2,7,26453.63000000,1846621.46000000,91346.82000000,0.04946700
CRVNAN,2021,400,2,8,15868.75000000,1846621.46000000,107215.57000000,0.05806039
CRVNAN,2021,400,2,9,58787.37000000,1846621.46000000,166002.94000000,0.08989549
CRVNAN,2021,400,2,10,63091.92000000,1846621.46000000,229094.86000000,0.12406163
CRVNAN,2021,400,2,11,42570.07000000,1846621.46000000,271664.93000000,0.14711457
CRVNAN,2021,400,2,12,18444.12000000,1846621.46000000,290109.05000000,0.15710261
CRVNAN,2021,400,2,14,37609.89000000,1846621.46000000,327718.94000000,0.17746947
CRVNAN,2021,400,2,15,9100.74000000,1846621.46000000,336819.68000000,0.18239779
CRVNAN,2021,400,2,17,14111.55000000,1846621.46000000,350931.23000000,0.19003961
CRVNAN,2021,400,2,18,16829.90000000,1846621.46000000,367761.13000000,0.19915350
CRVNAN,2021,400,2,19,15975.30000000,1846621.46000000,383736.43000000,0.20780460
CRVNAN,2021,400,2,21,22423.46000000,1846621.46000000,406159.89000000,0.21994756
CRVNAN,2021,400,2,22,44828.49000000,1846621.46000000,450988.38000000,0.24422351
CRVNAN,2021,400,2,24,11958.04000000,1846621.46000000,462946.42000000,0.25069914
CRVNAN,2021,400,2,25,21910.93000000,1846621.46000000,484857.35000000,0.26256456
CRVNAN,2021,400,2,27,20648.77000000,1846621.46000000,505506.12000000,0.27374648
CRVNAN,2021,400,2,28,33400.32000000,1846621.46000000,538906.44000000,0.29183374
CRVNAN,2021,400,2,29,34594.70000000,1846621.46000000,573501.14000000,0.31056779
CRVNAN,2021,400,2,32,9882.54000000,1846621.46000000,583383.68000000,0.31591947
CRVNAN,2021,400,2,33,9844.49000000,1846621.46000000,593228.17000000,0.32125056
CRVNAN,2021,400,2,34,10925.83000000,1846621.46000000,604154.00000000,0.32716721
CRVNAN,2021,400,2,35,15923.13000000,1846621.46000000,620077.13000000,0.33579006
CRVNAN,2021,400,2,37,15506.07000000,1846621.46000000,635583.20000000,0.34418705
CRVNAN,2021,400,2,40,16571.91000000,1846621.46000000,652155.11000000,0.35316123
CRVNAN,2021,400,2,41,59952.59000000,1846621.46000000,712107.70000000,0.38562733
CRVNAN,2021,400,2,42,14401.67000000,1846621.46000000,726509.37000000,0.39342626
CRVNAN,2021,400,2,45,14632.35000000,1846621.46000000,741141.72000000,0.40135011
CRVNAN,2021,400,2,47,24999.01000000,1846621.46000000,766140.73000000,0.41488781
CRVNAN,2021,400,2,49,14096.80000000,1846621.46000000,780237.53000000,0.42252164
CRVNAN,2021,400,2,55,19377.39000000,1846621.46000000,799614.92000000,0.43301507
CRVNAN,2021,400,2,56,7491.51000000,1846621.46000000,807106.43000000,0.43707194
CRVNAN,2021,400,2,61,9509.14000000,1846621.46000000,816615.57000000,0.44222142
CRVNAN,2021,400,2,63,9612.10000000,1846621.46000000,826227.67000000,0.44742666
CRVNAN,2021,410,2,4,16617.67000000,3774542.94000000,16617.67000000,0.00440256
CRVNAN,2021,410,2,5,18889.75000000,3774542.94000000,35507.42000000,0.00940708
CRVNAN,2021,410,2,8,42167.60000000,3774542.94000000,77675.02000000,0.02057866
CRVNAN,2021,410,2,10,29482.12000000,3774542.94000000,107157.14000000,0.02838943
CRVNAN,2021,410,2,11,57066.31000000,3774542.94000000,164223.45000000,0.04350817
CRVNAN,2021,410,2,12,85661.50000000,3774542.94000000,249884.95000000,0.06620270
CRVNAN,2021,410,2,13,14430.50000000,3774542.94000000,264315.45000000,0.07002582
CRVNAN,2021,410,2,14,28181.74000000,3774542.94000000,292497.19000000,0.07749208
CRVNAN,2021,410,2,15,29786.44000000,3774542.94000000,322283.63000000,0.08538348
CRVNAN,2021,410,2,16,15261.62000000,3774542.94000000,337545.25000000,0.08942679
CRVNAN,2021,410,2,17,24652.92000000,3774542.94000000,362198.17000000,0.09595815
CRVNAN,2021,410,2,18,21557.20000000,3774542.94000000,383755.37000000,0.10166936
CRVNAN,2021,410,2,19,97424.47000000,3774542.94000000,481179.84000000,0.12748029
CRVNAN,2021,410,2,20,145560.65000000,3774542.94000000,626740.49000000,0.16604407
CRVNAN,2021,410,2,21,42083.92000000,3774542.94000000,668824.41000000,0.17719348
CRVNAN,2021,410,2,22,27558.64000000,3774542.94000000,696383.05000000,0.18449467
CRVNAN,2021,410,2,23,17085.35000000,3774542.94000000,713468.40000000,0.18902114
CRVNAN,2021,410,2,24,31246.98000000,3774542.94000000,744715.38000000,0.19729949
CRVNAN,2021,410,2,26,21471.78000000,3774542.94000000,766187.16000000,0.20298806
