issuer_code,vintage_year,fico_low,new_used,loan_age_months,period_co_amt,orig_pool_amt,cumulative_co_amt,cumulative_loss_rate
CRVNAN,2017,500,2,54,11472.60000000,34194.57000000,11472.60000000,0.33550941
CRVNAN,2017,550,2,71,1080.60000000,191791.27000000,1080.60000000,0.00563425
CRVNAN,2017,550,2,72,1372.41000000,191791.27000000,2453.01000000,0.01279000
CRVNAN,2017,550,2,80,545.27000000,191791.27000000,2998.28000000,0.01563304
CRVNAN,2018,470,2,46,10016.56000000,38010.55000000,10016.56000000,0.26352052
CRVNAN,2018,470,2,72,14314.89000000,38010.55000000,24331.45000000,0.64012360
CRVNAN,2018,480,2,43,11542.36000000,13569.00000000,11542.36000000,0.85064190
CRVNAN,2018,520,2,80,9314.62000000,18565.40000000,9314.62000000,0.50171933
CRVNAN,2018,550,2,41,11758.27000000,1565647.98000000,11758.27000000,0.00751016
CRVNAN,2018,550,2,45,4842.44000000,1565647.98000000,16600.71000000,0.01060309
CRVNAN,2018,550,2,47,15276.67000000,1565647.98000000,31877.38000000,0.02036050
CRVNAN,2018,550,2,48,7707.62000000,1565647.98000000,39585.00000000,0.02528346
CRVNAN,2018,550,2,51,11025.78000000,1565647.98000000,50610.78000000,0.03232577
CRVNAN,2018,550,2,54,10376.65000000,1565647.98000000,60987.43000000,0.03895348
CRVNAN,2018,550,2,57,4600.08000000,1565647.98000000,65587.51000000,0.04189161
CRVNAN,2018,550,2,58,6328.44000000,1565647.98000000,71915.95000000,0.04593367
CRVNAN,2018,550,2,62,11508.33000000,1565647.98000000,83424.28000000,0.05328419
CRVNAN,2018,550,2,65,980.99000000,1565647.98000000,84405.27000000,0.05391076
CRVNAN,2018,550,2,67,5313.90000000,1565647.98000000,89719.17000000,0.05730482
CRVNAN,2018,550,2,72,10941.07000000,1565647.98000000,100660.24000000,0.06429302
CRVNAN,2018,550,2,75,655.15000000,1565647.98000000,101315.39000000,0.06471147
CRVNAN,2018,550,2,79,1354.54000000,1565647.98000000,102669.93000000,0.06557664
CRVNAN,2018,560,2,46,9113.36000000,1339730.95000000,9113.36000000,0.00680238
CRVNAN,2018,560,2,48,7541.15000000,1339730.95000000,16654.51000000,0.01243123
CRVNAN,2018,560,2,50,5740.15000000,1339730.95000000,22394.66000000,0.01671579
CRVNAN,2018,560,2,55,6043.58000000,1339730.95000000,28438.24000000,0.02122683
CRVNAN,2018,560,2,62,0.00000000,1339730.95000000,28438.24000000,0.02122683
CRVNAN,2018,560,2,65,10086.09000000,1339730.95000000,38524.33000000,0.02875527
CRVNAN,2018,560,2,70,5468.71000000,1339730.95000000,43993.04000000,0.03283722
CRVNAN,2018,560,2,76,6697.16000000,1339730.95000000,50690.20000000,0.03783610
CRVNAN,2018,560,2,79,1238.03000000,1339730.95000000,51928.23000000,0.03876019
CRVNAN,2018,570,2,49,13806.98000000,763987.58000000,13806.98000000,0.01807226
CRVNAN,2018,570,2,51,0.00000000,763987.58000000,13806.98000000,0.01807226
CRVNAN,2018,570,2,60,5301.52000000,763987.58000000,19108.50000000,0.02501153
CRVNAN,2018,570,2,64,13834.48000000,763987.58000000,32942.98000000,0.04311978
CRVNAN,2018,570,2,78,5611.69000000,763987.58000000,38554.67000000,0.05046505
CRVNAN,2018,570,2,83,0.00000000,763987.58000000,38554.67000000,0.05046505
CRVNAN,2018,580,2,46,11820.62000000,549301.03000000,11820.62000000,0.02151938
CRVNAN,2018,580,2,73,1540.16000000,549301.03000000,13360.78000000,0.02432324
CRVNAN,2018,590,2,57,6442.14000000,489142.02000000,6442.14000000,0.01317029
CRVNAN,2018,600,2,53,8471.26000000,112462.74000000,8471.26000000,0.07532504
CRVNAN,2018,600,2,61,3571.90000000,112462.74000000,12043.16000000,0.10708578
CRVNAN,2018,610,2,50,7025.23000000,14266.00000000,7025.23000000,0.49244568
CRVNAN,2019,380,2,25,16833.07000000,39798.27000000,16833.07000000,0.42295984
CRVNAN,2019,380,2,40,18812.18000000,39798.27000000,35645.25000000,0.89564823
CRVNAN,2019,390,2,49,13137.15000000,16340.00000000,13137.15000000,0.80398715
CRVNAN,2019,400,2,39,21910.93000000,64691.65000000,21910.93000000,0.33869796
CRVNAN,2019,400,2,57,16571.91000000,64691.65000000,38482.84000000,0.59486564
CRVNAN,2019,410,2,24,10990.38000000,79514.97000000,10990.38000000,0.13821775
CRVNAN,2019,410,2,37,11180.88000000,79514.97000000,22171.26000000,0.27883127
CRVNAN,2019,410,2,50,8187.77000000,79514.97000000,30359.03000000,0.38180270
CRVNAN,2019,410,2,80,9037.62000000,79514.97000000,39396.65000000,0.49546205
CRVNAN,2019,420,2,22,12416.28000000,86413.51000000,12416.28000000,0.14368448
CRVNAN,2019,420,2,27,13480.85000000,86413.51000000,25897.13000000,0.29968844
CRVNAN,2019,420,2,28,19770.67000000,86413.51000000,45667.80000000,0.52847986
CRVNAN,2019,430,2,36,9424.99000000,98369.99000000,9424.99000000,0.09581164
CRVNAN,2019,430,2,37,15911.85000000,98369.99000000,25336.84000000,0.25756676
CRVNAN,2019,440,2,24,19976.85000000,71625.88000000,19976.85000000,0.27890547
CRVNAN,2019,440,2,40,12798.01000000,71625.88000000,32774.86000000,0.45758405
CRVNAN,2019,440,2,62,10449.72000000,71625.88000000,43224.58000000,0.60347712
CRVNAN,2019,450,2,28,18358.29000000,133222.09000000,18358.29000000,0.13780215
CRVNAN,2019,450,2,35,8154.34000000,133222.09000000,26512.63000000,0.19901076
CRVNAN,2019,450,2,46,0.00000000,133222.09000000,26512.63000000,0.19901076
CRVNAN,2019,450,2,47,9394.93000000,133222.09000000,35907.56000000,0.26953158
CRVNAN,2019,450,2,51,6481.95000000,133222.09000000,42389.51000000,0.31818680
CRVNAN,2019,450,2,69,8094.30000000,133222.09000000,50483.81000000,0.37894474
CRVNAN,2019,460,2,26,17157.04000000,133915.14000000,17157.04000000,0.12811875
CRVNAN,2019,460,2,46,7190.96000000,133915.14000000,24348.00000000,0.18181663
CRVNAN,2019,460,2,49,20585.24000000,133915.14000000,44933.24000000,0.33553518
CRVNAN,2019,460,2,61,6922.19000000,133915.14000000,51855.43000000,0.38722604
CRVNAN,2019,460,2,80,11417.42000000,133915.14000000,63272.85000000,0.47248466
CRVNAN,2019,470,2,25,16912.47000000,123130.44000000,16912.47000000,0.13735409
CRVNAN,2019,470,2,50,23609.58000000,123130.44000000,40522.05000000,0.32909856
CRVNAN,2019,480,2,30,24618.09000000,154010.31000000,24618.09000000,0.15984703
CRVNAN,2019,480,2,35,16824.52000000,154010.31000000,41442.61000000,0.26908984
CRVNAN,2019,480,2,36,6925.22000000,154010.31000000,48367.83000000,0.31405579
CRVNAN,2019,480,2,38,9560.17000000,154010.31000000,57928.00000000,0.37613066
CRVNAN,2019,480,2,39,18681.00000000,154010.31000000,76609.00000000,0.49742774
CRVNAN,2019,480,2,58,5478.95000000,154010.31000000,82087.95000000,0.53300295
CRVNAN,2019,480,2,83,8344.67000000,154010.31000000,90432.62000000,0.58718549
CRVNAN,2019,490,2,31,13942.98000000,258379.16000000,13942.98000000,0.05396325
