issuer_code,vintage_year,fico_low,new_used,loan_age_months,period_co_amt,orig_pool_amt,cumulative_co_amt,cumulative_loss_rate
CRVNAP,2019,600,2,34,12831.16000000,63620.87000000,12831.16000000,0.20168162
CRVNAP,2019,600,2,72,4452.10000000,63620.87000000,17283.26000000,0.27166023
CRVNAP,2019,620,2,14,15251.48000000,128295.42000000,15251.48000000,0.11887782
CRVNAP,2019,620,2,23,13380.76000000,128295.42000000,28632.24000000,0.22317430
CRVNAP,2019,620,2,38,6965.73000000,128295.42000000,35597.97000000,0.27746875
CRVNAP,2019,620,2,40,12701.28000000,128295.42000000,48299.25000000,0.37646901
CRVNAP,2019,620,2,44,1048.12000000,128295.42000000,49347.37000000,0.38463859
CRVNAP,2019,620,2,60,8273.61000000,128295.42000000,57620.98000000,0.44912733
CRVNAP,2019,630,2,69,1230.48000000,50267.57000000,1230.48000000,0.02447861
CRVNAP,2019,650,2,49,10253.17000000,176542.45000000,10253.17000000,0.05807765
CRVNAP,2019,660,2,29,732.95000000,128109.16000000,732.95000000,0.00572129
CRVNAP,2019,660,2,62,9878.99000000,128109.16000000,10611.94000000,0.08283514
CRVNAP,2019,670,2,63,7281.04000000,48614.83000000,7281.04000000,0.14976994
CRVNAP,2019,680,2,35,19638.57000000,54361.00000000,19638.57000000,0.36126212
CRVNAP,2019,720,2,23,11552.71000000,47470.26000000,11552.71000000,0.24336732
CRVNAP,2019,740,2,45,16042.30000000,92662.79000000,16042.30000000,0.17312559
CRVNAP,2019,820,2,27,10528.09000000,35557.47000000,10528.09000000,0.29608659
CRVNAP,2020,560,2,23,17524.97000000,248283.68000000,17524.97000000,0.07058446
CRVNAP,2020,560,2,31,7696.58000000,248283.68000000,25221.55000000,0.10158360
CRVNAP,2020,560,2,36,5828.13000000,248283.68000000,31049.68000000,0.12505727
CRVNAP,2020,560,2,42,10209.05000000,248283.68000000,41258.73000000,0.16617576
CRVNAP,2020,560,2,49,6012.21000000,248283.68000000,47270.94000000,0.19039085
CRVNAP,2020,560,2,55,4832.70000000,248283.68000000,52103.64000000,0.20985528
CRVNAP,2020,570,2,21,3900.34000000,241683.87000000,3900.34000000,0.01613819
CRVNAP,2020,570,2,24,12299.82000000,241683.87000000,16200.16000000,0.06703037
CRVNAP,2020,570,2,42,7287.95000000,241683.87000000,23488.11000000,0.09718526
CRVNAP,2020,570,2,48,5130.47000000,241683.87000000,28618.58000000,0.11841328
CRVNAP,2020,580,2,17,9030.62000000,583056.10000000,9030.62000000,0.01548842
CRVNAP,2020,580,2,18,15087.25000000,583056.10000000,24117.87000000,0.04136458
CRVNAP,2020,580,2,26,13775.20000000,583056.10000000,37893.07000000,0.06499044
CRVNAP,2020,580,2,33,1557.15000000,583056.10000000,39450.22000000,0.06766110
CRVNAP,2020,580,2,45,13841.45000000,583056.10000000,53291.67000000,0.09140059
CRVNAP,2020,580,2,63,4365.36000000,583056.10000000,57657.03000000,0.09888762
CRVNAP,2020,590,2,6,24644.91000000,4700311.73000000,24644.91000000,0.00524325
CRVNAP,2020,590,2,11,22165.12000000,4700311.73000000,46810.03000000,0.00995892
CRVNAP,2020,590,2,13,8534.94000000,4700311.73000000,55344.97000000,0.01177474
CRVNAP,2020,590,2,16,19779.14000000,4700311.73000000,75124.11000000,0.01598279
CRVNAP,2020,590,2,19,11315.54000000,4700311.73000000,86439.65000000,0.01839020
CRVNAP,2020,590,2,20,19349.46000000,4700311.73000000,105789.11000000,0.02250683
CRVNAP,2020,590,2,25,29959.11000000,4700311.73000000,135748.22000000,0.02888068
CRVNAP,2020,590,2,35,5979.57000000,4700311.73000000,141727.79000000,0.03015285
CRVNAP,2020,590,2,39,23583.06000000,4700311.73000000,165310.85000000,0.03517019
CRVNAP,2020,590,2,40,12792.99000000,4700311.73000000,178103.84000000,0.03789192
CRVNAP,2020,590,2,41,12148.86000000,4700311.73000000,190252.70000000,0.04047661
CRVNAP,2020,590,2,44,15441.44000000,4700311.73000000,205694.14000000,0.04376181
CRVNAP,2020,590,2,45,7435.09000000,4700311.73000000,213129.23000000,0.04534364
CRVNAP,2020,590,2,46,6484.72000000,4700311.73000000,219613.95000000,0.04672327
CRVNAP,2020,590,2,49,2069.49000000,4700311.73000000,221683.44000000,0.04716356
CRVNAP,2020,590,2,51,11626.13000000,4700311.73000000,233309.57000000,0.04963704
CRVNAP,2020,590,2,53,14651.48000000,4700311.73000000,247961.05000000,0.05275417
CRVNAP,2020,590,2,56,4740.77000000,4700311.73000000,252701.82000000,0.05376278
CRVNAP,2020,590,2,57,8469.21000000,4700311.73000000,261171.03000000,0.05556462
CRVNAP,2020,600,2,9,2485.50000000,20168821.12999996,2485.50000000,0.00012323
CRVNAP,2020,600,2,10,37462.04000000,20168821.12999996,39947.54000000,0.00198066
CRVNAP,2020,600,2,11,21365.10000000,20168821.12999996,61312.64000000,0.00303997
CRVNAP,2020,600,2,12,37149.40000000,20168821.12999996,98462.04000000,0.00488189
