issuer_code,vintage_year,loan_age_months,period_co_amt,orig_pool_amt,cumulative_co_amt,cumulative_loss_rate
DRIVE,2018,0,10152167.37000000,4885719321.43024635,10152167.37000000,0.00207793
DRIVE,2018,1,10384491.07000000,4885719321.43024635,20536658.44000001,0.00420341
DRIVE,2018,2,11396862.60000000,4885719321.43024635,31933521.04000000,0.00653609
DRIVE,2018,3,12771039.39000000,4885719321.43024635,44704560.43000001,0.00915005
DRIVE,2018,4,12388975.20000000,4885719321.43024635,57093535.63000000,0.01168580
DRIVE,2018,5,11998048.54000000,4885719321.43024635,69091584.17000000,0.01414154
DRIVE,2018,6,12401712.40999999,4885719321.43024635,81493296.58000000,0.01667990
DRIVE,2018,7,11090846.78000000,4885719321.43024635,92584143.35999998,0.01894995
DRIVE,2018,8,9541498.25000000,4885719321.43024635,102125641.60999998,0.02090289
DRIVE,2018,9,7249478.73000000,4885719321.43024635,109375120.33999999,0.02238670
DRIVE,2018,10,6486661.31000000,4885719321.43024635,115861781.64999999,0.02371438
DRIVE,2018,11,6154031.48000000,4885719321.43024635,122015813.12999998,0.02497397
DRIVE,2018,12,6339721.26000000,4885719321.43024635,128355534.38999999,0.02627157
DRIVE,2018,13,7064256.57000000,4885719321.43024635,135419790.95999998,0.02771747
DRIVE,2018,14,6984882.29000000,4885719321.43024635,142404673.25000000,0.02914713
DRIVE,2018,15,5652492.57000000,4885719321.43024635,148057165.81999999,0.03030407
DRIVE,2018,16,5074266.15000000,4885719321.43024635,153131431.97000000,0.03134266
DRIVE,2018,17,3488047.06000000,4885719321.43024635,156619479.03000000,0.03205659
DRIVE,2018,18,1793935.70000000,4885719321.43024635,158413414.72999999,0.03242376
DRIVE,2018,19,1716745.47000000,4885719321.43024635,160130160.19999999,0.03277515
DRIVE,2018,20,1271321.38000000,4885719321.43024635,161401481.57999998,0.03303536
DRIVE,2018,21,1035382.12000000,4885719321.43024635,162436863.69999999,0.03324728
DRIVE,2019,0,15943241.29000000,6733965141.14028072,15943241.29000000,0.00236759
DRIVE,2019,1,15238419.03000000,6733965141.14028072,31181660.32000000,0.00463051
DRIVE,2019,2,17067745.73000000,6733965141.14028072,48249406.05000000,0.00716508
DRIVE,2019,3,16662013.87000000,6733965141.14028072,64911419.92000000,0.00963941
DRIVE,2019,4,16664836.49000001,6733965141.14028072,81576256.41000001,0.01211415
DRIVE,2019,5,17552018.22000000,6733965141.14028072,99128274.63000000,0.01472064
DRIVE,2019,6,16023056.01000000,6733965141.14028072,115151330.64000000,0.01710008
DRIVE,2019,7,14939514.78000000,6733965141.14028072,130090845.42000000,0.01931861
DRIVE,2019,8,12746233.32000000,6733965141.14028072,142837078.74000001,0.02121144
DRIVE,2019,9,10019676.47000000,6733965141.14028072,152856755.21000001,0.02269937
