issuer_code,vintage_year,loan_age_months,period_co_amt,orig_pool_amt,cumulative_co_amt,cumulative_loss_rate
DRIVE,2011,70,27287.45000000,8313554.15000001,27287.45000000,0.00328228
DRIVE,2011,72,58324.56000000,8313554.15000001,85612.01000000,0.01029788
DRIVE,2011,73,68587.47000000,8313554.15000001,154199.48000000,0.01854796
DRIVE,2011,74,43094.82000000,8313554.15000001,197294.30000000,0.02373164
DRIVE,2011,75,14068.72000000,8313554.15000001,211363.02000000,0.02542391
DRIVE,2011,76,17014.43000000,8313554.15000001,228377.45000000,0.02747050
DRIVE,2011,77,35855.98000000,8313554.15000001,264233.43000000,0.03178345
DRIVE,2011,78,108038.07000000,8313554.15000001,372271.50000000,0.04477886
DRIVE,2011,79,67398.77000000,8313554.15000001,439670.27000000,0.05288596
DRIVE,2011,80,36238.08000000,8313554.15000001,475908.35000000,0.05724487
DRIVE,2011,81,44996.61000000,8313554.15000001,520904.96000000,0.06265731
DRIVE,2011,82,75345.77000000,8313554.15000001,596250.73000000,0.07172032
DRIVE,2011,83,55975.87000000,8313554.15000001,652226.60000000,0.07845340
DRIVE,2011,84,58824.57000000,8313554.15000001,711051.17000000,0.08552914
DRIVE,2012,59,17709.07000000,232871141.61999944,17709.07000000,0.00007605
DRIVE,2012,60,128884.19000000,232871141.61999944,146593.26000000,0.00062950
DRIVE,2012,61,285237.22000000,232871141.61999944,431830.48000000,0.00185438
DRIVE,2012,62,560935.26000000,232871141.61999944,992765.74000000,0.00426315
DRIVE,2012,63,725762.20000000,232871141.61999944,1718527.94000000,0.00737974
DRIVE,2012,64,984202.35000000,232871141.61999944,2702730.29000000,0.01160612
DRIVE,2012,65,1136116.32000000,232871141.61999944,3838846.61000000,0.01648485
DRIVE,2012,66,1003351.69000000,232871141.61999944,4842198.30000000,0.02079347
DRIVE,2012,67,981354.64000000,232871141.61999944,5823552.94000000,0.02500762
DRIVE,2012,68,1045403.62000000,232871141.61999944,6868956.56000000,0.02949681
DRIVE,2012,69,1128999.78000000,232871141.61999944,7997956.34000000,0.03434499
DRIVE,2012,70,1189201.78000000,232871141.61999944,9187158.12000000,0.03945168
DRIVE,2012,71,1128171.87000000,232871141.61999944,10315329.99000000,0.04429630
DRIVE,2012,72,1003889.36000000,232871141.61999944,11319219.35000000,0.04860722
DRIVE,2012,73,974644.44000000,232871141.61999944,12293863.79000000,0.05279256
DRIVE,2012,74,1029762.20000000,232871141.61999944,13323625.99000000,0.05721459
DRIVE,2012,75,839903.28000000,232871141.61999944,14163529.27000000,0.06082132
DRIVE,2012,76,822712.03000000,232871141.61999944,14986241.30000000,0.06435422
DRIVE,2012,77,790716.65000000,232871141.61999944,15776957.95000000,0.06774973
DRIVE,2012,78,609682.86000000,232871141.61999944,16386640.81000000,0.07036785
DRIVE,2012,79,795020.65000000,232871141.61999944,17181661.46000000,0.07378184
DRIVE,2012,80,595226.04000000,232871141.61999944,17776887.50000000,0.07633787
DRIVE,2012,81,596152.69000000,232871141.61999944,18373040.19000000,0.07889788
DRIVE,2012,82,436528.88000000,232871141.61999944,18809569.07000000,0.08077243
DRIVE,2012,83,410899.33000000,232871141.61999944,19220468.40000000,0.08253693
DRIVE,2012,84,392081.98000000,232871141.61999944,19612550.38000000,0.08422061
DRIVE,2013,45,27656.32000000,391919137.35999763,27656.32000000,0.00007057
DRIVE,2013,46,176774.94000000,391919137.35999763,204431.26000000,0.00052162
DRIVE,2013,47,282541.46000000,391919137.35999763,486972.72000000,0.00124253
DRIVE,2013,48,330211.82000000,391919137.35999763,817184.54000000,0.00208508
DRIVE,2013,49,506677.96000000,391919137.35999763,1323862.50000000,0.00337790
DRIVE,2013,50,474905.58000000,391919137.35999763,1798768.08000000,0.00458964
DRIVE,2013,51,520565.83000000,391919137.35999763,2319333.91000000,0.00591789
DRIVE,2013,52,581462.46000000,391919137.35999763,2900796.37000000,0.00740152
DRIVE,2013,53,555398.44000000,391919137.35999763,3456194.81000000,0.00881864
DRIVE,2013,54,446819.37000000,391919137.35999763,3903014.18000000,0.00995872
DRIVE,2013,55,627409.75000000,391919137.35999763,4530423.93000000,0.01155959
DRIVE,2013,56,393666.72000000,391919137.35999763,4924090.65000000,0.01256405
DRIVE,2013,57,508415.42000000,391919137.35999763,5432506.07000000,0.01386129
DRIVE,2013,58,546216.10000000,391919137.35999763,5978722.17000000,0.01525499
DRIVE,2013,59,533571.44000000,391919137.35999763,6512293.61000000,0.01661642
DRIVE,2013,60,686772.40000000,391919137.35999763,7199066.01000000,0.01836875
DRIVE,2013,61,1032034.44000000,391919137.35999763,8231100.45000000,0.02100204
DRIVE,2013,62,1178006.78000000,391919137.35999763,9409107.23000000,0.02400778
DRIVE,2013,63,1406441.05000000,391919137.35999763,10815548.28000000,0.02759638
DRIVE,2013,64,1494524.54000000,391919137.35999763,12310072.82000000,0.03140973
DRIVE,2013,65,1576366.63000000,391919137.35999763,13886439.45000000,0.03543190
DRIVE,2013,66,1289707.28000000,391919137.35999763,15176146.73000000,0.03872265
DRIVE,2013,67,1342431.91000000,391919137.35999763,16518578.64000000,0.04214793
DRIVE,2013,68,1299438.94000000,391919137.35999763,17818017.58000000,0.04546350
DRIVE,2013,69,1823077.40000000,391919137.35999763,19641094.98000000,0.05011517
DRIVE,2013,70,1470093.18000000,391919137.35999763,21111188.16000000,0.05386618
DRIVE,2013,71,1102480.78000000,391919137.35999763,22213668.94000000,0.05667921
DRIVE,2013,72,1201160.99000000,391919137.35999763,23414829.93000000,0.05974403
DRIVE,2013,73,1188693.24000000,391919137.35999763,24603523.17000000,0.06277704
DRIVE,2013,74,1084560.20000000,391919137.35999763,25688083.37000000,0.06554435
DRIVE,2013,75,1010421.20000000,391919137.35999763,26698504.57000000,0.06812248
DRIVE,2013,76,1019775.67000000,391919137.35999763,27718280.24000000,0.07072449
DRIVE,2013,77,700528.35000000,391919137.35999763,28418808.59000000,0.07251192
DRIVE,2013,78,669792.04000000,391919137.35999763,29088600.63000000,0.07422092
DRIVE,2013,79,649161.74000000,391919137.35999763,29737762.37000000,0.07587729
DRIVE,2013,80,580965.43000000,391919137.35999763,30318727.80000000,0.07735965
DRIVE,2013,81,392460.66000000,391919137.35999763,30711188.46000000,0.07836103
DRIVE,2013,82,461370.64000000,391919137.35999763,31172559.10000000,0.07953824
DRIVE,2013,83,382083.37000000,391919137.35999763,31554642.47000000,0.08051315
DRIVE,2013,84,381084.66000000,391919137.35999763,31935727.13000000,0.08148550
DRIVE,2014,36,57506.85000000,406271179.08000010,57506.85000000,0.00014155
DRIVE,2014,37,65735.57000000,406271179.08000010,123242.42000000,0.00030335
DRIVE,2014,38,149264.74000000,406271179.08000010,272507.16000000,0.00067075
DRIVE,2014,39,94162.13000000,406271179.08000010,366669.29000000,0.00090252
DRIVE,2014,40,264502.47000000,406271179.08000010,631171.76000000,0.00155357
DRIVE,2014,41,211689.40000000,406271179.08000010,842861.16000000,0.00207463
DRIVE,2014,42,471642.36000000,406271179.08000010,1314503.52000000,0.00323553
DRIVE,2014,43,414969.77000000,406271179.08000010,1729473.29000000,0.00425694
DRIVE,2014,44,514153.51000000,406271179.08000010,2243626.80000000,0.00552249
DRIVE,2014,45,710575.61000000,406271179.08000010,2954202.41000000,0.00727150
DRIVE,2014,46,518154.83000000,406271179.08000010,3472357.24000000,0.00854690
DRIVE,2014,47,630069.54000000,406271179.08000010,4102426.78000000,0.01009775
DRIVE,2014,48,702410.66000000,406271179.08000010,4804837.44000000,0.01182668
DRIVE,2014,49,593937.95000000,406271179.08000010,5398775.39000000,0.01328860
DRIVE,2014,50,823532.84000000,406271179.08000010,6222308.23000000,0.01531565
DRIVE,2014,51,578773.27000000,406271179.08000010,6801081.50000000,0.01674025
DRIVE,2014,52,576276.80000000,406271179.08000010,7377358.30000000,0.01815870
DRIVE,2014,53,733496.15000000,406271179.08000010,8110854.45000000,0.01996414
DRIVE,2014,54,725125.75000000,406271179.08000010,8835980.20000000,0.02174897
DRIVE,2014,55,717234.89000000,406271179.08000010,9553215.09000000,0.02351438
DRIVE,2014,56,682188.71000000,406271179.08000010,10235403.80000000,0.02519353
DRIVE,2014,57,698535.20000000,406271179.08000010,10933939.00000000,0.02691291
DRIVE,2014,58,834815.78000000,406271179.08000010,11768754.78000000,0.02896773
DRIVE,2014,59,820837.41000000,406271179.08000010,12589592.19000000,0.03098815
DRIVE,2014,60,1242221.31000000,406271179.08000010,13831813.50000000,0.03404577
