issuer_code,vintage_year,fico_low,new_used,loan_age_months,period_co_amt,orig_pool_amt,cumulative_co_amt,cumulative_loss_rate
EARTS,2025,460,2,9,24318.05000000,50355.60000000,24318.05000000,0.48292643
EARTS,2025,520,2,7,28630.84000000,1264410.97000000,28630.84000000,0.02264362
EARTS,2025,520,2,9,4879.43000000,1264410.97000000,33510.27000000,0.02650267
EARTS,2025,530,2,6,33781.00000000,1552320.61000000,33781.00000000,0.02176161
EARTS,2025,550,2,4,24437.63000000,2382463.78000000,24437.63000000,0.01025729
EARTS,2025,550,2,5,45491.60000000,2382463.78000000,69929.23000000,0.02935164
EARTS,2025,550,2,6,79801.75000000,2382463.78000000,149730.98000000,0.06284712
EARTS,2025,550,2,7,41069.00000000,2382463.78000000,190799.98000000,0.08008515
EARTS,2025,560,2,4,34741.24000000,2603339.60000000,34741.24000000,0.01334487
EARTS,2025,560,2,5,23985.56000000,2603339.60000000,58726.80000000,0.02255826
EARTS,2025,560,2,7,19679.44000000,2603339.60000000,78406.24000000,0.03011756
EARTS,2025,560,2,8,18729.97000000,2603339.60000000,97136.21000000,0.03731215
EARTS,2025,560,2,10,19964.51000000,2603339.60000000,117100.72000000,0.04498096
EARTS,2025,570,2,9,62407.70000000,3986581.55000000,62407.70000000,0.01565444
EARTS,2025,580,1,8,33365.02000000,467120.28000000,33365.02000000,0.07142704
EARTS,2025,580,2,4,59507.31000000,4806953.99000000,59507.31000000,0.01237942
EARTS,2025,580,2,6,14831.97000000,4806953.99000000,74339.28000000,0.01546495
EARTS,2025,580,2,7,14396.35000000,4806953.99000000,88735.63000000,0.01845985
EARTS,2025,590,2,6,41524.47000000,5376890.18000000,41524.47000000,0.00772277
EARTS,2025,590,2,7,26768.72000000,5376890.18000000,68293.19000000,0.01270124
EARTS,2025,590,2,8,4667.21000000,5376890.18000000,72960.40000000,0.01356926
EARTS,2025,590,2,9,28736.74000000,5376890.18000000,101697.14000000,0.01891375
EARTS,2025,600,1,9,46707.04000000,424828.21000000,46707.04000000,0.10994336
EARTS,2025,600,2,3,21597.22000000,6639643.91000000,21597.22000000,0.00325277
EARTS,2025,600,2,4,12167.02000000,6639643.91000000,33764.24000000,0.00508525
EARTS,2025,600,2,7,98846.10000000,6639643.91000000,132610.34000000,0.01997251
EARTS,2025,600,2,9,9893.98000000,6639643.91000000,142504.32000000,0.02146264
EARTS,2025,610,1,9,40120.07000000,1080510.38000000,40120.07000000,0.03713067
EARTS,2025,610,2,2,34358.55000000,7837450.86000000,34358.55000000,0.00438389
EARTS,2025,610,2,4,34752.56000000,7837450.86000000,69111.11000000,0.00881806
EARTS,2025,610,2,5,53460.90000000,7837450.86000000,122572.01000000,0.01563927
EARTS,2025,610,2,6,30248.29000000,7837450.86000000,152820.30000000,0.01949873
EARTS,2025,610,2,7,64965.21000000,7837450.86000000,217785.51000000,0.02778780
EARTS,2025,610,2,8,57776.17000000,7837450.86000000,275561.68000000,0.03515961
EARTS,2025,610,2,12,21762.92000000,7837450.86000000,297324.60000000,0.03793639
EARTS,2025,620,1,2,47421.65000000,1652443.07000000,47421.65000000,0.02869790
EARTS,2025,620,2,5,54811.61000000,11306644.15000000,54811.61000000,0.00484773
EARTS,2025,620,2,7,46562.45000000,11306644.15000000,101374.06000000,0.00896588
EARTS,2025,620,2,9,1991.07000000,11306644.15000000,103365.13000000,0.00914198
EARTS,2025,620,2,11,10268.21000000,11306644.15000000,113633.34000000,0.01005014
EARTS,2025,630,1,5,46414.53000000,1878668.15000000,46414.53000000,0.02470608
EARTS,2025,630,2,5,137725.47000000,15396250.15999999,137725.47000000,0.00894539
EARTS,2025,630,2,6,27666.91000000,15396250.15999999,165392.38000000,0.01074238
EARTS,2025,630,2,7,27830.56000000,15396250.15999999,193222.94000000,0.01255000
EARTS,2025,630,2,9,32843.30000000,15396250.15999999,226066.24000000,0.01468320
EARTS,2025,630,2,10,23829.45000000,15396250.15999999,249895.69000000,0.01623095
EARTS,2025,640,1,4,113709.39000000,26727193.74000001,113709.39000000,0.00425445
EARTS,2025,640,1,5,118905.27000000,26727193.74000001,232614.66000000,0.00870330
EARTS,2025,640,1,6,391969.77000000,26727193.74000001,624584.43000000,0.02336887
EARTS,2025,640,1,7,73839.15000000,26727193.74000001,698423.58000000,0.02613157
EARTS,2025,640,1,8,226272.94000000,26727193.74000001,924696.52000000,0.03459759
EARTS,2025,640,1,9,197312.62000000,26727193.74000001,1122009.14000000,0.04198006
EARTS,2025,640,1,10,34094.61000000,26727193.74000001,1156103.75000000,0.04325571
EARTS,2025,640,1,11,37514.73000000,26727193.74000001,1193618.48000000,0.04465933
EARTS,2025,640,2,2,60056.54000000,193209052.94999960,60056.54000000,0.00031084
EARTS,2025,640,2,3,181046.82000000,193209052.94999960,241103.36000000,0.00124789
EARTS,2025,640,2,4,822940.70000000,193209052.94999960,1064044.06000000,0.00550722
EARTS,2025,640,2,5,1220054.04000000,193209052.94999960,2284098.10000000,0.01182190
EARTS,2025,640,2,6,1139332.06000000,193209052.94999960,3423430.16000000,0.01771879
EARTS,2025,640,2,7,764838.74000000,193209052.94999960,4188268.90000000,0.02167739
EARTS,2025,640,2,8,791208.13000000,193209052.94999960,4979477.03000000,0.02577248
EARTS,2025,640,2,9,1055001.69000000,193209052.94999960,6034478.72000000,0.03123290
EARTS,2025,640,2,10,486953.38000000,193209052.94999960,6521432.10000000,0.03375324
EARTS,2025,640,2,11,354319.58000000,193209052.94999960,6875751.68000000,0.03558711
EARTS,2025,640,2,12,357199.36000000,193209052.94999960,7232951.04000000,0.03743588
EARTS,2025,650,1,5,212836.01000000,19654971.18000000,212836.01000000,0.01082861
EARTS,2025,650,1,6,299581.49000000,19654971.18000000,512417.50000000,0.02607063
EARTS,2025,650,1,7,162971.42000000,19654971.18000000,675388.92000000,0.03436224
EARTS,2025,650,1,8,84186.97000000,19654971.18000000,759575.89000000,0.03864548
EARTS,2025,650,1,9,30788.00000000,19654971.18000000,790363.89000000,0.04021191
EARTS,2025,650,1,10,57567.82000000,19654971.18000000,847931.71000000,0.04314083
EARTS,2025,650,1,11,41416.99000000,19654971.18000000,889348.70000000,0.04524803
EARTS,2025,650,2,2,39040.85000000,160565440.72999993,39040.85000000,0.00024315
EARTS,2025,650,2,3,131421.07000000,160565440.72999993,170461.92000000,0.00106164
EARTS,2025,650,2,4,598369.67000000,160565440.72999993,768831.59000000,0.00478828
EARTS,2025,650,2,5,780063.67000000,160565440.72999993,1548895.26000000,0.00964650
EARTS,2025,650,2,6,1181231.96000000,160565440.72999993,2730127.22000000,0.01700321
EARTS,2025,650,2,7,689119.93000000,160565440.72999993,3419247.15000000,0.02129504
EARTS,2025,650,2,8,635342.58000000,160565440.72999993,4054589.73000000,0.02525195
EARTS,2025,650,2,9,886695.65000000,160565440.72999993,4941285.38000000,0.03077428
EARTS,2025,650,2,10,357591.97000000,160565440.72999993,5298877.35000000,0.03300136
EARTS,2025,650,2,11,280857.98000000,160565440.72999993,5579735.33000000,0.03475054
EARTS,2025,650,2,12,483481.24000000,160565440.72999993,6063216.57000000,0.03776165
EARTS,2025,660,1,3,26683.64000000,14579331.00000000,26683.64000000,0.00183024
EARTS,2025,660,1,4,41195.17000000,14579331.00000000,67878.81000000,0.00465582
EARTS,2025,660,1,6,162654.31000000,14579331.00000000,230533.12000000,0.01581232
EARTS,2025,660,1,7,32214.52000000,14579331.00000000,262747.64000000,0.01802193
EARTS,2025,660,1,8,59597.91000000,14579331.00000000,322345.55000000,0.02210976
EARTS,2025,660,1,9,77895.81000000,14579331.00000000,400241.36000000,0.02745266
EARTS,2025,660,1,10,52696.71000000,14579331.00000000,452938.07000000,0.03106714
EARTS,2025,660,1,11,42015.50000000,14579331.00000000,494953.57000000,0.03394899
EARTS,2025,660,1,12,25781.47000000,14579331.00000000,520735.04000000,0.03571735
EARTS,2025,660,2,2,70288.01000000,125082153.02000009,70288.01000000,0.00056193
EARTS,2025,660,2,3,80381.40000000,125082153.02000009,150669.41000000,0.00120456
EARTS,2025,660,2,4,484694.34000000,125082153.02000009,635363.75000000,0.00507957
EARTS,2025,660,2,5,431143.31000000,125082153.02000009,1066507.06000000,0.00852645
EARTS,2025,660,2,6,800315.06000000,125082153.02000009,1866822.12000000,0.01492477
EARTS,2025,660,2,7,395948.23000000,125082153.02000009,2262770.35000000,0.01809027
EARTS,2025,660,2,8,588304.32000000,125082153.02000009,2851074.67000000,0.02279362
EARTS,2025,660,2,9,412136.58000000,125082153.02000009,3263211.25000000,0.02608854
EARTS,2025,660,2,10,303621.79000000,125082153.02000009,3566833.04000000,0.02851592
EARTS,2025,660,2,11,197816.02000000,125082153.02000009,3764649.06000000,0.03009741
EARTS,2025,660,2,12,309427.41000000,125082153.02000009,4074076.47000000,0.03257121
EARTS,2025,670,1,5,49929.97000000,11144592.32000000,49929.97000000,0.00448020
EARTS,2025,670,1,6,121501.38000000,11144592.32000000,171431.35000000,0.01538247
EARTS,2025,670,1,8,46392.08000000,11144592.32000000,217823.43000000,0.01954521
EARTS,2025,670,1,9,76262.77000000,11144592.32000000,294086.20000000,0.02638824
EARTS,2025,670,2,3,106846.91000000,98851213.40000008,106846.91000000,0.00108089
EARTS,2025,670,2,4,365575.93000000,98851213.40000008,472422.84000000,0.00477913
EARTS,2025,670,2,5,529437.43000000,98851213.40000008,1001860.27000000,0.01013503
EARTS,2025,670,2,6,790409.07000000,98851213.40000008,1792269.34000000,0.01813098
EARTS,2025,670,2,7,403424.29000000,98851213.40000008,2195693.63000000,0.02221211
EARTS,2025,670,2,8,503795.88000000,98851213.40000008,2699489.51000000,0.02730861
EARTS,2025,670,2,9,331119.84000000,98851213.40000008,3030609.35000000,0.03065829
EARTS,2025,670,2,10,334901.09000000,98851213.40000008,3365510.44000000,0.03404622
EARTS,2025,670,2,11,335749.62000000,98851213.40000008,3701260.06000000,0.03744274
EARTS,2025,670,2,12,200408.29000000,98851213.40000008,3901668.35000000,0.03947011
EARTS,2025,680,1,3,33279.29000000,10355115.03000000,33279.29000000,0.00321380
EARTS,2025,680,1,4,139274.44000000,10355115.03000000,172553.73000000,0.01666362
EARTS,2025,680,1,5,38471.12000000,10355115.03000000,211024.85000000,0.02037880
EARTS,2025,680,1,6,28661.58000000,10355115.03000000,239686.43000000,0.02314667
EARTS,2025,680,1,7,9161.84000000,10355115.03000000,248848.27000000,0.02403143
EARTS,2025,680,1,8,81965.96000000,10355115.03000000,330814.23000000,0.03194694
EARTS,2025,680,2,2,51582.71000000,84880925.30000001,51582.71000000,0.00060771
EARTS,2025,680,2,3,93486.40000000,84880925.30000001,145069.11000000,0.00170909
EARTS,2025,680,2,4,398631.24000000,84880925.30000001,543700.35000000,0.00640545
