issuer_code,vintage_year,fico_low,new_used,loan_age_months,period_co_amt,orig_pool_amt,cumulative_co_amt,cumulative_loss_rate
EARTS,2019,580,2,74,1713.51000000,12458.25000000,1713.51000000,0.13754018
EARTS,2019,640,2,79,950.53000000,110411.09000000,950.53000000,0.00860901
EARTS,2020,640,2,64,1852.98000000,1355391.21000000,1852.98000000,0.00136712
EARTS,2020,640,2,66,5315.49000000,1355391.21000000,7168.47000000,0.00528886
EARTS,2020,650,2,65,14867.58000000,1222778.47000000,14867.58000000,0.01215885
EARTS,2020,650,2,67,9090.65000000,1222778.47000000,23958.23000000,0.01959327
EARTS,2020,650,2,70,2322.59000000,1222778.47000000,26280.82000000,0.02149271
EARTS,2021,640,2,63,8463.15000000,3166946.42000000,8463.15000000,0.00267234
EARTS,2023,640,2,21,31146.52000000,276350.80000000,31146.52000000,0.11270646
EARTS,2023,640,2,33,23804.10000000,276350.80000000,54950.62000000,0.19884372
EARTS,2023,650,1,27,21850.64000000,30541.40000000,21850.64000000,0.71544330
EARTS,2023,650,2,22,21274.51000000,182125.70000000,21274.51000000,0.11681223
EARTS,2023,690,2,23,17456.65000000,158454.60000000,17456.65000000,0.11016815
EARTS,2023,690,2,24,15075.77000000,158454.60000000,32532.42000000,0.20531067
EARTS,2024,520,2,10,28630.84000000,155361.52000000,28630.84000000,0.18428527
EARTS,2024,530,2,20,30012.34000000,152216.57000000,30012.34000000,0.19716868
EARTS,2024,590,2,10,26768.72000000,473928.12000000,26768.72000000,0.05648266
EARTS,2024,590,2,15,4667.21000000,473928.12000000,31435.93000000,0.06633059
EARTS,2024,600,2,10,12167.02000000,541444.99000000,12167.02000000,0.02247139
EARTS,2024,600,2,13,19588.25000000,541444.99000000,31755.27000000,0.05864912
EARTS,2024,610,2,9,9568.95000000,795067.22000000,9568.95000000,0.01203540
EARTS,2024,610,2,11,30248.29000000,795067.22000000,39817.24000000,0.05008034
EARTS,2024,610,2,18,24198.91000000,795067.22000000,64016.15000000,0.08051665
EARTS,2024,620,2,10,33002.14000000,1139980.06000000,33002.14000000,0.02894975
EARTS,2024,620,2,14,21809.47000000,1139980.06000000,54811.61000000,0.04808120
EARTS,2024,620,2,15,1991.07000000,1139980.06000000,56802.68000000,0.04982778
EARTS,2024,620,2,19,35425.31000000,1139980.06000000,92227.99000000,0.08090316
EARTS,2024,630,2,18,92857.09000000,1383028.60000000,92857.09000000,0.06714040
EARTS,2024,630,2,19,28112.84000000,1383028.60000000,120969.93000000,0.08746741
EARTS,2024,640,1,9,41884.00000000,2677650.07000000,41884.00000000,0.01564207
EARTS,2024,640,1,11,56784.85000000,2677650.07000000,98668.85000000,0.03684905
EARTS,2024,640,1,12,30517.26000000,2677650.07000000,129186.11000000,0.04824608
EARTS,2024,640,1,14,52551.83000000,2677650.07000000,181737.94000000,0.06787218
EARTS,2024,640,1,17,27513.84000000,2677650.07000000,209251.78000000,0.07814755
EARTS,2024,640,1,18,25733.28000000,2677650.07000000,234985.06000000,0.08775794
EARTS,2024,640,1,22,35093.28000000,2677650.07000000,270078.34000000,0.10086394
EARTS,2024,640,2,6,24299.52000000,17011320.63000001,24299.52000000,0.00142843
EARTS,2024,640,2,7,26259.00000000,17011320.63000001,50558.52000000,0.00297205
EARTS,2024,640,2,8,2669.92000000,17011320.63000001,53228.44000000,0.00312900
EARTS,2024,640,2,10,162824.67000000,17011320.63000001,216053.11000000,0.01270055
EARTS,2024,640,2,11,83501.97000000,17011320.63000001,299555.08000000,0.01760916
EARTS,2024,640,2,12,156053.43000000,17011320.63000001,455608.51000000,0.02678267
EARTS,2024,640,2,13,228100.04000000,17011320.63000001,683708.55000000,0.04019139
EARTS,2024,640,2,14,94913.55000000,17011320.63000001,778622.10000000,0.04577082
EARTS,2024,640,2,15,219904.52000000,17011320.63000001,998526.62000000,0.05869777
EARTS,2024,640,2,16,89825.91000000,17011320.63000001,1088352.53000000,0.06397813
EARTS,2024,640,2,17,175711.06000000,17011320.63000001,1264063.59000000,0.07430720
EARTS,2024,640,2,18,188538.26000000,17011320.63000001,1452601.85000000,0.08539030
EARTS,2024,640,2,19,105166.00000000,17011320.63000001,1557767.85000000,0.09157242
EARTS,2024,640,2,20,78830.17000000,17011320.63000001,1636598.02000000,0.09620641
EARTS,2024,640,2,21,59538.98000000,17011320.63000001,1696137.00000000,0.09970637
EARTS,2024,640,2,22,26205.89000000,17011320.63000001,1722342.89000000,0.10124687
EARTS,2024,650,1,9,8253.59000000,2294339.38000000,8253.59000000,0.00359737
EARTS,2024,650,1,10,28203.87000000,2294339.38000000,36457.46000000,0.01589018
EARTS,2024,650,1,11,32481.00000000,2294339.38000000,68938.46000000,0.03004719
EARTS,2024,650,1,16,41416.99000000,2294339.38000000,110355.45000000,0.04809901
EARTS,2024,650,1,17,28483.49000000,2294339.38000000,138838.94000000,0.06051369
EARTS,2024,650,1,18,57524.38000000,2294339.38000000,196363.32000000,0.08558600
EARTS,2024,650,1,21,28282.57000000,2294339.38000000,224645.89000000,0.09791310
EARTS,2024,650,2,7,25925.45000000,15601010.33000000,25925.45000000,0.00166178
EARTS,2024,650,2,8,103742.37000000,15601010.33000000,129667.82000000,0.00831150
EARTS,2024,650,2,9,87150.99000000,15601010.33000000,216818.81000000,0.01389774
EARTS,2024,650,2,10,100901.25000000,15601010.33000000,317720.06000000,0.02036535
EARTS,2024,650,2,11,114657.93000000,15601010.33000000,432377.99000000,0.02771474
EARTS,2024,650,2,12,180849.53000000,15601010.33000000,613227.52000000,0.03930691
EARTS,2024,650,2,13,200216.93000000,15601010.33000000,813444.45000000,0.05214050
