issuer_code,series_label,entity_name,loan_age_months,period_co_amt,orig_pool_amt,cumulative_co_amt,cumulative_loss_rate
EARTS,EARTS 2025-1,Exeter Select Automobile Receivables Trust 2025-1,2,169428.68000000,338722842.84000158,169428.68000000,0.00050020
EARTS,EARTS 2025-1,Exeter Select Automobile Receivables Trust 2025-1,3,404430.46000000,338722842.84000158,573859.14000000,0.00169418
EARTS,EARTS 2025-1,Exeter Select Automobile Receivables Trust 2025-1,4,1472110.57000000,338722842.84000158,2045969.71000000,0.00604025
EARTS,EARTS 2025-1,Exeter Select Automobile Receivables Trust 2025-1,5,1765146.08000000,338722842.84000158,3811115.79000000,0.01125143
EARTS,EARTS 2025-1,Exeter Select Automobile Receivables Trust 2025-1,6,2165209.57000000,338722842.84000158,5976325.36000000,0.01764370
EARTS,EARTS 2025-1,Exeter Select Automobile Receivables Trust 2025-1,7,1592173.24000000,338722842.84000158,7568498.60000000,0.02234422
EARTS,EARTS 2025-1,Exeter Select Automobile Receivables Trust 2025-1,8,2220979.71000000,338722842.84000158,9789478.31000000,0.02890115
EARTS,EARTS 2025-1,Exeter Select Automobile Receivables Trust 2025-1,9,2139968.56000000,338722842.84000158,11929446.87000000,0.03521890
EARTS,EARTS 2025-1,Exeter Select Automobile Receivables Trust 2025-1,10,2107579.50000000,338722842.84000158,14037026.37000000,0.04144104
EARTS,EARTS 2025-1,Exeter Select Automobile Receivables Trust 2025-1,11,1845733.92000000,338722842.84000158,15882760.29000000,0.04689014
EARTS,EARTS 2025-1,Exeter Select Automobile Receivables Trust 2025-1,12,2248915.54000000,338722842.84000158,18131675.83000000,0.05352953
EARTS,EARTS 2025-1,Exeter Select Automobile Receivables Trust 2025-1,13,2239940.59000000,338722842.84000158,20371616.42000000,0.06014243
EARTS,EARTS 2025-1,Exeter Select Automobile Receivables Trust 2025-1,14,2522795.86000000,338722842.84000158,22894412.28000000,0.06759040
EARTS,EARTS 2025-1,Exeter Select Automobile Receivables Trust 2025-1,15,2139323.04000000,338722842.84000158,25033735.32000000,0.07390625
EARTS,EARTS 2025-1,Exeter Select Automobile Receivables Trust 2025-1,16,1863184.35000000,338722842.84000158,26896919.67000000,0.07940687
EARTS,EARTS 2025-2,Exeter Select Automobile Receivables Trust 2025-2,1,92799.26000000,385393426.28000206,92799.26000000,0.00024079
EARTS,EARTS 2025-2,Exeter Select Automobile Receivables Trust 2025-2,2,313883.68000000,385393426.28000206,406682.94000000,0.00105524
EARTS,EARTS 2025-2,Exeter Select Automobile Receivables Trust 2025-2,3,1388843.92000000,385393426.28000206,1795526.86000000,0.00465895
EARTS,EARTS 2025-2,Exeter Select Automobile Receivables Trust 2025-2,4,1701296.38000000,385393426.28000206,3496823.24000000,0.00907339
EARTS,EARTS 2025-2,Exeter Select Automobile Receivables Trust 2025-2,5,2456024.60000000,385393426.28000206,5952847.84000000,0.01544616
EARTS,EARTS 2025-2,Exeter Select Automobile Receivables Trust 2025-2,6,2502031.06000000,385393426.28000206,8454878.90000000,0.02193831
EARTS,EARTS 2025-2,Exeter Select Automobile Receivables Trust 2025-2,7,2305293.85000000,385393426.28000206,10760172.75000000,0.02791997
EARTS,EARTS 2025-2,Exeter Select Automobile Receivables Trust 2025-2,8,2413237.14000000,385393426.28000206,13173409.89000000,0.03418172
EARTS,EARTS 2025-2,Exeter Select Automobile Receivables Trust 2025-2,9,2740179.53000000,385393426.28000206,15913589.42000000,0.04129180
EARTS,EARTS 2025-2,Exeter Select Automobile Receivables Trust 2025-2,10,2405800.26000000,385393426.28000206,18319389.68000000,0.04753426
EARTS,EARTS 2025-2,Exeter Select Automobile Receivables Trust 2025-2,11,2389077.69000000,385393426.28000206,20708467.37000000,0.05373332
EARTS,EARTS 2025-2,Exeter Select Automobile Receivables Trust 2025-2,12,1879791.11000000,385393426.28000206,22588258.48000000,0.05861091
EARTS,EARTS 2025-3,Exeter Select Automobile Receivables Trust 2025-3,2,72050.23000000,369955417.97000206,72050.23000000,0.00019475
EARTS,EARTS 2025-3,Exeter Select Automobile Receivables Trust 2025-3,3,178187.76000000,369955417.97000206,250237.99000000,0.00067640
EARTS,EARTS 2025-3,Exeter Select Automobile Receivables Trust 2025-3,4,1099791.19000000,369955417.97000206,1350029.18000000,0.00364917
EARTS,EARTS 2025-3,Exeter Select Automobile Receivables Trust 2025-3,5,1913802.45000000,369955417.97000206,3263831.63000000,0.00882223
EARTS,EARTS 2025-3,Exeter Select Automobile Receivables Trust 2025-3,7,2365559.35000000,369955417.97000206,5629390.98000000,0.01521640
EARTS,EARTS 2025-3,Exeter Select Automobile Receivables Trust 2025-3,8,2092703.68000000,369955417.97000206,7722094.66000000,0.02087304
EARTS,EARTS 2025-3,Exeter Select Automobile Receivables Trust 2025-3,9,1830870.44000000,369955417.97000206,9552965.10000000,0.02582194
EARTS,EARTS 2025-3,Exeter Select Automobile Receivables Trust 2025-3,10,2508083.58000000,369955417.97000206,12061048.68000000,0.03260136
EARTS,EARTS 2026-1,Exeter Select Automobile Receivables Trust 2026-1,2,97777.73000000,384311328.31000262,97777.73000000,0.00025442
EARTS,EARTS 2026-1,Exeter Select Automobile Receivables Trust 2026-1,3,449577.31000000,384311328.31000262,547355.04000000,0.00142425
