issuer_code,vintage_year,fico_low,new_used,loan_age_months,period_co_amt,orig_pool_amt,cumulative_co_amt,cumulative_loss_rate
EART,2014,480,2,80,1355.03000000,141477.73000000,1355.03000000,0.00957769
EART,2014,490,2,80,6102.64000000,194860.10000000,6102.64000000,0.03131806
EART,2014,490,2,84,2450.76000000,194860.10000000,8553.40000000,0.04389508
EART,2014,500,2,76,2717.16000000,221522.73000000,2717.16000000,0.01226583
EART,2014,500,2,82,7193.97000000,221522.73000000,9911.13000000,0.04474092
EART,2014,500,2,84,10061.75000000,221522.73000000,19972.88000000,0.09016176
EART,2014,510,1,81,999.57000000,55832.38000000,999.57000000,0.01790305
EART,2014,510,2,76,1027.90000000,321004.69000000,1027.90000000,0.00320213
EART,2014,520,2,83,1180.38000000,377786.48000000,1180.38000000,0.00312446
EART,2014,520,2,84,5575.50000000,377786.48000000,6755.88000000,0.01788280
EART,2014,530,1,81,7859.74000000,71778.70000000,7859.74000000,0.10949961
EART,2014,530,1,82,9285.24000000,71778.70000000,17144.98000000,0.23885888
EART,2014,530,2,76,11700.39000000,396713.21000000,11700.39000000,0.02949332
EART,2014,530,2,82,2777.74000000,396713.21000000,14478.13000000,0.03649521
EART,2014,530,2,84,1281.93000000,396713.21000000,15760.06000000,0.03972658
EART,2014,540,1,84,11169.73000000,54468.42000000,11169.73000000,0.20506800
EART,2014,540,2,83,7367.09000000,448072.83000000,7367.09000000,0.01644172
EART,2014,550,1,84,5807.51000000,230665.64000000,5807.51000000,0.02517718
EART,2014,550,2,84,6238.84000000,395599.63000000,6238.84000000,0.01577059
EART,2014,560,2,79,4386.85000000,434628.32000000,4386.85000000,0.01009334
EART,2014,560,2,80,604.57000000,434628.32000000,4991.42000000,0.01148434
EART,2014,560,2,84,4970.79000000,434628.32000000,9962.21000000,0.02292122
EART,2014,570,2,79,2478.90000000,387909.48000000,2478.90000000,0.00639041
EART,2014,570,2,80,847.11000000,387909.48000000,3326.01000000,0.00857419
EART,2014,570,2,84,5432.71000000,387909.48000000,8758.72000000,0.02257929
EART,2014,580,2,80,4944.00000000,385521.47000000,4944.00000000,0.01282419
EART,2014,580,2,82,11304.57000000,385521.47000000,16248.57000000,0.04214699
EART,2014,590,1,83,3000.00000000,104130.92000000,3000.00000000,0.02880989
EART,2014,590,2,75,4704.01000000,281359.67000000,4704.01000000,0.01671885
EART,2014,590,2,83,9602.74000000,281359.67000000,14306.75000000,0.05084862
EART,2014,590,2,84,2167.53000000,281359.67000000,16474.28000000,0.05855239
