issuer_code,series_label,entity_name,loan_age_months,period_co_amt,orig_pool_amt,cumulative_co_amt,cumulative_loss_rate
EART,EART 2020-3,Exeter Automobile Receivables Trust 2020-3,2,162133.40000000,684273500.78999794,162133.40000000,0.00023694
EART,EART 2020-3,Exeter Automobile Receivables Trust 2020-3,3,604646.46000000,684273500.78999794,766779.86000000,0.00112058
EART,EART 2020-3,Exeter Automobile Receivables Trust 2020-3,4,2288748.43000000,684273500.78999794,3055528.29000000,0.00446536
EART,EART 2020-3,Exeter Automobile Receivables Trust 2020-3,5,4454247.54000000,684273500.78999794,7509775.83000000,0.01097482
EART,EART 2020-3,Exeter Automobile Receivables Trust 2020-3,6,4475788.12000000,684273500.78999794,11985563.95000000,0.01751575
EART,EART 2020-3,Exeter Automobile Receivables Trust 2020-3,7,4235878.84000000,684273500.78999794,16221442.79000000,0.02370608
EART,EART 2020-3,Exeter Automobile Receivables Trust 2020-3,8,3190137.52000000,684273500.78999794,19411580.31000000,0.02836816
EART,EART 2020-3,Exeter Automobile Receivables Trust 2020-3,9,2779277.53000000,684273500.78999794,22190857.84000000,0.03242981
EART,EART 2020-3,Exeter Automobile Receivables Trust 2020-3,10,2811799.51000000,684273500.78999794,25002657.35000000,0.03653898
EART,EART 2020-3,Exeter Automobile Receivables Trust 2020-3,11,2493760.56000000,684273500.78999794,27496417.91000000,0.04018337
EART,EART 2020-3,Exeter Automobile Receivables Trust 2020-3,12,3482029.98000000,684273500.78999794,30978447.89000000,0.04527203
EART,EART 2020-3,Exeter Automobile Receivables Trust 2020-3,13,3548047.34000000,684273500.78999794,34526495.23000000,0.05045716
EART,EART 2020-3,Exeter Automobile Receivables Trust 2020-3,14,3544461.39000000,684273500.78999794,38070956.62000000,0.05563705
EART,EART 2020-3,Exeter Automobile Receivables Trust 2020-3,15,3595873.45000000,684273500.78999794,41666830.07000000,0.06089207
EART,EART 2020-3,Exeter Automobile Receivables Trust 2020-3,16,3445911.43000000,684273500.78999794,45112741.50000000,0.06592794
EART,EART 2020-3,Exeter Automobile Receivables Trust 2020-3,17,4661284.58000000,684273500.78999794,49774026.08000001,0.07273996
EART,EART 2020-3,Exeter Automobile Receivables Trust 2020-3,18,4056989.26000000,684273500.78999794,53831015.34000000,0.07866886
EART,EART 2020-3,Exeter Automobile Receivables Trust 2020-3,19,3837064.69000000,684273500.78999794,57668080.03000000,0.08427636
EART,EART 2020-3,Exeter Automobile Receivables Trust 2020-3,20,3160916.18000000,684273500.78999794,60828996.21000000,0.08889574
EART,EART 2020-3,Exeter Automobile Receivables Trust 2020-3,21,3074973.16000000,684273500.78999794,63903969.37000000,0.09338951
EART,EART 2020-3,Exeter Automobile Receivables Trust 2020-3,22,3042924.63000000,684273500.78999794,66946894.00000000,0.09783646
EART,EART 2020-3,Exeter Automobile Receivables Trust 2020-3,23,3620000.86000000,684273500.78999794,70566894.86000000,0.10312674
EART,EART 2020-3,Exeter Automobile Receivables Trust 2020-3,24,3694434.01000000,684273500.78999794,74261328.87000000,0.10852580
EART,EART 2020-3,Exeter Automobile Receivables Trust 2020-3,25,3506522.75000000,684273500.78999794,77767851.62000000,0.11365025
EART,EART 2020-3,Exeter Automobile Receivables Trust 2020-3,26,4036798.77000000,684273500.78999794,81804650.39000002,0.11954964
EART,EART 2020-3,Exeter Automobile Receivables Trust 2020-3,27,4273912.79000000,684273500.78999794,86078563.18000001,0.12579555
EART,EART 2020-3,Exeter Automobile Receivables Trust 2020-3,28,4151325.08000000,684273500.78999794,90229888.26000001,0.13186232
EART,EART 2020-3,Exeter Automobile Receivables Trust 2020-3,29,4093121.34000000,684273500.78999794,94323009.60000001,0.13784402
EART,EART 2020-3,Exeter Automobile Receivables Trust 2020-3,30,3473969.68000000,684273500.78999794,97796979.28000002,0.14292089
EART,EART 2020-3,Exeter Automobile Receivables Trust 2020-3,31,2930794.01000000,684273500.78999794,100727773.29000001,0.14720397
EART,EART 2020-3,Exeter Automobile Receivables Trust 2020-3,32,2561021.01000000,684273500.78999794,103288794.30000001,0.15094665
EART,EART 2020-3,Exeter Automobile Receivables Trust 2020-3,33,2237551.80000000,684273500.78999794,105526346.10000001,0.15421662
EART,EART 2020-3,Exeter Automobile Receivables Trust 2020-3,34,2260880.32000000,684273500.78999794,107787226.42000000,0.15752068
EART,EART 2020-3,Exeter Automobile Receivables Trust 2020-3,35,2622075.50000000,684273500.78999794,110409301.92000000,0.16135259
EART,EART 2020-3,Exeter Automobile Receivables Trust 2020-3,36,2410666.39000000,684273500.78999794,112819968.31000000,0.16487555
EART,EART 2020-3,Exeter Automobile Receivables Trust 2020-3,37,2429378.37000000,684273500.78999794,115249346.68000001,0.16842585
EART,EART 2020-3,Exeter Automobile Receivables Trust 2020-3,38,2525570.76000000,684273500.78999794,117774917.44000001,0.17211673
EART,EART 2020-3,Exeter Automobile Receivables Trust 2020-3,39,2444919.63000000,684273500.78999794,120219837.07000001,0.17568975
EART,EART 2020-3,Exeter Automobile Receivables Trust 2020-3,40,1951195.08000000,684273500.78999794,122171032.15000001,0.17854123
EART,EART 2020-3,Exeter Automobile Receivables Trust 2020-3,41,2524764.39000000,684273500.78999794,124695796.54000001,0.18223093
EART,EART 2020-3,Exeter Automobile Receivables Trust 2020-3,42,1985066.87000000,684273500.78999794,126680863.41000001,0.18513191
EART,EART 2020-3,Exeter Automobile Receivables Trust 2020-3,43,1898375.85000000,684273500.78999794,128579239.26000001,0.18790621
EART,EART 2020-3,Exeter Automobile Receivables Trust 2020-3,44,1594101.96000000,684273500.78999794,130173341.22000000,0.19023584
EART,EART 2020-3,Exeter Automobile Receivables Trust 2020-3,45,1649411.84000000,684273500.78999794,131822753.06000000,0.19264629
EART,EART 2020-3,Exeter Automobile Receivables Trust 2020-3,46,1593237.06000000,684273500.78999794,133415990.12000000,0.19497466
EART,EART 2020-3,Exeter Automobile Receivables Trust 2020-3,47,1308325.09000000,684273500.78999794,134724315.21000001,0.19688665
EART,EART 2020-3,Exeter Automobile Receivables Trust 2020-3,48,1839558.79000000,684273500.78999794,136563874.00000000,0.19957499
EART,EART 2020-3,Exeter Automobile Receivables Trust 2020-3,49,1532680.11000000,684273500.78999794,138096554.11000001,0.20181485
EART,EART 2020-3,Exeter Automobile Receivables Trust 2020-3,50,1707357.61000000,684273500.78999794,139803911.72000000,0.20430999
EART,EART 2020-3,Exeter Automobile Receivables Trust 2020-3,51,1371889.01000000,684273500.78999794,141175800.72999999,0.20631487
EART,EART 2020-3,Exeter Automobile Receivables Trust 2020-3,52,1131711.71000000,684273500.78999794,142307512.44000000,0.20796876
EART,EART 2020-3,Exeter Automobile Receivables Trust 2020-3,53,1487325.88000000,684273500.78999794,143794838.31999999,0.21014235
EART,EART 2020-3,Exeter Automobile Receivables Trust 2020-3,54,1214767.03000000,684273500.78999794,145009605.34999999,0.21191761
EART,EART 2020-3,Exeter Automobile Receivables Trust 2020-3,55,1551116.95000000,684273500.78999794,146560722.30000001,0.21418442
EART,EART 2020-3,Exeter Automobile Receivables Trust 2020-3,56,1177473.08000000,684273500.78999794,147738195.38000000,0.21590518
EART,EART 2021-1,Exeter Automobile Receivables Trust 2021-1,2,259536.54000000,1124672949.26999831,259536.54000000,0.00023077
EART,EART 2021-1,Exeter Automobile Receivables Trust 2021-1,3,1206242.24000000,1124672949.26999831,1465778.78000000,0.00130329
EART,EART 2021-1,Exeter Automobile Receivables Trust 2021-1,4,4285426.31000000,1124672949.26999831,5751205.09000000,0.00511367
EART,EART 2021-1,Exeter Automobile Receivables Trust 2021-1,5,6034053.61000000,1124672949.26999831,11785258.70000000,0.01047883
EART,EART 2021-1,Exeter Automobile Receivables Trust 2021-1,6,5818276.38000000,1124672949.26999831,17603535.08000000,0.01565214
EART,EART 2021-1,Exeter Automobile Receivables Trust 2021-1,7,5416343.75000000,1124672949.26999831,23019878.83000000,0.02046806
EART,EART 2021-1,Exeter Automobile Receivables Trust 2021-1,8,6632764.89000000,1124672949.26999831,29652643.72000000,0.02636557
EART,EART 2021-1,Exeter Automobile Receivables Trust 2021-1,9,6980851.23999999,1124672949.26999831,36633494.95999999,0.03257258
EART,EART 2021-1,Exeter Automobile Receivables Trust 2021-1,10,6640752.58000000,1124672949.26999831,43274247.53999999,0.03847718
EART,EART 2021-1,Exeter Automobile Receivables Trust 2021-1,11,6235996.29000000,1124672949.26999831,49510243.83000000,0.04402190
EART,EART 2021-1,Exeter Automobile Receivables Trust 2021-1,12,8415254.53000000,1124672949.26999831,57925498.35999999,0.05150430
EART,EART 2021-1,Exeter Automobile Receivables Trust 2021-1,13,9234652.03000000,1124672949.26999831,67160150.38999999,0.05971527
EART,EART 2021-1,Exeter Automobile Receivables Trust 2021-1,14,7980887.67000001,1124672949.26999831,75141038.06000000,0.06681146
EART,EART 2021-1,Exeter Automobile Receivables Trust 2021-1,15,8367036.18000000,1124672949.26999831,83508074.24000001,0.07425098
EART,EART 2021-1,Exeter Automobile Receivables Trust 2021-1,16,5880962.18000001,1124672949.26999831,89389036.42000002,0.07948003
EART,EART 2021-1,Exeter Automobile Receivables Trust 2021-1,17,5252712.10000000,1124672949.26999831,94641748.52000001,0.08415046
EART,EART 2021-1,Exeter Automobile Receivables Trust 2021-1,18,6663823.61000000,1124672949.26999831,101305572.13000001,0.09007558
EART,EART 2021-1,Exeter Automobile Receivables Trust 2021-1,19,7080570.65000000,1124672949.26999831,108386142.78000002,0.09637125
EART,EART 2021-1,Exeter Automobile Receivables Trust 2021-1,20,8106636.36000000,1124672949.26999831,116492779.14000002,0.10357925
EART,EART 2021-1,Exeter Automobile Receivables Trust 2021-1,21,7378666.22000000,1124672949.26999831,123871445.36000003,0.11013997
EART,EART 2021-1,Exeter Automobile Receivables Trust 2021-1,22,7999376.54000000,1124672949.26999831,131870821.90000004,0.11725260
