issuer_code,series_label,entity_name,loan_age_months,period_co_amt,orig_pool_amt,cumulative_co_amt,cumulative_loss_rate
FCAOT,FCAOT 2017-A,Ford Credit Auto Owner Trust 2017-A,1,66412.71000000,1694252816.35999060,66412.71000000,0.00003920
FCAOT,FCAOT 2017-A,Ford Credit Auto Owner Trust 2017-A,2,327467.64000000,1694252816.35999060,393880.35000000,0.00023248
FCAOT,FCAOT 2017-A,Ford Credit Auto Owner Trust 2017-A,3,610758.65000000,1694252816.35999060,1004639.00000000,0.00059297
FCAOT,FCAOT 2017-A,Ford Credit Auto Owner Trust 2017-A,4,1039253.85000000,1694252816.35999060,2043892.85000000,0.00120637
FCAOT,FCAOT 2017-A,Ford Credit Auto Owner Trust 2017-A,5,553224.53000000,1694252816.35999060,2597117.38000000,0.00153290
FCAOT,FCAOT 2017-A,Ford Credit Auto Owner Trust 2017-A,6,961010.69000000,1694252816.35999060,3558128.07000000,0.00210012
FCAOT,FCAOT 2017-A,Ford Credit Auto Owner Trust 2017-A,7,831265.75000000,1694252816.35999060,4389393.82000000,0.00259075
FCAOT,FCAOT 2017-A,Ford Credit Auto Owner Trust 2017-A,8,842126.45000000,1694252816.35999060,5231520.27000000,0.00308780
FCAOT,FCAOT 2017-A,Ford Credit Auto Owner Trust 2017-A,9,957147.78000000,1694252816.35999060,6188668.05000000,0.00365274
FCAOT,FCAOT 2017-A,Ford Credit Auto Owner Trust 2017-A,10,835156.54000000,1694252816.35999060,7023824.59000000,0.00414568
FCAOT,FCAOT 2017-A,Ford Credit Auto Owner Trust 2017-A,11,1174209.76000000,1694252816.35999060,8198034.35000000,0.00483873
FCAOT,FCAOT 2017-A,Ford Credit Auto Owner Trust 2017-A,12,1009634.16000000,1694252816.35999060,9207668.51000000,0.00543465
FCAOT,FCAOT 2017-A,Ford Credit Auto Owner Trust 2017-A,13,771696.43000000,1694252816.35999060,9979364.94000000,0.00589013
FCAOT,FCAOT 2017-A,Ford Credit Auto Owner Trust 2017-A,14,978729.51000000,1694252816.35999060,10958094.45000000,0.00646780
FCAOT,FCAOT 2017-A,Ford Credit Auto Owner Trust 2017-A,15,1057075.46000000,1694252816.35999060,12015169.91000000,0.00709172
FCAOT,FCAOT 2017-A,Ford Credit Auto Owner Trust 2017-A,16,916890.78000000,1694252816.35999060,12932060.69000000,0.00763290
FCAOT,FCAOT 2017-A,Ford Credit Auto Owner Trust 2017-A,17,964433.06000000,1694252816.35999060,13896493.75000000,0.00820214
FCAOT,FCAOT 2017-A,Ford Credit Auto Owner Trust 2017-A,18,595716.44000000,1694252816.35999060,14492210.19000000,0.00855375
FCAOT,FCAOT 2017-A,Ford Credit Auto Owner Trust 2017-A,19,891553.09000000,1694252816.35999060,15383763.28000000,0.00907997
