issuer_code,vintage_year,fico_low,new_used,loan_age_months,period_co_amt,orig_pool_amt,cumulative_co_amt,cumulative_loss_rate
FTAT,2017,650,1,5,9649.84000000,15586036.47000000,9649.84000000,0.00061913
FTAT,2017,650,1,7,17140.46000000,15586036.47000000,26790.30000000,0.00171887
FTAT,2017,650,1,8,38301.93000000,15586036.47000000,65092.23000000,0.00417632
FTAT,2017,650,1,9,3079.38000000,15586036.47000000,68171.61000000,0.00437389
FTAT,2017,650,1,10,34038.94000000,15586036.47000000,102210.55000000,0.00655783
FTAT,2017,650,1,11,31523.42000000,15586036.47000000,133733.97000000,0.00858037
FTAT,2017,650,1,15,20598.67000000,15586036.47000000,154332.64000000,0.00990198
FTAT,2017,650,1,17,16221.43000000,15586036.47000000,170554.07000000,0.01094275
FTAT,2017,650,1,19,21228.35000000,15586036.47000000,191782.42000000,0.01230476
FTAT,2017,650,1,22,383.61000000,15586036.47000000,192166.03000000,0.01232937
FTAT,2017,650,1,24,15279.62000000,15586036.47000000,207445.65000000,0.01330971
FTAT,2017,650,1,29,14600.30000000,15586036.47000000,222045.95000000,0.01424647
FTAT,2017,650,1,42,17732.85000000,15586036.47000000,239778.80000000,0.01538421
FTAT,2017,650,1,44,9460.40000000,15586036.47000000,249239.20000000,0.01599119
FTAT,2017,650,2,3,10347.07000000,18809837.67000000,10347.07000000,0.00055009
FTAT,2017,650,2,4,12214.67000000,18809837.67000000,22561.74000000,0.00119946
FTAT,2017,650,2,5,32527.29000000,18809837.67000000,55089.03000000,0.00292874
FTAT,2017,650,2,8,13986.72000000,18809837.67000000,69075.75000000,0.00367232
FTAT,2017,650,2,9,9898.87000000,18809837.67000000,78974.62000000,0.00419858
FTAT,2017,650,2,10,34995.53000000,18809837.67000000,113970.15000000,0.00605907
FTAT,2017,650,2,11,14869.34000000,18809837.67000000,128839.49000000,0.00684958
FTAT,2017,650,2,13,1242.12000000,18809837.67000000,130081.61000000,0.00691562
FTAT,2017,650,2,15,40932.36000000,18809837.67000000,171013.97000000,0.00909173
FTAT,2017,650,2,16,16558.18000000,18809837.67000000,187572.15000000,0.00997202
FTAT,2017,650,2,17,36685.24000000,18809837.67000000,224257.39000000,0.01192235
FTAT,2017,650,2,21,15210.44000000,18809837.67000000,239467.83000000,0.01273099
FTAT,2017,650,2,22,3255.87000000,18809837.67000000,242723.70000000,0.01290408
FTAT,2017,650,2,25,11106.02000000,18809837.67000000,253829.72000000,0.01349452
FTAT,2017,650,2,26,6212.94000000,18809837.67000000,260042.66000000,0.01382482
FTAT,2017,650,2,27,26156.79000000,18809837.67000000,286199.45000000,0.01521541
FTAT,2017,650,2,28,3951.47000000,18809837.67000000,290150.92000000,0.01542549
FTAT,2017,650,2,29,9501.68000000,18809837.67000000,299652.60000000,0.01593063
FTAT,2017,650,2,30,9229.24000000,18809837.67000000,308881.84000000,0.01642129
FTAT,2017,650,2,32,10005.72000000,18809837.67000000,318887.56000000,0.01695323
FTAT,2017,650,2,33,6319.17000000,18809837.67000000,325206.73000000,0.01728918
FTAT,2017,650,2,34,14976.92000000,18809837.67000000,340183.65000000,0.01808541
FTAT,2017,650,2,35,9298.81000000,18809837.67000000,349482.46000000,0.01857977
FTAT,2017,650,2,37,2129.72000000,18809837.67000000,351612.18000000,0.01869299
FTAT,2017,650,2,42,9713.72000000,18809837.67000000,361325.90000000,0.01920941
FTAT,2017,650,2,44,14962.26000000,18809837.67000000,376288.16000000,0.02000486
FTAT,2017,660,1,7,15297.32000000,16831199.82000000,15297.32000000,0.00090887
FTAT,2017,660,1,10,22976.17000000,16831199.82000000,38273.49000000,0.00227396
FTAT,2017,660,1,11,93431.68000000,16831199.82000000,131705.17000000,0.00782506
FTAT,2017,660,1,15,30251.99000000,16831199.82000000,161957.16000000,0.00962244
FTAT,2017,660,1,17,8536.40000000,16831199.82000000,170493.56000000,0.01012961
FTAT,2017,660,1,18,14607.10000000,16831199.82000000,185100.66000000,0.01099747
FTAT,2017,660,1,21,39427.42000000,16831199.82000000,224528.08000000,0.01333999
FTAT,2017,660,1,23,48148.98000000,16831199.82000000,272677.06000000,0.01620069
FTAT,2017,660,1,26,14491.95000000,16831199.82000000,287169.01000000,0.01706171
FTAT,2017,660,1,27,7700.66000000,16831199.82000000,294869.67000000,0.01751923
FTAT,2017,660,1,34,34769.14000000,16831199.82000000,329638.81000000,0.01958499
FTAT,2017,660,1,40,14594.02000000,16831199.82000000,344232.83000000,0.02045207
FTAT,2017,660,1,41,6732.36000000,16831199.82000000,350965.19000000,0.02085206
FTAT,2017,660,2,3,16896.08000000,22619134.32000001,16896.08000000,0.00074698
FTAT,2017,660,2,5,17074.31000000,22619134.32000001,33970.39000000,0.00150184
FTAT,2017,660,2,6,26979.01000000,22619134.32000001,60949.40000000,0.00269459
FTAT,2017,660,2,7,9058.12000000,22619134.32000001,70007.52000000,0.00309506
FTAT,2017,660,2,8,2757.73000000,22619134.32000001,72765.25000000,0.00321698
FTAT,2017,660,2,9,29561.44000000,22619134.32000001,102326.69000000,0.00452390
FTAT,2017,660,2,11,30673.35000000,22619134.32000001,133000.04000000,0.00587998
FTAT,2017,660,2,12,56078.10000000,22619134.32000001,189078.14000000,0.00835921
FTAT,2017,660,2,13,33910.09000000,22619134.32000001,222988.23000000,0.00985839
FTAT,2017,660,2,14,48118.50000000,22619134.32000001,271106.73000000,0.01198573
FTAT,2017,660,2,15,23746.70000000,22619134.32000001,294853.43000000,0.01303558
FTAT,2017,660,2,18,14724.01000000,22619134.32000001,309577.44000000,0.01368653
FTAT,2017,660,2,20,18695.14000000,22619134.32000001,328272.58000000,0.01451305
FTAT,2017,660,2,21,18881.25000000,22619134.32000001,347153.83000000,0.01534779
FTAT,2017,660,2,22,15054.29000000,22619134.32000001,362208.12000000,0.01601335
FTAT,2017,660,2,23,8098.96000000,22619134.32000001,370307.08000000,0.01637141
FTAT,2017,660,2,25,7948.97000000,22619134.32000001,378256.05000000,0.01672283
FTAT,2017,660,2,26,24712.94000000,22619134.32000001,402968.99000000,0.01781540
FTAT,2017,660,2,27,4766.43000000,22619134.32000001,407735.42000000,0.01802613
FTAT,2017,660,2,28,9555.52000000,22619134.32000001,417290.94000000,0.01844858
FTAT,2017,660,2,29,712.92000000,22619134.32000001,418003.86000000,0.01848010
FTAT,2017,660,2,30,11904.51000000,22619134.32000001,429908.37000000,0.01900640
FTAT,2017,660,2,31,17496.44000000,22619134.32000001,447404.81000000,0.01977993
FTAT,2017,660,2,32,42702.60000000,22619134.32000001,490107.41000000,0.02166782
FTAT,2017,660,2,34,20890.99000000,22619134.32000001,510998.40000000,0.02259142
FTAT,2017,660,2,36,13770.74000000,22619134.32000001,524769.14000000,0.02320023
FTAT,2017,660,2,38,3783.15000000,22619134.32000001,528552.29000000,0.02336749
FTAT,2017,660,2,40,9469.66000000,22619134.32000001,538021.95000000,0.02378614
FTAT,2017,660,2,41,3974.96000000,22619134.32000001,541996.91000000,0.02396188
FTAT,2017,660,2,42,11113.34000000,22619134.32000001,553110.25000000,0.02445320
FTAT,2017,660,2,44,12736.58000000,22619134.32000001,565846.83000000,0.02501629
FTAT,2017,670,1,6,83435.70000000,20828084.21000000,83435.70000000,0.00400592
FTAT,2017,670,1,9,13128.79000000,20828084.21000000,96564.49000000,0.00463626
FTAT,2017,670,1,10,37619.19000000,20828084.21000000,134183.68000000,0.00644244
FTAT,2017,670,1,12,1808.90000000,20828084.21000000,135992.58000000,0.00652929
FTAT,2017,670,1,14,65233.19000000,20828084.21000000,201225.77000000,0.00966127
FTAT,2017,670,1,15,55494.84000000,20828084.21000000,256720.61000000,0.01232569
FTAT,2017,670,1,17,87717.36000000,20828084.21000000,344437.97000000,0.01653719
FTAT,2017,670,1,18,24115.97000000,20828084.21000000,368553.94000000,0.01769505
FTAT,2017,670,1,20,52706.30000000,20828084.21000000,421260.24000000,0.02022559
FTAT,2017,670,1,21,18100.73000000,20828084.21000000,439360.97000000,0.02109464
FTAT,2017,670,1,23,12307.60000000,20828084.21000000,451668.57000000,0.02168556
FTAT,2017,670,1,25,22876.93000000,20828084.21000000,474545.50000000,0.02278392
FTAT,2017,670,1,30,28930.00000000,20828084.21000000,503475.50000000,0.02417291
FTAT,2017,670,1,31,53740.77000000,20828084.21000000,557216.27000000,0.02675312
FTAT,2017,670,1,33,15501.26000000,20828084.21000000,572717.53000000,0.02749737
FTAT,2017,670,1,36,20250.01000000,20828084.21000000,592967.54000000,0.02846962
FTAT,2017,670,2,5,17446.43000000,26978360.25999999,17446.43000000,0.00064668
FTAT,2017,670,2,6,28401.00000000,26978360.25999999,45847.43000000,0.00169941
FTAT,2017,670,2,7,14588.82000000,26978360.25999999,60436.25000000,0.00224018
FTAT,2017,670,2,8,67662.36000000,26978360.25999999,128098.61000000,0.00474820
FTAT,2017,670,2,9,7407.84000000,26978360.25999999,135506.45000000,0.00502278
