issuer_code,series_label,entity_name,loan_age_months,period_co_amt,orig_pool_amt,cumulative_co_amt,cumulative_loss_rate
FTAT,FTAT 2017-1,Fifth Third Auto Trust 2017-1,3,164738.69000000,1344088442.50002027,164738.69000000,0.00012257
FTAT,FTAT 2017-1,Fifth Third Auto Trust 2017-1,4,230616.53000000,1344088442.50002027,395355.22000000,0.00029414
FTAT,FTAT 2017-1,Fifth Third Auto Trust 2017-1,5,500765.44000000,1344088442.50002027,896120.66000000,0.00066671
FTAT,FTAT 2017-1,Fifth Third Auto Trust 2017-1,6,576473.88000000,1344088442.50002027,1472594.54000000,0.00109561
FTAT,FTAT 2017-1,Fifth Third Auto Trust 2017-1,7,565931.83000000,1344088442.50002027,2038526.37000000,0.00151666
FTAT,FTAT 2017-1,Fifth Third Auto Trust 2017-1,8,729278.67000000,1344088442.50002027,2767805.04000000,0.00205924
FTAT,FTAT 2017-1,Fifth Third Auto Trust 2017-1,9,392749.19000000,1344088442.50002027,3160554.23000000,0.00235145
FTAT,FTAT 2017-1,Fifth Third Auto Trust 2017-1,10,530627.48000000,1344088442.50002027,3691181.71000000,0.00274623
FTAT,FTAT 2017-1,Fifth Third Auto Trust 2017-1,11,582871.35000000,1344088442.50002027,4274053.06000000,0.00317989
FTAT,FTAT 2017-1,Fifth Third Auto Trust 2017-1,12,384486.67000000,1344088442.50002027,4658539.73000000,0.00346595
FTAT,FTAT 2017-1,Fifth Third Auto Trust 2017-1,13,349362.25000000,1344088442.50002027,5007901.98000000,0.00372587
FTAT,FTAT 2017-1,Fifth Third Auto Trust 2017-1,14,479959.39000000,1344088442.50002027,5487861.37000000,0.00408296
FTAT,FTAT 2017-1,Fifth Third Auto Trust 2017-1,15,525625.41000000,1344088442.50002027,6013486.78000000,0.00447403
FTAT,FTAT 2017-1,Fifth Third Auto Trust 2017-1,16,329905.00000000,1344088442.50002027,6343391.78000000,0.00471947
FTAT,FTAT 2017-1,Fifth Third Auto Trust 2017-1,17,513503.27000000,1344088442.50002027,6856895.05000000,0.00510152
FTAT,FTAT 2017-1,Fifth Third Auto Trust 2017-1,18,431471.95000000,1344088442.50002027,7288367.00000000,0.00542254
FTAT,FTAT 2017-1,Fifth Third Auto Trust 2017-1,19,244312.68000000,1344088442.50002027,7532679.68000000,0.00560430
FTAT,FTAT 2017-1,Fifth Third Auto Trust 2017-1,20,413600.48000000,1344088442.50002027,7946280.16000000,0.00591202
FTAT,FTAT 2017-1,Fifth Third Auto Trust 2017-1,21,419943.76000000,1344088442.50002027,8366223.92000000,0.00622446
FTAT,FTAT 2017-1,Fifth Third Auto Trust 2017-1,22,273264.01000000,1344088442.50002027,8639487.93000000,0.00642777
FTAT,FTAT 2017-1,Fifth Third Auto Trust 2017-1,23,353600.03000000,1344088442.50002027,8993087.96000000,0.00669085
