issuer_code,vintage_year,loan_age_months,period_co_amt,orig_pool_amt,cumulative_co_amt,cumulative_loss_rate
GMCAR,2018,0,311970.34000000,1536720171.90001988,311970.34000000,0.00020301
GMCAR,2018,1,279394.48000000,1536720171.90001988,591364.82000000,0.00038482
GMCAR,2018,2,484372.17000000,1536720171.90001988,1075736.99000000,0.00070002
GMCAR,2018,3,243647.15000000,1536720171.90001988,1319384.14000000,0.00085857
GMCAR,2018,4,288497.67000000,1536720171.90001988,1607881.81000000,0.00104631
GMCAR,2018,5,256609.77000000,1536720171.90001988,1864491.58000000,0.00121329
GMCAR,2018,6,213491.10000000,1536720171.90001988,2077982.68000000,0.00135222
GMCAR,2018,7,135588.30000000,1536720171.90001988,2213570.98000000,0.00144045
GMCAR,2018,8,145867.51000000,1536720171.90001988,2359438.49000000,0.00153537
GMCAR,2018,9,213079.21000000,1536720171.90001988,2572517.70000000,0.00167403
GMCAR,2018,10,84754.35000000,1536720171.90001988,2657272.05000000,0.00172918
GMCAR,2018,11,79905.98000000,1536720171.90001988,2737178.03000000,0.00178118
GMCAR,2018,12,110707.80000000,1536720171.90001988,2847885.83000000,0.00185322
GMCAR,2018,13,96911.73000000,1536720171.90001988,2944797.56000000,0.00191629
GMCAR,2018,14,98511.52000000,1536720171.90001988,3043309.08000000,0.00198039
GMCAR,2019,0,852890.69000000,5934331377.16003132,852890.69000000,0.00014372
GMCAR,2019,1,486665.77000000,5934331377.16003132,1339556.46000000,0.00022573
GMCAR,2019,2,374864.08000000,5934331377.16003132,1714420.54000000,0.00028890
GMCAR,2019,3,537609.03000000,5934331377.16003132,2252029.57000000,0.00037949
GMCAR,2019,4,503003.58000000,5934331377.16003132,2755033.15000000,0.00046425
GMCAR,2019,5,719074.69000000,5934331377.16003132,3474107.84000000,0.00058543
GMCAR,2019,6,459088.38000000,5934331377.16003132,3933196.22000000,0.00066279
GMCAR,2019,7,590207.79000000,5934331377.16003132,4523404.01000000,0.00076224
GMCAR,2019,8,297912.88000000,5934331377.16003132,4821316.89000000,0.00081244
GMCAR,2019,9,157522.70000000,5934331377.16003132,4978839.59000000,0.00083899
GMCAR,2019,10,290487.17000000,5934331377.16003132,5269326.76000000,0.00088794
GMCAR,2019,11,293667.35000000,5934331377.16003132,5562994.11000000,0.00093743
GMCAR,2019,12,184985.89000000,5934331377.16003132,5747980.00000000,0.00096860
GMCAR,2019,13,204646.79000000,5934331377.16003132,5952626.79000000,0.00100308
GMCAR,2019,14,81281.00000000,5934331377.16003132,6033907.79000000,0.00101678
GMCAR,2020,0,626921.01000000,5361827347.18003464,626921.01000000,0.00011692
GMCAR,2020,1,447776.36000000,5361827347.18003464,1074697.37000000,0.00020043
GMCAR,2020,2,588200.32000000,5361827347.18003464,1662897.69000000,0.00031014
GMCAR,2020,3,474678.90000000,5361827347.18003464,2137576.59000000,0.00039867
GMCAR,2020,4,416286.49000000,5361827347.18003464,2553863.08000000,0.00047630
GMCAR,2020,5,452873.95000000,5361827347.18003464,3006737.03000000,0.00056077
GMCAR,2020,6,315149.36000000,5361827347.18003464,3321886.39000000,0.00061954
GMCAR,2020,7,299066.64000000,5361827347.18003464,3620953.03000000,0.00067532
GMCAR,2020,8,392327.65000000,5361827347.18003464,4013280.68000000,0.00074849
GMCAR,2020,9,229442.76000000,5361827347.18003464,4242723.44000000,0.00079128
GMCAR,2020,10,220461.08000000,5361827347.18003464,4463184.52000000,0.00083240
GMCAR,2020,11,304985.34000000,5361827347.18003464,4768169.86000000,0.00088928
GMCAR,2020,12,34802.58000000,5361827347.18003464,4802972.44000000,0.00089577
GMCAR,2020,13,155625.43000000,5361827347.18003464,4958597.87000000,0.00092480
GMCAR,2020,14,30065.77000000,5361827347.18003464,4988663.64000000,0.00093040
GMCAR,2021,0,637934.44000000,6667893603.74997330,637934.44000000,0.00009567
GMCAR,2021,1,681788.82000000,6667893603.74997330,1319723.26000000,0.00019792
GMCAR,2021,2,849000.39000000,6667893603.74997330,2168723.65000000,0.00032525
GMCAR,2021,3,764571.27000000,6667893603.74997330,2933294.92000000,0.00043991
GMCAR,2021,4,682464.05000000,6667893603.74997330,3615758.97000000,0.00054226
GMCAR,2021,5,684459.47000000,6667893603.74997330,4300218.44000000,0.00064491
GMCAR,2021,6,404122.85000000,6667893603.74997330,4704341.29000000,0.00070552
GMCAR,2021,7,788218.85000000,6667893603.74997330,5492560.14000000,0.00082373
GMCAR,2021,8,363990.08000000,6667893603.74997330,5856550.22000000,0.00087832
GMCAR,2021,9,296570.86000000,6667893603.74997330,6153121.08000000,0.00092280
GMCAR,2021,10,530699.15000000,6667893603.74997330,6683820.23000000,0.00100239
GMCAR,2021,11,368536.55000000,6667893603.74997330,7052356.78000000,0.00105766
GMCAR,2021,12,247280.55000000,6667893603.74997330,7299637.33000000,0.00109474
GMCAR,2021,13,274590.92000000,6667893603.74997330,7574228.25000000,0.00113593
GMCAR,2021,14,255865.96000000,6667893603.74997330,7830094.21000000,0.00117430
GMCAR,2021,15,188512.34000000,6667893603.74997330,8018606.55000000,0.00120257
GMCAR,2021,16,127670.54000000,6667893603.74997330,8146277.09000000,0.00122172
GMCAR,2022,0,1457646.00000000,5805649965.87992668,1457646.00000000,0.00025107
GMCAR,2022,1,1064924.00000000,5805649965.87992668,2522570.00000000,0.00043450
GMCAR,2022,2,1048677.62000000,5805649965.87992668,3571247.62000000,0.00061513
GMCAR,2022,3,1039868.47000000,5805649965.87992668,4611116.09000000,0.00079425
GMCAR,2022,4,1237083.62000000,5805649965.87992668,5848199.71000000,0.00100733
GMCAR,2022,5,799917.46000000,5805649965.87992668,6648117.17000000,0.00114511
GMCAR,2022,6,678918.60000000,5805649965.87992668,7327035.77000000,0.00126205
GMCAR,2022,7,658694.22000000,5805649965.87992668,7985729.99000000,0.00137551
GMCAR,2022,8,835659.47000000,5805649965.87992668,8821389.46000000,0.00151945
GMCAR,2022,9,800280.29000000,5805649965.87992668,9621669.75000000,0.00165729
GMCAR,2022,10,517282.37000000,5805649965.87992668,10138952.12000000,0.00174639
GMCAR,2022,11,322840.17000000,5805649965.87992668,10461792.29000000,0.00180200
GMCAR,2022,12,275695.84000000,5805649965.87992668,10737488.13000000,0.00184949
GMCAR,2022,13,333143.38000000,5805649965.87992668,11070631.51000000,0.00190687
GMCAR,2022,14,152709.15000000,5805649965.87992668,11223340.66000000,0.00193318
GMCAR,2022,15,325027.56000000,5805649965.87992668,11548368.22000000,0.00198916
GMCAR,2022,16,284051.16000000,5805649965.87992668,11832419.38000000,0.00203809
GMCAR,2022,17,241008.07000000,5805649965.87992668,12073427.45000000,0.00207960
GMCAR,2022,18,153341.44000000,5805649965.87992668,12226768.89000000,0.00210601
GMCAR,2023,0,1452867.47000000,6789810770.70000076,1452867.47000000,0.00021398
GMCAR,2023,1,1654720.67000000,6789810770.70000076,3107588.14000000,0.00045768
GMCAR,2023,2,1303911.55000000,6789810770.70000076,4411499.69000000,0.00064972
GMCAR,2023,3,1267862.15000000,6789810770.70000076,5679361.84000000,0.00083645
GMCAR,2023,4,1210067.36000000,6789810770.70000076,6889429.20000000,0.00101467
GMCAR,2023,5,1391033.54000000,6789810770.70000076,8280462.74000000,0.00121954
GMCAR,2023,6,1484778.07000000,6789810770.70000076,9765240.81000000,0.00143822
GMCAR,2023,7,1065028.28000000,6789810770.70000076,10830269.09000000,0.00159508
