issuer_code,series_label,entity_name,loan_age_months,period_co_amt,orig_pool_amt,cumulative_co_amt,cumulative_loss_rate
GMCAR,GMCAR 2018-1,GM Financial Consumer Automobile Receivables Trust 2018-1,2,533.35000000,1536720171.90001988,533.35000000,0.00000035
GMCAR,GMCAR 2018-1,GM Financial Consumer Automobile Receivables Trust 2018-1,3,120999.32000000,1536720171.90001988,121532.67000000,0.00007909
GMCAR,GMCAR 2018-1,GM Financial Consumer Automobile Receivables Trust 2018-1,4,562606.80000000,1536720171.90001988,684139.47000000,0.00044519
GMCAR,GMCAR 2018-1,GM Financial Consumer Automobile Receivables Trust 2018-1,5,549826.06000000,1536720171.90001988,1233965.53000000,0.00080299
GMCAR,GMCAR 2018-1,GM Financial Consumer Automobile Receivables Trust 2018-1,6,942538.33000000,1536720171.90001988,2176503.86000000,0.00141633
GMCAR,GMCAR 2018-1,GM Financial Consumer Automobile Receivables Trust 2018-1,7,537957.62000000,1536720171.90001988,2714461.48000000,0.00176640
GMCAR,GMCAR 2018-1,GM Financial Consumer Automobile Receivables Trust 2018-1,8,819316.23000000,1536720171.90001988,3533777.71000000,0.00229956
GMCAR,GMCAR 2018-1,GM Financial Consumer Automobile Receivables Trust 2018-1,9,743420.78000000,1536720171.90001988,4277198.49000000,0.00278333
GMCAR,GMCAR 2018-1,GM Financial Consumer Automobile Receivables Trust 2018-1,10,382563.35000000,1536720171.90001988,4659761.84000000,0.00303228
GMCAR,GMCAR 2018-1,GM Financial Consumer Automobile Receivables Trust 2018-1,11,556049.61000000,1536720171.90001988,5215811.45000000,0.00339412
GMCAR,GMCAR 2018-1,GM Financial Consumer Automobile Receivables Trust 2018-1,12,802875.65000000,1536720171.90001988,6018687.10000000,0.00391658
GMCAR,GMCAR 2018-1,GM Financial Consumer Automobile Receivables Trust 2018-1,13,529307.05000000,1536720171.90001988,6547994.15000000,0.00426102
GMCAR,GMCAR 2018-1,GM Financial Consumer Automobile Receivables Trust 2018-1,14,801226.77000000,1536720171.90001988,7349220.92000000,0.00478241
GMCAR,GMCAR 2018-1,GM Financial Consumer Automobile Receivables Trust 2018-1,15,492282.27000000,1536720171.90001988,7841503.19000000,0.00510275
GMCAR,GMCAR 2018-1,GM Financial Consumer Automobile Receivables Trust 2018-1,16,780168.95000000,1536720171.90001988,8621672.14000000,0.00561044
GMCAR,GMCAR 2018-1,GM Financial Consumer Automobile Receivables Trust 2018-1,17,833140.10000000,1536720171.90001988,9454812.24000000,0.00615259
GMCAR,GMCAR 2018-1,GM Financial Consumer Automobile Receivables Trust 2018-1,18,576181.18000000,1536720171.90001988,10030993.42000000,0.00652753
GMCAR,GMCAR 2018-1,GM Financial Consumer Automobile Receivables Trust 2018-1,19,506664.52000000,1536720171.90001988,10537657.94000000,0.00685724
GMCAR,GMCAR 2018-1,GM Financial Consumer Automobile Receivables Trust 2018-1,20,692586.18000000,1536720171.90001988,11230244.12000000,0.00730793
GMCAR,GMCAR 2018-1,GM Financial Consumer Automobile Receivables Trust 2018-1,21,811598.08000000,1536720171.90001988,12041842.20000000,0.00783607
GMCAR,GMCAR 2018-1,GM Financial Consumer Automobile Receivables Trust 2018-1,22,422169.47000000,1536720171.90001988,12464011.67000000,0.00811079
GMCAR,GMCAR 2018-1,GM Financial Consumer Automobile Receivables Trust 2018-1,23,651546.56000000,1536720171.90001988,13115558.23000000,0.00853477
GMCAR,GMCAR 2018-1,GM Financial Consumer Automobile Receivables Trust 2018-1,24,544093.19000000,1536720171.90001988,13659651.42000000,0.00888883
GMCAR,GMCAR 2018-1,GM Financial Consumer Automobile Receivables Trust 2018-1,25,556292.73000000,1536720171.90001988,14215944.15000000,0.00925083
GMCAR,GMCAR 2018-1,GM Financial Consumer Automobile Receivables Trust 2018-1,26,472065.10000000,1536720171.90001988,14688009.25000000,0.00955802
GMCAR,GMCAR 2018-1,GM Financial Consumer Automobile Receivables Trust 2018-1,27,560859.96000000,1536720171.90001988,15248869.21000000,0.00992300
GMCAR,GMCAR 2018-1,GM Financial Consumer Automobile Receivables Trust 2018-1,28,338532.97000000,1536720171.90001988,15587402.18000000,0.01014329
GMCAR,GMCAR 2018-1,GM Financial Consumer Automobile Receivables Trust 2018-1,29,399819.64000000,1536720171.90001988,15987221.82000000,0.01040347
GMCAR,GMCAR 2018-1,GM Financial Consumer Automobile Receivables Trust 2018-1,30,444205.78000000,1536720171.90001988,16431427.60000000,0.01069253
GMCAR,GMCAR 2018-1,GM Financial Consumer Automobile Receivables Trust 2018-1,31,473949.94000000,1536720171.90001988,16905377.54000000,0.01100095
GMCAR,GMCAR 2018-1,GM Financial Consumer Automobile Receivables Trust 2018-1,32,311970.34000000,1536720171.90001988,17217347.88000000,0.01120396
GMCAR,GMCAR 2018-1,GM Financial Consumer Automobile Receivables Trust 2018-1,33,279394.48000000,1536720171.90001988,17496742.36000000,0.01138577
GMCAR,GMCAR 2018-1,GM Financial Consumer Automobile Receivables Trust 2018-1,34,484372.17000000,1536720171.90001988,17981114.53000000,0.01170097
GMCAR,GMCAR 2018-1,GM Financial Consumer Automobile Receivables Trust 2018-1,35,243647.15000000,1536720171.90001988,18224761.68000000,0.01185952
GMCAR,GMCAR 2018-1,GM Financial Consumer Automobile Receivables Trust 2018-1,36,288497.67000000,1536720171.90001988,18513259.35000000,0.01204725
GMCAR,GMCAR 2018-1,GM Financial Consumer Automobile Receivables Trust 2018-1,37,256609.77000000,1536720171.90001988,18769869.12000000,0.01221424
GMCAR,GMCAR 2018-1,GM Financial Consumer Automobile Receivables Trust 2018-1,38,213491.10000000,1536720171.90001988,18983360.22000000,0.01235317
GMCAR,GMCAR 2018-1,GM Financial Consumer Automobile Receivables Trust 2018-1,39,135588.30000000,1536720171.90001988,19118948.52000000,0.01244140
GMCAR,GMCAR 2018-1,GM Financial Consumer Automobile Receivables Trust 2018-1,40,145867.51000000,1536720171.90001988,19264816.03000000,0.01253632
GMCAR,GMCAR 2018-1,GM Financial Consumer Automobile Receivables Trust 2018-1,41,213079.21000000,1536720171.90001988,19477895.24000000,0.01267498
GMCAR,GMCAR 2018-1,GM Financial Consumer Automobile Receivables Trust 2018-1,42,84754.35000000,1536720171.90001988,19562649.59000000,0.01273013
GMCAR,GMCAR 2018-1,GM Financial Consumer Automobile Receivables Trust 2018-1,43,79905.98000000,1536720171.90001988,19642555.57000000,0.01278213
GMCAR,GMCAR 2018-1,GM Financial Consumer Automobile Receivables Trust 2018-1,44,110707.80000000,1536720171.90001988,19753263.37000000,0.01285417
GMCAR,GMCAR 2018-1,GM Financial Consumer Automobile Receivables Trust 2018-1,45,96911.73000000,1536720171.90001988,19850175.10000000,0.01291723
GMCAR,GMCAR 2018-1,GM Financial Consumer Automobile Receivables Trust 2018-1,46,98511.52000000,1536720171.90001988,19948686.62000000,0.01298134
GMCAR,GMCAR 2018-2,GM Financial Consumer Automobile Receivables Trust 2018-2,1,39937.22000000,1513579406.58001089,39937.22000000,0.00002639
GMCAR,GMCAR 2018-2,GM Financial Consumer Automobile Receivables Trust 2018-2,2,137064.84000000,1513579406.58001089,177002.06000000,0.00011694
GMCAR,GMCAR 2018-2,GM Financial Consumer Automobile Receivables Trust 2018-2,3,596411.58000000,1513579406.58001089,773413.64000000,0.00051098
GMCAR,GMCAR 2018-2,GM Financial Consumer Automobile Receivables Trust 2018-2,4,496230.35000000,1513579406.58001089,1269643.99000000,0.00083884
GMCAR,GMCAR 2018-2,GM Financial Consumer Automobile Receivables Trust 2018-2,5,581883.47000000,1513579406.58001089,1851527.46000000,0.00122328
GMCAR,GMCAR 2018-2,GM Financial Consumer Automobile Receivables Trust 2018-2,6,699974.27000000,1513579406.58001089,2551501.73000000,0.00168574
GMCAR,GMCAR 2018-2,GM Financial Consumer Automobile Receivables Trust 2018-2,7,507423.91000000,1513579406.58001089,3058925.64000000,0.00202099
GMCAR,GMCAR 2018-2,GM Financial Consumer Automobile Receivables Trust 2018-2,8,518082.39000000,1513579406.58001089,3577008.03000000,0.00236328
GMCAR,GMCAR 2018-2,GM Financial Consumer Automobile Receivables Trust 2018-2,9,676137.53000000,1513579406.58001089,4253145.56000000,0.00280999
GMCAR,GMCAR 2018-2,GM Financial Consumer Automobile Receivables Trust 2018-2,10,395714.26000000,1513579406.58001089,4648859.82000000,0.00307143
GMCAR,GMCAR 2018-2,GM Financial Consumer Automobile Receivables Trust 2018-2,11,841469.90000000,1513579406.58001089,5490329.72000000,0.00362738
GMCAR,GMCAR 2018-2,GM Financial Consumer Automobile Receivables Trust 2018-2,12,1004246.42000000,1513579406.58001089,6494576.14000000,0.00429087
GMCAR,GMCAR 2018-2,GM Financial Consumer Automobile Receivables Trust 2018-2,13,873352.28000000,1513579406.58001089,7367928.42000000,0.00486788
GMCAR,GMCAR 2018-2,GM Financial Consumer Automobile Receivables Trust 2018-2,14,659239.93000000,1513579406.58001089,8027168.35000000,0.00530343
GMCAR,GMCAR 2018-2,GM Financial Consumer Automobile Receivables Trust 2018-2,15,520095.66000000,1513579406.58001089,8547264.01000000,0.00564705
GMCAR,GMCAR 2018-2,GM Financial Consumer Automobile Receivables Trust 2018-2,16,601489.18000000,1513579406.58001089,9148753.19000000,0.00604445
GMCAR,GMCAR 2018-2,GM Financial Consumer Automobile Receivables Trust 2018-2,17,729488.35000000,1513579406.58001089,9878241.54000000,0.00652641
GMCAR,GMCAR 2018-2,GM Financial Consumer Automobile Receivables Trust 2018-2,18,997638.63000000,1513579406.58001089,10875880.17000000,0.00718554
GMCAR,GMCAR 2018-2,GM Financial Consumer Automobile Receivables Trust 2018-2,19,466411.76000000,1513579406.58001089,11342291.93000000,0.00749369
GMCAR,GMCAR 2018-2,GM Financial Consumer Automobile Receivables Trust 2018-2,20,848684.60000000,1513579406.58001089,12190976.53000000,0.00805440
GMCAR,GMCAR 2018-2,GM Financial Consumer Automobile Receivables Trust 2018-2,21,665439.81000000,1513579406.58001089,12856416.34000000,0.00849405
GMCAR,GMCAR 2018-2,GM Financial Consumer Automobile Receivables Trust 2018-2,22,479981.50000000,1513579406.58001089,13336397.84000000,0.00881116
GMCAR,GMCAR 2018-2,GM Financial Consumer Automobile Receivables Trust 2018-2,23,479695.57000000,1513579406.58001089,13816093.41000000,0.00912809
GMCAR,GMCAR 2018-2,GM Financial Consumer Automobile Receivables Trust 2018-2,24,596853.60000000,1513579406.58001089,14412947.01000000,0.00952243
GMCAR,GMCAR 2018-2,GM Financial Consumer Automobile Receivables Trust 2018-2,25,708779.99000000,1513579406.58001089,15121727.00000000,0.00999071
GMCAR,GMCAR 2018-2,GM Financial Consumer Automobile Receivables Trust 2018-2,26,486616.95000000,1513579406.58001089,15608343.95000000,0.01031221
