issuer_code,vintage_year,fico_low,new_used,loan_age_months,period_co_amt,orig_pool_amt,cumulative_co_amt,cumulative_loss_rate
HAROT,2017,410,2,33,454.53000000,15573.19000000,454.53000000,0.02918670
HAROT,2017,420,1,19,16662.67000000,75671.48000000,16662.67000000,0.22019749
HAROT,2017,420,1,25,0.00000000,75671.48000000,16662.67000000,0.22019749
HAROT,2017,420,1,27,19217.64000000,75671.48000000,35880.31000000,0.47415896
HAROT,2017,420,2,27,541.12000000,14356.63000000,541.12000000,0.03769130
HAROT,2017,450,1,4,16682.16000000,233079.74000000,16682.16000000,0.07157276
HAROT,2017,450,2,3,24014.27000000,164411.75000000,24014.27000000,0.14606176
HAROT,2017,450,2,7,176.15000000,164411.75000000,24190.42000000,0.14713316
HAROT,2017,460,1,7,14014.86000000,396739.59000000,14014.86000000,0.03532509
HAROT,2017,460,1,8,34979.82000000,396739.59000000,48994.68000000,0.12349330
HAROT,2017,460,2,12,13347.15000000,295143.65000000,13347.15000000,0.04522256
HAROT,2017,470,1,20,15363.13000000,682218.57000000,15363.13000000,0.02251937
HAROT,2017,470,1,28,19983.02000000,682218.57000000,35346.15000000,0.05181059
HAROT,2017,470,2,9,19482.93000000,387558.17000000,19482.93000000,0.05027098
HAROT,2017,470,2,30,10677.90000000,387558.17000000,30160.83000000,0.07782272
HAROT,2017,480,1,11,20725.41000000,890643.70000000,20725.41000000,0.02327015
HAROT,2017,480,2,26,10129.89000000,346479.29000000,10129.89000000,0.02923664
HAROT,2017,490,1,10,31961.38000000,1101702.31000000,31961.38000000,0.02901090
HAROT,2017,490,1,11,0.00000000,1101702.31000000,31961.38000000,0.02901090
HAROT,2017,490,1,21,18744.08000000,1101702.31000000,50705.46000000,0.04602465
HAROT,2017,490,1,24,21721.58000000,1101702.31000000,72427.04000000,0.06574103
HAROT,2017,490,1,35,1251.68000000,1101702.31000000,73678.72000000,0.06687716
HAROT,2017,490,2,5,11618.88000000,754096.28000000,11618.88000000,0.01540769
HAROT,2017,490,2,31,5291.79000000,754096.28000000,16910.67000000,0.02242508
HAROT,2017,490,2,41,1384.13000000,754096.28000000,18294.80000000,0.02426056
HAROT,2017,500,1,6,460.53000000,1692682.89000000,460.53000000,0.00027207
HAROT,2017,500,1,18,14475.46000000,1692682.89000000,14935.99000000,0.00882386
HAROT,2017,500,1,20,16861.25000000,1692682.89000000,31797.24000000,0.01878511
HAROT,2017,500,1,21,0.00000000,1692682.89000000,31797.24000000,0.01878511
HAROT,2017,500,1,33,141.18000000,1692682.89000000,31938.42000000,0.01886852
HAROT,2017,500,2,8,14629.98000000,1118112.84000000,14629.98000000,0.01308453
HAROT,2017,500,2,11,10106.33000000,1118112.84000000,24736.31000000,0.02212327
HAROT,2017,500,2,18,10754.81000000,1118112.84000000,35491.12000000,0.03174198
HAROT,2017,500,2,19,668.02000000,1118112.84000000,36159.14000000,0.03233944
HAROT,2017,500,2,22,3951.22000000,1118112.84000000,40110.36000000,0.03587327
HAROT,2017,500,2,24,3720.63000000,1118112.84000000,43830.99000000,0.03920086
HAROT,2017,500,2,29,12367.09000000,1118112.84000000,56198.08000000,0.05026155
HAROT,2017,500,2,39,7380.93000000,1118112.84000000,63579.01000000,0.05686278
HAROT,2017,500,2,42,11192.62000000,1118112.84000000,74771.63000000,0.06687306
HAROT,2017,510,1,7,75082.76000000,2880894.81000000,75082.76000000,0.02606231
HAROT,2017,510,1,8,0.00000000,2880894.81000000,75082.76000000,0.02606231
HAROT,2017,510,1,13,20036.09000000,2880894.81000000,95118.85000000,0.03301712
HAROT,2017,510,1,15,0.00000000,2880894.81000000,95118.85000000,0.03301712
HAROT,2017,510,1,17,1203.58000000,2880894.81000000,96322.43000000,0.03343490
HAROT,2017,510,1,20,0.00000000,2880894.81000000,96322.43000000,0.03343490
HAROT,2017,510,1,21,18585.56000000,2880894.81000000,114907.99000000,0.03988622
