issuer_code,series_label,entity_name,loan_age_months,period_co_amt,orig_pool_amt,cumulative_co_amt,cumulative_loss_rate
HAROT,HAROT 2017-1,Honda Auto Receivables 2017-1 Owner Trust,2,105078.49000000,1859865129.61998868,105078.49000000,0.00005650
HAROT,HAROT 2017-1,Honda Auto Receivables 2017-1 Owner Trust,3,210308.96000000,1859865129.61998868,315387.45000000,0.00016958
HAROT,HAROT 2017-1,Honda Auto Receivables 2017-1 Owner Trust,4,239516.41000000,1859865129.61998868,554903.86000000,0.00029836
HAROT,HAROT 2017-1,Honda Auto Receivables 2017-1 Owner Trust,5,449340.74000000,1859865129.61998868,1004244.60000000,0.00053996
HAROT,HAROT 2017-1,Honda Auto Receivables 2017-1 Owner Trust,6,373192.25000000,1859865129.61998868,1377436.85000000,0.00074061
HAROT,HAROT 2017-1,Honda Auto Receivables 2017-1 Owner Trust,7,277273.91000000,1859865129.61998868,1654710.76000000,0.00088969
HAROT,HAROT 2017-1,Honda Auto Receivables 2017-1 Owner Trust,8,533038.69000000,1859865129.61998868,2187749.45000000,0.00117629
HAROT,HAROT 2017-1,Honda Auto Receivables 2017-1 Owner Trust,9,492736.20000000,1859865129.61998868,2680485.65000000,0.00144123
HAROT,HAROT 2017-1,Honda Auto Receivables 2017-1 Owner Trust,10,397428.42000000,1859865129.61998868,3077914.07000000,0.00165491
HAROT,HAROT 2017-1,Honda Auto Receivables 2017-1 Owner Trust,11,369110.33000000,1859865129.61998868,3447024.40000000,0.00185337
HAROT,HAROT 2017-1,Honda Auto Receivables 2017-1 Owner Trust,12,380942.27000000,1859865129.61998868,3827966.67000000,0.00205820
HAROT,HAROT 2017-1,Honda Auto Receivables 2017-1 Owner Trust,13,327136.39000000,1859865129.61998868,4155103.06000000,0.00223409
HAROT,HAROT 2017-1,Honda Auto Receivables 2017-1 Owner Trust,14,542295.32000000,1859865129.61998868,4697398.38000000,0.00252567
HAROT,HAROT 2017-1,Honda Auto Receivables 2017-1 Owner Trust,15,209902.65000000,1859865129.61998868,4907301.03000000,0.00263853
HAROT,HAROT 2017-1,Honda Auto Receivables 2017-1 Owner Trust,16,323627.32000000,1859865129.61998868,5230928.35000000,0.00281253
HAROT,HAROT 2017-1,Honda Auto Receivables 2017-1 Owner Trust,17,210119.22000000,1859865129.61998868,5441047.57000000,0.00292551
HAROT,HAROT 2017-1,Honda Auto Receivables 2017-1 Owner Trust,18,220312.95000000,1859865129.61998868,5661360.52000000,0.00304396
HAROT,HAROT 2017-1,Honda Auto Receivables 2017-1 Owner Trust,19,206592.67000000,1859865129.61998868,5867953.19000000,0.00315504
HAROT,HAROT 2017-1,Honda Auto Receivables 2017-1 Owner Trust,20,426161.12000000,1859865129.61998868,6294114.31000000,0.00338418
HAROT,HAROT 2017-1,Honda Auto Receivables 2017-1 Owner Trust,21,285649.56000000,1859865129.61998868,6579763.87000000,0.00353776
HAROT,HAROT 2017-1,Honda Auto Receivables 2017-1 Owner Trust,22,190307.86000000,1859865129.61998868,6770071.73000000,0.00364009
