issuer_code,deal_year,loan_age_months,period_co_amt,orig_pool_amt,cumulative_co_amt,cumulative_loss_rate
HART,2018,0,0.00000000,2618040360.19999838,0.00000000,0.00000000
HART,2018,1,4842.42000000,2618040360.19999838,4842.42000000,0.00000185
HART,2018,2,2876.06000000,2618040360.19999838,7718.48000000,0.00000295
HART,2018,3,1780.07000000,2618040360.19999838,9498.55000000,0.00000363
HART,2018,4,0.00000000,2618040360.19999838,9498.55000000,0.00000363
HART,2018,5,0.00000000,2618040360.19999838,9498.55000000,0.00000363
HART,2018,6,352134.38000000,2618040360.19999838,361632.93000000,0.00013813
HART,2018,7,278854.42000000,2618040360.19999838,640487.35000000,0.00024464
HART,2018,8,195576.20000000,2618040360.19999838,836063.55000000,0.00031935
HART,2018,9,183385.74000000,2618040360.19999838,1019449.29000000,0.00038939
HART,2018,10,172168.64000000,2618040360.19999838,1191617.93000000,0.00045516
HART,2018,11,83003.26000000,2618040360.19999838,1274621.19000000,0.00048686
HART,2018,12,57824.45000000,2618040360.19999838,1332445.64000000,0.00050895
HART,2018,13,74049.70000000,2618040360.19999838,1406495.34000000,0.00053723
HART,2018,14,11506.86000000,2618040360.19999838,1418002.20000000,0.00054163
HART,2018,15,88506.13000000,2618040360.19999838,1506508.33000000,0.00057543
HART,2019,0,0.00000000,2199921147.64000082,0.00000000,0.00000000
HART,2019,1,0.00000000,2199921147.64000082,0.00000000,0.00000000
HART,2019,2,13317.24000000,2199921147.64000082,13317.24000000,0.00000605
HART,2019,3,0.00000000,2199921147.64000082,13317.24000000,0.00000605
HART,2019,4,0.00000000,2199921147.64000082,13317.24000000,0.00000605
HART,2019,5,0.00000000,2199921147.64000082,13317.24000000,0.00000605
HART,2019,6,234935.77000000,2199921147.64000082,248253.01000000,0.00011285
HART,2019,7,9552.06000000,2199921147.64000082,257805.07000000,0.00011719
HART,2019,8,322858.34000000,2199921147.64000082,580663.41000000,0.00026395
HART,2019,9,53316.81000000,2199921147.64000082,633980.22000000,0.00028818
HART,2019,10,85194.85000000,2199921147.64000082,719175.07000000,0.00032691
HART,2019,11,35505.16000000,2199921147.64000082,754680.23000000,0.00034305
HART,2019,12,24269.19000000,2199921147.64000082,778949.42000000,0.00035408
HART,2019,13,46648.30000000,2199921147.64000082,825597.72000000,0.00037529
HART,2020,0,0.00000000,2690883794.27000093,0.00000000,0.00000000
HART,2020,1,0.00000000,2690883794.27000093,0.00000000,0.00000000
HART,2020,2,0.00000000,2690883794.27000093,0.00000000,0.00000000
HART,2020,3,0.00000000,2690883794.27000093,0.00000000,0.00000000
HART,2020,4,0.00000000,2690883794.27000093,0.00000000,0.00000000
HART,2020,5,0.00000000,2690883794.27000093,0.00000000,0.00000000
HART,2020,6,358278.46000000,2690883794.27000093,358278.46000000,0.00013315
HART,2020,7,278798.58000000,2690883794.27000093,637077.04000000,0.00023675
HART,2020,8,156058.21000000,2690883794.27000093,793135.25000000,0.00029475
HART,2020,9,197862.82000000,2690883794.27000093,990998.07000000,0.00036828
HART,2020,10,114565.56000000,2690883794.27000093,1105563.63000000,0.00041086
HART,2020,11,107272.89000000,2690883794.27000093,1212836.52000000,0.00045072
HART,2020,12,125467.27000000,2690883794.27000093,1338303.79000000,0.00049735
