issuer_code,vintage_year,fico_low,new_used,loan_age_months,period_co_amt,orig_pool_amt,cumulative_co_amt,cumulative_loss_rate
HART,2017,500,1,8,16379.76000000,96067.67000000,16379.76000000,0.17050231
HART,2017,500,1,30,10211.65000000,96067.67000000,26591.41000000,0.27679874
HART,2017,510,1,36,3719.39000000,56740.46000000,3719.39000000,0.06555093
HART,2017,520,1,12,16913.08000000,87530.06000000,16913.08000000,0.19322596
HART,2017,520,1,25,4408.37000000,87530.06000000,21321.45000000,0.24359003
HART,2017,530,1,15,16451.82000000,115535.12000000,16451.82000000,0.14239670
HART,2017,530,1,34,10579.27000000,115535.12000000,27031.09000000,0.23396427
HART,2017,530,2,21,6272.79000000,79630.65000000,6272.79000000,0.07877356
HART,2017,540,1,5,16635.22000000,169828.47000000,16635.22000000,0.09795307
HART,2017,540,1,23,10756.60000000,169828.47000000,27391.82000000,0.16129110
HART,2017,550,1,10,20861.33000000,175266.38000000,20861.33000000,0.11902642
HART,2017,550,1,20,15082.79000000,175266.38000000,35944.12000000,0.20508280
HART,2017,550,1,22,246.86000000,175266.38000000,36190.98000000,0.20649128
HART,2017,560,1,16,17419.13000000,191258.27000000,17419.13000000,0.09107648
HART,2017,560,2,27,7680.12000000,81103.34000000,7680.12000000,0.09469548
HART,2017,570,1,8,17204.71000000,343984.98000000,17204.71000000,0.05001588
HART,2017,570,1,13,17569.24000000,343984.98000000,34773.95000000,0.10109148
HART,2017,570,1,35,9900.96000000,343984.98000000,44674.91000000,0.12987460
HART,2017,570,1,41,7594.87000000,343984.98000000,52269.78000000,0.15195367
HART,2017,580,1,9,19452.23000000,317645.77000000,19452.23000000,0.06123875
HART,2017,580,1,38,8741.76000000,317645.77000000,28193.99000000,0.08875922
HART,2017,580,2,4,32283.24000000,486493.26000000,32283.24000000,0.06635907
HART,2017,580,2,6,11030.91000000,486493.26000000,43314.15000000,0.08903340
HART,2017,580,2,13,7145.84000000,486493.26000000,50459.99000000,0.10372187
HART,2017,580,2,20,12642.26000000,486493.26000000,63102.25000000,0.12970837
HART,2017,580,2,27,14079.18000000,486493.26000000,77181.43000000,0.15864851
HART,2017,580,2,33,6204.65000000,486493.26000000,83386.08000000,0.17140233
HART,2017,580,2,38,8577.02000000,486493.26000000,91963.10000000,0.18903263
HART,2017,580,2,41,7230.10000000,486493.26000000,99193.20000000,0.20389429
HART,2017,590,1,4,24900.29000000,398878.43000000,24900.29000000,0.06242576
HART,2017,590,1,6,18399.92000000,398878.43000000,43300.21000000,0.10855490
HART,2017,590,1,8,37327.40000000,398878.43000000,80627.61000000,0.20213580
HART,2017,590,1,49,4379.81000000,398878.43000000,85007.42000000,0.21311611
HART,2017,590,2,6,15212.08000000,501511.02000000,15212.08000000,0.03033249
HART,2017,590,2,8,13937.92000000,501511.02000000,29150.00000000,0.05812435
HART,2017,590,2,13,11757.71000000,501511.02000000,40907.71000000,0.08156892
HART,2017,590,2,14,27692.19000000,501511.02000000,68599.90000000,0.13678643
HART,2017,590,2,17,9620.57000000,501511.02000000,78220.47000000,0.15596959
HART,2017,590,2,21,10924.56000000,501511.02000000,89145.03000000,0.17775288
HART,2017,590,2,26,11369.45000000,501511.02000000,100514.48000000,0.20042327
HART,2017,590,2,32,1705.37000000,501511.02000000,102219.85000000,0.20382374
HART,2017,590,2,39,16200.43000000,501511.02000000,118420.28000000,0.23612697
HART,2017,600,1,1,12868.95000000,29958185.39000003,12868.95000000,0.00042956
HART,2017,600,1,2,40132.35000000,29958185.39000003,53001.30000000,0.00176918
HART,2017,600,1,3,84359.25000000,29958185.39000003,137360.55000000,0.00458508
HART,2017,600,1,4,250593.43000000,29958185.39000003,387953.98000000,0.01294985
HART,2017,600,1,5,223751.85000000,29958185.39000003,611705.83000000,0.02041865
HART,2017,600,1,6,131728.82000000,29958185.39000003,743434.65000000,0.02481574
HART,2017,600,1,7,214572.33000000,29958185.39000003,958006.98000000,0.03197814
HART,2017,600,1,8,272118.79000000,29958185.39000003,1230125.77000000,0.04106142
HART,2017,600,1,9,280851.39000000,29958185.39000003,1510977.16000000,0.05043620
HART,2017,600,1,10,257391.02000000,29958185.39000003,1768368.18000000,0.05902788
HART,2017,600,1,11,344785.08000000,29958185.39000003,2113153.26000000,0.07053676
HART,2017,600,1,12,278562.97000000,29958185.39000003,2391716.23000000,0.07983515
HART,2017,600,1,13,243618.84000000,29958185.39000003,2635335.07000000,0.08796711
HART,2017,600,1,14,226689.31000000,29958185.39000003,2862024.38000000,0.09553397
HART,2017,600,1,15,83897.15000000,29958185.39000003,2945921.53000000,0.09833444
HART,2017,600,1,16,337488.50000000,29958185.39000003,3283410.03000000,0.10959976
HART,2017,600,1,17,196127.04000000,29958185.39000003,3479537.07000000,0.11614646
HART,2017,600,1,18,248862.58000000,29958185.39000003,3728399.65000000,0.12445345
HART,2017,600,1,19,202295.07000000,29958185.39000003,3930694.72000000,0.13120603
HART,2017,600,1,20,136376.55000000,29958185.39000003,4067071.27000000,0.13575826
HART,2017,600,1,21,178415.98000000,29958185.39000003,4245487.25000000,0.14171377
HART,2017,600,1,22,120516.49000000,29958185.39000003,4366003.74000000,0.14573659
HART,2017,600,1,23,98642.33000000,29958185.39000003,4464646.07000000,0.14902926
HART,2017,600,1,24,115140.56000000,29958185.39000003,4579786.63000000,0.15287263
HART,2017,600,1,25,77802.62000000,29958185.39000003,4657589.25000000,0.15546967
HART,2017,600,1,26,85971.40000000,29958185.39000003,4743560.65000000,0.15833938
HART,2017,600,1,27,93468.15000000,29958185.39000003,4837028.80000000,0.16145934
HART,2017,600,1,28,78094.16000000,29958185.39000003,4915122.96000000,0.16406611
HART,2017,600,1,29,74954.52000000,29958185.39000003,4990077.48000000,0.16656808
HART,2017,600,1,30,30148.91000000,29958185.39000003,5020226.39000000,0.16757445
HART,2017,600,1,31,113490.79000000,29958185.39000003,5133717.18000000,0.17136275
HART,2017,600,1,32,68405.76000000,29958185.39000003,5202122.94000000,0.17364613
HART,2017,600,1,33,89784.33000000,29958185.39000003,5291907.27000000,0.17664312
HART,2017,600,1,34,65964.14000000,29958185.39000003,5357871.41000000,0.17884499
HART,2017,600,1,35,62016.75000000,29958185.39000003,5419888.16000000,0.18091510
HART,2017,600,1,36,50039.92000000,29958185.39000003,5469928.08000000,0.18258543
HART,2017,600,1,37,143850.86000000,29958185.39000003,5613778.94000000,0.18738715
HART,2017,600,1,38,64390.88000000,29958185.39000003,5678169.82000000,0.18953651
HART,2017,600,1,39,62786.08000000,29958185.39000003,5740955.90000000,0.19163230
HART,2017,600,1,40,43277.43000000,29958185.39000003,5784233.33000000,0.19307689
HART,2017,600,1,41,11720.25000000,29958185.39000003,5795953.58000000,0.19346811
HART,2017,600,1,42,14345.72000000,29958185.39000003,5810299.30000000,0.19394697
HART,2017,600,1,43,36853.22000000,29958185.39000003,5847152.52000000,0.19517713
HART,2017,600,1,44,21669.93000000,29958185.39000003,5868822.45000000,0.19590047
HART,2017,600,1,45,55919.27000000,29958185.39000003,5924741.72000000,0.19776704
HART,2017,600,1,46,32111.12000000,29958185.39000003,5956852.84000000,0.19883891
HART,2017,600,1,47,32632.02000000,29958185.39000003,5989484.86000000,0.19992816
HART,2017,600,1,48,20896.91000000,29958185.39000003,6010381.77000000,0.20062570
HART,2017,600,1,49,14697.62000000,29958185.39000003,6025079.39000000,0.20111630
HART,2017,600,1,50,11462.37000000,29958185.39000003,6036541.76000000,0.20149891
HART,2017,600,1,51,33705.42000000,29958185.39000003,6070247.18000000,0.20262399
HART,2017,600,2,4,1070.19000000,608119.33000000,1070.19000000,0.00175984
HART,2017,600,2,7,17026.36000000,608119.33000000,18096.55000000,0.02975822
HART,2017,600,2,9,9474.55000000,608119.33000000,27571.10000000,0.04533831
HART,2017,600,2,14,30704.83000000,608119.33000000,58275.93000000,0.09582976
HART,2017,600,2,15,30942.26000000,608119.33000000,89218.19000000,0.14671165
HART,2017,600,2,22,6922.35000000,608119.33000000,96140.54000000,0.15809486
HART,2017,600,2,26,13005.78000000,608119.33000000,109146.32000000,0.17948175
HART,2017,600,2,35,8256.38000000,608119.33000000,117402.70000000,0.19305866
HART,2017,610,1,2,23720.71000000,26479982.07000000,23720.71000000,0.00089580
HART,2017,610,1,3,134831.51000000,26479982.07000000,158552.22000000,0.00598763
HART,2017,610,1,4,103580.07000000,26479982.07000000,262132.29000000,0.00989926
HART,2017,610,1,5,238449.56000000,26479982.07000000,500581.85000000,0.01890416
HART,2017,610,1,6,217641.32000000,26479982.07000000,718223.17000000,0.02712325
HART,2017,610,1,7,240002.11000000,26479982.07000000,958225.28000000,0.03618678
HART,2017,610,1,8,219144.50000000,26479982.07000000,1177369.78000000,0.04446264
HART,2017,610,1,9,374047.13000000,26479982.07000000,1551416.91000000,0.05858829
HART,2017,610,1,10,317686.36000000,26479982.07000000,1869103.27000000,0.07058552
HART,2017,610,1,11,179077.71000000,26479982.07000000,2048180.98000000,0.07734828
HART,2017,610,1,12,159421.87000000,26479982.07000000,2207602.85000000,0.08336874
HART,2017,610,1,13,309107.96000000,26479982.07000000,2516710.81000000,0.09504201
HART,2017,610,1,14,164842.38000000,26479982.07000000,2681553.19000000,0.10126718
HART,2017,610,1,15,90053.68000000,26479982.07000000,2771606.87000000,0.10466800
HART,2017,610,1,16,62918.66000000,26479982.07000000,2834525.53000000,0.10704409
HART,2017,610,1,17,157438.52000000,26479982.07000000,2991964.05000000,0.11298966
HART,2017,610,1,18,167552.46000000,26479982.07000000,3159516.51000000,0.11931717
HART,2017,610,1,19,145913.72000000,26479982.07000000,3305430.23000000,0.12482751
HART,2017,610,1,20,250533.88000000,26479982.07000000,3555964.11000000,0.13428877
HART,2017,610,1,21,137270.12000000,26479982.07000000,3693234.23000000,0.13947269
HART,2017,610,1,22,112359.22000000,26479982.07000000,3805593.45000000,0.14371586
HART,2017,610,1,23,48676.94000000,26479982.07000000,3854270.39000000,0.14555412
HART,2017,610,1,24,131709.20000000,26479982.07000000,3985979.59000000,0.15052803
HART,2017,610,1,25,77058.27000000,26479982.07000000,4063037.86000000,0.15343809
HART,2017,610,1,26,46594.45000000,26479982.07000000,4109632.31000000,0.15519770
HART,2017,610,1,27,110403.01000000,26479982.07000000,4220035.32000000,0.15936700
HART,2017,610,1,28,59408.24000000,26479982.07000000,4279443.56000000,0.16161052
HART,2017,610,1,29,95788.12000000,26479982.07000000,4375231.68000000,0.16522789
HART,2017,610,1,30,93847.72000000,26479982.07000000,4469079.40000000,0.16877199
HART,2017,610,1,31,74128.73000000,26479982.07000000,4543208.13000000,0.17157142
HART,2017,610,1,32,50148.37000000,26479982.07000000,4593356.50000000,0.17346524
HART,2017,610,1,33,114441.41000000,26479982.07000000,4707797.91000000,0.17778705
HART,2017,610,1,34,88847.04000000,26479982.07000000,4796644.95000000,0.18114230
HART,2017,610,1,35,104068.89000000,26479982.07000000,4900713.84000000,0.18507240
HART,2017,610,1,36,73755.27000000,26479982.07000000,4974469.11000000,0.18785772
HART,2017,610,1,37,66025.06000000,26479982.07000000,5040494.17000000,0.19035112
HART,2017,610,1,38,86188.97000000,26479982.07000000,5126683.14000000,0.19360599
HART,2017,610,1,39,28041.56000000,26479982.07000000,5154724.70000000,0.19466496
HART,2017,610,1,40,21288.94000000,26479982.07000000,5176013.64000000,0.19546893
HART,2017,610,1,41,3990.32000000,26479982.07000000,5180003.96000000,0.19561962
HART,2017,610,1,42,27236.06000000,26479982.07000000,5207240.02000000,0.19664817
HART,2017,610,1,43,11902.07000000,26479982.07000000,5219142.09000000,0.19709764
HART,2017,610,1,44,50300.08000000,26479982.07000000,5269442.17000000,0.19899720
HART,2017,610,1,45,12846.64000000,26479982.07000000,5282288.81000000,0.19948234
HART,2017,610,1,46,22651.86000000,26479982.07000000,5304940.67000000,0.20033777
HART,2017,610,1,47,4030.15000000,26479982.07000000,5308970.82000000,0.20048997
HART,2017,610,1,48,14844.11000000,26479982.07000000,5323814.93000000,0.20105055
HART,2017,610,1,49,2409.28000000,26479982.07000000,5326224.21000000,0.20114153
HART,2017,610,1,50,34280.28000000,26479982.07000000,5360504.49000000,0.20243611
HART,2017,610,2,7,19173.09000000,633789.18000000,19173.09000000,0.03025153
HART,2017,610,2,10,18650.00000000,633789.18000000,37823.09000000,0.05967771
HART,2017,610,2,15,14149.08000000,633789.18000000,51972.17000000,0.08200230
HART,2017,610,2,19,14477.08000000,633789.18000000,66449.25000000,0.10484441
HART,2017,610,2,26,3036.35000000,633789.18000000,69485.60000000,0.10963519
HART,2017,620,1,1,50538.08000000,31064385.00999996,50538.08000000,0.00162688
HART,2017,620,1,2,49530.23000000,31064385.00999996,100068.31000000,0.00322132
HART,2017,620,1,3,216618.03000000,31064385.00999996,316686.34000000,0.01019452
HART,2017,620,1,4,278315.83000000,31064385.00999996,595002.17000000,0.01915384
HART,2017,620,1,5,166756.79000000,31064385.00999996,761758.96000000,0.02452194
HART,2017,620,1,6,225950.01000000,31064385.00999996,987708.97000000,0.03179554
HART,2017,620,1,7,229160.55000000,31064385.00999996,1216869.52000000,0.03917250
HART,2017,620,1,8,183705.12000000,31064385.00999996,1400574.64000000,0.04508619
HART,2017,620,1,9,153407.27000000,31064385.00999996,1553981.91000000,0.05002455
HART,2017,620,1,10,275254.49000000,31064385.00999996,1829236.40000000,0.05888532
HART,2017,620,1,11,262011.52000000,31064385.00999996,2091247.92000000,0.06731979
HART,2017,620,1,12,251429.28000000,31064385.00999996,2342677.20000000,0.07541360
HART,2017,620,1,13,159916.64000000,31064385.00999996,2502593.84000000,0.08056151
HART,2017,620,1,14,136433.64000000,31064385.00999996,2639027.48000000,0.08495348
HART,2017,620,1,15,67075.88000000,31064385.00999996,2706103.36000000,0.08711273
HART,2017,620,1,16,159496.05000000,31064385.00999996,2865599.41000000,0.09224710
HART,2017,620,1,17,146849.90000000,31064385.00999996,3012449.31000000,0.09697437
HART,2017,620,1,18,149089.71000000,31064385.00999996,3161539.02000000,0.10177375
HART,2017,620,1,19,101012.19000000,31064385.00999996,3262551.21000000,0.10502546
HART,2017,620,1,20,169787.26000000,31064385.00999996,3432338.47000000,0.11049111
HART,2017,620,1,21,205111.79000000,31064385.00999996,3637450.26000000,0.11709391
HART,2017,620,1,22,68174.10000000,31064385.00999996,3705624.36000000,0.11928852
HART,2017,620,1,23,80389.08000000,31064385.00999996,3786013.44000000,0.12187634
HART,2017,620,1,24,180454.17000000,31064385.00999996,3966467.61000000,0.12768537
HART,2017,620,1,25,103681.24000000,31064385.00999996,4070148.85000000,0.13102300
HART,2017,620,1,26,107846.79000000,31064385.00999996,4177995.64000000,0.13449472
HART,2017,620,1,27,103153.47000000,31064385.00999996,4281149.11000000,0.13781535
HART,2017,620,1,28,63739.84000000,31064385.00999996,4344888.95000000,0.13986721
HART,2017,620,1,29,110736.16000000,31064385.00999996,4455625.11000000,0.14343194
HART,2017,620,1,30,127355.51000000,31064385.00999996,4582980.62000000,0.14753167
HART,2017,620,1,31,112091.41000000,31064385.00999996,4695072.03000000,0.15114003
HART,2017,620,1,32,105210.46000000,31064385.00999996,4800282.49000000,0.15452688
HART,2017,620,1,33,49929.67000000,31064385.00999996,4850212.16000000,0.15613418
HART,2017,620,1,34,76859.38000000,31064385.00999996,4927071.54000000,0.15860837
HART,2017,620,1,35,28590.81000000,31064385.00999996,4955662.35000000,0.15952874
HART,2017,620,1,36,26573.75000000,31064385.00999996,4982236.10000000,0.16038419
HART,2017,620,1,37,51840.69000000,31064385.00999996,5034076.79000000,0.16205300
HART,2017,620,1,38,18205.57000000,31064385.00999996,5052282.36000000,0.16263906
HART,2017,620,1,39,32665.02000000,31064385.00999996,5084947.38000000,0.16369059
HART,2017,620,1,40,32259.84000000,31064385.00999996,5117207.22000000,0.16472907
