issuer_code,series_label,entity_name,loan_age_months,period_co_amt,orig_pool_amt,cumulative_co_amt,cumulative_loss_rate
MBART,MBART 2018-1,Mercedes-Benz Auto Receivables Trust 2018-1,0,110145.73000000,2059777563.60998583,110145.73000000,0.00005347
MBART,MBART 2018-1,Mercedes-Benz Auto Receivables Trust 2018-1,1,710888.90000000,2059777563.60998583,821034.63000000,0.00039860
MBART,MBART 2018-1,Mercedes-Benz Auto Receivables Trust 2018-1,2,622120.77000000,2059777563.60998583,1443155.40000000,0.00070064
MBART,MBART 2018-1,Mercedes-Benz Auto Receivables Trust 2018-1,3,931533.15000000,2059777563.60998583,2374688.55000000,0.00115289
MBART,MBART 2018-1,Mercedes-Benz Auto Receivables Trust 2018-1,4,722028.11000000,2059777563.60998583,3096716.66000000,0.00150342
MBART,MBART 2018-1,Mercedes-Benz Auto Receivables Trust 2018-1,5,840476.89000000,2059777563.60998583,3937193.55000000,0.00191147
MBART,MBART 2018-1,Mercedes-Benz Auto Receivables Trust 2018-1,6,733551.99000000,2059777563.60998583,4670745.54000000,0.00226760
MBART,MBART 2018-1,Mercedes-Benz Auto Receivables Trust 2018-1,7,730917.86000000,2059777563.60998583,5401663.40000000,0.00262245
MBART,MBART 2018-1,Mercedes-Benz Auto Receivables Trust 2018-1,8,737815.32000000,2059777563.60998583,6139478.72000000,0.00298065
MBART,MBART 2018-1,Mercedes-Benz Auto Receivables Trust 2018-1,9,831489.90000000,2059777563.60998583,6970968.62000000,0.00338433
MBART,MBART 2018-1,Mercedes-Benz Auto Receivables Trust 2018-1,10,918432.00000000,2059777563.60998583,7889400.62000000,0.00383022
MBART,MBART 2018-1,Mercedes-Benz Auto Receivables Trust 2018-1,11,913167.94000000,2059777563.60998583,8802568.56000000,0.00427355
MBART,MBART 2018-1,Mercedes-Benz Auto Receivables Trust 2018-1,12,439159.78000000,2059777563.60998583,9241728.34000000,0.00448676
MBART,MBART 2018-1,Mercedes-Benz Auto Receivables Trust 2018-1,13,741574.21000000,2059777563.60998583,9983302.55000000,0.00484679
MBART,MBART 2018-1,Mercedes-Benz Auto Receivables Trust 2018-1,14,846078.62000000,2059777563.60998583,10829381.17000000,0.00525755
MBART,MBART 2018-1,Mercedes-Benz Auto Receivables Trust 2018-1,15,870744.79000000,2059777563.60998583,11700125.96000000,0.00568029
MBART,MBART 2018-1,Mercedes-Benz Auto Receivables Trust 2018-1,16,1201059.61000000,2059777563.60998583,12901185.57000000,0.00626339
MBART,MBART 2018-1,Mercedes-Benz Auto Receivables Trust 2018-1,17,547685.10000000,2059777563.60998583,13448870.67000000,0.00652928
MBART,MBART 2018-1,Mercedes-Benz Auto Receivables Trust 2018-1,18,610323.09000000,2059777563.60998583,14059193.76000000,0.00682559
MBART,MBART 2018-1,Mercedes-Benz Auto Receivables Trust 2018-1,19,685414.02000000,2059777563.60998583,14744607.78000000,0.00715835
MBART,MBART 2018-1,Mercedes-Benz Auto Receivables Trust 2018-1,20,868945.59000000,2059777563.60998583,15613553.37000000,0.00758021
MBART,MBART 2018-1,Mercedes-Benz Auto Receivables Trust 2018-1,21,959121.80000000,2059777563.60998583,16572675.17000000,0.00804586
MBART,MBART 2018-1,Mercedes-Benz Auto Receivables Trust 2018-1,22,627812.00000000,2059777563.60998583,17200487.17000000,0.00835065
MBART,MBART 2018-1,Mercedes-Benz Auto Receivables Trust 2018-1,23,741572.17000000,2059777563.60998583,17942059.34000000,0.00871068
MBART,MBART 2018-1,Mercedes-Benz Auto Receivables Trust 2018-1,24,798919.95000000,2059777563.60998583,18740979.29000000,0.00909855
MBART,MBART 2018-1,Mercedes-Benz Auto Receivables Trust 2018-1,25,483863.90000000,2059777563.60998583,19224843.19000000,0.00933346
MBART,MBART 2018-1,Mercedes-Benz Auto Receivables Trust 2018-1,26,562426.39000000,2059777563.60998583,19787269.58000000,0.00960651
MBART,MBART 2018-1,Mercedes-Benz Auto Receivables Trust 2018-1,27,327720.54000000,2059777563.60998583,20114990.12000000,0.00976561
MBART,MBART 2018-1,Mercedes-Benz Auto Receivables Trust 2018-1,28,363326.04000000,2059777563.60998583,20478316.16000000,0.00994200
MBART,MBART 2018-1,Mercedes-Benz Auto Receivables Trust 2018-1,29,554083.65000000,2059777563.60998583,21032399.81000000,0.01021101
MBART,MBART 2018-1,Mercedes-Benz Auto Receivables Trust 2018-1,30,302990.55000000,2059777563.60998583,21335390.36000000,0.01035810
MBART,MBART 2018-1,Mercedes-Benz Auto Receivables Trust 2018-1,31,187846.99000000,2059777563.60998583,21523237.35000000,0.01044930
MBART,MBART 2018-1,Mercedes-Benz Auto Receivables Trust 2018-1,32,236228.87000000,2059777563.60998583,21759466.22000000,0.01056399
MBART,MBART 2018-1,Mercedes-Benz Auto Receivables Trust 2018-1,33,230675.82000000,2059777563.60998583,21990142.04000000,0.01067598
MBART,MBART 2018-1,Mercedes-Benz Auto Receivables Trust 2018-1,34,146116.33000000,2059777563.60998583,22136258.37000000,0.01074692
MBART,MBART 2018-1,Mercedes-Benz Auto Receivables Trust 2018-1,35,115198.70000000,2059777563.60998583,22251457.07000000,0.01080284
MBART,MBART 2018-1,Mercedes-Benz Auto Receivables Trust 2018-1,36,129475.50000000,2059777563.60998583,22380932.57000000,0.01086570
MBART,MBART 2018-1,Mercedes-Benz Auto Receivables Trust 2018-1,37,116544.66000000,2059777563.60998583,22497477.23000000,0.01092228
MBART,MBART 2018-1,Mercedes-Benz Auto Receivables Trust 2018-1,38,73897.07000000,2059777563.60998583,22571374.30000000,0.01095816
MBART,MBART 2018-1,Mercedes-Benz Auto Receivables Trust 2018-1,39,85774.16000000,2059777563.60998583,22657148.46000000,0.01099980
MBART,MBART 2018-1,Mercedes-Benz Auto Receivables Trust 2018-1,40,177216.15000000,2059777563.60998583,22834364.61000000,0.01108584
MBART,MBART 2018-1,Mercedes-Benz Auto Receivables Trust 2018-1,41,93991.39000000,2059777563.60998583,22928356.00000000,0.01113147
