issuer_code,deal_year,loan_age_months,period_co_amt,orig_pool_amt,cumulative_co_amt,cumulative_loss_rate
NAROT,2018,0,443254.55000000,9453311470.05994415,443254.55000000,0.00004689
NAROT,2018,1,449013.47000000,9453311470.05994415,892268.02000000,0.00009439
NAROT,2018,2,365219.20000000,9453311470.05994415,1257487.22000000,0.00013302
NAROT,2018,3,397784.53000000,9453311470.05994415,1655271.75000000,0.00017510
NAROT,2018,4,393772.53000000,9453311470.05994415,2049044.28000000,0.00021675
NAROT,2018,5,290342.97000000,9453311470.05994415,2339387.25000000,0.00024747
NAROT,2018,6,136537.11000000,9453311470.05994415,2475924.36000000,0.00026191
NAROT,2018,7,214292.22000000,9453311470.05994415,2690216.58000000,0.00028458
NAROT,2018,8,99279.35000000,9453311470.05994415,2789495.93000000,0.00029508
NAROT,2018,9,74239.77000000,9453311470.05994415,2863735.70000000,0.00030293
NAROT,2018,10,62899.85000000,9453311470.05994415,2926635.55000000,0.00030959
NAROT,2018,11,30631.40000000,9453311470.05994415,2957266.95000000,0.00031283
NAROT,2018,12,70174.97000000,9453311470.05994415,3027441.92000000,0.00032025
NAROT,2018,13,71627.32000000,9453311470.05994415,3099069.24000000,0.00032783
NAROT,2018,14,47278.32000000,9453311470.05994415,3146347.56000000,0.00033283
NAROT,2018,15,68525.21000000,9453311470.05994415,3214872.77000000,0.00034008
NAROT,2018,16,84938.04000000,9453311470.05994415,3299810.81000000,0.00034906
NAROT,2018,17,26358.75000000,9453311470.05994415,3326169.56000000,0.00035185
NAROT,2018,18,45986.15000000,9453311470.05994415,3372155.71000000,0.00035672
NAROT,2018,19,29767.65000000,9453311470.05994415,3401923.36000000,0.00035987
NAROT,2018,20,7952.11000000,9453311470.05994415,3409875.47000000,0.00036071
NAROT,2018,21,4395.11000000,9453311470.05994415,3414270.58000000,0.00036117
NAROT,2019,0,155951.62000000,6211269867.91999340,155951.62000000,0.00002511
NAROT,2019,1,173140.16000000,6211269867.91999340,329091.78000000,0.00005298
NAROT,2019,2,125325.88000000,6211269867.91999340,454417.66000000,0.00007316
NAROT,2019,3,260706.60000000,6211269867.91999340,715124.26000000,0.00011513
NAROT,2019,4,119597.78000000,6211269867.91999340,834722.04000000,0.00013439
NAROT,2019,5,170369.96000000,6211269867.91999340,1005092.00000000,0.00016182
NAROT,2019,6,124209.74000000,6211269867.91999340,1129301.74000000,0.00018181
NAROT,2019,7,244512.29000000,6211269867.91999340,1373814.03000000,0.00022118
NAROT,2019,8,143708.56000000,6211269867.91999340,1517522.59000000,0.00024432
NAROT,2019,9,88092.14000000,6211269867.91999340,1605614.73000000,0.00025850
NAROT,2019,10,32579.93000000,6211269867.91999340,1638194.66000000,0.00026375
NAROT,2019,11,66616.97000000,6211269867.91999340,1704811.63000000,0.00027447
NAROT,2019,12,82393.36000000,6211269867.91999340,1787204.99000000,0.00028774
NAROT,2019,13,112293.39000000,6211269867.91999340,1899498.38000000,0.00030581
NAROT,2019,14,96375.99000000,6211269867.91999340,1995874.37000000,0.00032133
NAROT,2019,15,62673.33000000,6211269867.91999340,2058547.70000000,0.00033142
NAROT,2019,16,125576.56000000,6211269867.91999340,2184124.26000000,0.00035164
NAROT,2019,17,84758.04000000,6211269867.91999340,2268882.30000000,0.00036528
NAROT,2019,18,42105.54000000,6211269867.91999340,2310987.84000000,0.00037206
NAROT,2019,19,63006.36000000,6211269867.91999340,2373994.20000000,0.00038221
NAROT,2019,20,68386.04000000,6211269867.91999340,2442380.24000000,0.00039322
NAROT,2019,21,21560.78000000,6211269867.91999340,2463941.02000000,0.00039669
NAROT,2020,0,270642.54000000,4216246914.53999043,270642.54000000,0.00006419
NAROT,2020,1,106940.97000000,4216246914.53999043,377583.51000000,0.00008955
NAROT,2020,2,214574.58000000,4216246914.53999043,592158.09000000,0.00014045
NAROT,2020,3,199188.95000000,4216246914.53999043,791347.04000000,0.00018769
NAROT,2020,4,86968.42000000,4216246914.53999043,878315.46000000,0.00020832
NAROT,2020,5,148784.13000000,4216246914.53999043,1027099.59000000,0.00024361
NAROT,2020,6,114216.35000000,4216246914.53999043,1141315.94000000,0.00027069
NAROT,2020,7,84154.54000000,4216246914.53999043,1225470.48000000,0.00029065
NAROT,2020,8,79377.55000000,4216246914.53999043,1304848.03000000,0.00030948
NAROT,2020,9,111755.50000000,4216246914.53999043,1416603.53000000,0.00033599
NAROT,2020,10,20373.54000000,4216246914.53999043,1436977.07000000,0.00034082
NAROT,2020,11,70836.22000000,4216246914.53999043,1507813.29000000,0.00035762
NAROT,2020,12,106203.11000000,4216246914.53999043,1614016.40000000,0.00038281
NAROT,2020,13,52573.26000000,4216246914.53999043,1666589.66000000,0.00039528
NAROT,2020,14,51005.75000000,4216246914.53999043,1717595.41000000,0.00040738
NAROT,2020,15,24634.40000000,4216246914.53999043,1742229.81000000,0.00041322
NAROT,2020,16,30453.95000000,4216246914.53999043,1772683.76000000,0.00042044
NAROT,2020,17,25606.70000000,4216246914.53999043,1798290.46000000,0.00042651
NAROT,2020,18,53867.15000000,4216246914.53999043,1852157.61000000,0.00043929
NAROT,2021,0,84579.65000000,3129235816.74000072,84579.65000000,0.00002703
NAROT,2021,1,60356.29000000,3129235816.74000072,144935.94000000,0.00004632
NAROT,2021,2,75929.87000000,3129235816.74000072,220865.81000000,0.00007058
NAROT,2021,3,79747.14000000,3129235816.74000072,300612.95000000,0.00009607
NAROT,2021,4,102156.27000000,3129235816.74000072,402769.22000000,0.00012871
NAROT,2021,5,86671.96000000,3129235816.74000072,489441.18000000,0.00015641
NAROT,2021,6,106222.47000000,3129235816.74000072,595663.65000000,0.00019035
NAROT,2021,7,71050.80000000,3129235816.74000072,666714.45000000,0.00021306
NAROT,2021,8,90883.74000000,3129235816.74000072,757598.19000000,0.00024210
NAROT,2021,9,27093.79000000,3129235816.74000072,784691.98000000,0.00025076
NAROT,2021,10,1038.06000000,3129235816.74000072,785730.04000000,0.00025109
NAROT,2021,11,36235.68000000,3129235816.74000072,821965.72000000,0.00026267
NAROT,2021,12,17006.05000000,3129235816.74000072,838971.77000000,0.00026811
NAROT,2021,13,23930.06000000,3129235816.74000072,862901.83000000,0.00027575
NAROT,2022,0,149317.31000000,4173712060.95999575,149317.31000000,0.00003578
NAROT,2022,1,49899.37000000,4173712060.95999575,199216.68000000,0.00004773
NAROT,2022,2,104242.99000000,4173712060.95999575,303459.67000000,0.00007271
NAROT,2022,3,118259.04000000,4173712060.95999575,421718.71000000,0.00010104
NAROT,2022,4,72069.59000000,4173712060.95999575,493788.30000000,0.00011831
NAROT,2022,5,49680.34000000,4173712060.95999575,543468.64000000,0.00013021
NAROT,2022,6,150556.37000000,4173712060.95999575,694025.01000000,0.00016628
NAROT,2022,7,28055.20000000,4173712060.95999575,722080.21000000,0.00017301
NAROT,2022,8,35436.82000000,4173712060.95999575,757517.03000000,0.00018150
NAROT,2022,9,56829.14000000,4173712060.95999575,814346.17000000,0.00019511
NAROT,2022,10,10668.73000000,4173712060.95999575,825014.90000000,0.00019767
NAROT,2022,11,99.50000000,4173712060.95999575,825114.40000000,0.00019769
NAROT,2022,12,11325.93000000,4173712060.95999575,836440.33000000,0.00020041
NAROT,2022,13,56642.67000000,4173712060.95999575,893083.00000000,0.00021398
NAROT,2022,14,106000.13000000,4173712060.95999575,999083.13000000,0.00023938
NAROT,2022,15,20107.29000000,4173712060.95999575,1019190.42000000,0.00024419
NAROT,2022,16,10013.16000000,4173712060.95999575,1029203.58000000,0.00024659
NAROT,2022,17,37664.03000000,4173712060.95999575,1066867.61000000,0.00025562
NAROT,2022,18,20358.03000000,4173712060.95999575,1087225.64000000,0.00026049
NAROT,2022,19,16396.97000000,4173712060.95999575,1103622.61000000,0.00026442
NAROT,2023,0,17981.34000000,1652994578.68000078,17981.34000000,0.00001088
NAROT,2023,1,31021.10000000,1652994578.68000078,49002.44000000,0.00002964
NAROT,2023,2,157193.82000000,1652994578.68000078,206196.26000000,0.00012474
NAROT,2023,3,86935.10000000,1652994578.68000078,293131.36000000,0.00017733
NAROT,2023,4,183513.76000000,1652994578.68000078,476645.12000000,0.00028835
NAROT,2023,5,200355.48000000,1652994578.68000078,677000.60000000,0.00040956
NAROT,2023,6,26059.73000000,1652994578.68000078,703060.33000000,0.00042533
NAROT,2023,7,62683.56000000,1652994578.68000078,765743.89000000,0.00046325
