issuer_code,vintage_year,fico_low,new_used,loan_age_months,period_co_amt,orig_pool_amt,cumulative_co_amt,cumulative_loss_rate
NAROT,2017,660,1,2,9355.80000000,149906700.80999970,9355.80000000,0.00006241
NAROT,2017,660,1,4,17826.43000000,149906700.80999970,27182.23000000,0.00018133
NAROT,2017,660,1,5,1319.63000000,149906700.80999970,28501.86000000,0.00019013
NAROT,2017,660,1,6,93263.89000000,149906700.80999970,121765.75000000,0.00081228
NAROT,2017,660,1,7,49322.75000000,149906700.80999970,171088.50000000,0.00114130
NAROT,2017,660,1,8,122387.35000000,149906700.80999970,293475.85000000,0.00195772
NAROT,2017,660,1,9,45634.74000000,149906700.80999970,339110.59000000,0.00226214
NAROT,2017,660,1,10,26427.63000000,149906700.80999970,365538.22000000,0.00243844
NAROT,2017,660,1,11,41978.77000000,149906700.80999970,407516.99000000,0.00271847
NAROT,2017,660,1,12,26519.83000000,149906700.80999970,434036.82000000,0.00289538
NAROT,2017,660,1,13,18779.22000000,149906700.80999970,452816.04000000,0.00302065
NAROT,2017,660,1,14,57182.35000000,149906700.80999970,509998.39000000,0.00340211
NAROT,2017,660,1,15,1511.88000000,149906700.80999970,511510.27000000,0.00341219
NAROT,2017,660,1,16,38402.20000000,149906700.80999970,549912.47000000,0.00366836
NAROT,2017,660,1,17,14298.23000000,149906700.80999970,564210.70000000,0.00376375
NAROT,2017,660,1,18,33143.33000000,149906700.80999970,597354.03000000,0.00398484
NAROT,2017,660,1,19,4501.12000000,149906700.80999970,601855.15000000,0.00401486
NAROT,2017,660,1,20,1779.31000000,149906700.80999970,603634.46000000,0.00402673
NAROT,2017,660,1,21,6099.33000000,149906700.80999970,609733.79000000,0.00406742
NAROT,2017,660,1,22,43972.87000000,149906700.80999970,653706.66000000,0.00436076
NAROT,2017,660,1,23,34861.90000000,149906700.80999970,688568.56000000,0.00459331
NAROT,2017,660,1,24,6340.45000000,149906700.80999970,694909.01000000,0.00463561
NAROT,2017,660,1,25,2269.80000000,149906700.80999970,697178.81000000,0.00465075
NAROT,2017,660,1,26,2189.81000000,149906700.80999970,699368.62000000,0.00466536
NAROT,2017,660,1,27,33615.37000000,149906700.80999970,732983.99000000,0.00488960
NAROT,2017,660,1,28,16123.07000000,149906700.80999970,749107.06000000,0.00499716
NAROT,2017,660,1,29,4587.08000000,149906700.80999970,753694.14000000,0.00502775
NAROT,2017,660,1,30,20374.03000000,149906700.80999970,774068.17000000,0.00516367
NAROT,2017,660,1,33,71064.25000000,149906700.80999970,845132.42000000,0.00563772
NAROT,2017,660,1,34,11148.36000000,149906700.80999970,856280.78000000,0.00571209
NAROT,2017,660,1,35,537.16000000,149906700.80999970,856817.94000000,0.00571567
NAROT,2017,660,1,36,20293.46000000,149906700.80999970,877111.40000000,0.00585105
NAROT,2017,660,1,37,59013.05000000,149906700.80999970,936124.45000000,0.00624471
NAROT,2017,660,1,38,9404.01000000,149906700.80999970,945528.46000000,0.00630745
NAROT,2017,660,1,39,10726.83000000,149906700.80999970,956255.29000000,0.00637900
NAROT,2017,660,1,40,11387.27000000,149906700.80999970,967642.56000000,0.00645497
NAROT,2017,660,1,41,30121.39000000,149906700.80999970,997763.95000000,0.00665590
NAROT,2017,660,1,42,15405.34000000,149906700.80999970,1013169.29000000,0.00675867
NAROT,2017,660,1,43,1351.05000000,149906700.80999970,1014520.34000000,0.00676768
NAROT,2017,660,1,44,642.24000000,149906700.80999970,1015162.58000000,0.00677196
NAROT,2017,660,1,45,9662.60000000,149906700.80999970,1024825.18000000,0.00683642
NAROT,2017,660,1,46,2311.93000000,149906700.80999970,1027137.11000000,0.00685184
NAROT,2017,660,1,47,794.09000000,149906700.80999970,1027931.20000000,0.00685714
NAROT,2017,660,1,51,7682.85000000,149906700.80999970,1035614.05000000,0.00690839
NAROT,2017,660,2,6,1726.89000000,11383432.43000000,1726.89000000,0.00015170
NAROT,2017,660,2,25,5698.53000000,11383432.43000000,7425.42000000,0.00065230
NAROT,2017,660,2,32,5481.16000000,11383432.43000000,12906.58000000,0.00113380
NAROT,2017,660,2,46,859.80000000,11383432.43000000,13766.38000000,0.00120933
NAROT,2017,660,2,50,346.06000000,11383432.43000000,14112.44000000,0.00123974
NAROT,2017,670,1,2,24090.04000000,163748520.14999998,24090.04000000,0.00014712
NAROT,2017,670,1,4,40755.77000000,163748520.14999998,64845.81000000,0.00039601
NAROT,2017,670,1,5,12603.88000000,163748520.14999998,77449.69000000,0.00047298
NAROT,2017,670,1,6,20378.40000000,163748520.14999998,97828.09000000,0.00059743
NAROT,2017,670,1,7,2879.42000000,163748520.14999998,100707.51000000,0.00061501
NAROT,2017,670,1,8,50933.84000000,163748520.14999998,151641.35000000,0.00092606
NAROT,2017,670,1,9,58641.87000000,163748520.14999998,210283.22000000,0.00128418
NAROT,2017,670,1,10,8165.71000000,163748520.14999998,218448.93000000,0.00133405
NAROT,2017,670,1,11,12945.32000000,163748520.14999998,231394.25000000,0.00141311
NAROT,2017,670,1,12,49285.60000000,163748520.14999998,280679.85000000,0.00171409
NAROT,2017,670,1,13,54675.37000000,163748520.14999998,335355.22000000,0.00204799
NAROT,2017,670,1,14,25449.46000000,163748520.14999998,360804.68000000,0.00220341
NAROT,2017,670,1,15,85651.53000000,163748520.14999998,446456.21000000,0.00272647
NAROT,2017,670,1,16,1528.33000000,163748520.14999998,447984.54000000,0.00273581
NAROT,2017,670,1,17,52381.87000000,163748520.14999998,500366.41000000,0.00305570
NAROT,2017,670,1,18,9930.56000000,163748520.14999998,510296.97000000,0.00311635
NAROT,2017,670,1,19,23329.90000000,163748520.14999998,533626.87000000,0.00325882
NAROT,2017,670,1,20,29359.03000000,163748520.14999998,562985.90000000,0.00343811
NAROT,2017,670,1,21,896.99000000,163748520.14999998,563882.89000000,0.00344359
NAROT,2017,670,1,22,66460.56000000,163748520.14999998,630343.45000000,0.00384946
NAROT,2017,670,1,23,5236.69000000,163748520.14999998,635580.14000000,0.00388144
NAROT,2017,670,1,24,66668.35000000,163748520.14999998,702248.49000000,0.00428858
NAROT,2017,670,1,25,71462.18000000,163748520.14999998,773710.67000000,0.00472499
NAROT,2017,670,1,26,42104.74000000,163748520.14999998,815815.41000000,0.00498212
NAROT,2017,670,1,27,12873.15000000,163748520.14999998,828688.56000000,0.00506074
NAROT,2017,670,1,28,18483.76000000,163748520.14999998,847172.32000000,0.00517362
