issuer_code,vintage_year,loan_age_months,period_co_amt,orig_pool_amt,cumulative_co_amt,cumulative_loss_rate
NAROT,2011,76,1404.90000000,14812166.66000000,1404.90000000,0.00009485
NAROT,2011,77,799.52000000,14812166.66000000,2204.42000000,0.00014882
NAROT,2012,62,11438.58000000,420066531.12999976,11438.58000000,0.00002723
NAROT,2012,64,1831.58000000,420066531.12999976,13270.16000000,0.00003159
NAROT,2012,67,4450.61000000,420066531.12999976,17720.77000000,0.00004219
NAROT,2012,69,2358.50000000,420066531.12999976,20079.27000000,0.00004780
NAROT,2012,71,1.00000000,420066531.12999976,20080.27000000,0.00004780
NAROT,2012,72,8120.65000000,420066531.12999976,28200.92000000,0.00006713
NAROT,2012,73,3072.27000000,420066531.12999976,31273.19000000,0.00007445
NAROT,2012,74,1090.93000000,420066531.12999976,32364.12000000,0.00007705
NAROT,2012,75,5535.32000000,420066531.12999976,37899.44000000,0.00009022
NAROT,2012,76,4893.13000000,420066531.12999976,42792.57000000,0.00010187
NAROT,2012,77,2970.16000000,420066531.12999976,45762.73000000,0.00010894
NAROT,2012,78,4841.88000000,420066531.12999976,50604.61000000,0.00012047
NAROT,2012,79,1552.42000000,420066531.12999976,52157.03000000,0.00012416
NAROT,2012,83,638.88000000,420066531.12999976,52795.91000000,0.00012568
NAROT,2012,84,825.53000000,420066531.12999976,53621.44000000,0.00012765
NAROT,2013,45,3490.50000000,589584382.77000201,3490.50000000,0.00000592
NAROT,2013,48,1104.69000000,589584382.77000201,4595.19000000,0.00000779
NAROT,2013,49,4601.93000000,589584382.77000201,9197.12000000,0.00001560
NAROT,2013,50,5664.29000000,589584382.77000201,14861.41000000,0.00002521
NAROT,2013,53,5640.25000000,589584382.77000201,20501.66000000,0.00003477
NAROT,2013,54,4023.30000000,589584382.77000201,24524.96000000,0.00004160
NAROT,2013,56,5629.11000000,589584382.77000201,30154.07000000,0.00005114
NAROT,2013,59,15466.40000000,589584382.77000201,45620.47000000,0.00007738
NAROT,2013,61,2573.77000000,589584382.77000201,48194.24000000,0.00008174
NAROT,2013,63,2018.98000000,589584382.77000201,50213.22000000,0.00008517
NAROT,2013,64,1975.06000000,589584382.77000201,52188.28000000,0.00008852
NAROT,2013,65,2364.02000000,589584382.77000201,54552.30000000,0.00009253
NAROT,2013,66,1524.30000000,589584382.77000201,56076.60000000,0.00009511
NAROT,2013,67,315.84000000,589584382.77000201,56392.44000000,0.00009565
NAROT,2013,70,5404.31000000,589584382.77000201,61796.75000000,0.00010481
NAROT,2013,71,11327.96000000,589584382.77000201,73124.71000000,0.00012403
NAROT,2013,72,3638.05000000,589584382.77000201,76762.76000000,0.00013020
NAROT,2013,73,3057.75000000,589584382.77000201,79820.51000000,0.00013538
NAROT,2013,76,2705.74000000,589584382.77000201,82526.25000000,0.00013997
NAROT,2013,79,2772.48000000,589584382.77000201,85298.73000000,0.00014468
NAROT,2013,82,1335.55000000,589584382.77000201,86634.28000000,0.00014694
NAROT,2013,83,460.37000000,589584382.77000201,87094.65000000,0.00014772
NAROT,2014,40,43613.58000000,467116049.72999680,43613.58000000,0.00009337
NAROT,2014,42,30689.87000000,467116049.72999680,74303.45000000,0.00015907
NAROT,2014,44,29694.99000000,467116049.72999680,103998.44000000,0.00022264
NAROT,2014,46,29912.80000000,467116049.72999680,133911.24000000,0.00028668
NAROT,2014,47,27689.51000000,467116049.72999680,161600.75000000,0.00034595
NAROT,2014,48,39071.34000000,467116049.72999680,200672.09000000,0.00042960
NAROT,2014,49,18155.06000000,467116049.72999680,218827.15000000,0.00046846
NAROT,2014,50,30410.36000000,467116049.72999680,249237.51000000,0.00053357
